timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,20.31,20.31,20.31,20.31,6.728,0,0.0,1.0
2000-01-04,20.38,20.38,20.38,20.38,6.7511,100,0.0,1.0
2000-01-05,20.38,20.38,20.38,20.38,6.7511,0,0.0,1.0
2000-01-06,20.44,20.44,20.44,20.44,6.771,100,0.0,1.0
2000-01-07,20.38,20.38,20.38,20.38,6.7511,4900,0.0,1.0
2000-01-10,20.38,20.38,20.38,20.38,6.7511,200,0.0,1.0
2000-01-11,20.38,20.38,20.38,20.38,6.7511,3600,0.0,1.0
2000-01-12,20.38,20.38,20.38,20.38,6.7511,0,0.0,1.0
2000-01-13,20.38,20.38,20.38,20.38,6.7511,2200,0.0,1.0
2000-01-14,20.44,20.44,20.44,20.44,6.771,33200,0.0,1.0
2000-01-18,20.44,20.44,20.44,20.44,6.771,200,0.0,1.0
2000-01-19,20.47,20.47,20.44,20.44,6.771,4900,0.0,1.0
2000-01-20,20.44,20.44,20.44,20.44,6.771,23500,0.0,1.0
2000-01-21,20.44,20.5,20.44,20.5,6.7909,7700,0.0,1.0
2000-01-24,20.38,20.38,16.25,18.13,6.0058,6400,0.0,1.0
2000-01-25,18.5,18.5,18.13,18.13,6.0058,1100,0.0,1.0
2000-01-26,18.12,18.12,18.12,18.12,6.0025,0,0.0,1.0
2000-01-27,18.13,18.13,18.13,18.13,6.0058,1500,0.0,1.0
2000-01-28,18.0,18.0,18.0,18.0,5.9627,1400,0.0,1.0
2000-01-31,18.0,18.0,18.0,18.0,5.9627,0,0.0,1.0
2000-02-01,18.0,18.13,18.0,18.13,6.0058,6900,0.0,1.0
2000-02-02,19.25,19.25,19.25,19.25,6.3768,100,0.0,1.0
2000-02-03,19.25,19.25,19.25,19.25,6.3768,0,0.0,1.0
2000-02-04,19.25,19.25,19.25,19.25,6.3768,0,0.0,1.0
2000-02-07,19.25,19.25,19.25,19.25,6.3768,0,0.0,1.0
2000-02-08,19.25,19.25,19.25,19.25,6.3768,0,0.0,1.0
2000-02-09,19.25,19.25,19.25,19.25,6.3768,0,0.0,1.0
2000-02-10,18.0,18.0,18.0,18.0,5.9627,600,0.0,1.0
2000-02-11,18.0,18.0,18.0,18.0,5.9627,0,0.0,1.0
2000-02-14,18.0,18.0,18.0,18.0,5.9627,0,0.0,1.0
2000-02-15,18.0,18.0,18.0,18.0,5.9627,0,0.0,1.0
2000-02-16,18.5,18.5,17.25,17.25,5.7143,3700,0.0,1.0
2000-02-17,17.25,17.25,17.25,17.25,5.7143,0,0.0,1.0
2000-02-18,18.0,18.0,17.25,17.25,5.7143,3500,0.0,1.0
2000-02-22,17.38,17.38,17.38,17.38,5.7574,600,0.0,1.0
2000-02-23,17.37,17.37,17.37,17.37,5.754,0,0.0,1.0
2000-02-24,18.0,18.0,18.0,18.0,5.9627,100,0.0,1.0
2000-02-25,18.0,18.0,18.0,18.0,5.9627,200,0.0,1.0
2000-02-28,18.0,18.0,18.0,18.0,5.9627,400,0.0,1.0
2000-02-29,18.0,18.0,18.0,18.0,5.9627,0,0.0,1.0
2000-03-01,18.13,18.13,17.75,18.13,6.0058,2200,0.0,1.0
2000-03-02,18.88,18.88,18.88,18.88,6.2542,1100,0.0,1.0
2000-03-03,19.13,19.13,19.13,19.13,6.3371,200,0.0,1.0
2000-03-06,19.12,19.12,19.12,19.12,6.3337,0,0.0,1.0
2000-03-07,18.69,18.69,18.69,18.69,6.1913,200,0.0,1.0
2000-03-08,19.13,19.13,19.13,19.13,6.3371,1200,0.0,1.0
2000-03-09,19.38,19.63,19.38,19.63,6.5027,1700,0.0,1.0
2000-03-10,19.63,19.63,19.63,19.63,6.5027,0,0.0,1.0
2000-03-13,19.69,19.69,19.69,19.69,6.5226,500,0.0,1.0
2000-03-14,19.69,19.69,19.69,19.69,6.5226,100,0.0,1.0
2000-03-15,19.69,19.69,19.69,19.69,6.5226,0,0.0,1.0
2000-03-16,19.69,19.69,19.69,19.69,6.5226,0,0.0,1.0
2000-03-17,20.0,20.0,19.5,19.5,6.4596,500,0.0,1.0
2000-03-20,20.0,20.63,20.0,20.63,6.834,3600,0.0,1.0
2000-03-21,20.63,20.63,20.63,20.63,6.834,0,0.0,1.0
2000-03-22,20.25,20.25,20.25,20.25,6.7081,200,0.0,1.0
2000-03-23,20.63,21.38,20.63,21.38,7.0824,1800,0.0,1.0
2000-03-24,20.81,22.69,20.81,21.5,7.1222,2400,0.0,1.0
2000-03-27,21.5,21.5,21.5,21.5,7.1222,0,0.0,1.0
2000-03-28,21.38,21.63,21.38,21.63,7.1652,600,0.0,1.0
2000-03-29,21.63,21.75,21.38,21.38,7.0824,3100,0.0,1.0
2000-03-30,21.38,21.38,21.38,21.38,7.0824,0,0.0,1.0
2000-03-31,21.13,21.13,21.0,21.0,6.9565,1600,0.0,1.0
2000-04-03,21.0,21.0,20.81,20.81,6.8936,2000,0.0,1.0
2000-04-04,20.81,20.81,20.0,20.06,6.6451,1500,0.0,1.0
2000-04-05,21.13,21.13,21.13,21.13,6.9996,300,0.0,1.0
2000-04-06,21.13,21.13,21.13,21.13,6.9996,0,0.0,1.0
2000-04-07,21.13,21.13,21.13,21.13,6.9996,0,0.0,1.0
2000-04-10,21.13,21.13,21.13,21.13,6.9996,300,0.0,1.0
2000-04-11,21.13,21.13,20.0,20.0,6.6253,1500,0.0,1.0
2000-04-12,20.0,20.0,20.0,20.0,6.6253,600,0.0,1.0
2000-04-13,20.0,20.0,18.0,18.31,6.0654,14000,0.0,1.0
2000-04-14,18.0,18.5,17.75,17.75,5.8799,3000,0.0,1.0
