timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,10.56,10.56,10.19,10.19,1.1484,150900,0.0,1.0
2000-01-04,10.69,10.81,10.5,10.69,1.2047,205000,0.0,1.0
2000-01-05,10.5,10.5,10.38,10.44,1.1765,35400,0.0,1.0
2000-01-06,10.31,10.31,10.0,10.19,1.1484,29900,0.0,1.0
2000-01-07,10.25,10.44,10.25,10.38,1.1698,599700,0.0,1.0
2000-01-10,10.44,10.5,10.25,10.38,1.1698,314800,0.0,1.0
2000-01-11,10.25,10.31,9.938,10.13,1.1416,63500,0.0,1.0
2000-01-12,10.06,10.19,9.875,10.13,1.1416,63400,0.0,1.0
2000-01-13,9.875,9.875,9.375,9.5,1.0706,233500,0.0,1.0
2000-01-14,9.75,9.75,9.438,9.5,1.0706,137200,0.0,1.0
2000-01-18,9.438,9.5,9.25,9.313,1.0495,402400,0.0,1.0
2000-01-19,9.25,9.25,9.125,9.188,1.0355,45800,0.0,1.0
2000-01-20,9.25,9.5,9.188,9.375,1.0565,412400,0.0,1.0
2000-01-21,9.25,9.25,9.188,9.25,1.0424,42500,0.0,1.0
2000-01-24,9.188,9.25,9.0,9.125,1.0284,62900,0.0,1.0
2000-01-25,9.125,9.125,9.0,9.0,1.0143,436300,0.0,1.0
2000-01-26,8.875,9.0,8.875,9.0,1.0143,163700,0.0,1.0
2000-01-27,8.938,8.938,8.75,8.875,1.0002,82900,0.0,1.0
2000-01-28,8.875,8.938,8.5,8.563,0.965,140100,0.0,1.0
2000-01-31,8.563,8.938,8.5,8.938,1.0073,149700,0.0,1.0
2000-02-01,8.625,8.688,8.438,8.688,0.9791,169600,0.0,1.0
2000-02-02,8.688,8.75,8.625,8.625,0.972,98000,0.0,1.0
2000-02-03,8.938,8.938,8.688,8.875,1.0002,91600,0.0,1.0
2000-02-04,8.875,9.0,8.875,9.0,1.0143,300200,0.0,1.0
2000-02-07,8.875,9.125,8.875,9.063,1.0214,213700,0.0,1.0
2000-02-08,9.063,9.125,8.938,9.063,1.0214,401300,0.0,1.0
2000-02-09,8.75,8.75,8.625,8.688,0.9791,189900,0.0,1.0
2000-02-10,8.688,8.688,8.313,8.313,0.9368,248700,0.0,1.0
2000-02-11,8.375,8.375,7.875,8.0,0.9016,185000,0.0,1.0
2000-02-14,7.375,7.5,6.563,7.438,0.8382,213700,0.0,1.0
2000-02-15,7.313,7.438,7.125,7.375,0.8311,114200,0.0,1.0
2000-02-16,7.5,7.625,7.5,7.563,0.8523,136600,0.0,1.0
2000-02-17,7.75,7.75,7.5,7.625,0.8593,140700,0.0,1.0
2000-02-18,7.75,8.0,7.75,7.938,0.8946,293100,0.0,1.0
2000-02-22,7.563,7.563,7.375,7.563,0.8523,168500,0.0,1.0
2000-02-23,7.5,7.625,7.375,7.625,0.8593,79500,0.0,1.0
2000-02-24,7.625,7.625,7.125,7.375,0.8311,102300,0.0,1.0
2000-02-25,7.125,7.563,7.125,7.25,0.817,75200,0.0,1.0
2000-02-28,7.0,7.313,6.75,7.313,0.8241,85400,0.0,1.0
2000-02-29,7.125,7.25,7.125,7.188,0.8101,58600,0.0,1.0
2000-03-01,7.188,7.25,6.938,7.25,0.817,74800,0.0,1.0
2000-03-02,7.25,7.313,7.188,7.25,0.817,64300,0.0,1.0
2000-03-03,7.25,7.438,7.063,7.125,0.803,163700,0.0,1.0
2000-03-06,7.063,7.313,6.688,7.125,0.803,228300,0.0,1.0
2000-03-07,7.125,7.375,7.125,7.25,0.817,607100,0.0,1.0
2000-03-08,7.5,8.0,7.375,8.0,0.9016,1044800,0.0,1.0
2000-03-09,7.938,8.0,7.75,7.75,0.8734,481300,0.0,1.0
2000-03-10,7.625,7.625,7.25,7.25,0.817,129400,0.0,1.0
2000-03-13,7.25,7.313,7.0,7.063,0.796,109100,0.0,1.0
2000-03-14,7.25,7.25,7.063,7.063,0.796,220400,0.0,1.0
2000-03-15,7.063,7.188,6.875,7.063,0.796,142700,0.0,1.0
2000-03-16,7.125,7.25,6.938,7.063,0.796,453200,0.0,1.0
2000-03-17,7.188,7.5,7.125,7.25,0.817,299800,0.0,1.0
2000-03-20,7.25,7.25,7.063,7.063,0.796,58600,0.0,1.0
2000-03-21,7.125,7.313,7.0,7.25,0.817,39500,0.0,1.0
2000-03-22,7.188,7.25,6.813,7.0,0.7889,187400,0.0,1.0
2000-03-23,7.313,7.563,7.25,7.5,0.8452,333600,0.0,1.0
2000-03-24,7.188,7.313,7.125,7.188,0.8101,88200,0.0,1.0
2000-03-27,7.313,7.5,7.313,7.375,0.8311,145500,0.0,1.0
2000-03-28,7.625,8.125,7.625,7.75,0.8734,705600,0.0,1.0
2000-03-29,7.688,7.75,7.375,7.375,0.8311,144700,0.0,1.0
2000-03-30,7.125,7.75,7.125,7.688,0.8664,315900,0.0,1.0
2000-03-31,7.875,8.0,7.813,8.0,0.9016,144400,0.0,1.0
2000-04-03,7.938,8.25,7.875,8.188,0.9228,123700,0.0,1.0
2000-04-04,8.188,8.188,7.875,7.938,0.8946,81000,0.0,1.0
2000-04-05,7.625,7.688,7.5,7.563,0.8523,95700,0.0,1.0
2000-04-06,7.688,7.75,7.563,7.688,0.8664,106300,0.0,1.0
2000-04-07,7.688,7.688,7.563,7.625,0.8593,92700,0.0,1.0
2000-04-10,7.688,7.75,7.313,7.375,0.8311,48300,0.0,1.0
2000-04-11,7.5,7.625,7.5,7.625,0.8593,107700,0.0,1.0
2000-04-12,7.5,7.688,7.5,7.5,0.8452,62300,0.0,1.0
2000-04-13,8.0,8.063,7.625,7.688,0.8664,85100,0.0,1.0
2000-04-14,7.688,8.0,7.438,7.5,0.8452,132400,0.0,1.0
2000-04-17,7.75,8.125,7.75,8.063,0.9087,151000,0.0,1.0
2000-04-18,8.625,8.813,8.25,8.563,0.965,284000,0.0,1.0
2000-04-19,9.125,9.25,9.063,9.125,1.0284,135700,0.0,1.0
2000-04-20,9.563,9.688,9.188,9.375,1.0565,117600,0.0,1.0
2000-04-24,9.25,9.25,9.063,9.25,1.0424,73100,0.0,1.0
2000-04-25,9.438,9.563,9.375,9.563,1.0777,99400,0.0,1.0
2000-04-26,9.875,10.06,9.75,9.75,1.0988,150100,0.0,1.0
2000-04-27,9.375,9.5,9.25,9.5,1.0706,272500,0.0,1.0
2000-04-28,9.25,9.313,9.188,9.25,1.0424,66900,0.0,1.0
2000-05-01,9.25,9.25,8.813,8.813,0.9932,150600,0.0,1.0
2000-05-02,8.5,8.5,8.313,8.5,1.0069,24200,0.435,1.0
2000-05-03,8.563,8.563,8.125,8.125,0.9625,28300,0.0,1.0
2000-05-04,8.063,8.125,7.938,8.063,0.9552,53100,0.0,1.0
2000-05-05,8.125,9.0,8.125,9.0,1.0662,137100,0.0,1.0
2000-05-08,9.0,9.125,8.875,8.938,1.0588,128100,0.0,1.0
2000-05-09,8.75,8.75,8.625,8.688,1.0292,79000,0.0,1.0
2000-05-10,8.75,8.875,8.688,8.75,1.0366,124500,0.0,1.0
2000-05-11,8.75,8.938,8.75,8.875,1.0514,335500,0.0,1.0
2000-05-12,8.938,9.125,8.875,9.0,1.0662,209300,0.0,1.0
2000-05-15,9.875,10.31,9.875,10.31,1.2214,119000,0.0,1.0
2000-05-16,10.0,10.31,9.875,10.31,1.2214,116500,0.0,1.0
2000-05-17,10.31,10.44,10.25,10.44,1.2368,89500,0.0,1.0
2000-05-18,10.31,10.44,10.25,10.31,1.2214,87500,0.0,1.0
2000-05-19,10.0,10.19,9.875,10.13,1.2,61300,0.0,1.0
2000-05-22,10.13,10.25,9.813,10.25,1.2143,324700,0.0,1.0
2000-05-23,10.13,10.13,9.938,10.0,1.1846,81400,0.0,1.0
2000-05-24,10.0,10.25,10.0,10.25,1.2143,93000,0.0,1.0
2000-05-25,10.13,10.13,9.875,10.0,1.1846,99400,0.0,1.0
2000-05-26,9.063,9.563,9.063,9.563,1.1329,88500,0.0,1.0
2000-05-30,9.563,9.875,9.5,9.875,1.1698,247300,0.0,1.0
2000-05-31,9.75,9.938,9.75,9.813,1.1625,135500,0.0,1.0
2000-06-01,10.0,10.25,10.0,10.19,1.2071,89900,0.0,1.0
2000-06-02,10.25,10.75,10.25,10.63,1.2593,51400,0.0,1.0
2000-06-05,10.19,11.06,10.13,10.88,1.2889,274000,0.0,1.0
2000-06-06,10.75,10.75,10.5,10.5,1.2439,331700,0.0,1.0
2000-06-07,10.5,10.88,10.5,10.69,1.2664,172900,0.0,1.0
