timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-06-17,25.0,25.25,25.0,25.1,7.0192,201000,0.0,1.0
2003-06-18,25.15,25.35,25.05,25.2,7.0471,106900,0.0,1.0
2003-06-19,25.2,25.4,25.2,25.28,7.0695,79700,0.0,1.0
2003-06-20,25.35,25.45,25.2,25.26,7.0639,76000,0.0,1.0
2003-06-23,25.26,25.34,25.15,25.22,7.0527,49900,0.0,1.0
2003-06-24,25.35,25.4,25.15,25.35,7.0891,56700,0.0,1.0
2003-06-25,25.3,25.3,25.1,25.14,7.0304,78300,0.0,1.0
2003-06-26,25.1,25.25,25.05,25.25,7.0611,85200,0.0,1.0
2003-06-27,25.3,25.35,25.1,25.29,7.0723,48000,0.0,1.0
2003-06-30,25.27,25.33,25.15,25.2,7.0471,61000,0.0,1.0
2003-07-01,25.26,25.45,25.16,25.31,7.0779,63600,0.0,1.0
2003-07-02,25.34,25.43,25.25,25.4,7.1031,44600,0.0,1.0
2003-07-03,25.43,25.43,25.25,25.33,7.0835,24200,0.0,1.0
2003-07-07,25.23,25.4,25.1,25.39,7.1003,73300,0.0,1.0
2003-07-08,25.43,25.44,25.22,25.26,7.0639,59700,0.0,1.0
2003-07-09,25.26,25.4,25.15,25.37,7.0947,84200,0.0,1.0
2003-07-10,25.27,25.41,25.16,25.24,7.0583,59400,0.0,1.0
2003-07-11,25.42,25.42,25.2,25.33,7.0835,23600,0.0,1.0
2003-07-14,25.42,25.43,25.2,25.3,7.0751,34000,0.0,1.0
2003-07-15,25.35,25.35,25.2,25.25,7.0611,29200,0.0,1.0
2003-07-16,25.28,25.3,25.01,25.02,6.9968,57200,0.0,1.0
2003-07-17,25.1,25.2,25.0,25.09,7.0164,66300,0.0,1.0
2003-07-18,25.08,25.15,25.0,25.13,7.0276,38400,0.0,1.0
2003-07-21,25.09,25.1,25.0,25.0,6.9912,89000,0.0,1.0
2003-07-22,25.02,25.1,25.0,25.0,6.9912,93900,0.0,1.0
2003-07-23,25.01,25.06,25.0,25.02,6.9968,70200,0.0,1.0
2003-07-24,25.05,25.05,25.0,25.0,6.9912,55800,0.0,1.0
2003-07-25,25.1,25.1,25.0,25.01,6.994,18300,0.0,1.0
2003-07-28,25.0,25.0,24.75,24.76,6.9241,197800,0.0,1.0
2003-07-29,24.75,24.9,24.75,24.75,6.9213,77500,0.0,1.0
2003-07-30,24.75,24.76,24.75,24.76,6.9241,39900,0.0,1.0
2003-07-31,24.75,24.76,24.75,24.75,6.9213,43300,0.0,1.0
2003-08-01,24.7,24.71,23.4,23.62,6.6053,109500,0.0,1.0
2003-08-04,23.87,23.95,23.7,23.84,6.6668,49900,0.0,1.0
2003-08-05,23.85,24.0,23.58,23.84,6.6668,58000,0.0,1.0
2003-08-06,23.95,23.97,23.7,23.96,6.7004,69500,0.0,1.0
2003-08-07,24.0,24.4,23.99,24.3,6.7955,50700,0.0,1.0
2003-08-08,24.2,24.64,24.19,24.64,6.8905,32500,0.0,1.0
2003-08-11,24.44,24.64,24.44,24.55,6.8654,27900,0.0,1.0
2003-08-12,24.56,24.63,24.5,24.5,6.8514,45500,0.0,1.0
2003-08-13,24.5,24.6,24.38,24.38,6.8178,53900,0.0,1.0
2003-08-14,24.1,24.1,23.75,23.9,6.7339,57500,0.18,1.0
2003-08-15,23.81,23.95,23.76,23.88,6.7283,38800,0.0,1.0
2003-08-18,23.8,23.93,23.31,23.35,6.579,84400,0.0,1.0
2003-08-19,23.35,23.63,22.87,23.3,6.5649,110200,0.0,1.0
2003-08-20,23.5,23.7,23.26,23.5,6.6212,67100,0.0,1.0
2003-08-21,23.53,23.85,23.35,23.42,6.5987,55400,0.0,1.0
2003-08-22,23.5,23.6,23.16,23.44,6.6043,37100,0.0,1.0
2003-08-25,23.3,23.35,22.95,23.0,6.4804,66400,0.0,1.0
2003-08-26,22.75,23.05,22.65,22.94,6.4634,98100,0.0,1.0
2003-08-27,22.8,23.12,22.8,23.0,6.4804,52700,0.0,1.0
2003-08-28,22.95,23.02,22.87,23.02,6.486,52500,0.0,1.0
2003-08-29,23.02,23.35,23.02,23.22,6.5423,46700,0.0,1.0
2003-09-02,23.3,23.37,23.21,23.25,6.5508,37700,0.0,1.0
2003-09-03,23.25,23.33,23.05,23.15,6.5226,58700,0.0,1.0
2003-09-04,23.25,23.54,23.15,23.54,6.6325,72100,0.0,1.0
2003-09-05,23.48,23.77,23.48,23.65,6.6635,38600,0.0,1.0
2003-09-08,23.72,24.0,23.72,23.85,6.7198,57100,0.0,1.0
2003-09-09,23.85,24.14,23.8,24.08,6.7846,54500,0.0,1.0
2003-09-10,24.05,24.19,23.85,23.91,6.7367,52600,0.0,1.0
2003-09-11,23.83,24.0,23.6,23.87,6.7762,40100,0.18,1.0
2003-09-12,23.97,24.2,23.9,23.96,6.8017,62000,0.0,1.0
2003-09-15,23.8,23.95,23.25,23.25,6.6002,91700,0.0,1.0
2003-09-16,23.25,23.45,23.25,23.4,6.6428,271200,0.0,1.0
2003-09-17,23.48,23.48,23.31,23.48,6.6655,68900,0.0,1.0
2003-09-18,23.4,23.65,23.32,23.57,6.691,80400,0.0,1.0
2003-09-19,23.47,23.62,23.4,23.5,6.6712,64700,0.0,1.0
2003-09-22,23.61,23.61,23.0,23.02,6.5349,131900,0.0,1.0
2003-09-23,23.13,23.15,22.95,23.05,6.5434,86200,0.0,1.0
2003-09-24,23.12,23.18,22.95,23.11,6.5604,61600,0.0,1.0
2003-09-25,23.02,23.3,23.02,23.3,6.6144,63600,0.0,1.0
2003-09-26,23.24,23.4,23.19,23.39,6.6399,51700,0.0,1.0
2003-09-29,23.39,23.44,23.21,23.44,6.6541,63100,0.0,1.0
2003-09-30,23.38,23.98,23.38,23.81,6.7592,71300,0.0,1.0
2003-10-01,23.9,24.23,23.89,24.06,6.8301,82400,0.0,1.0
2003-10-02,24.15,24.24,24.05,24.1,6.8415,48300,0.0,1.0
2003-10-03,24.2,24.25,23.95,24.05,6.8273,48800,0.0,1.0
2003-10-06,24.0,24.3,23.95,24.19,6.867,35300,0.0,1.0
2003-10-07,24.14,24.32,24.1,24.17,6.8614,66800,0.0,1.0
2003-10-08,24.18,24.3,24.05,24.15,6.8557,63200,0.0,1.0
2003-10-09,23.85,24.29,23.85,24.01,6.867,54800,0.18,1.0
2003-10-10,24.0,24.3,24.0,24.27,6.9414,48400,0.0,1.0
2003-10-13,24.29,24.45,24.25,24.25,6.9357,48000,0.0,1.0
2003-10-14,24.2,24.3,24.11,24.3,6.95,50300,0.0,1.0
2003-10-15,24.15,24.4,23.91,24.02,6.8699,88500,0.0,1.0
2003-10-16,24.2,24.24,24.01,24.01,6.867,65200,0.0,1.0
2003-10-17,23.94,24.15,23.82,23.88,6.8299,59800,0.0,1.0
2003-10-20,23.95,24.18,23.7,23.95,6.8499,58800,0.0,1.0
2003-10-21,24.0,24.13,23.94,24.09,6.8899,58400,0.0,1.0
2003-10-22,24.0,24.18,24.0,24.16,6.9099,51300,0.0,1.0
2003-10-23,24.17,24.3,24.05,24.14,6.9042,56600,0.0,1.0
2003-10-24,24.3,24.4,24.15,24.3,6.95,48800,0.0,1.0
2003-10-27,24.45,24.53,24.16,24.18,6.9157,76600,0.0,1.0
2003-10-28,24.24,24.4,24.1,24.12,6.8985,74000,0.0,1.0
2003-10-29,24.2,24.25,24.1,24.24,6.9328,43500,0.0,1.0
2003-10-30,24.25,24.5,24.14,24.35,6.9643,77800,0.0,1.0
2003-10-31,24.45,24.54,24.25,24.3,6.95,47500,0.0,1.0
2003-11-03,24.49,24.64,24.3,24.4,6.9786,79200,0.0,1.0
2003-11-04,24.45,24.7,24.33,24.63,7.0444,64500,0.0,1.0
2003-11-05,24.6,24.74,24.41,24.74,7.0758,59000,0.0,1.0
2003-11-06,24.7,24.74,24.54,24.7,7.0644,41000,0.0,1.0
2003-11-07,24.65,24.85,24.63,24.75,7.0787,64200,0.0,1.0
2003-11-10,24.77,24.78,24.53,24.65,7.0501,66900,0.0,1.0
2003-11-11,24.6,24.78,24.6,24.6,7.0358,48600,0.0,1.0
2003-11-12,24.63,24.85,24.63,24.67,7.0558,73000,0.0,1.0
2003-11-13,24.7,24.71,24.36,24.44,7.0415,59500,0.18,1.0
2003-11-14,24.44,24.5,24.32,24.5,7.0588,63300,0.0,1.0
2003-11-17,24.65,24.65,24.36,24.45,7.0444,58400,0.0,1.0
2003-11-18,24.4,24.5,24.16,24.16,6.9608,91800,0.0,1.0
2003-11-19,24.26,24.43,24.19,24.38,7.0242,82500,0.0,1.0
2003-11-20,24.4,24.43,24.2,24.28,6.9954,74800,0.0,1.0
2003-11-21,24.35,24.35,24.21,24.3,7.0012,65500,0.0,1.0
2003-11-24,24.4,24.41,24.15,24.16,6.9608,81200,0.0,1.0
2003-11-25,24.24,24.38,24.18,24.35,7.0156,77300,0.0,1.0
2003-11-26,24.32,24.5,24.25,24.5,7.0588,56800,0.0,1.0
2003-11-28,24.55,24.75,24.47,24.72,7.1222,17200,0.0,1.0
2003-12-01,24.85,24.85,24.57,24.72,7.1222,58700,0.0,1.0
2003-12-02,24.79,24.81,24.45,24.5,7.0588,89000,0.0,1.0
2003-12-03,24.57,24.62,24.38,24.45,7.0444,98100,0.0,1.0
2003-12-04,24.48,24.55,24.4,24.4,7.03,76300,0.0,1.0
2003-12-05,24.55,24.59,24.39,24.39,7.0271,96500,0.0,1.0
2003-12-08,24.4,24.58,24.39,24.5,7.0588,66500,0.0,1.0
2003-12-09,24.45,24.68,24.45,24.63,7.0962,78900,0.0,1.0
2003-12-10,24.53,24.8,24.53,24.63,7.0962,104800,0.0,1.0
2003-12-11,24.42,24.58,24.42,24.45,7.0962,74200,0.18,1.0
2003-12-12,24.45,24.69,24.43,24.51,7.1137,88200,0.0,1.0
2003-12-15,24.7,24.73,24.51,24.62,7.1456,80900,0.0,1.0
2003-12-16,24.78,24.89,24.62,24.74,7.1804,131200,0.0,1.0
2003-12-17,24.88,24.88,24.65,24.74,7.1804,95800,0.0,1.0
2003-12-18,24.88,24.94,24.7,24.7,7.1688,133300,0.0,1.0
2003-12-19,24.85,24.93,24.72,24.89,7.2239,120600,0.0,1.0
2003-12-22,24.9,24.97,24.83,24.96,7.2443,106600,0.0,1.0
2003-12-23,24.98,24.98,24.88,24.95,7.2414,79800,0.0,1.0
2003-12-24,24.94,24.98,24.86,24.93,7.2356,34500,0.0,1.0
2003-12-26,24.96,24.99,24.82,24.83,7.2065,31800,0.0,1.0
2003-12-29,24.93,24.99,24.84,24.93,7.2356,77000,0.0,1.0
2003-12-30,24.96,24.99,24.86,24.99,7.253,69700,0.0,1.0
2003-12-31,24.98,25.0,24.89,25.0,7.2559,48700,0.0,1.0
2004-01-02,25.0,25.0,24.92,24.99,7.253,51700,0.0,1.0
2004-01-05,24.99,24.99,24.91,24.92,7.2327,91800,0.0,1.0
2004-01-06,24.99,24.99,24.86,24.94,7.2385,72800,0.0,1.0
2004-01-07,24.94,24.94,24.82,24.86,7.2152,101400,0.0,1.0
2004-01-08,24.86,24.97,24.83,24.97,7.2472,108700,0.0,1.0
2004-01-09,24.92,25.0,24.92,24.93,7.2356,112400,0.0,1.0
2004-01-12,24.92,25.0,24.92,25.0,7.2559,112700,0.0,1.0
2004-01-13,24.97,25.05,24.96,25.05,7.2704,160000,0.0,1.0
2004-01-14,25.05,25.19,24.97,25.11,7.2878,131200,0.0,1.0
2004-01-15,25.06,25.09,24.94,24.94,7.2907,116100,0.18,1.0
2004-01-16,24.95,25.0,24.85,24.93,7.2878,106100,0.0,1.0
2004-01-20,24.99,25.09,24.88,24.9,7.279,125300,0.0,1.0
2004-01-21,24.9,25.04,24.88,25.04,7.3199,115200,0.0,1.0
2004-01-22,25.0,25.08,24.94,25.08,7.3316,127200,0.0,1.0
2004-01-23,25.08,25.08,24.92,24.99,7.3053,99900,0.0,1.0
2004-01-26,24.99,25.01,24.9,24.99,7.3053,112200,0.0,1.0
2004-01-27,24.92,24.99,24.76,24.82,7.2556,141700,0.0,1.0
2004-01-28,24.89,24.92,24.74,24.87,7.2702,82700,0.0,1.0
2004-01-29,24.91,24.91,24.77,24.83,7.2585,72400,0.0,1.0
2004-01-30,24.83,24.97,24.83,24.87,7.2702,92300,0.0,1.0
2004-02-02,24.98,24.98,24.82,24.93,7.2878,105700,0.0,1.0
2004-02-03,24.95,24.99,24.9,24.97,7.2995,112600,0.0,1.0
2004-02-04,24.97,24.99,24.92,24.95,7.2936,71200,0.0,1.0
2004-02-05,24.93,25.0,24.93,24.98,7.3024,76900,0.0,1.0
2004-02-06,24.96,25.0,24.95,24.96,7.2965,75000,0.0,1.0
2004-02-09,25.0,25.0,24.92,24.97,7.2995,81400,0.0,1.0
2004-02-10,24.99,25.05,24.92,24.98,7.3024,79000,0.0,1.0
2004-02-11,25.0,25.11,24.97,25.11,7.3404,115000,0.0,1.0
2004-02-12,24.98,24.99,24.91,24.93,7.3404,71700,0.18,1.0
2004-02-13,24.98,24.98,24.85,24.95,7.3463,71900,0.0,1.0
2004-02-17,25.0,25.0,24.87,24.96,7.3492,103000,0.0,1.0
2004-02-18,25.0,25.0,24.85,24.97,7.3522,88100,0.0,1.0
2004-02-19,25.0,25.05,24.92,25.05,7.3757,60500,0.0,1.0
2004-02-20,25.0,25.13,24.95,25.02,7.3669,68200,0.0,1.0
