timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,15.69,15.88,15.44,15.88,4.2004,141500,0.0,1.0
2000-01-04,15.75,15.94,15.44,15.5,4.0999,158200,0.0,1.0
2000-01-05,15.5,16.0,15.5,15.88,4.2004,76000,0.0,1.0
2000-01-06,15.94,16.5,15.81,16.5,4.3644,193800,0.0,1.0
2000-01-07,16.44,17.0,16.44,16.88,4.4649,156800,0.0,1.0
2000-01-10,17.06,17.44,17.0,17.38,4.5972,198700,0.0,1.0
2000-01-11,17.5,17.75,17.44,17.63,4.6633,184300,0.0,1.0
2000-01-12,17.88,17.88,17.5,17.56,4.6448,100000,0.0,1.0
2000-01-13,17.69,17.88,17.5,17.88,4.7295,93200,0.0,1.0
2000-01-14,17.81,18.0,17.31,17.31,4.5787,126700,0.0,1.0
2000-01-18,17.25,17.5,17.13,17.38,4.5972,180500,0.0,1.0
2000-01-19,17.19,17.81,17.19,17.56,4.6448,160900,0.0,1.0
2000-01-20,17.5,17.63,17.38,17.63,4.6633,64800,0.0,1.0
2000-01-21,17.5,17.75,17.25,17.75,4.6951,86000,0.0,1.0
2000-01-24,17.69,17.94,17.5,17.5,4.6289,109100,0.0,1.0
2000-01-25,17.56,17.81,17.5,17.63,4.6633,58300,0.0,1.0
2000-01-26,17.5,17.75,17.5,17.69,4.6792,83500,0.0,1.0
2000-01-27,17.56,18.19,17.5,18.19,4.8115,145300,0.0,1.0
2000-01-28,18.19,18.38,18.13,18.31,4.8432,115800,0.0,1.0
2000-01-31,18.44,18.5,17.88,18.0,4.7612,164800,0.0,1.0
2000-02-01,18.19,18.25,17.94,18.06,4.7771,118000,0.0,1.0
2000-02-02,17.5,18.06,17.38,18.0,4.9067,157500,0.55,1.0
2000-02-03,17.81,18.0,17.69,17.81,4.8549,113800,0.0,1.0
2000-02-04,17.75,17.75,17.38,17.44,4.754,120100,0.0,1.0
2000-02-07,17.5,17.75,17.0,17.19,4.6859,143200,0.0,1.0
2000-02-08,17.13,17.13,16.81,16.88,4.6014,87400,0.0,1.0
2000-02-09,16.75,16.94,16.25,16.5,4.4978,241800,0.0,1.0
2000-02-10,16.38,16.44,16.0,16.06,4.3778,256100,0.0,1.0
2000-02-11,16.13,16.38,16.0,16.06,4.3778,140800,0.0,1.0
2000-02-14,16.13,16.13,16.0,16.0,4.3615,88000,0.0,1.0
2000-02-15,16.06,16.19,15.94,16.06,4.3778,234700,0.0,1.0
2000-02-16,16.0,16.13,15.88,15.88,4.3288,96700,0.0,1.0
2000-02-17,16.06,16.25,16.0,16.13,4.3969,106000,0.0,1.0
2000-02-18,16.06,16.13,15.94,16.0,4.3615,280900,0.0,1.0
