timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,14.625,14.75,14.5,14.6875,5.1203,17100,0.0,1.0
2000-01-04,14.81,14.81,14.69,14.75,5.1421,12700,0.0,1.0
2000-01-05,14.69,14.88,14.69,14.81,5.2014,19300,0.11,1.0
2000-01-06,14.81,14.88,14.75,14.75,5.1803,9200,0.0,1.0
2000-01-07,14.75,14.81,14.69,14.81,5.2014,11700,0.0,1.0
2000-01-10,14.75,14.88,14.75,14.81,5.2014,18900,0.0,1.0
2000-01-11,14.81,14.81,14.75,14.75,5.1803,12400,0.0,1.0
2000-01-12,14.88,14.88,14.63,14.63,5.1382,21600,0.0,1.0
2000-01-13,14.63,14.69,14.63,14.69,5.1592,7700,0.0,1.0
2000-01-14,14.63,14.75,14.63,14.69,5.1592,14700,0.0,1.0
2000-01-18,14.63,15.0,14.63,15.0,5.2681,31800,0.0,1.0
2000-01-19,14.94,15.06,14.88,15.0,5.2681,18800,0.0,1.0
2000-01-20,15.06,15.19,15.0,15.19,5.3348,17900,0.0,1.0
2000-01-21,15.19,15.19,15.06,15.06,5.2892,19600,0.0,1.0
2000-01-24,15.13,15.13,14.88,14.94,5.247,19200,0.0,1.0
2000-01-25,14.94,14.94,14.81,14.88,5.226,10300,0.0,1.0
2000-01-26,14.94,15.06,14.88,15.06,5.2892,10600,0.0,1.0
2000-01-27,15.13,15.13,15.0,15.0,5.2681,5700,0.0,1.0
2000-01-28,15.0,15.25,15.0,15.25,5.3559,17800,0.0,1.0
2000-01-31,15.25,15.44,15.19,15.44,5.4226,12100,0.0,1.0
2000-02-01,15.38,15.44,15.38,15.44,5.4226,5200,0.0,1.0
2000-02-02,15.31,15.38,15.31,15.31,5.4156,16400,0.11,1.0
2000-02-03,15.25,15.31,15.19,15.19,5.3732,10600,0.0,1.0
2000-02-04,15.19,15.25,15.19,15.19,5.3732,7900,0.0,1.0
2000-02-07,15.19,15.25,15.19,15.19,5.3732,6600,0.0,1.0
2000-02-08,15.25,15.38,15.25,15.31,5.4156,8700,0.0,1.0
2000-02-09,15.25,15.38,15.25,15.38,5.4404,15800,0.0,1.0
2000-02-10,15.38,15.5,15.38,15.44,5.4616,17500,0.0,1.0
2000-02-11,15.44,15.5,15.38,15.44,5.4616,11600,0.0,1.0
2000-02-14,15.44,15.56,15.44,15.5,5.4828,9000,0.0,1.0
2000-02-15,15.56,15.63,15.44,15.5,5.4828,20400,0.0,1.0
2000-02-16,15.38,15.81,15.38,15.75,5.5713,44000,0.0,1.0
2000-02-17,15.75,15.81,15.63,15.81,5.5925,21100,0.0,1.0
2000-02-18,15.69,15.69,15.63,15.63,5.5288,8600,0.0,1.0
2000-02-22,15.69,15.75,15.63,15.63,5.5288,11000,0.0,1.0
2000-02-23,15.56,15.56,15.5,15.5,5.4828,16400,0.0,1.0
2000-02-24,15.5,15.63,15.5,15.63,5.5288,21700,0.0,1.0
2000-02-25,15.63,15.63,15.56,15.56,5.5041,3300,0.0,1.0
2000-02-28,15.5,15.56,15.5,15.5,5.4828,9400,0.0,1.0
2000-02-29,15.5,15.63,15.44,15.44,5.4616,20400,0.0,1.0
2000-03-01,15.25,15.31,15.19,15.19,5.4121,11500,0.11,1.0
2000-03-02,15.19,15.19,15.13,15.13,5.3907,6500,0.0,1.0
2000-03-03,15.13,15.19,15.06,15.06,5.3658,9400,0.0,1.0
2000-03-06,15.13,15.13,15.06,15.06,5.3658,6800,0.0,1.0
2000-03-07,15.0,15.0,15.0,15.0,5.3444,2900,0.0,1.0
2000-03-08,15.0,15.06,15.0,15.0,5.3444,5500,0.0,1.0
2000-03-09,15.0,15.0,15.0,15.0,5.3444,3700,0.0,1.0
2000-03-10,15.0,15.06,14.94,14.94,5.323,9700,0.0,1.0
2000-03-13,14.94,15.06,14.94,14.94,5.323,14700,0.0,1.0
2000-03-14,15.0,15.0,14.88,15.0,5.3444,16200,0.0,1.0
2000-03-15,14.94,15.0,14.88,15.0,5.3444,18800,0.0,1.0
2000-03-16,14.94,15.06,14.88,15.06,5.3658,21600,0.0,1.0
2000-03-17,15.0,15.06,15.0,15.0,5.3444,11700,0.0,1.0
2000-03-20,15.06,15.06,15.0,15.0,5.3444,7900,0.0,1.0
2000-03-21,15.0,15.06,14.94,14.94,5.323,21600,0.0,1.0
2000-03-22,15.0,15.0,14.94,14.94,5.323,7900,0.0,1.0
2000-03-23,14.94,15.0,14.88,15.0,5.3444,10300,0.0,1.0
2000-03-24,14.94,15.13,14.94,15.06,5.3658,24000,0.0,1.0
2000-03-27,15.06,15.13,14.94,14.94,5.323,11200,0.0,1.0
2000-03-28,15.0,15.0,14.94,14.94,5.323,8700,0.0,1.0
2000-03-29,14.94,15.0,14.94,14.94,5.323,14100,0.0,1.0
2000-03-30,14.94,15.06,14.94,15.0,5.3444,6200,0.0,1.0
2000-03-31,15.0,15.06,15.0,15.0,5.3444,17700,0.0,1.0
2000-04-03,15.0,15.13,15.0,15.06,5.3658,17900,0.0,1.0
2000-04-04,15.0,15.13,15.0,15.06,5.3658,9500,0.0,1.0
2000-04-05,15.0,15.19,15.0,15.06,5.405,7400,0.11,1.0
2000-04-06,15.06,15.13,15.0,15.06,5.405,12900,0.0,1.0
2000-04-07,15.06,15.13,15.06,15.06,5.405,8600,0.0,1.0
2000-04-10,15.06,15.06,15.06,15.06,5.405,5200,0.0,1.0
2000-04-11,15.13,15.5,15.06,15.19,5.4516,35700,0.0,1.0
2000-04-12,15.19,15.31,15.19,15.25,5.4731,7400,0.0,1.0
2000-04-13,15.25,15.25,15.19,15.25,5.4731,14200,0.0,1.0
2000-04-14,15.31,15.31,15.19,15.31,5.4947,11900,0.0,1.0
2000-04-17,15.31,15.38,15.25,15.38,5.5198,12700,0.0,1.0
2000-04-18,15.31,15.5,15.31,15.44,5.5413,20100,0.0,1.0
2000-04-19,15.38,15.56,15.38,15.44,5.5413,15500,0.0,1.0
2000-04-20,15.44,15.5,15.38,15.5,5.5629,8900,0.0,1.0
2000-04-24,15.5,15.5,15.44,15.44,5.5413,5200,0.0,1.0
2000-04-25,15.5,15.5,15.31,15.31,5.4947,14200,0.0,1.0
2000-04-26,15.31,15.38,15.19,15.31,5.4947,17100,0.0,1.0
2000-04-27,15.31,15.44,15.31,15.44,5.5413,13200,0.0,1.0
2000-04-28,15.38,15.44,15.38,15.38,5.5198,8700,0.0,1.0
2000-05-01,15.38,15.5,15.38,15.44,5.5413,9200,0.0,1.0
2000-05-02,15.56,15.88,15.5,15.75,5.6526,15900,0.0,1.0
2000-05-03,15.69,15.75,15.5,15.63,5.649,8600,0.11,1.0
2000-05-04,15.63,15.75,15.5,15.75,5.6924,16000,0.0,1.0
2000-05-05,15.75,15.75,15.69,15.69,5.6707,11800,0.0,1.0
2000-05-08,15.69,15.69,15.56,15.63,5.649,1500,0.0,1.0
