timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-01-16,16.35,17.09,15.2,17.0,16.5633,648702,0.0,1.0
2015-01-20,17.19,17.35,16.85,17.0,16.5633,23815,0.0,1.0
2015-01-21,16.76,17.258,16.76,17.02,16.5828,18061,0.0,1.0
2015-01-22,16.81,17.5203,16.81,17.15,16.7095,4098,0.0,1.0
2015-01-23,17.1,18.67,17.1,17.95,17.4889,24664,0.0,1.0
2015-01-26,18.05,19.1,18.0,19.0,18.512,25664,0.0,1.0
2015-01-27,19.19,20.3999,19.0,19.1,18.6094,22352,0.0,1.0
2015-01-28,19.15,19.39,19.0,19.03,18.5412,4081,0.0,1.0
2015-01-29,19.18,19.18,19.13,19.17,18.6776,4912,0.0,1.0
2015-01-30,19.1722,19.1724,18.9,19.1,18.6094,6154,0.0,1.0
2015-02-02,19.1,19.1,18.91,18.929,18.4428,2497,0.0,1.0
2015-02-03,18.99,19.1,18.99,19.1,18.6094,6883,0.0,1.0
2015-02-04,19.1,19.17,18.923,19.02,18.5315,12079,0.0,1.0
2015-02-05,19.001,19.15,19.0,19.12,18.6289,9294,0.0,1.0
2015-02-06,19.001,19.15,18.91,19.0,18.512,13231,0.0,1.0
2015-02-09,19.15,19.15,19.0492,19.13,18.6386,1342,0.0,1.0
2015-02-10,19.15,19.15,19.001,19.14,18.6484,5704,0.0,1.0
2015-02-11,19.1485,20.86,19.14,20.55,20.0222,11124,0.0,1.0
2015-02-12,20.7,20.7,20.15,20.47,19.9442,6452,0.0,1.0
2015-02-13,20.55,20.9064,20.55,20.9064,20.3694,706,0.0,1.0
2015-02-17,20.5,20.5,20.09,20.44,19.915,4925,0.0,1.0
2015-02-18,20.258,20.5,20.258,20.49,19.9637,5287,0.0,1.0
2015-02-19,20.23,20.49,20.0,20.3,19.7786,8587,0.0,1.0
2015-02-20,20.3399,20.3499,20.2108,20.2108,19.6917,520,0.0,1.0
2015-02-23,20.2934,20.2934,20.0101,20.1,19.5837,2390,0.0,1.0
2015-02-24,20.12,20.25,20.04,20.23,19.7104,7526,0.0,1.0
2015-02-25,20.39,20.39,20.09,20.25,19.7299,6407,0.0,1.0
2015-02-26,20.174,20.25,20.15,20.15,19.6714,1166,0.04,1.0
2015-02-27,20.17,20.25,20.17,20.24,19.7593,3338,0.0,1.0
2015-03-02,20.35,20.35,19.17,20.09,19.6128,4307,0.0,1.0
2015-03-03,20.25,20.25,19.59,20.15,19.6714,3314,0.0,1.0
2015-03-04,20.2,20.2,19.26,20.19,19.7105,4972,0.0,1.0
2015-03-05,20.2,20.2,19.602,19.715,19.2467,6197,0.0,1.0
2015-03-06,20.1941,21.7,19.6,19.61,19.1442,39838,0.0,1.0
2015-03-09,20.5,20.86,19.61,19.99,19.5152,3854,0.0,1.0
2015-03-10,19.95,19.98,19.65,19.785,19.3151,4729,0.0,1.0
2015-03-11,19.98,20.89,19.65,20.4,19.9155,15485,0.0,1.0
2015-03-12,20.49,20.49,19.654,19.94,19.4664,5230,0.0,1.0
2015-03-13,19.64,19.99,19.64,19.71,19.2419,9831,0.0,1.0
2015-03-16,21.37,21.37,19.61,19.7,19.2321,20375,0.0,1.0
2015-03-17,19.78,20.0,19.7,19.71,19.2419,24472,0.0,1.0
2015-03-18,19.75,20.0,19.71,19.85,19.3785,32758,0.0,1.0
2015-03-19,19.914,19.914,19.5,19.51,19.0466,51895,0.0,1.0
2015-03-20,19.51,20.17,19.5,20.17,19.6909,146230,0.0,1.0
2015-03-23,19.95,20.17,19.8,20.15,19.6714,5712,0.0,1.0
2015-03-24,20.11,20.29,19.65,20.11,19.6324,6408,0.0,1.0
2015-03-25,20.08,20.33,20.08,20.1,19.6226,6796,0.0,1.0
2015-03-26,19.98,20.05,19.83,20.0,19.525,14334,0.0,1.0
2015-03-27,20.11,20.25,20.11,20.25,19.769,9053,0.0,1.0
2015-03-30,20.32,20.33,20.3,20.3299,19.847,1500,0.0,1.0
2015-03-31,20.25,20.25,19.68,19.68,19.2126,945,0.0,1.0
2015-04-01,20.21,20.21,20.16,20.16,19.6812,269,0.0,1.0
2015-04-02,20.18,20.2,20.13,20.13,19.6519,747,0.0,1.0
2015-04-06,20.25,20.32,19.5,20.08,19.6031,2188,0.0,1.0
2015-04-07,19.96,19.96,19.9,19.9,19.4274,629,0.0,1.0
2015-04-08,19.55,20.33,19.5,20.33,19.8471,4513,0.0,1.0
2015-04-09,20.33,20.33,19.57,20.25,19.769,2191,0.0,1.0
2015-04-10,19.5101,20.25,19.5101,20.25,19.769,1758,0.0,1.0
2015-04-13,20.15,20.15,20.1,20.1,19.6226,323,0.0,1.0
2015-04-14,20.06,20.23,20.0,20.23,19.7495,2000,0.0,1.0
2015-04-15,19.8966,20.2,19.8966,20.19,19.7105,1412,0.0,1.0
2015-04-16,19.84,20.08,19.8,20.08,19.6031,1624,0.0,1.0
2015-04-17,20.03,20.23,20.03,20.23,19.7495,300,0.0,1.0
2015-04-20,20.23,20.23,20.23,20.23,19.7495,727,0.0,1.0
2015-04-21,20.16,20.16,20.03,20.05,19.5738,1262,0.0,1.0
2015-04-22,19.67,20.2162,19.5,19.77,19.3004,6295,0.0,1.0
2015-04-23,19.62,19.964,19.55,19.55,19.0857,2766,0.0,1.0
2015-04-24,19.6,19.69,19.6,19.69,19.2223,1131,0.0,1.0
2015-04-27,19.6,19.85,19.5,19.85,19.3785,2842,0.0,1.0
2015-04-28,19.63,19.96,19.63,19.96,19.4859,828,0.0,1.0
2015-04-29,19.51,19.96,19.51,19.96,19.4859,733,0.0,1.0
2015-04-30,19.71,19.897,19.71,19.897,19.4244,460,0.0,1.0
2015-05-01,19.58,19.63,19.5401,19.63,19.1638,776,0.0,1.0
2015-05-04,19.69,19.75,19.5,19.5,19.0369,3772,0.0,1.0
2015-05-05,19.5,19.5,19.5,19.5,19.0369,0,0.0,1.0
2015-05-06,19.5001,19.72,19.5001,19.72,19.2516,996,0.0,1.0
2015-05-07,19.7,19.73,19.52,19.73,19.2614,5225,0.0,1.0
2015-05-08,19.73,19.73,19.6,19.6,19.1345,1207,0.0,1.0
2015-05-11,19.78,19.78,19.658,19.658,19.1911,2408,0.0,1.0
2015-05-12,19.59,19.6399,19.51,19.51,19.0466,9187,0.0,1.0
2015-05-13,19.56,19.73,19.15,19.73,19.2614,19997,0.0,1.0
2015-05-14,19.79,19.79,19.7441,19.7441,19.2752,450,0.0,1.0
2015-05-15,19.62,19.8,19.58,19.8,19.3297,9003,0.0,1.0
2015-05-18,19.7,19.8,19.69,19.75,19.2809,1139,0.0,1.0
2015-05-19,19.7,19.9,19.673,19.9,19.4274,3672,0.0,1.0
2015-05-20,19.94,19.94,19.735,19.9,19.4274,4781,0.0,1.0
2015-05-21,19.52,19.94,19.51,19.94,19.4664,1510,0.0,1.0
2015-05-22,19.94,19.94,19.94,19.94,19.4664,100,0.0,1.0
2015-05-26,19.85,19.9,19.85,19.9,19.4274,209,0.0,1.0
2015-05-27,19.94,19.94,19.534,19.59,19.1247,1785,0.0,1.0
2015-05-28,19.89,19.89,19.85,19.85,19.4176,350,0.04,1.0
2015-05-29,19.85,19.85,19.85,19.85,19.4176,213,0.0,1.0
2015-06-01,19.9,19.9,19.735,19.735,19.3051,1002,0.0,1.0
2015-06-02,19.99,19.99,19.81,19.9499,19.5153,1510,0.0,1.0
2015-06-03,19.9499,19.9499,19.9499,19.9499,19.5153,1487,0.0,1.0
2015-06-04,19.9,19.9,19.9,19.9,19.4665,135,0.0,1.0
2015-06-05,19.55,19.9,19.5,19.5,19.0752,1806,0.0,1.0
2015-06-08,19.94,19.94,19.94,19.94,19.5056,360,0.0,1.0
2015-06-09,20.0,20.0,19.57,19.63,19.2024,1181,0.0,1.0
2015-06-10,19.7622,19.7622,19.61,19.61,19.1828,1119,0.0,1.0
2015-06-11,19.93,19.93,19.54,19.85,19.4176,1081,0.0,1.0
2015-06-12,19.94,19.94,19.57,19.61,19.1828,2578,0.0,1.0
2015-06-15,19.92,19.94,19.88,19.94,19.5056,2932,0.0,1.0
2015-06-16,19.94,19.94,19.94,19.94,19.5056,1584,0.0,1.0
2015-06-17,19.94,19.94,19.6,19.94,19.5056,1426,0.0,1.0
2015-06-18,19.5,19.94,19.5,19.52,19.0948,1544,0.0,1.0
2015-06-19,19.55,19.71,17.9,18.16,17.7644,11786,0.0,1.0
2015-06-22,19.02,19.25,18.65,18.65,18.2437,5659,0.0,1.0
2015-06-23,19.2,19.2,18.6,18.74,18.3318,318,0.0,1.0
2015-06-24,19.08,19.08,19.08,19.08,18.6644,16,0.0,1.0
2015-06-25,19.38,19.38,19.14,19.14,18.7231,191,0.0,1.0
2015-06-26,19.38,19.38,19.38,19.38,18.9578,841,0.0,1.0
2015-06-29,19.0,19.22,18.79,19.0,18.5861,11335,0.0,1.0
2015-06-30,19.21,19.21,19.0,19.0,18.5861,200,0.0,1.0
2015-07-01,19.12,19.12,18.75,18.75,18.3416,150,0.0,1.0
2015-07-02,19.115,19.115,18.89,18.89,18.4785,472,0.0,1.0
2015-07-06,18.85,19.0,18.74,18.74,18.3318,2001,0.0,1.0
2015-07-07,18.74,18.74,18.74,18.74,18.3318,10,0.0,1.0
2015-07-08,18.74,18.74,18.74,18.74,18.3318,7,0.0,1.0
2015-07-09,18.58,18.58,18.18,18.18,17.784,524,0.0,1.0
2015-07-10,18.0,18.079,16.46,17.57,17.1873,2811,0.0,1.0
2015-07-13,18.4695,18.4695,18.46,18.46,18.0579,319,0.0,1.0
2015-07-14,18.92,18.92,18.0,18.27,17.872,2397,0.0,1.0
2015-07-15,19.49,19.49,19.0001,19.0001,18.5862,2361,0.0,1.0
2015-07-16,19.18,19.18,18.0,18.15,17.7546,4460,0.0,1.0
2015-07-17,18.88,18.88,18.88,18.88,18.4687,164,0.0,1.0
2015-07-20,18.52,18.52,17.88,18.35,17.9503,3610,0.0,1.0
2015-07-21,18.35,18.35,18.35,18.35,17.9503,22,0.0,1.0
2015-07-22,18.09,18.09,18.0899,18.0899,17.6958,819,0.0,1.0
2015-07-23,18.491,18.85,18.4,18.73,18.322,1112,0.0,1.0
2015-07-24,18.4,18.4,18.28,18.28,17.8818,373,0.0,1.0
2015-07-27,18.4,18.4,18.24,18.24,17.8427,377,0.0,1.0
2015-07-28,18.4,18.4547,18.22,18.22,17.8231,559,0.0,1.0
2015-07-29,18.25,18.25,17.8901,17.8901,17.5004,2550,0.0,1.0
2015-07-30,17.8901,17.8901,17.8901,17.8901,17.5004,0,0.0,1.0
2015-07-31,18.8,18.8,18.8,18.8,18.3905,151,0.0,1.0
2015-08-03,18.8,18.8,18.8,18.8,18.3905,0,0.0,1.0
2015-08-04,18.53,18.53,18.24,18.25,17.8524,3300,0.0,1.0
2015-08-05,18.25,18.5652,18.01,18.01,17.6177,5260,0.0,1.0
2015-08-06,18.01,18.01,18.01,18.01,17.6177,0,0.0,1.0
2015-08-07,18.8,18.8,18.56,18.56,18.1557,216,0.0,1.0
2015-08-10,18.68,18.68,18.68,18.68,18.2731,200,0.0,1.0
2015-08-11,18.68,18.68,18.68,18.68,18.2731,0,0.0,1.0
2015-08-12,18.62,18.626,17.36,17.95,17.559,1712,0.0,1.0
2015-08-13,18.08,18.45,18.08,18.45,18.0481,607,0.0,1.0
