timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-01-11,100.0,100.0,99.92,99.92,80.4772,1100,0.0,1.0
2007-01-12,99.88,99.93,99.85,99.93,80.4853,1500,0.0,1.0
2007-01-16,99.83,99.83,99.83,99.83,80.4048,600,0.0,1.0
2007-01-17,99.94,99.94,99.81,99.82,80.3967,700,0.0,1.0
2007-01-18,99.84,99.91,99.84,99.91,80.4692,6200,0.0,1.0
2007-01-19,99.86,99.86,99.78,99.8,80.3806,2000,0.0,1.0
2007-01-22,99.9,99.9,99.85,99.85,80.4209,1200,0.0,1.0
2007-01-23,99.75,99.75,99.71,99.71,80.3081,1200,0.0,1.0
2007-01-24,99.75,99.75,99.75,99.75,80.3403,1300,0.0,1.0
2007-01-25,99.66,99.66,99.55,99.55,80.1792,2100,0.0,1.0
2007-01-26,99.53,99.56,99.48,99.56,80.1873,1200,0.0,1.0
2007-01-29,99.6,99.61,99.5,99.53,80.1631,3100,0.0,1.0
2007-01-30,99.61,99.61,99.58,99.58,80.2034,400,0.0,1.0
2007-01-31,99.67,99.84,99.67,99.84,80.4128,3600,0.0,1.0
2007-02-01,99.74,99.74,99.52,99.53,80.3617,1600,0.2466,1.0
2007-02-02,99.55,99.66,99.55,99.58,80.4021,6800,0.0,1.0
2007-02-05,99.71,99.71,99.71,99.71,80.5071,7100,0.0,1.0
2007-02-06,99.67,99.88,99.67,99.88,80.6443,6600,0.0,1.0
2007-02-07,99.95,99.99,99.94,99.99,80.7331,2200,0.0,1.0
2007-02-08,99.97,100.03,99.95,100.03,80.7654,7500,0.0,1.0
2007-02-09,99.81,99.81,99.81,99.81,80.5878,2000,0.0,1.0
2007-02-12,99.8,99.86,99.71,99.73,80.5232,5000,0.0,1.0
2007-02-13,99.8,99.8,99.69,99.69,80.4909,1900,0.0,1.0
2007-02-14,99.89,100.13,99.89,100.12,80.8381,16600,0.0,1.0
2007-02-15,100.24,100.3,100.22,100.27,80.9592,9900,0.0,1.0
2007-02-16,100.29,100.29,100.26,100.28,80.9673,16300,0.0,1.0
2007-02-20,100.24,100.32,100.24,100.27,80.9592,5400,0.0,1.0
2007-02-21,100.3,100.36,100.3,100.36,81.0319,1900,0.0,1.0
2007-02-22,100.21,100.21,100.21,100.21,80.9108,200,0.0,1.0
2007-02-23,100.23,100.47,100.23,100.42,81.0803,13300,0.0,1.0
2007-02-26,100.55,100.62,100.54,100.59,81.2176,1400,0.0,1.0
2007-02-27,100.83,101.27,100.83,101.2,81.7101,12300,0.0,1.0
2007-02-28,101.2,101.2,100.97,101.02,81.5648,126000,0.0,1.0
2007-03-01,100.82,100.95,100.68,100.68,81.5797,48700,0.3585,1.0
2007-03-02,100.92,100.96,100.8385,100.96,81.8066,13600,0.0,1.0
2007-03-05,101.1,101.11,100.96,100.99,81.8309,8500,0.0,1.0
2007-03-06,100.85,101.01,100.8,100.89,81.7499,10200,0.0,1.0
2007-03-07,100.9,101.03,100.9,101.03,81.8633,4600,0.0,1.0
2007-03-08,100.98,101.05,100.967,101.05,81.8795,3500,0.0,1.0
2007-03-09,100.62,100.73,100.62,100.69,81.5878,8400,0.0,1.0
2007-03-12,100.77,100.9,100.77,100.87,81.7337,8300,0.0,1.0
2007-03-13,101.09,101.27,101.05,101.18,81.9849,25200,0.0,1.0
2007-03-14,101.2,101.3,101.14,101.16,81.9687,5000,0.0,1.0
2007-03-15,101.13,101.13,101.05,101.06,81.8876,20500,0.0,1.0
2007-03-16,101.0,101.1,101.0,101.08,81.9038,9500,0.0,1.0
2007-03-19,100.9,100.97,100.89,100.91,81.7661,2000,0.0,1.0
2007-03-20,101.1,101.11,101.06,101.07,81.8957,10100,0.0,1.0
2007-03-21,101.07,101.36,100.99,101.27,82.0578,28000,0.0,1.0
2007-03-22,101.2,101.2,101.05,101.08,81.9038,4300,0.0,1.0
2007-03-23,101.18,101.18,100.98,100.98,81.8228,17400,0.0,1.0
2007-03-26,100.96,101.25,100.96,101.11,81.9282,8200,0.0,1.0
2007-03-27,101.06,101.1,101.03,101.09,81.912,31500,0.0,1.0
2007-03-28,101.23,101.3,101.12,101.12,81.9363,2100,0.0,1.0
2007-03-29,101.0,101.07,101.0,101.01,81.8471,7100,0.0,1.0
2007-03-30,101.05,101.15,100.84,101.0,81.839,27600,0.0,1.0
2007-04-02,100.73,100.73,100.54,100.64,81.8426,25100,0.3644,1.0
2007-04-03,100.51,100.66,100.51,100.55,81.7694,8200,0.0,1.0
2007-04-04,100.78,100.83,100.59,100.79,81.9645,19400,0.0,1.0
2007-04-05,100.74,100.74,100.55,100.62,81.8263,3300,0.0,1.0
2007-04-09,100.1,100.24,100.1,100.22,81.501,6900,0.0,1.0
2007-04-10,100.39,100.3918,100.331,100.35,81.6067,5500,0.0,1.0
2007-04-11,100.46,100.49,100.28,100.34,81.5986,4800,0.0,1.0
2007-04-12,100.33,100.37,100.3,100.32,81.5823,3500,0.0,1.0
2007-04-13,100.34,100.34,100.13,100.21,81.4929,15200,0.0,1.0
2007-04-16,100.25,100.33,100.23,100.28,81.5498,3100,0.0,1.0
2007-04-17,100.45,100.6,100.45,100.6,81.81,2200,0.0,1.0
2007-04-18,100.7,100.77,100.7,100.75,81.932,6300,0.0,1.0
2007-04-19,100.85,100.85,100.65,100.75,81.932,2800,0.0,1.0
2007-04-20,100.65,100.75,100.65,100.72,81.9076,3500,0.0,1.0
2007-04-23,100.71,100.88,100.71,100.86,82.0215,1900,0.0,1.0
2007-04-24,101.05,101.05,101.02,101.03,82.1597,1300,0.0,1.0
2007-04-25,100.94,101.03,100.91,100.92,82.0703,7100,0.0,1.0
2007-04-26,100.89,100.89,100.76,100.76,81.9401,6900,0.0,1.0
2007-04-27,100.77,100.77,100.7,100.76,81.9401,1700,0.0,1.0
2007-04-30,100.93,101.06,100.92,101.06,82.1841,8800,0.0,1.0
2007-05-01,100.78,100.78,100.55,100.63,82.1373,7600,0.3724,1.0
2007-05-02,100.62,100.62,100.53,100.59,82.1046,28400,0.0,1.0
