timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-06-17,6.0,6.5,5.7,5.85,14.625,408300,0.0,1.0
2004-06-18,5.8,5.85,5.7,5.78,14.45,38700,0.0,1.0
2004-06-21,5.78,5.78,5.7,5.7,14.25,42000,0.0,1.0
2004-06-22,5.73,5.85,5.65,5.7,14.25,49600,0.0,1.0
2004-06-23,5.75,5.78,5.65,5.65,14.125,12100,0.0,1.0
2004-06-24,5.65,5.73,5.65,5.7,14.25,55200,0.0,1.0
2004-06-25,5.71,5.73,5.65,5.73,14.325,31200,0.0,1.0
2004-06-28,5.75,5.75,5.6,5.7,14.25,18800,0.0,1.0
2004-06-29,5.6,5.7,5.0,5.1,12.75,42600,0.0,1.0
2004-06-30,5.05,5.05,4.4,4.6,11.5,97000,0.0,1.0
2004-07-01,4.6,4.8,4.5,4.6,11.5,24800,0.0,1.0
2004-07-02,4.7,4.95,4.7,4.7,11.75,17900,0.0,1.0
2004-07-06,4.7,4.9,4.6,4.75,11.875,38800,0.0,1.0
2004-07-07,4.8,4.9,4.8,4.9,12.25,29700,0.0,1.0
2004-07-08,4.85,4.92,4.65,4.75,11.875,30100,0.0,1.0
2004-07-09,4.7,4.85,4.6,4.75,11.875,11500,0.0,1.0
2004-07-12,4.8,4.8,4.7,4.74,11.85,2700,0.0,1.0
2004-07-13,4.6,4.8,4.6,4.7,11.75,16000,0.0,1.0
2004-07-14,4.6,4.62,4.48,4.5,11.25,19500,0.0,1.0
2004-07-15,4.55,4.55,4.2,4.4,11.0,53200,0.0,1.0
2004-07-16,4.45,4.65,4.25,4.25,10.625,15700,0.0,1.0
2004-07-19,4.28,4.4,4.25,4.25,10.625,14800,0.0,1.0
2004-07-20,4.2,4.2,3.5,3.85,9.625,24100,0.0,1.0
2004-07-21,3.85,4.0,3.75,3.75,9.375,38600,0.0,1.0
2004-07-22,3.8,4.05,3.75,4.05,10.125,25600,0.0,1.0
2004-07-23,4.1,4.1,3.9,4.0,10.0,25600,0.0,1.0
2004-07-26,4.1,4.15,4.1,4.15,10.375,6400,0.0,1.0
2004-07-27,4.05,4.15,3.95,3.95,9.875,4000,0.0,1.0
2004-07-28,3.95,3.96,3.95,3.95,9.875,1300,0.0,1.0
2004-07-29,3.95,3.95,3.95,3.95,9.875,0,0.0,1.0
2004-07-30,4.0,4.0,3.95,3.95,9.875,3000,0.0,1.0
2004-08-02,4.0,4.0,3.9,3.9,9.75,4500,0.0,1.0
2004-08-03,3.85,3.85,3.85,3.85,9.625,2500,0.0,1.0
2004-08-04,3.9,3.95,3.85,3.85,9.625,2900,0.0,1.0
2004-08-05,3.85,3.85,3.85,3.85,9.625,300,0.0,1.0
2004-08-06,3.82,3.82,3.55,3.55,8.875,11000,0.0,1.0
2004-08-09,3.65,3.65,3.5,3.5,8.75,11500,0.0,1.0
2004-08-10,3.55,3.8,3.55,3.65,9.125,14700,0.0,1.0
2004-08-11,3.8,4.5,3.8,4.35,10.875,87000,0.0,1.0
2004-08-12,4.4,4.4,3.8,4.05,10.125,26800,0.0,1.0
2004-08-13,4.15,4.15,3.9,3.9,9.75,12200,0.0,1.0
2004-08-16,3.9,3.9,3.9,3.9,9.75,2900,0.0,1.0
2004-08-17,4.0,4.15,3.9,4.15,10.375,23500,0.0,1.0
2004-08-18,4.2,4.49,4.2,4.3,10.75,15200,0.0,1.0
2004-08-19,4.25,4.25,4.15,4.25,10.625,4800,0.0,1.0
2004-08-20,4.2,4.2,4.1,4.1,10.25,6400,0.0,1.0
2004-08-23,4.15,4.2,4.1,4.2,10.5,3700,0.0,1.0
