timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-07-01,20.0,20.05,20.0,20.04,11.925,24690,0.0,1.0
2009-07-02,20.1,20.1,20.01,20.0153,11.9103,33050,0.0,1.0
2009-07-06,20.03,20.04,20.0,20.02,11.9131,27343,0.0,1.0
2009-07-07,20.02,20.03,20.0,20.0,11.9012,31670,0.0,1.0
2009-07-08,20.0,20.06,20.0,20.0,11.9012,40200,0.0,1.0
2009-07-09,20.02,20.04,20.0,20.0,11.9012,24335,0.0,1.0
2009-07-10,20.05,20.05,20.0,20.0,11.9012,12400,0.0,1.0
2009-07-13,20.01,20.01,19.95,20.0,11.9012,45550,0.0,1.0
2009-07-14,20.02,20.02,20.0,20.0,11.9012,38235,0.0,1.0
2009-07-15,20.01,20.01,20.0,20.0,11.9012,16970,0.0,1.0
2009-07-16,20.0,20.01,20.0,20.0,11.9012,35150,0.0,1.0
2009-07-17,20.01,20.01,20.0,20.0,11.9012,9900,0.0,1.0
2009-07-20,20.0006,20.01,20.0,20.0,11.9012,17755,0.0,1.0
2009-07-21,20.0,20.02,20.0,20.0,11.9012,14575,0.0,1.0
2009-07-22,20.0,20.02,20.0,20.01,11.9072,26130,0.0,1.0
2009-07-23,20.0,20.01,20.0,20.0,11.9012,3879,0.0,1.0
2009-07-24,20.01,20.02,20.0,20.0,11.9012,66100,0.0,1.0
2009-07-27,20.0,20.02,20.0,20.0,11.9012,101651,0.0,1.0
2009-07-28,20.0,20.05,20.0,20.02,11.9131,158970,0.0,1.0
2009-07-29,20.01,20.03,20.0001,20.03,11.9191,21350,0.0,1.0
2009-07-30,20.03,20.05,20.0,20.04,11.925,12750,0.0,1.0
2009-07-31,20.04,20.12,20.0076,20.05,11.931,14975,0.0,1.0
2009-08-03,20.05,20.15,20.05,20.15,11.9905,16100,0.0,1.0
2009-08-04,20.19,20.87,20.01,20.13,11.9786,67100,0.0,1.0
2009-08-05,20.13,20.1455,20.06,20.1,11.9607,23185,0.0,1.0
2009-08-06,20.1,20.11,20.0,20.01,11.9072,103825,0.0,1.0
2009-08-07,20.03,20.0764,19.98,20.0,11.9012,18850,0.0,1.0
2009-08-10,20.0,20.0,19.35,19.64,11.687,41890,0.0,1.0
2009-08-11,19.64,19.64,19.64,19.64,11.687,24600,0.0,1.0
2009-08-12,19.6,19.7899,19.592,19.6,11.7254,27185,0.1045,1.0
2009-08-13,19.5819,19.61,19.35,19.4,11.6058,34010,0.0,1.0
