timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-08-29,20.0,20.02,20.0,20.0,10.675,29620,0.0,1.0
2011-08-30,20.01,20.02,20.0,20.0,10.675,55300,0.0,1.0
2011-08-31,20.0,20.02,20.0,20.0199,10.6856,31100,0.0,1.0
2011-09-01,20.01,20.01,20.0,20.0,10.675,70734,0.0,1.0
2011-09-02,20.0,20.01,20.0,20.01,10.6803,5075,0.0,1.0
2011-09-06,20.0,20.01,20.0,20.0,10.675,7341,0.0,1.0
2011-09-07,20.04,20.04,20.0,20.0,10.675,24788,0.0,1.0
2011-09-08,20.0,20.01,20.0,20.0,10.675,16900,0.0,1.0
2011-09-09,20.03,20.03,19.93,20.0,10.675,32200,0.0,1.0
2011-09-12,20.0,20.0234,20.0,20.0,10.675,34004,0.0,1.0
2011-09-13,20.02,20.02,20.0,20.0,10.675,6000,0.0,1.0
2011-09-14,20.0,20.01,20.0,20.0,10.675,25400,0.0,1.0
2011-09-15,20.0,20.01,20.0,20.0,10.675,11850,0.0,1.0
2011-09-16,20.0,20.0,20.0,20.0,10.675,34100,0.0,1.0
2011-09-19,20.0,20.01,20.0,20.0,10.675,11360,0.0,1.0
2011-09-20,20.0,20.002,20.0,20.0,10.675,14950,0.0,1.0
2011-09-21,20.0,20.0041,20.0,20.0,10.675,52200,0.0,1.0
2011-09-22,20.0,20.04,19.92,19.95,10.6483,147200,0.0,1.0
2011-09-23,20.0,20.01,20.0,20.0,10.675,88950,0.0,1.0
2011-09-26,20.0,20.003,18.56,18.84,10.0559,351500,0.0,1.0
2011-09-27,18.98,18.98,17.43,17.66,9.426,194271,0.0,1.0
2011-09-28,17.65,17.75,16.5,16.55,8.8336,47595,0.0,1.0
2011-09-29,16.61,16.61,15.9501,16.11,8.5987,71797,0.0,1.0
2011-09-30,16.05,16.15,15.43,15.45,8.2464,89322,0.0,1.0
2011-10-03,15.55,15.55,14.28,14.33,7.6486,203340,0.0,1.0
2011-10-04,14.12,14.15,13.59,14.1,7.5259,279558,0.0,1.0
2011-10-05,14.16,14.76,14.1485,14.75,7.8728,75036,0.0,1.0
2011-10-06,14.6,15.2,14.6,15.12,8.0703,60871,0.0,1.0
2011-10-07,15.01,15.32,15.01,15.28,8.1557,53537,0.0,1.0
2011-10-10,15.35,15.68,15.35,15.62,8.3372,56752,0.0,1.0
2011-10-11,15.54,15.84,15.5399,15.76,8.4119,55210,0.0,1.0
2011-10-12,15.81,15.97,15.81,15.9549,8.5159,60791,0.0,1.0
