timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-09-29,23.58,24.21,21.3,23.4,15.8168,299500,0.0,1.0
2003-09-30,22.95,23.53,21.68,23.5,15.8844,221500,0.0,1.0
2003-10-01,23.55,24.47,23.28,24.151,16.3244,102600,0.0,1.0
2003-10-02,24.28,25.2,24.05,25.0,16.8983,60000,0.0,1.0
2003-10-03,25.21,27.18,25.2,26.04,17.6012,134000,0.0,1.0
2003-10-06,26.11,26.95,25.7,26.2,17.7094,94700,0.0,1.0
2003-10-07,26.52,26.7,25.7,26.08,17.6283,49700,0.0,1.0
2003-10-08,26.07,27.0,25.2,26.9,18.1825,72300,0.0,1.0
2003-10-09,26.94,27.04,25.65,25.66,17.3444,99300,0.0,1.0
2003-10-10,25.66,25.75,24.0,24.28,16.4116,78700,0.0,1.0
2003-10-13,24.16,24.59,23.22,23.83,16.1074,282100,0.0,1.0
2003-10-14,23.88,25.18,23.74,24.45,16.5265,143200,0.0,1.0
2003-10-15,24.74,25.0,24.19,24.5,16.5603,163700,0.0,1.0
2003-10-16,25.0,25.35,24.541,25.29,17.0943,62200,0.0,1.0
2003-10-17,24.75,24.75,20.8,21.6,14.6001,1085000,0.0,1.0
2003-10-20,21.66,21.92,19.84,20.02,13.5321,457400,0.0,1.0
2003-10-21,19.84,20.35,19.31,19.6,13.2482,423000,0.0,1.0
2003-10-22,19.5,19.6,18.86,19.111,12.9177,263700,0.0,1.0
2003-10-23,19.1,19.73,18.81,18.9,12.7751,229000,0.0,1.0
2003-10-24,18.87,19.05,18.53,18.7,12.6399,87600,0.0,1.0
2003-10-27,18.8,19.44,18.57,19.21,12.9846,158200,0.0,1.0
2003-10-28,19.55,19.8,18.16,18.26,12.3425,333600,0.0,1.0
2003-10-29,18.3,18.33,17.25,17.42,11.7747,432500,0.0,1.0
2003-10-30,17.7,17.85,16.7,17.0,11.4908,282400,0.0,1.0
2003-10-31,17.0,18.75,16.751,18.6,12.5723,408600,0.0,1.0
2003-11-03,18.6,19.97,18.589,19.56,13.2212,344200,0.0,1.0
2003-11-04,19.79,19.86,18.59,18.63,12.5926,106200,0.0,1.0
2003-11-05,18.58,18.8,18.26,18.34,12.3966,54900,0.0,1.0
2003-11-06,18.4,18.99,18.07,18.64,12.5993,98400,0.0,1.0
2003-11-07,18.69,19.33,18.643,19.24,13.0049,124300,0.0,1.0
2003-11-10,19.8,19.8,18.9,19.2,12.9779,109100,0.0,1.0
2003-11-11,19.32,19.47,18.58,18.58,12.5588,83500,0.0,1.0
2003-11-12,18.8,18.9,18.26,18.39,12.4304,76200,0.0,1.0
2003-11-13,18.35,18.4,17.8,18.25,12.3357,101700,0.0,1.0
2003-11-14,18.18,18.4,17.4,17.51,11.8355,134800,0.0,1.0
2003-11-17,17.41,17.56,17.0,17.2,11.626,85800,0.0,1.0
2003-11-18,17.35,17.56,17.14,17.23,11.6463,94800,0.0,1.0
2003-11-19,17.29,17.55,17.1,17.19,11.6192,83200,0.0,1.0
2003-11-20,17.15,17.24,17.0,17.01,11.4976,203100,0.0,1.0
2003-11-21,17.15,17.15,15.1,15.5,10.4769,766900,0.0,1.0
2003-11-24,15.69,17.58,15.33,17.18,11.6125,347100,0.0,1.0
2003-11-25,17.34,18.12,17.05,17.6,11.8964,363900,0.0,1.0
2003-11-26,17.79,17.85,17.12,17.4,11.7612,278900,0.0,1.0
2003-11-28,17.35,17.75,17.15,17.5,11.8288,52000,0.0,1.0
2003-12-01,17.46,18.75,17.4,18.72,12.6534,146400,0.0,1.0
2003-12-02,18.66,19.48,18.56,19.0,12.8427,271400,0.0,1.0
2003-12-03,19.55,20.19,19.5,19.65,13.282,336300,0.0,1.0
2003-12-04,19.65,19.69,17.55,18.34,12.3966,285800,0.0,1.0
2003-12-05,18.2,18.8,18.01,18.78,12.694,116700,0.0,1.0
2003-12-08,18.65,18.9,18.38,18.42,12.4506,110900,0.0,1.0
2003-12-09,18.5,18.7,16.96,16.99,11.4841,188300,0.0,1.0
2003-12-10,16.97,17.19,15.08,15.38,10.3958,315700,0.0,1.0
2003-12-11,15.38,16.18,15.11,16.08,10.869,170600,0.0,1.0
2003-12-12,16.1,16.47,15.9,15.97,10.7946,86900,0.0,1.0
2003-12-15,16.17,16.66,15.25,15.25,10.3079,188300,0.0,1.0
2003-12-16,16.15,17.46,15.81,17.01,11.4976,164000,0.0,1.0
2003-12-17,17.14,17.23,16.55,17.0,11.4908,153200,0.0,1.0
2003-12-18,16.96,17.35,16.94,17.05,11.5246,102400,0.0,1.0
2003-12-19,17.219,17.23,16.99,16.99,11.4841,58100,0.0,1.0
2003-12-22,17.03,17.03,16.08,16.6,11.2204,153300,0.0,1.0
2003-12-23,16.5,17.25,16.27,17.0,11.4908,64100,0.0,1.0
2003-12-24,17.0,17.36,16.7,16.7,11.288,47800,0.0,1.0
2003-12-26,16.62,16.69,16.31,16.41,11.092,43600,0.0,1.0
2003-12-29,16.33,16.55,16.14,16.27,10.9974,107000,0.0,1.0
2003-12-30,16.26,17.0,15.8,16.73,11.3083,181500,0.0,1.0
2003-12-31,16.72,16.89,16.0,16.01,10.8216,233400,0.0,1.0
2004-01-02,16.08,16.2,15.11,15.21,10.2809,285100,0.0,1.0
2004-01-05,15.26,15.4,14.15,14.38,9.7199,522300,0.0,1.0
2004-01-06,14.32,14.72,13.96,14.021,9.4772,633500,0.0,1.0
2004-01-07,14.05,15.13,13.75,14.88,10.0578,1177100,0.0,1.0
2004-01-08,15.23,15.79,15.17,15.7,10.6121,924000,0.0,1.0
2004-01-09,15.67,16.43,15.421,15.86,10.7203,1077900,0.0,1.0
2004-01-12,15.77,15.77,14.92,15.1,10.2065,521600,0.0,1.0
2004-01-13,15.0,15.25,14.23,14.53,9.8213,478700,0.0,1.0
2004-01-14,14.64,15.3,14.44,15.02,10.1525,377100,0.0,1.0
2004-01-15,14.9,15.2,14.52,14.6,9.8686,585100,0.0,1.0
2004-01-16,14.61,15.0,14.55,14.81,10.0105,251500,0.0,1.0
2004-01-20,14.2,14.25,13.25,13.92,9.4089,6365400,0.0,1.0
2004-01-21,14.1,14.25,13.72,13.9,9.3954,1887200,0.0,1.0
2004-01-22,13.9,15.9,13.88,15.54,10.504,3173800,0.0,1.0
2004-01-23,15.59,16.25,15.47,16.25,10.9839,2520500,0.0,1.0
2004-01-26,16.15,16.22,15.28,15.72,10.6256,525000,0.0,1.0
2004-01-27,15.77,16.0,15.51,15.97,10.7946,551000,0.0,1.0
2004-01-28,15.95,16.0,15.07,15.1,10.2065,501800,0.0,1.0
2004-01-29,15.11,15.16,14.25,14.92,10.0849,645900,0.0,1.0
2004-01-30,14.86,15.25,14.3,14.98,10.1254,335200,0.0,1.0
2004-02-02,15.1,15.28,14.82,15.2,10.2741,729400,0.0,1.0
2004-02-03,15.29,15.29,14.6,14.66,9.9091,484900,0.0,1.0
2004-02-04,14.5,14.5,13.98,14.02,9.4765,454600,0.0,1.0
2004-02-05,14.24,14.35,13.26,13.67,9.24,1503500,0.0,1.0
2004-02-06,12.3,12.4,10.51,10.89,7.3609,5354300,0.0,1.0
2004-02-09,11.09,12.0,10.89,12.0,8.1112,1939700,0.0,1.0
2004-02-10,11.1,11.94,10.93,11.94,8.0706,1589300,0.0,1.0
2004-02-11,11.81,12.34,11.7,12.03,8.1314,1195500,0.0,1.0
2004-02-12,12.24,12.88,12.0,12.53,8.4694,1159600,0.0,1.0
2004-02-13,12.56,12.6,12.2,12.41,8.3883,562200,0.0,1.0
2004-02-17,12.61,13.53,12.49,13.25,8.9561,1898100,0.0,1.0
2004-02-18,13.35,13.37,13.07,13.23,8.9426,476200,0.0,1.0
2004-02-19,13.19,13.46,13.113,13.31,8.9966,705900,0.0,1.0
2004-02-20,13.34,13.34,13.05,13.08,8.8412,838200,0.0,1.0
2004-02-23,13.04,13.3,13.0,13.15,8.8885,1289700,0.0,1.0
2004-02-24,13.1,13.25,12.95,13.1,8.8547,494200,0.0,1.0
2004-02-25,13.05,13.24,13.0,13.09,8.8479,935100,0.0,1.0
2004-02-26,13.08,13.1,12.33,12.53,8.4694,466800,0.0,1.0
2004-02-27,12.46,12.77,11.98,12.24,8.2734,531700,0.0,1.0
2004-03-01,12.3,12.76,12.3,12.38,8.368,164700,0.0,1.0
2004-03-02,12.24,12.55,11.9,12.11,8.1855,559100,0.0,1.0
2004-03-03,12.1,12.14,11.94,12.04,8.1382,320400,0.0,1.0
2004-03-04,11.98,12.31,11.96,12.2,8.2463,402800,0.0,1.0
2004-03-05,12.06,12.46,12.06,12.3,8.3139,256000,0.0,1.0
2004-03-08,12.35,12.5,12.12,12.21,8.2531,159200,0.0,1.0
2004-03-09,12.18,12.26,11.9,11.95,8.0774,341200,0.0,1.0
2004-03-10,11.95,12.17,11.84,11.95,8.0774,365800,0.0,1.0
2004-03-11,11.98,12.44,11.7,12.07,8.1585,1006700,0.0,1.0
2004-03-12,12.18,12.36,11.99,12.31,8.3207,793100,0.0,1.0
2004-03-15,12.2,12.2,11.95,11.95,8.0774,452200,0.0,1.0
2004-03-16,12.1,12.38,11.9,12.11,8.1855,770600,0.0,1.0
2004-03-17,12.1,12.54,12.1,12.49,8.4424,451800,0.0,1.0
2004-03-18,12.3,12.58,11.87,12.12,8.1923,167700,0.0,1.0
2004-03-19,12.15,12.15,11.65,11.76,7.9489,321300,0.0,1.0
2004-03-22,11.72,11.72,10.91,11.2,7.5704,644200,0.0,1.0
2004-03-23,11.24,11.75,11.16,11.58,7.8273,629900,0.0,1.0
2004-03-24,11.52,11.53,10.97,11.05,7.469,605300,0.0,1.0
2004-03-25,11.05,11.23,10.77,11.06,7.4758,532500,0.0,1.0
2004-03-26,11.05,11.06,10.58,10.7,7.2325,985900,0.0,1.0
2004-03-29,10.83,11.7,10.83,11.46,7.7462,976500,0.0,1.0
2004-03-30,11.45,11.49,10.75,11.04,7.4623,449600,0.0,1.0
2004-03-31,11.03,11.03,10.66,10.93,7.3879,470200,0.0,1.0
2004-04-01,10.58,10.74,10.3,10.51,7.104,1236800,0.0,1.0
2004-04-02,10.8,12.19,10.72,11.8,7.976,2298300,0.0,1.0
2004-04-05,11.74,12.33,11.59,12.06,8.1517,850900,0.0,1.0
2004-04-06,12.05,12.2,11.9,11.96,8.0841,298400,0.0,1.0
2004-04-07,11.9,13.06,11.9,12.73,8.6046,1310900,0.0,1.0
2004-04-08,13.5,13.89,12.95,13.26,8.9628,2368500,0.0,1.0
2004-04-12,13.5,13.75,13.26,13.37,9.0372,795500,0.0,1.0
2004-04-13,13.5,13.5,13.0,13.09,8.8479,864300,0.0,1.0
2004-04-14,12.99,13.35,12.82,13.1,8.8547,531300,0.0,1.0
2004-04-15,13.1,13.15,12.64,12.92,8.733,659800,0.0,1.0
2004-04-16,12.86,12.94,12.41,12.49,8.4424,412300,0.0,1.0
2004-04-19,12.495,12.82,12.39,12.49,8.4424,339100,0.0,1.0
2004-04-20,12.62,12.69,12.19,12.22,8.2599,361700,0.0,1.0
2004-04-21,12.2,12.7,12.16,12.5,8.4491,569100,0.0,1.0
2004-04-22,12.5,12.54,12.25,12.39,8.3748,630700,0.0,1.0
2004-04-23,12.25,12.425,11.85,12.24,8.2734,1067700,0.0,1.0
2004-04-26,12.35,12.55,12.15,12.2,8.2463,651300,0.0,1.0
2004-04-27,11.91,12.78,11.4,12.44,8.4086,2142500,0.0,1.0
2004-04-28,12.45,12.5,11.71,11.83,7.9963,692900,0.0,1.0
2004-04-29,11.85,12.03,11.1,11.25,7.6042,705500,0.0,1.0
2004-04-30,11.26,11.39,10.53,10.6,7.1649,1118900,0.0,1.0
2004-05-03,10.62,11.07,10.49,11.0,7.4352,787800,0.0,1.0
2004-05-04,10.99,11.48,10.97,11.37,7.6853,625000,0.0,1.0
2004-05-05,11.52,11.57,11.08,11.36,7.6786,352700,0.0,1.0
2004-05-06,11.2,11.5,11.12,11.42,7.7191,1095800,0.0,1.0
2004-05-07,11.22,11.73,11.14,11.52,7.7867,527400,0.0,1.0
2004-05-10,11.45,11.45,10.93,11.4,7.7056,760000,0.0,1.0
2004-05-11,11.49,11.9,11.38,11.81,7.9827,556200,0.0,1.0
2004-05-12,11.66,11.69,11.04,11.41,7.7124,456300,0.0,1.0
2004-05-13,11.1,11.44,11.02,11.15,7.5366,316800,0.0,1.0
2004-05-14,11.05,11.16,10.5,10.76,7.273,424400,0.0,1.0
2004-05-17,10.65,10.68,10.38,10.54,7.1243,675800,0.0,1.0
2004-05-18,10.66,10.81,10.27,10.4,7.0297,610000,0.0,1.0
2004-05-19,10.6,10.95,10.48,10.91,7.3744,627200,0.0,1.0
2004-05-20,10.93,11.0,10.38,10.59,7.1581,382300,0.0,1.0
2004-05-21,10.64,10.85,10.58,10.68,7.2189,393100,0.0,1.0
2004-05-24,10.83,10.85,10.43,10.74,7.2595,606300,0.0,1.0
2004-05-25,10.77,10.95,10.63,10.92,7.3812,296400,0.0,1.0
2004-05-26,10.8,11.14,10.6,11.02,7.4487,413700,0.0,1.0
2004-05-27,11.81,12.34,11.1,11.34,7.665,1649900,0.0,1.0
2004-05-28,11.2,11.5,10.96,11.26,7.611,431200,0.0,1.0
2004-06-01,11.2,11.2,10.13,10.45,7.0635,955000,0.0,1.0
2004-06-02,10.6,10.63,9.81,10.18,6.881,1255500,0.0,1.0
2004-06-03,10.15,10.67,10.04,10.36,7.0026,648500,0.0,1.0
2004-06-04,10.49,10.86,10.36,10.42,7.0432,501000,0.0,1.0
2004-06-07,10.41,10.7,10.4,10.59,7.1581,912500,0.0,1.0
2004-06-08,10.62,10.62,10.34,10.42,7.0432,412600,0.0,1.0
2004-06-09,10.42,10.45,10.04,10.04,6.7863,764600,0.0,1.0
2004-06-10,10.15,10.15,9.8,10.14,6.8539,635500,0.0,1.0
2004-06-14,9.64,10.14,9.63,9.86,6.6647,435600,0.0,1.0
2004-06-15,9.99,10.19,9.69,9.88,6.6782,874400,0.0,1.0
2004-06-16,9.8,9.97,9.61,9.88,6.6782,402900,0.0,1.0
2004-06-17,9.79,9.99,9.75,9.9,6.6917,391600,0.0,1.0
2004-06-18,10.0,10.23,9.88,10.23,6.9148,481400,0.0,1.0
2004-06-21,10.19,10.3,10.0,10.08,6.8134,345800,0.0,1.0
2004-06-22,10.04,10.15,9.97,10.07,6.8066,374200,0.0,1.0
2004-06-23,10.07,10.69,10.01,10.66,7.2054,713600,0.0,1.0
2004-06-24,10.64,10.66,10.41,10.54,7.1243,353700,0.0,1.0
2004-06-25,10.59,10.83,10.19,10.62,7.1784,2768300,0.0,1.0
2004-06-28,10.6,10.68,10.24,10.44,7.0567,447300,0.0,1.0
2004-06-29,10.41,10.63,10.27,10.4,7.0297,303000,0.0,1.0
2004-06-30,10.45,10.62,10.29,10.59,7.1581,585800,0.0,1.0
2004-07-01,7.66,8.0,6.75,6.91,4.6707,8929500,0.0,1.0
2004-07-02,6.9,6.94,6.56,6.69,4.522,1841100,0.0,1.0
2004-07-06,6.74,6.76,5.83,5.96,4.0285,4143300,0.0,1.0
2004-07-07,6.0,6.15,5.76,6.03,4.0759,2008000,0.0,1.0
2004-07-08,6.0,6.29,5.9,6.19,4.184,2534000,0.0,1.0
2004-07-09,6.26,6.35,6.11,6.28,4.2448,1476500,0.0,1.0
2004-07-12,6.26,6.3,6.0,6.09,4.1164,880700,0.0,1.0
2004-07-13,6.22,6.25,5.97,6.04,4.0826,493400,0.0,1.0
2004-07-14,6.03,6.17,5.88,5.96,4.0285,513900,0.0,1.0
2004-07-15,6.02,6.06,5.77,5.89,3.9812,660500,0.0,1.0
2004-07-16,5.94,5.97,5.6,5.69,3.846,537600,0.0,1.0
2004-07-19,5.91,6.03,5.5,5.55,3.7514,1058100,0.0,1.0
2004-07-20,5.65,5.76,5.55,5.72,3.8663,993500,0.0,1.0
2004-07-21,5.78,5.88,5.55,5.67,3.8325,838100,0.0,1.0
2004-07-22,5.65,5.7,5.36,5.6,3.7852,604300,0.0,1.0
2004-07-23,5.55,5.62,5.42,5.56,3.7582,570200,0.0,1.0
2004-07-26,5.67,5.67,5.36,5.5,3.7176,625300,0.0,1.0
2004-07-27,5.5,5.6,5.25,5.59,3.7784,629800,0.0,1.0
2004-07-28,5.6,5.63,5.09,5.35,3.6162,1715100,0.0,1.0
2004-07-29,5.44,5.53,5.3,5.4,3.65,509400,0.0,1.0
2004-07-30,5.34,5.5,5.26,5.3,3.5824,383700,0.0,1.0
2004-08-02,5.25,5.55,5.1,5.5,3.7176,590300,0.0,1.0
2004-08-03,5.32,5.45,5.0,5.24,3.5419,1732500,0.0,1.0
2004-08-04,5.25,5.39,5.19,5.33,3.6027,753400,0.0,1.0
2004-08-05,5.38,5.4,5.07,5.16,3.4878,504700,0.0,1.0
2004-08-06,5.15,5.2,4.96,5.02,3.3932,686300,0.0,1.0
2004-08-09,5.05,5.08,4.87,5.0,3.3797,676400,0.0,1.0
2004-08-10,5.04,5.19,4.99,5.05,3.4134,840100,0.0,1.0
2004-08-11,5.04,5.05,4.75,4.81,3.2512,1521900,0.0,1.0
2004-08-12,4.76,4.96,4.64,4.8,3.2445,1806400,0.0,1.0
2004-08-13,4.9,4.95,4.66,4.78,3.2309,975300,0.0,1.0
2004-08-16,4.91,5.13,4.85,5.08,3.4337,602800,0.0,1.0
2004-08-17,5.09,5.47,5.0,5.47,3.6973,1008100,0.0,1.0
2004-08-18,5.36,5.8,5.34,5.71,3.8596,972700,0.0,1.0
2004-08-19,5.76,6.1,5.65,5.98,4.0421,1263900,0.0,1.0
2004-08-20,6.03,6.28,5.95,6.07,4.1029,1425500,0.0,1.0
2004-08-23,6.54,6.67,6.16,6.22,4.2043,1472100,0.0,1.0
2004-08-24,6.26,6.26,5.91,6.06,4.0961,861800,0.0,1.0
2004-08-25,6.1,6.18,6.03,6.15,4.157,654400,0.0,1.0
2004-08-26,6.19,6.19,6.0,6.02,4.0691,451100,0.0,1.0
