timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,17.25,17.25,17.25,17.25,15.3543,13400,0.0,1.0
2000-01-04,17.66,17.66,17.31,17.31,15.4077,2300,0.0,1.0
2000-01-05,17.63,17.88,17.63,17.88,15.915,600,0.0,1.0
2000-01-06,17.5,17.5,17.13,17.5,15.5768,5600,0.0,1.0
2000-01-07,17.5,17.5,17.5,17.5,15.5768,0,0.0,1.0
2000-01-10,17.63,18.0,17.13,17.13,15.2475,500,0.0,1.0
2000-01-11,17.13,17.5,17.13,17.25,15.3543,2000,0.0,1.0
2000-01-12,17.38,17.75,17.25,17.25,15.3543,5000,0.0,1.0
2000-01-13,17.25,17.25,17.25,17.25,15.3543,400,0.0,1.0
2000-01-14,17.25,17.25,17.13,17.13,15.2475,500,0.0,1.0
2000-01-18,17.25,18.0,17.25,17.25,15.3543,2800,0.0,1.0
2000-01-19,17.13,17.63,17.0,17.38,15.47,2700,0.0,1.0
2000-01-20,17.0,17.0,17.0,17.0,15.1317,1200,0.0,1.0
2000-01-21,17.0,17.88,17.0,17.88,15.915,1800,0.0,1.0
2000-01-24,17.0,17.0,16.75,16.75,14.9092,1500,0.0,1.0
2000-01-25,17.0,17.25,17.0,17.25,15.3543,1700,0.0,1.0
2000-01-26,17.25,17.38,17.0,17.38,15.47,5500,0.0,1.0
2000-01-27,17.25,17.75,17.0,17.75,15.7993,5400,0.0,1.0
2000-01-28,17.75,17.75,17.75,17.75,15.7993,0,0.0,1.0
2000-01-31,17.0,17.0,17.0,17.0,15.1317,300,0.0,1.0
2000-02-01,16.75,16.75,16.75,16.75,14.9092,100,0.0,1.0
2000-02-02,16.5,16.5,16.38,16.38,14.5799,8300,0.0,1.0
2000-02-03,16.38,16.38,16.38,16.38,14.5799,0,0.0,1.0
2000-02-04,16.5,16.5,16.5,16.5,14.6867,800,0.0,1.0
2000-02-07,16.0,16.0,15.0,15.13,13.4673,2400,0.0,1.0
2000-02-08,15.13,15.13,13.5,13.5,12.0164,3600,0.0,1.0
2000-02-09,14.25,14.25,13.5,13.5,12.0164,3900,0.0,1.0
2000-02-10,14.0,14.0,13.5,13.5,12.0164,1300,0.0,1.0
2000-02-11,13.25,13.25,13.0,13.0,11.5713,3100,0.0,1.0
2000-02-14,12.56,12.56,12.0,12.0,10.6812,900,0.0,1.0
2000-02-15,12.31,12.31,11.75,11.75,10.4587,54100,0.0,1.0
2000-02-16,12.69,12.69,12.0,12.5,11.1263,4900,0.0,1.0
2000-02-17,12.75,12.75,12.0,12.0,10.6812,7200,0.0,1.0
2000-02-18,12.13,12.13,11.88,12.0,10.6812,51100,0.0,1.0
2000-02-22,12.38,12.5,11.5,11.75,10.4587,110700,0.0,1.0
2000-02-23,11.5,12.0,11.5,12.0,10.6812,1300,0.0,1.0
2000-02-24,12.0,12.0,11.5,11.5,10.2362,1300,0.0,1.0
2000-02-25,12.0,13.25,12.0,13.25,11.7939,13100,0.0,1.0
2000-02-28,13.25,13.25,11.5,11.5,10.2629,9700,0.03,1.0
2000-02-29,12.25,12.25,11.75,11.75,10.486,1200,0.0,1.0
2000-03-01,11.75,12.06,11.75,12.0,10.7091,8300,0.0,1.0
2000-03-02,12.0,12.0,12.0,12.0,10.7091,100,0.0,1.0
2000-03-03,12.25,12.25,12.25,12.25,10.9322,300,0.0,1.0
2000-03-06,12.0,12.0,12.0,12.0,10.7091,100,0.0,1.0
2000-03-07,12.0,12.25,12.0,12.25,10.9322,1400,0.0,1.0
2000-03-08,12.25,12.25,12.25,12.25,10.9322,0,0.0,1.0
2000-03-09,12.0,12.0,12.0,12.0,10.7091,800,0.0,1.0
2000-03-10,11.63,11.63,10.5,11.25,10.0398,14300,0.0,1.0
2000-03-13,11.25,11.5,11.25,11.25,10.0398,1400,0.0,1.0
2000-03-14,11.25,11.5,11.25,11.5,10.2629,17800,0.0,1.0
2000-03-15,11.25,11.5,11.25,11.5,10.2629,400,0.0,1.0
2000-03-16,11.0,11.38,10.88,11.0,9.8167,33000,0.0,1.0
2000-03-17,11.25,11.25,11.25,11.25,10.0398,1000,0.0,1.0
2000-03-20,10.5,10.5,10.5,10.5,9.3705,3500,0.0,1.0
2000-03-21,10.88,10.88,10.88,10.88,9.7096,500,0.0,1.0
2000-03-22,10.88,10.88,10.88,10.88,9.7096,0,0.0,1.0
2000-03-23,10.75,11.0,10.63,11.0,9.8167,9100,0.0,1.0
2000-03-24,11.0,11.0,11.0,11.0,9.8167,0,0.0,1.0
2000-03-27,10.75,10.75,10.25,10.25,9.1474,7200,0.0,1.0
2000-03-28,10.75,12.5,10.5,12.5,11.1553,18800,0.0,1.0
2000-03-29,13.0,13.0,12.0,13.0,11.6015,4300,0.0,1.0
2000-03-30,12.0,12.75,12.0,12.75,11.3784,3200,0.0,1.0
2000-03-31,12.75,13.25,12.5,13.25,11.8246,4400,0.0,1.0
2000-04-03,12.5,13.25,12.25,12.25,10.9322,4900,0.0,1.0
2000-04-04,12.5,12.5,12.25,12.25,10.9322,5200,0.0,1.0
