timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-10-24,48.45,48.45,48.37,48.4,42.4446,1990,0.0,1.0
2012-10-25,48.65,48.71,48.5,48.71,42.7164,484,0.0,1.0
2012-10-26,48.43,48.43,48.43,48.43,42.4709,200,0.0,1.0
2012-10-31,48.51,48.64,48.35,48.45,42.4884,2900,0.0,1.0
2012-11-01,48.833,48.93,48.72,48.92,42.9006,1895,0.0,1.0
2012-11-02,48.92,48.92,48.6,48.6,42.6199,2996,0.0,1.0
2012-11-05,48.52,48.5499,48.51,48.5499,42.576,742,0.0,1.0
2012-11-06,48.5499,48.5499,48.5499,48.5499,42.576,0,0.0,1.0
2012-11-07,48.51,48.51,48.0,48.26,42.3218,6892,0.0,1.0
2012-11-08,48.0,48.0,47.7799,47.7799,41.9008,2994,0.0,1.0
2012-11-09,47.64,47.91,47.64,47.85,41.9622,5439,0.0,1.0
2012-11-12,48.03,48.03,47.66,47.6615,41.7969,1804,0.0,1.0
2012-11-13,47.66,47.66,47.66,47.66,41.7956,600,0.0,1.0
2012-11-14,47.389,47.389,47.02,47.02,41.2344,3491,0.0,1.0
2012-11-15,47.0,47.0,47.0,47.0,41.2168,300,0.0,1.0
2012-11-16,47.1,47.1,46.461,46.97,41.1905,1923,0.0,1.0
2012-11-19,47.63,47.94,47.63,47.926,42.0289,3118,0.0,1.0
2012-11-20,47.68,47.89,47.68,47.89,41.9973,1412,0.0,1.0
2012-11-21,47.89,47.89,47.89,47.89,41.9973,0,0.0,1.0
2012-11-23,47.89,47.89,47.89,47.89,41.9973,0,0.0,1.0
2012-11-26,48.51,48.74,48.51,48.74,42.7427,1100,0.0,1.0
2012-11-27,48.79,48.8034,48.64,48.8034,42.7983,4230,0.0,1.0
2012-11-28,48.29,48.8,48.278,48.8,42.7953,891,0.0,1.0
2012-11-29,49.32,49.37,49.22,49.22,43.1637,2741,0.0,1.0
2012-11-30,49.459,49.459,49.36,49.37,43.2952,1650,0.0,1.0
2012-12-03,49.67,49.67,49.56,49.56,43.4618,534,0.0,1.0
2012-12-04,49.61,49.61,49.32,49.52,43.4267,7305,0.0,1.0
2012-12-05,49.689,49.85,49.53,49.85,43.7161,6642,0.0,1.0
2012-12-06,49.79,49.8579,49.6,49.61,43.5057,3882,0.0,1.0
2012-12-07,49.92,49.95,49.65,49.9,43.76,20304,0.0,1.0
2012-12-10,49.94,49.975,49.78,49.94,43.7951,3867,0.0,1.0
2012-12-11,50.27,50.3,50.15,50.15,43.9792,1266,0.0,1.0
2012-12-12,50.41,50.69,50.4,50.4,44.1985,1650,0.0,1.0
2012-12-13,50.38,50.4,50.11,50.1899,44.0142,2279,0.0,1.0
2012-12-14,50.37,50.63,50.27,50.41,44.2072,10625,0.0,1.0
2012-12-17,50.15,50.64,50.15,50.56,44.3388,13340,0.0,1.0
2012-12-18,50.66,50.9599,50.66,50.9599,44.8407,3619,0.1724,1.0
2012-12-19,51.32,51.32,51.05,51.05,44.92,42053,0.0,1.0
2012-12-20,51.25,51.36,51.15,51.25,45.096,4540,0.0,1.0
2012-12-21,50.75,50.9499,50.65,50.9,44.788,8749,0.0,1.0
2012-12-24,50.9,51.1,50.84,50.99,44.8672,8035,0.0,1.0
2012-12-26,51.14,51.335,50.954,51.15,45.008,4997,0.0,1.0
2012-12-27,51.28,51.28,50.86,51.18,45.0344,7550,0.0,1.0
2012-12-28,50.96,51.15,50.76,50.76,44.6648,22517,0.0,1.0
2012-12-31,50.98,51.908,50.98,51.908,45.6749,22365,0.0,1.0
2013-01-02,52.31,52.5458,52.11,52.33,46.0463,18364,0.0,1.0
2013-01-03,52.13,52.825,51.86,51.981,45.7392,20704,0.0,1.0
2013-01-04,51.9,52.2199,51.75,52.17,45.9055,23224,0.0,1.0
2013-01-07,51.9,51.99,51.7,51.92,45.6855,65137,0.0,1.0
2013-01-08,51.85,51.85,51.44,51.62,45.4215,25515,0.0,1.0
2013-01-09,51.87,51.96,51.71,51.8912,45.6602,21599,0.0,1.0
2013-01-10,52.38,52.49,52.23,52.47,46.1695,12632,0.0,1.0
2013-01-11,52.47,52.4816,52.23,52.4637,46.1639,30393,0.0,1.0
2013-01-14,52.37,52.56,52.31,52.54,46.2311,21677,0.0,1.0
2013-01-15,52.24,52.45,52.2152,52.398,46.1061,11551,0.0,1.0
2013-01-16,52.14,52.26,52.09,52.2,45.9319,10515,0.0,1.0
2013-01-17,52.54,52.64,52.42,52.63,46.3102,29295,0.0,1.0
2013-01-18,52.64,52.64,52.39,52.41,46.1167,17644,0.0,1.0
2013-01-22,52.54,52.635,52.26,52.52,46.2135,14136,0.0,1.0
2013-01-23,52.46,52.59,52.25,52.42,46.1255,10162,0.0,1.0
2013-01-24,52.55,52.78,52.14,52.51,46.2047,46088,0.0,1.0
