timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-11-13,10.0,10.06,10.0,10.01,8.9133,470721,0.0,1.0
2015-11-16,10.06,10.06,10.0,10.06,8.9578,113733,0.0,1.0
2015-11-17,10.05,10.185,10.05,10.12,9.0112,68114,0.0,1.0
2015-11-18,10.1,10.12,10.06,10.07,8.9667,79863,0.0,1.0
2015-11-19,10.06,10.19,10.06,10.17,9.0557,47168,0.0,1.0
2015-11-20,10.1647,10.2,10.1,10.2,9.0824,73560,0.0,1.0
2015-11-23,10.13,10.2,10.11,10.146,9.0344,80085,0.0,1.0
2015-11-24,10.15,10.2,10.1,10.2,9.0824,113953,0.0,1.0
2015-11-25,10.2,10.2,10.13,10.13,9.0201,95363,0.0,1.0
2015-11-27,10.15,10.15,10.11,10.15,9.0379,14101,0.0,1.0
2015-11-30,10.15,10.15,10.06,10.15,9.0379,115220,0.0,1.0
2015-12-01,10.12,10.19,10.11,10.13,9.0201,26037,0.0,1.0
2015-12-02,10.18,10.19,10.12,10.18,9.0646,81757,0.0,1.0
2015-12-03,10.19,10.5,10.15,10.26,9.1359,101642,0.0,1.0
2015-12-04,10.2,10.2,10.0,10.05,8.9489,331617,0.0,1.0
2015-12-07,10.1,10.18,10.0,10.04,8.94,114078,0.0,1.0
2015-12-08,10.09,10.12,10.0401,10.06,8.9578,91315,0.0,1.0
2015-12-09,10.11,10.18,10.06,10.1,8.9934,55236,0.0,1.0
2015-12-10,10.01,10.15,10.01,10.1399,9.0289,20368,0.0,1.0
2015-12-11,10.078,10.1,10.03,10.05,8.9489,78385,0.0,1.0
2015-12-14,10.0696,10.0745,9.81,10.0,8.9043,246772,0.0,1.0
2015-12-15,10.05,10.05,10.0,10.0199,8.9221,101536,0.0,1.0
2015-12-16,10.0,10.05,10.0,10.01,8.9133,42550,0.0,1.0
2015-12-17,10.0,10.01,10.0,10.01,8.9133,65222,0.0,1.0
2015-12-18,10.049,10.1,10.0,10.0,8.9043,69941,0.0,1.0
2015-12-21,9.98,10.05,9.98,10.0,8.9043,86601,0.0,1.0
2015-12-22,10.04,10.15,10.0147,10.03,8.9311,66491,0.0,1.0
2015-12-23,10.03,10.1,10.0,10.01,8.9133,84432,0.0,1.0
2015-12-24,10.0131,10.05,10.0131,10.04,8.94,17550,0.0,1.0
2015-12-28,10.02,10.07,9.9,9.9,8.8153,67042,0.0,1.0
2015-12-29,10.0,10.2,10.0,10.09,8.9845,77358,0.0,1.0
2015-12-30,10.06,10.14,10.01,10.0329,8.9336,79021,0.0,1.0
2015-12-31,10.01,10.12,9.955,10.078,8.9738,65918,0.0,1.0
