timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,12.56,12.56,12.56,12.56,3.4312,3200,0.0,1.0
2000-01-04,12.69,12.69,12.44,12.44,3.3984,11200,0.0,1.0
2000-01-05,12.44,12.63,12.44,12.5,3.4148,16100,0.0,1.0
2000-01-06,12.44,12.56,12.44,12.5,3.4148,9500,0.0,1.0
2000-01-07,12.5,12.63,12.5,12.56,3.4312,5000,0.0,1.0
2000-01-10,12.63,12.75,12.56,12.56,3.4312,16500,0.0,1.0
2000-01-11,12.56,12.63,12.56,12.56,3.4312,15100,0.0,1.0
2000-01-12,12.63,12.63,12.44,12.44,3.3984,29600,0.0,1.0
2000-01-13,12.5,12.56,12.5,12.56,3.4312,5300,0.0,1.0
2000-01-14,12.5,12.63,12.44,12.5,3.4148,5400,0.0,1.0
2000-01-18,12.44,12.63,12.44,12.5,3.4148,20200,0.0,1.0
2000-01-19,12.5,12.63,12.44,12.5,3.4148,7200,0.0,1.0
2000-01-20,12.5,12.63,12.44,12.5,3.4148,9000,0.0,1.0
2000-01-21,12.5,12.56,12.5,12.5,3.4148,4100,0.0,1.0
2000-01-24,12.63,12.63,12.5,12.5,3.4148,15700,0.0,1.0
2000-01-25,12.5,12.63,12.5,12.63,3.4503,11900,0.0,1.0
2000-01-26,12.69,12.75,12.56,12.56,3.4312,14400,0.0,1.0
2000-01-27,12.44,13.38,12.44,13.38,3.6552,71000,0.0,1.0
2000-01-28,13.25,13.31,13.0,13.0,3.5514,21800,0.0,1.0
2000-01-31,12.94,12.94,12.75,12.81,3.4995,14100,0.0,1.0
2000-02-01,12.81,12.88,12.44,12.5,3.4148,16400,0.0,1.0
2000-02-02,12.5,13.375,12.5,13.375,3.6538,40000,0.0,1.0
2000-02-03,13.25,13.5,13.25,13.44,3.6716,14200,0.0,1.0
2000-02-04,13.44,13.5,13.25,13.38,3.6552,21500,0.0,1.0
2000-02-07,13.44,13.44,13.0,13.0,3.5514,12500,0.0,1.0
