timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-07-28,7.01,7.01,7.01,7.01,35.05,2000,0.0,1.0
2005-07-29,7.0,7.0,7.0,7.0,35.0,20000,0.0,1.0
2005-08-01,7.0,7.0,7.0,7.0,35.0,0,0.0,1.0
2005-08-02,7.0,7.0,7.0,7.0,35.0,0,0.0,1.0
2005-08-03,7.0,7.0,7.0,7.0,35.0,0,0.0,1.0
2005-08-04,7.01,7.01,6.99,7.0,35.0,5500,0.0,1.0
2005-08-05,7.0,7.04,7.0,7.04,35.2,2500,0.0,1.0
2005-08-08,7.03,7.03,7.03,7.03,35.15,2000,0.0,1.0
2005-08-09,7.03,7.03,7.03,7.03,35.15,27000,0.0,1.0
2005-08-10,7.04,7.05,7.02,7.05,35.25,166500,0.0,1.0
2005-08-11,7.05,7.05,7.03,7.04,35.2,125000,0.0,1.0
2005-08-12,7.05,7.05,7.04,7.04,35.2,226000,0.0,1.0
2005-08-15,7.05,7.07,7.04,7.06,35.3,59000,0.0,1.0
2005-08-16,7.05,7.2,7.04,7.15,35.75,34500,0.0,1.0
2005-08-17,7.1,7.1,7.04,7.04,35.2,3500,0.0,1.0
2005-08-18,7.06,7.07,7.06,7.06,35.3,3500,0.0,1.0
2005-08-19,7.06,7.06,7.06,7.06,35.3,0,0.0,1.0
2005-08-22,7.05,7.08,7.03,7.04,35.2,59500,0.0,1.0
2005-08-23,7.05,7.1,7.05,7.06,35.3,2000,0.0,1.0
2005-08-24,7.06,7.07,7.06,7.06,35.3,5000,0.0,1.0
2005-08-25,7.06,7.06,7.06,7.06,35.3,0,0.0,1.0
2005-08-26,7.05,7.05,7.02,7.04,35.2,30000,0.0,1.0
2005-08-29,7.04,7.09,7.04,7.06,35.3,2500,0.0,1.0
2005-08-30,7.05,7.05,7.05,7.05,35.25,500,0.0,1.0
2005-08-31,7.03,7.19,7.03,7.1,35.5,25500,0.0,1.0
2005-09-01,7.06,7.06,7.06,7.06,35.3,1000,0.0,1.0
2005-09-02,7.05,7.05,7.05,7.05,35.25,0,0.0,1.0
2005-09-06,7.04,7.04,7.04,7.04,35.2,3000,0.0,1.0
2005-09-07,7.04,7.04,7.04,7.04,35.2,17000,0.0,1.0
2005-09-08,7.04,7.04,7.03,7.04,35.2,11500,0.0,1.0
2005-09-09,7.03,7.03,7.03,7.03,35.15,12000,0.0,1.0
2005-09-12,7.04,7.04,7.04,7.04,35.2,1000,0.0,1.0
2005-09-13,7.03,7.04,7.02,7.04,35.2,35500,0.0,1.0
2005-09-14,7.04,7.04,7.04,7.04,35.2,2000,0.0,1.0
2005-09-15,7.04,7.09,7.04,7.09,35.45,13000,0.0,1.0
2005-09-16,7.09,7.09,7.05,7.05,35.25,10000,0.0,1.0
2005-09-19,7.05,7.09,7.04,7.09,35.45,3000,0.0,1.0
2005-09-20,7.04,7.04,7.03,7.03,35.15,50500,0.0,1.0
2005-09-21,7.04,7.04,7.04,7.04,35.2,22000,0.0,1.0
2005-09-22,7.04,7.04,7.04,7.04,35.2,10000,0.0,1.0
2005-09-23,7.04,7.04,7.04,7.04,35.2,0,0.0,1.0
2005-09-26,7.04,7.04,7.04,7.04,35.2,0,0.0,1.0
2005-09-27,7.04,7.04,7.04,7.04,35.2,39500,0.0,1.0
2005-09-28,7.04,7.04,7.04,7.04,35.2,0,0.0,1.0
2005-09-29,7.09,7.1,7.09,7.1,35.5,2500,0.0,1.0
2005-09-30,7.12,7.12,7.12,7.12,35.6,2000,0.0,1.0
2005-10-03,7.12,7.12,7.12,7.12,35.6,500,0.0,1.0
2005-10-04,7.1,7.1,7.1,7.1,35.5,19000,0.0,1.0
2005-10-05,7.1,7.1,7.1,7.1,35.5,0,0.0,1.0
2005-10-06,7.12,7.12,7.12,7.12,35.6,12000,0.0,1.0
2005-10-07,7.12,7.12,7.12,7.12,35.6,0,0.0,1.0
2005-10-10,7.12,7.12,7.12,7.12,35.6,0,0.0,1.0
2005-10-11,7.12,7.12,7.12,7.12,35.6,0,0.0,1.0
2005-10-12,7.16,7.16,7.16,7.16,35.8,1500,0.0,1.0
2005-10-13,7.11,7.11,7.11,7.11,35.55,2000,0.0,1.0
2005-10-14,7.11,7.11,7.11,7.11,35.55,0,0.0,1.0
2005-10-17,7.11,7.11,7.11,7.11,35.55,0,0.0,1.0
2005-10-18,7.13,7.13,7.11,7.11,35.55,2500,0.0,1.0
2005-10-19,7.12,7.12,7.12,7.12,35.6,1000,0.0,1.0
2005-10-20,7.12,7.12,7.12,7.12,35.6,1000,0.0,1.0
2005-10-21,7.11,7.12,7.1,7.12,35.6,31000,0.0,1.0
2005-10-24,7.12,7.12,7.12,7.12,35.6,0,0.0,1.0
2005-10-25,7.12,7.12,7.12,7.12,35.6,0,0.0,1.0
2005-10-26,7.12,7.12,7.12,7.12,35.6,0,0.0,1.0
2005-10-27,7.12,7.12,7.12,7.12,35.6,0,0.0,1.0
2005-10-28,7.12,7.12,7.12,7.12,35.6,0,0.0,1.0
2005-10-31,7.12,7.12,7.07,7.07,35.35,17500,0.0,1.0
2005-11-01,7.09,7.1,7.09,7.09,35.45,5500,0.0,1.0
2005-11-02,7.09,7.09,7.09,7.09,35.45,0,0.0,1.0
2005-11-03,7.05,7.05,7.05,7.05,35.25,2500,0.0,1.0
2005-11-04,7.05,7.05,7.05,7.05,35.25,0,0.0,1.0
2005-11-07,7.05,7.05,7.05,7.05,35.25,0,0.0,1.0
2005-11-08,7.05,7.05,7.05,7.05,35.25,0,0.0,1.0
2005-11-09,7.04,7.05,7.04,7.05,35.25,56000,0.0,1.0
2005-11-10,7.05,7.05,7.04,7.04,35.2,47000,0.0,1.0
2005-11-11,7.04,7.04,7.04,7.04,35.2,2000,0.0,1.0
2005-11-14,7.04,7.04,7.04,7.04,35.2,0,0.0,1.0
2005-11-15,7.04,7.04,7.04,7.04,35.2,26000,0.0,1.0
