timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-07-16,10.41,11.55,10.41,11.08,10.5245,2562537,0.0,1.0
2015-07-17,11.47,11.48,9.27,10.02,9.5176,1402608,0.0,1.0
2015-07-20,9.71,10.5,9.38,9.75,9.2612,348917,0.0,1.0
2015-07-21,9.74,10.1,9.7,9.98,9.4796,28959,0.0,1.0
2015-07-22,10.0,10.3799,9.51,9.66,9.1757,131849,0.0,1.0
2015-07-23,9.75,10.0499,9.732,9.76,9.2707,14137,0.0,1.0
2015-07-24,9.81,10.39,9.8,9.97,9.4701,138222,0.0,1.0
2015-07-27,9.78,10.02,9.5,9.7,9.2137,77727,0.0,1.0
2015-07-28,9.6201,10.0,9.5,9.9799,9.4795,46644,0.0,1.0
2015-07-29,9.9301,10.09,9.9301,10.016,9.5138,2605,0.0,1.0
2015-07-30,10.29,10.5,9.8,9.88,9.3847,70053,0.0,1.0
2015-07-31,9.95,10.26,9.87,10.23,9.7171,11430,0.0,1.0
2015-08-03,10.0699,10.15,10.03,10.1016,9.5951,18173,0.0,1.0
2015-08-04,10.01,10.1,10.01,10.01,9.5081,16985,0.0,1.0
2015-08-05,10.05,10.05,10.0,10.0,9.4986,12368,0.0,1.0
2015-08-06,10.0,10.04,9.9,9.9,9.4037,91885,0.0,1.0
2015-08-07,10.04,10.15,9.9,9.92,9.4227,14235,0.0,1.0
2015-08-10,9.9,10.23,9.9,10.14,9.6316,47015,0.0,1.0
2015-08-11,10.02,10.0499,9.9,9.91,9.4132,14419,0.0,1.0
2015-08-12,9.9,10.0499,9.9,9.92,9.4227,20779,0.0,1.0
2015-08-13,10.04,10.23,9.99,10.14,9.6316,16625,0.0,1.0
2015-08-14,10.22,10.23,10.0,10.0599,9.5555,18673,0.0,1.0
2015-08-17,10.021,10.27,9.9,9.93,9.4322,37556,0.0,1.0
2015-08-18,10.0,10.0,9.92,9.92,9.4227,505,0.0,1.0
2015-08-19,10.0,10.14,10.0,10.01,9.5081,10074,0.0,1.0
2015-08-20,10.0,10.19,10.0,10.0,9.4986,6578,0.0,1.0
2015-08-21,10.01,10.01,9.5,9.5,9.0237,26239,0.0,1.0
2015-08-24,8.96,9.3,7.72,7.72,7.333,187445,0.0,1.0
2015-08-25,8.2,9.9,8.2,8.7,8.2638,57776,0.0,1.0
2015-08-26,8.54,8.698,8.19,8.38,7.9599,14948,0.0,1.0
2015-08-27,8.8,10.5,8.8,10.28,9.7646,100252,0.0,1.0
2015-08-28,9.99,10.045,9.87,9.91,9.4132,65550,0.0,1.0
2015-08-31,10.09,10.1,9.15,9.73,9.2422,71998,0.0,1.0
2015-09-01,9.58,9.92,8.91,9.5,9.0237,66442,0.0,1.0
2015-09-02,9.63,10.0,9.08,9.5,9.0237,66350,0.0,1.0
2015-09-03,9.45,9.99,9.15,9.5,9.0237,69196,0.0,1.0
2015-09-04,9.45,10.1,9.29,9.29,8.8242,145429,0.0,1.0
2015-09-08,9.05,10.0,9.0,10.0,9.4986,60489,0.0,1.0
2015-09-09,10.0,10.0,9.34,9.34,8.8717,22283,0.0,1.0
2015-09-10,9.29,9.43,8.5,8.5,8.0738,104574,0.0,1.0
2015-09-11,8.74,9.02,8.5301,8.71,8.2733,29964,0.0,1.0
2015-09-14,8.68,8.68,8.19,8.3301,7.9125,33377,0.0,1.0
2015-09-15,8.42,8.7,8.42,8.57,8.1403,6047,0.0,1.0
2015-09-16,8.748,9.05,8.7001,8.87,8.4253,5712,0.0,1.0
2015-09-17,8.87,8.9299,8.61,8.61,8.1783,7957,0.0,1.0
2015-09-18,8.6196,8.6196,8.19,8.2,7.7889,4595,0.0,1.0
2015-09-21,8.44,8.45,8.084,8.35,7.9314,22352,0.0,1.0
2015-09-22,8.3123,8.45,8.3123,8.44,8.0169,7180,0.0,1.0
2015-09-23,8.44,8.44,8.44,8.44,8.0169,0,0.0,1.0
2015-09-24,8.45,8.81,8.44,8.7,8.2638,2951,0.0,1.0
2015-09-25,8.59,8.59,8.59,8.59,8.1593,170,0.0,1.0
2015-09-28,8.463,8.49,8.28,8.29,7.8744,3785,0.0,1.0
2015-09-29,8.47,8.5283,8.23,8.23,7.8174,7419,0.0,1.0
2015-09-30,8.5,9.8,8.16,9.0,8.5488,110102,0.0,1.0
2015-10-01,9.34,9.34,9.25,9.26,8.7957,1662,0.0,1.0
2015-10-02,9.1,9.1,8.93,8.93,8.4823,3011,0.0,1.0
2015-10-05,9.05,9.21,8.71,9.0,8.5488,14585,0.0,1.0
2015-10-06,8.95,9.49,8.88,9.44,8.9667,7202,0.0,1.0
2015-10-07,9.5,9.62,9.14,9.5399,9.0616,9319,0.0,1.0
2015-10-08,9.73,9.8,9.73,9.8,9.3087,2012,0.0,1.0
2015-10-09,9.59,9.595,9.45,9.45,8.9762,2550,0.0,1.0
2015-10-12,9.36,9.36,9.01,9.12,8.6628,2450,0.0,1.0
2015-10-13,8.99,8.99,8.99,8.99,8.5393,167,0.0,1.0
2015-10-14,9.04,9.13,9.03,9.13,8.6723,500,0.0,1.0
2015-10-15,9.27,9.6,9.27,9.39,8.9192,3984,0.0,1.0
2015-10-16,9.2,9.416,9.2,9.416,8.9439,1160,0.0,1.0
2015-10-19,9.163,9.3,9.163,9.2,8.7388,3804,0.0,1.0
2015-10-20,9.39,9.45,9.1,9.13,8.6723,6132,0.0,1.0
2015-10-21,9.1001,9.1001,9.1001,9.1001,8.6439,300,0.0,1.0
2015-10-22,9.14,9.2,9.14,9.2,8.7388,218,0.0,1.0
2015-10-23,9.0,9.05,8.9118,9.02,8.5678,88158,0.0,1.0
2015-10-26,9.05,9.05,8.86,9.02,8.5678,27321,0.0,1.0
2015-10-27,8.91,9.05,8.91,9.01,8.5583,3404,0.0,1.0
2015-10-28,8.9318,9.0,8.85,8.86,8.4158,10662,0.0,1.0
2015-10-29,9.04,9.04,8.9048,8.94,8.4918,1051,0.0,1.0
2015-10-30,9.0,9.0,8.782,8.83,8.3873,570,0.0,1.0
2015-11-02,8.99,8.99,8.64,8.65,8.2163,13747,0.0,1.0
2015-11-03,8.84,8.84,8.5,8.5001,8.0739,7655,0.0,1.0
2015-11-04,8.5,9.01,8.5,8.85,8.4063,31155,0.0,1.0
2015-11-05,8.6918,8.8,8.69,8.8,8.3588,1613,0.0,1.0
2015-11-06,8.964,9.1065,8.964,9.04,8.5868,4232,0.0,1.0
2015-11-09,9.055,9.1399,9.05,9.06,8.6058,2214,0.0,1.0
2015-11-10,9.119,9.3899,9.119,9.32,8.8527,5200,0.0,1.0
2015-11-11,9.2401,9.26,9.2401,9.26,8.7957,300,0.0,1.0
2015-11-12,9.43,9.5,9.173,9.36,8.8907,22778,0.0,1.0
2015-11-13,9.08,9.08,8.83,8.84,8.3968,4178,0.0,1.0
2015-11-16,9.2,9.58,9.0,9.3,8.8337,61499,0.0,1.0
2015-11-17,9.44,9.91,9.44,9.61,9.1282,95919,0.0,1.0
2015-11-18,9.53,10.0,9.5,9.76,9.2707,187988,0.0,1.0
2015-11-19,9.94,10.4499,9.55,9.6,9.1187,274509,0.0,1.0
2015-11-20,9.7,9.7,9.38,9.47,8.9952,21535,0.0,1.0
2015-11-23,9.33,9.51,9.32,9.34,8.8717,5121,0.0,1.0
2015-11-24,9.14,9.35,9.09,9.21,8.7482,4035,0.0,1.0
2015-11-25,9.37,9.44,9.37,9.43,8.9572,6069,0.0,1.0
2015-11-27,9.64,9.77,9.59,9.68,9.1947,54764,0.0,1.0
2015-11-30,9.8,9.9,9.79,9.8,9.3087,62729,0.0,1.0
2015-12-01,9.8,9.9,9.51,9.58,9.0997,16983,0.0,1.0
2015-12-02,9.67,9.9,9.67,9.85,9.3562,49737,0.0,1.0
2015-12-03,9.69,9.7,9.3701,9.4,8.9287,41611,0.0,1.0
2015-12-04,9.548,9.7,9.548,9.69,9.2042,4341,0.0,1.0
2015-12-07,9.68,9.75,9.68,9.7,9.2137,76843,0.0,1.0
2015-12-08,9.79,9.8,9.69,9.72,9.2327,17606,0.0,1.0
2015-12-09,9.75,9.89,9.74,9.79,9.2992,95776,0.0,1.0
2015-12-10,9.79,9.8899,9.79,9.8,9.3087,1605,0.0,1.0
2015-12-11,9.8,9.8,9.8,9.8,9.3087,1322,0.0,1.0
2015-12-14,9.6036,9.8493,9.5994,9.83,9.3372,2438,0.0,1.0
2015-12-15,9.88,9.88,9.51,9.51,9.0332,7488,0.0,1.0
2015-12-16,9.58,9.58,9.32,9.38,8.9097,1022,0.0,1.0
