timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-03-31,15.1,15.1,15.0,15.08,3.8236,111000,0.0,1.0
2003-04-01,15.08,15.1,15.01,15.01,3.8059,166400,0.0,1.0
2003-04-02,15.07,15.12,15.01,15.12,3.8338,151700,0.0,1.0
2003-04-03,15.12,15.15,15.05,15.15,3.8414,151200,0.0,1.0
2003-04-04,15.15,15.15,15.06,15.09,3.8262,144700,0.0,1.0
2003-04-07,15.14,15.15,15.0,15.1,3.8287,217700,0.0,1.0
2003-04-08,15.1,15.24,15.07,15.23,3.8617,152600,0.0,1.0
2003-04-09,15.18,15.23,15.1,15.23,3.8617,146800,0.0,1.0
2003-04-10,15.23,15.25,15.12,15.2,3.854,150400,0.0,1.0
2003-04-11,15.25,15.3,15.18,15.28,3.8743,141600,0.0,1.0
2003-04-14,15.3,15.3,15.2,15.25,3.8667,126500,0.0,1.0
2003-04-15,15.25,15.25,15.25,15.25,3.8667,209000,0.0,1.0
2003-04-16,15.35,15.4,15.25,15.4,3.9048,206900,0.0,1.0
2003-04-17,15.35,15.42,15.32,15.4,3.9048,175100,0.0,1.0
2003-04-21,15.34,15.4,15.03,15.04,3.8135,448100,0.0,1.0
2003-04-22,15.05,15.13,15.0,15.05,3.816,369500,0.0,1.0
2003-04-23,15.05,15.1,15.0,15.05,3.816,226700,0.0,1.0
2003-04-24,15.05,15.12,15.01,15.04,3.8135,220700,0.0,1.0
2003-04-25,15.1,15.17,15.01,15.14,3.8388,192900,0.0,1.0
2003-04-28,15.18,15.19,15.01,15.06,3.8185,229900,0.0,1.0
2003-04-29,15.1,15.15,15.03,15.15,3.8414,161900,0.0,1.0
2003-04-30,15.02,15.14,15.0,15.12,3.8338,429500,0.0,1.0
2003-05-01,15.15,15.2,15.06,15.1,3.8287,200700,0.0,1.0
2003-05-02,15.1,15.22,15.08,15.15,3.8414,195300,0.0,1.0
2003-05-05,15.15,15.25,15.06,15.2,3.854,223800,0.0,1.0
2003-05-06,15.2,15.25,15.12,15.2,3.854,173100,0.0,1.0
2003-05-07,15.2,15.2,15.2,15.2,3.854,161100,0.0,1.0
2003-05-08,15.18,15.23,15.1,15.15,3.8414,190400,0.0,1.0
2003-05-09,15.2,15.3,15.13,15.3,3.8794,217200,0.0,1.0
2003-05-12,15.32,15.35,15.18,15.35,3.8921,325000,0.0,1.0
2003-05-13,15.35,15.35,15.24,15.3,3.8794,283200,0.0,1.0
2003-05-14,15.25,15.28,15.14,15.19,3.877,266800,0.1005,1.0
2003-05-15,15.19,15.2,15.09,15.15,3.8668,208900,0.0,1.0
2003-05-16,15.17,15.18,15.09,15.11,3.8566,228100,0.0,1.0
2003-05-19,15.2,15.2,15.1,15.17,3.8719,210000,0.0,1.0
2003-05-20,15.17,15.2,15.12,15.2,3.8795,189000,0.0,1.0
2003-05-21,15.21,15.23,15.15,15.17,3.8719,237200,0.0,1.0
2003-05-22,15.2,15.22,15.13,15.15,3.8668,218300,0.0,1.0
2003-05-23,15.18,15.4,15.12,15.35,3.9178,439800,0.0,1.0
2003-05-27,15.37,15.4,15.22,15.24,3.8898,311300,0.0,1.0
2003-05-28,15.23,15.29,15.18,15.22,3.8846,189500,0.0,1.0
2003-05-29,15.29,15.32,15.21,15.25,3.8923,227400,0.0,1.0
2003-05-30,15.29,15.32,15.23,15.32,3.9102,233100,0.0,1.0
2003-06-02,15.32,15.37,15.23,15.28,3.9,242800,0.0,1.0
2003-06-03,15.26,15.39,15.25,15.37,3.9229,207100,0.0,1.0
2003-06-04,15.4,15.43,15.26,15.39,3.928,255800,0.0,1.0
2003-06-05,15.43,15.45,15.34,15.41,3.9331,197900,0.0,1.0
2003-06-06,15.4,15.45,15.33,15.43,3.9382,195200,0.0,1.0
2003-06-09,15.45,15.49,15.34,15.45,3.9434,169800,0.0,1.0
2003-06-10,15.35,15.45,15.35,15.43,3.9382,167200,0.0,1.0
2003-06-11,15.29,15.42,15.28,15.41,3.9588,212700,0.1005,1.0
2003-06-12,15.42,15.47,15.29,15.46,3.9716,279500,0.0,1.0
2003-06-13,15.49,15.51,15.41,15.45,3.9691,258500,0.0,1.0
2003-06-16,15.48,15.49,15.37,15.48,3.9768,265200,0.0,1.0
2003-06-17,15.49,15.5,15.4,15.45,3.9691,315100,0.0,1.0
2003-06-18,15.46,15.46,15.23,15.35,3.9434,233600,0.0,1.0
2003-06-19,15.25,15.37,15.17,15.37,3.9485,177700,0.0,1.0
2003-06-20,15.37,15.37,15.22,15.37,3.9485,151400,0.0,1.0
2003-06-23,15.25,15.37,15.12,15.2,3.9048,279200,0.0,1.0
2003-06-24,15.29,15.32,15.12,15.13,3.8869,200800,0.0,1.0
2003-06-25,15.1,15.25,15.1,15.22,3.91,266100,0.0,1.0
2003-06-26,15.31,15.38,15.21,15.37,3.9485,199500,0.0,1.0
2003-06-27,15.37,15.47,15.35,15.4,3.9562,137700,0.0,1.0
2003-06-30,15.44,15.48,15.31,15.46,3.9716,160400,0.0,1.0
2003-07-01,15.48,15.48,15.38,15.48,3.9768,223000,0.0,1.0
