timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-01-14,19.19,19.45,18.9001,19.05,14.9045,56551,0.0,1.0
2015-01-15,18.19,18.19,17.1,17.3,13.5353,41684,0.0,1.0
2015-01-16,17.05,17.35,16.9,17.16,13.4257,105273,0.0,1.0
2015-01-20,16.95,16.95,16.8559,16.9,13.2223,36197,0.0,1.0
2015-01-21,16.38,16.48,16.24,16.24,12.7059,30641,0.0,1.0
2015-01-22,16.34,17.2,16.31,16.99,13.2927,26342,0.0,1.0
2015-01-23,16.75,16.89,16.295,16.295,12.749,32296,0.0,1.0
2015-01-26,16.55,17.3,16.37,17.3,13.5353,12787,0.0,1.0
2015-01-27,17.17,17.17,17.03,17.06,13.3475,1668,0.0,1.0
2015-01-28,17.5,17.5,17.3381,17.3381,13.5651,729,0.0,1.0
2015-01-29,17.38,17.38,16.51,17.17,13.4336,7751,0.0,1.0
2015-01-30,16.9,17.1,16.9,17.0001,13.3006,7206,0.0,1.0
2015-02-02,16.52,16.7,16.23,16.59,12.9798,39263,0.0,1.0
2015-02-03,16.49,16.59,16.28,16.48,12.8937,4703,0.0,1.0
2015-02-04,16.35,16.35,16.01,16.01,12.526,7439,0.0,1.0
2015-02-05,16.4,16.72,16.4,16.49,12.9015,5053,0.0,1.0
2015-02-06,16.49,16.49,16.49,16.49,12.9015,0,0.0,1.0
2015-02-09,16.12,16.8,16.12,16.37,12.8077,2204,0.0,1.0
2015-02-10,16.69,16.7,16.42,16.61,12.9954,11676,0.0,1.0
2015-02-11,17.0,17.1,17.0,17.1,13.3788,855,0.0,1.0
2015-02-12,17.58,17.68,17.43,17.45,13.6526,3130,0.0,1.0
2015-02-13,17.45,17.45,17.45,17.45,13.6526,0,0.0,1.0
2015-02-17,17.87,17.93,17.87,17.92,14.0204,5100,0.0,1.0
2015-02-18,18.02,18.1885,18.0,18.1885,14.2304,1583,0.0,1.0
2015-02-19,18.19,18.43,18.12,18.24,14.2707,7071,0.0,1.0
2015-02-20,18.24,18.24,18.24,18.24,14.2707,0,0.0,1.0
2015-02-23,18.28,18.4328,18.28,18.4328,14.4216,1460,0.0,1.0
2015-02-24,18.02,18.23,18.02,18.23,14.2629,1129,0.0,1.0
2015-02-25,18.21,18.21,18.21,18.21,14.2472,210,0.0,1.0
2015-02-26,18.21,18.21,18.21,18.21,14.2472,0,0.0,1.0
2015-02-27,18.21,18.21,18.21,18.21,14.2472,1,0.0,1.0
2015-03-02,17.66,17.72,17.66,17.72,13.8639,1636,0.0,1.0
2015-03-03,18.4,18.83,18.4,18.64,14.5837,10405,0.0,1.0
2015-03-04,18.66,18.9383,18.66,18.8834,14.7741,4600,0.0,1.0
2015-03-05,18.8834,18.8834,18.8834,18.8834,14.7741,0,0.0,1.0
2015-03-06,18.6,18.6,18.44,18.54,14.5054,1518,0.0,1.0
2015-03-09,18.6529,18.744,18.595,18.744,14.665,2281,0.0,1.0
2015-03-10,18.34,18.35,18.27,18.27,14.2942,5327,0.0,1.0
2015-03-11,18.2343,18.4,18.2,18.36,14.3646,3140,0.0,1.0
2015-03-12,18.42,18.59,18.37,18.59,14.5446,2111,0.0,1.0
2015-03-13,18.7,18.7,18.7,18.7,14.6306,200,0.0,1.0
2015-03-16,18.8996,18.8996,18.8996,18.8996,14.7868,243,0.0,1.0
2015-03-17,18.8996,18.8996,18.8996,18.8996,14.7868,25,0.0,1.0
2015-03-18,18.5024,18.91,18.41,18.905,14.791,1818,0.0,1.0
2015-03-19,18.48,18.55,17.91,18.21,14.2472,6708,0.0,1.0
2015-03-20,18.05,18.33,18.05,18.3,14.3177,900,0.0,1.0
2015-03-23,18.39,19.3,18.39,19.3,15.1,5178,0.0,1.0
2015-03-24,19.64,19.7439,19.51,19.51,15.2644,3385,0.0,1.0
2015-03-25,18.65,19.1972,18.65,19.14,14.9749,4642,0.0,1.0
2015-03-26,19.02,19.02,18.59,18.9,14.7871,1654,0.0,1.0
2015-03-27,18.9,18.9,18.9,18.9,14.7871,0,0.0,1.0
