timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-03-03,10.5,10.9,10.2,10.79,6.2242,199400,0.0,1.0
2005-03-04,10.74,10.75,10.6,10.74,6.1954,47100,0.0,1.0
2005-03-07,10.74,10.75,10.65,10.72,6.1839,14500,0.0,1.0
2005-03-08,10.75,11.84,10.75,11.499,6.6332,61700,0.0,1.0
2005-03-09,11.5,11.75,10.85,11.1,6.4031,35100,0.0,1.0
2005-03-10,11.78,11.78,11.05,11.2,6.4608,42800,0.0,1.0
2005-03-11,11.289,11.289,10.87,10.95,6.3165,24300,0.0,1.0
2005-03-14,10.97,11.25,10.8,10.86,6.2646,10600,0.0,1.0
2005-03-15,10.85,10.935,10.76,10.78,6.2185,20800,0.0,1.0
2005-03-16,10.95,10.95,10.7,10.8,6.23,25800,0.0,1.0
2005-03-17,10.8,10.8,10.7,10.75,6.2012,6000,0.0,1.0
2005-03-18,10.8,10.9,10.66,10.9,6.2877,7400,0.0,1.0
2005-03-21,10.85,10.94,10.73,10.94,6.3108,4800,0.0,1.0
2005-03-22,10.7,11.0,10.7,11.0,6.3454,9500,0.0,1.0
2005-03-23,11.0,11.0,10.95,11.0,6.3454,4600,0.0,1.0
2005-03-24,10.99,11.0,10.81,11.0,6.3454,5300,0.0,1.0
2005-03-28,11.15,11.15,11.05,11.15,6.4319,6900,0.0,1.0
2005-03-29,11.1,11.11,11.1,11.11,6.4088,3300,0.0,1.0
2005-03-30,11.2,11.2,11.0,11.14,6.4261,9000,0.0,1.0
2005-03-31,11.15,11.24,11.098,11.21,6.4665,6400,0.0,1.0
2005-04-01,11.24,11.24,11.2,11.24,6.4838,2300,0.0,1.0
2005-04-04,11.211,11.211,11.15,11.2,6.4608,4600,0.0,1.0
2005-04-05,11.16,11.19,11.0,11.14,6.4261,7300,0.0,1.0
2005-04-06,11.14,11.14,11.1,11.1,6.4031,3000,0.0,1.0
2005-04-07,11.08,11.14,11.08,11.14,6.4261,900,0.0,1.0
2005-04-08,11.0,11.14,11.0,11.14,6.4261,2500,0.0,1.0
2005-04-11,11.1,11.1,11.02,11.1,6.4031,1000,0.0,1.0
2005-04-12,11.45,11.48,11.14,11.25,6.4896,6800,0.0,1.0
2005-04-13,11.249,11.25,11.249,11.25,6.4896,700,0.0,1.0
2005-04-14,11.25,11.25,11.25,11.25,6.4896,900,0.0,1.0
2005-04-15,11.25,11.25,11.05,11.25,6.4896,1300,0.0,1.0
2005-04-18,11.051,11.25,11.051,11.25,6.4896,2000,0.0,1.0
2005-04-19,11.45,11.45,11.06,11.43,6.5934,5300,0.0,1.0
2005-04-20,11.48,11.48,11.09,11.25,6.4896,11600,0.0,1.0
2005-04-21,11.25,11.25,11.25,11.25,6.4896,3100,0.0,1.0
2005-04-22,11.29,11.34,11.17,11.33,6.5357,3200,0.0,1.0
2005-04-25,11.234,11.33,11.23,11.23,6.4781,900,0.0,1.0
2005-04-26,11.33,11.33,11.32,11.32,6.53,1600,0.0,1.0
2005-04-27,11.4,11.45,11.4,11.45,6.6627,2900,0.1,1.0
