timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-05-01,31.0,31.0,31.0,31.0,10.508,200,0.0,1.0
2001-05-02,31.0,31.0,31.0,31.0,10.508,200,0.0,1.0
2001-05-03,35.0,35.0,35.0,35.0,11.8639,100,0.0,1.0
2001-05-04,35.0,35.0,35.0,35.0,11.8639,200,0.0,1.0
2001-05-07,35.0,35.0,35.0,35.0,11.8639,0,0.0,1.0
2001-05-08,35.0,35.0,35.0,35.0,11.8639,0,0.0,1.0
2001-05-09,35.0,35.0,35.0,35.0,11.8639,0,0.0,1.0
2001-05-10,37.5,37.5,37.5,37.5,12.7113,300,0.0,1.0
2001-05-11,37.5,37.5,37.5,37.5,12.7113,0,0.0,1.0
2001-05-14,37.5,37.5,37.5,37.5,12.7113,0,0.0,1.0
2001-05-15,38.0,38.5,38.0,38.5,13.0503,800,0.0,1.0
2001-05-16,38.0,51.0,38.0,38.5,13.0503,1000,0.0,1.0
2001-05-17,38.5,38.5,38.5,38.5,13.0503,0,0.0,1.0
2001-05-18,38.5,38.5,38.5,38.5,13.0503,0,0.0,1.0
2001-05-21,38.5,38.5,38.5,38.5,13.0503,0,0.0,1.0
2001-05-22,38.5,38.5,38.5,38.5,13.0503,0,0.0,1.0
2001-05-23,38.5,38.5,38.5,38.5,13.0503,0,0.0,1.0
2001-05-24,38.5,38.5,38.5,38.5,13.0503,0,0.0,1.0
2001-05-25,39.0,39.0,39.0,39.0,13.2198,100,0.0,1.0
2001-05-29,39.0,39.0,39.0,39.0,13.2198,0,0.0,1.0
2001-05-30,38.0,38.0,38.0,38.0,12.8808,500,0.0,1.0
2001-05-31,41.0,41.0,41.0,41.0,13.8977,400,0.0,1.0
2001-06-01,41.0,41.0,41.0,41.0,13.8977,0,0.0,1.0
2001-06-04,41.0,41.0,41.0,41.0,13.8977,0,0.0,1.0
2001-06-05,41.0,41.0,41.0,41.0,13.8977,0,0.0,1.0
2001-06-06,41.0,41.0,41.0,41.0,13.8977,0,0.0,1.0
2001-06-07,41.0,41.0,41.0,41.0,13.8977,0,0.0,1.0
2001-06-08,41.0,41.0,41.0,41.0,13.8977,0,0.0,1.0
2001-06-11,41.0,41.0,41.0,41.0,13.8977,0,0.0,1.0
2001-06-12,41.0,41.0,41.0,41.0,13.8977,0,0.0,1.0
2001-06-13,41.0,41.0,41.0,41.0,13.8977,0,0.0,1.0
2001-06-14,41.0,41.0,41.0,41.0,13.8977,0,0.0,1.0
2001-06-15,41.0,41.0,41.0,41.0,13.8977,0,0.0,1.0
2001-06-18,45.0,45.0,45.0,45.0,15.2536,200,0.0,1.0
2001-06-19,45.0,45.0,45.0,45.0,15.2536,0,0.0,1.0
2001-06-20,45.0,45.0,45.0,45.0,15.2536,0,0.0,1.0
2001-06-21,45.0,45.0,45.0,45.0,15.2536,0,0.0,1.0
2001-06-22,45.0,45.0,45.0,45.0,15.2536,0,0.0,1.0
2001-06-25,45.0,45.0,45.0,45.0,15.2536,0,0.0,1.0
2001-06-26,45.0,46.0,45.0,46.0,15.5926,1400,0.0,1.0
2001-06-27,48.0,50.5,48.0,49.0,16.6095,4000,0.0,1.0
