timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,9.94,9.94,9.69,9.75,2.8523,64600,0.0,1.0
2000-01-04,9.75,10.0,9.75,10.0,2.9254,58900,0.0,1.0
2000-01-05,10.0,10.25,10.0,10.19,2.981,89000,0.0,1.0
2000-01-06,10.06,10.25,10.06,10.19,2.981,62200,0.0,1.0
2000-01-07,10.19,10.38,10.19,10.38,3.0366,49900,0.0,1.0
2000-01-10,10.38,10.62,10.25,10.62,3.1068,67800,0.0,1.0
2000-01-11,10.5,10.62,10.38,10.38,3.0366,56300,0.0,1.0
2000-01-12,10.38,10.44,10.19,10.25,2.9986,50800,0.0,1.0
2000-01-13,10.25,10.44,10.12,10.44,3.0746,65700,0.07,1.0
2000-01-14,10.44,10.44,10.31,10.44,3.0746,46700,0.0,1.0
2000-01-18,10.31,10.38,10.25,10.38,3.057,44600,0.0,1.0
2000-01-19,10.44,10.44,10.25,10.31,3.0364,59500,0.0,1.0
2000-01-20,10.31,10.44,10.25,10.44,3.0746,20800,0.0,1.0
2000-01-21,10.44,10.44,10.31,10.31,3.0364,44600,0.0,1.0
2000-01-24,10.31,10.38,10.25,10.31,3.0364,93700,0.0,1.0
2000-01-25,10.31,10.5,10.31,10.5,3.0923,42300,0.0,1.0
2000-01-26,10.56,10.56,10.38,10.44,3.0746,46500,0.0,1.0
2000-01-27,10.44,10.5,10.38,10.44,3.0746,52900,0.0,1.0
2000-01-28,10.44,10.44,10.38,10.38,3.057,21900,0.0,1.0
2000-01-31,10.44,10.5,10.38,10.44,3.0746,54200,0.0,1.0
2000-02-01,10.44,10.5,10.38,10.38,3.057,41400,0.0,1.0
2000-02-02,10.44,10.56,10.31,10.56,3.11,85200,0.0,1.0
2000-02-03,10.5,10.81,10.5,10.69,3.1483,86000,0.0,1.0
2000-02-04,10.69,10.81,10.69,10.69,3.1483,37200,0.0,1.0
2000-02-07,10.75,10.75,10.5,10.5,3.0923,61900,0.0,1.0
2000-02-08,10.62,10.69,10.5,10.62,3.1277,38500,0.0,1.0
2000-02-09,10.56,10.75,10.56,10.75,3.1659,27500,0.0,1.0
2000-02-10,10.75,10.75,10.62,10.62,3.1277,40600,0.0,1.0
2000-02-11,10.56,10.62,10.56,10.62,3.1483,27800,0.07,1.0
2000-02-14,10.62,10.62,10.38,10.44,3.0949,44200,0.0,1.0
2000-02-15,10.38,10.44,10.12,10.25,3.0386,71700,0.0,1.0
