timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,5.75,5.75,5.75,5.75,2.31,7585,0.0,1.0
2000-01-04,5.75,5.75,5.5,5.5,2.2095,8000,0.0,1.0
2000-01-05,5.5,6.0,5.5,6.0,2.4104,652,0.0,1.0
2000-01-06,6.0,6.0,6.0,6.0,2.4104,2667,0.0,1.0
2000-01-07,6.0,6.5,6.0,6.5,2.6113,4267,0.0,1.0
2000-01-10,6.5,6.5,6.5,6.5,2.6113,178,0.0,1.0
2000-01-11,6.5,6.5,5.875,5.875,2.3602,2844,0.0,1.0
2000-01-12,5.87,5.87,5.87,5.87,2.3582,0,0.0,1.0
2000-01-13,5.87,5.87,5.87,5.87,2.3582,0,0.0,1.0
2000-01-14,6.0,6.0,5.625,5.625,2.2597,26578,0.0,1.0
2000-01-18,6.0,6.0,5.5,5.625,2.2597,23230,0.0,1.0
2000-01-19,5.625,6.0,5.625,5.75,2.31,5363,0.0,1.0
2000-01-20,6.75,7.0,6.125,6.125,2.4606,12800,0.0,1.0
2000-01-21,6.25,6.25,6.25,6.25,2.5108,178,0.0,1.0
2000-01-24,6.0,6.0,5.875,6.0,2.4104,3378,0.0,1.0
2000-01-25,6.25,6.25,6.0,6.0,2.4104,2400,0.0,1.0
2000-01-26,6.0,6.0,6.0,6.0,2.4104,0,0.0,1.0
2000-01-27,6.0,6.25,5.875,6.25,2.5108,19230,0.0,1.0
2000-01-28,6.25,6.25,6.0,6.0,2.4104,4800,0.0,1.0
2000-01-31,6.25,6.25,6.25,6.25,2.5108,385,0.0,1.0
2000-02-01,6.0,6.125,6.0,6.125,2.4606,800,0.0,1.0
2000-02-02,6.0,6.25,6.0,6.25,2.5108,3467,0.0,1.0
2000-02-03,6.0,6.125,6.0,6.125,2.4606,4000,0.0,1.0
2000-02-04,6.12,6.12,6.12,6.12,2.4586,0,0.0,1.0
2000-02-07,6.0,6.125,6.0,6.125,2.4606,3585,0.0,1.0
2000-02-08,6.0,6.125,6.0,6.125,2.4606,1185,0.0,1.0
2000-02-09,6.25,6.5,6.25,6.5,2.6113,1363,0.0,1.0
2000-02-10,6.5,7.0,6.5,7.0,2.8121,3230,0.0,1.0
2000-02-11,6.75,7.125,6.75,7.125,2.8623,6163,0.0,1.0
2000-02-14,6.875,7.25,6.875,7.25,2.9126,3200,0.0,1.0
2000-02-15,7.25,7.25,7.25,7.25,2.9126,444,0.0,1.0
2000-02-16,6.594,7.125,6.594,6.625,2.6615,55467,0.0,1.0
2000-02-17,7.12,7.12,7.12,7.12,2.8603,0,0.0,1.0
2000-02-18,7.25,7.25,7.25,7.25,2.9126,6785,0.0,1.0
2000-02-22,7.25,7.25,7.25,7.25,2.9126,5985,0.0,1.0
2000-02-23,7.25,7.25,7.25,7.25,2.9126,267,0.0,1.0
2000-02-24,7.0,7.375,7.0,7.375,2.9628,6044,0.0,1.0
2000-02-25,7.0,7.0,7.0,7.0,2.8121,830,0.0,1.0
2000-02-28,7.0,7.375,7.0,7.375,2.9628,1985,0.0,1.0
2000-02-29,7.0,7.375,7.0,7.375,2.9628,978,0.0,1.0
2000-03-01,7.0,7.188,7.0,7.0,2.8121,7644,0.0,1.0
2000-03-02,7.125,7.313,7.125,7.125,2.8623,2400,0.0,1.0
2000-03-03,7.0,7.0,7.0,7.0,2.8121,3852,0.0,1.0
2000-03-06,7.0,7.0,7.0,7.0,2.8121,0,0.0,1.0
2000-03-07,7.0,7.0,7.0,7.0,2.8121,0,0.0,1.0
2000-03-08,6.938,6.938,6.813,6.813,2.737,1600,0.0,1.0
2000-03-09,6.25,6.5,6.0,6.25,2.5108,10963,0.0,1.0
2000-03-10,6.125,6.5,6.125,6.5,2.6113,18400,0.0,1.0
2000-03-13,6.25,6.25,6.25,6.25,2.5108,563,0.0,1.0
2000-03-14,6.25,6.25,6.25,6.25,2.5108,652,0.0,1.0
2000-03-15,6.625,6.875,6.5,6.625,2.6615,3052,0.0,1.0
2000-03-16,6.5,6.5,6.5,6.5,2.6113,978,0.0,1.0
2000-03-17,6.5,7.0,6.5,7.0,2.8121,16652,0.0,1.0
2000-03-20,7.0,8.0,6.25,7.0,2.8121,14044,0.0,1.0
2000-03-21,6.25,6.5,6.25,6.25,2.5108,3852,0.0,1.0
2000-03-22,6.75,6.75,6.75,6.75,2.7117,2963,0.0,1.0
2000-03-23,6.75,6.75,6.75,6.75,2.7117,0,0.0,1.0
2000-03-24,6.75,6.75,6.75,6.75,2.7117,0,0.0,1.0
2000-03-27,6.75,6.75,6.75,6.75,2.7117,0,0.0,1.0
2000-03-28,6.625,6.625,6.625,6.625,2.6615,444,0.0,1.0
2000-03-29,6.25,7.0,6.25,7.0,2.8121,5778,0.0,1.0
2000-03-30,7.0,7.0,7.0,7.0,2.8121,0,0.0,1.0
2000-03-31,7.0,7.25,7.0,7.188,2.8876,10044,0.0,1.0
2000-04-03,7.5,7.5,7.5,7.5,3.013,4267,0.0,1.0
2000-04-04,6.75,6.75,6.75,6.75,2.7117,267,0.0,1.0
2000-04-05,6.75,6.75,6.75,6.75,2.7117,0,0.0,1.0
2000-04-06,7.625,7.75,6.75,7.5,3.013,5600,0.0,1.0
2000-04-07,7.5,7.5,7.5,7.5,3.013,0,0.0,1.0
2000-04-10,6.813,7.375,6.813,7.25,2.9126,4830,0.0,1.0
2000-04-11,7.5,7.5,6.75,6.75,2.7117,2963,0.0,1.0
2000-04-12,6.75,6.75,6.75,6.75,2.7117,0,0.0,1.0
2000-04-13,6.75,7.0,6.125,6.75,2.7117,13067,0.0,1.0
2000-04-14,6.25,7.0,6.25,6.75,2.7117,4000,0.0,1.0
2000-04-17,6.75,7.125,6.75,7.125,2.8623,6844,0.0,1.0
2000-04-18,6.938,7.109,6.25,7.109,2.8559,7200,0.0,1.0
2000-04-19,7.0,7.063,6.375,6.5,2.6113,3052,0.0,1.0
2000-04-20,7.0,7.0,7.0,7.0,2.8121,385,0.0,1.0
2000-04-24,7.0,7.25,7.0,7.25,2.9126,652,0.0,1.0
2000-04-25,7.0,7.125,7.0,7.125,2.8623,3852,0.0,1.0
2000-04-26,7.125,7.125,7.0,7.0,2.8121,4385,0.0,1.0
2000-04-27,7.0,7.0,7.0,7.0,2.8121,978,0.0,1.0
2000-04-28,7.0,7.375,7.0,7.125,2.8623,14400,0.0,1.0
2000-05-01,7.25,7.25,7.25,7.25,2.9126,1600,0.0,1.0
2000-05-02,7.375,7.375,7.375,7.375,2.9628,178,0.0,1.0
2000-05-03,7.375,7.5,7.25,7.5,3.013,20178,0.0,1.0
2000-05-04,7.5,7.5,7.5,7.5,3.013,6844,0.0,1.0
2000-05-05,7.625,7.625,7.625,7.625,3.0632,267,0.0,1.0
2000-05-08,7.594,8.0,7.594,7.75,3.1134,8000,0.0,1.0
2000-05-09,8.0,8.0,7.75,7.75,3.1134,3378,0.0,1.0
2000-05-10,7.75,7.75,7.75,7.75,3.1134,6667,0.0,1.0
2000-05-11,7.75,7.813,7.75,7.813,3.1387,11378,0.0,1.0
2000-05-12,7.813,7.813,7.813,7.813,3.1387,178,0.0,1.0
2000-05-15,7.813,8.0,7.813,8.0,3.2139,9778,0.0,1.0
2000-05-16,8.25,8.25,7.875,7.875,3.1636,10844,0.0,1.0
2000-05-17,7.87,7.87,7.87,7.87,3.1616,0,0.0,1.0
2000-05-18,7.875,8.0,7.875,8.0,3.2139,5067,0.0,1.0
2000-05-19,7.875,8.0,7.875,7.875,3.1636,10844,0.0,1.0
2000-05-22,7.75,8.0,7.75,7.875,3.1636,10785,0.0,1.0
2000-05-23,8.0,8.0,7.875,7.875,3.1636,1363,0.0,1.0
2000-05-24,7.875,7.875,7.875,7.875,3.1636,7052,0.0,1.0
2000-05-25,7.875,7.875,7.875,7.875,3.1636,30,0.0,1.0
2000-05-26,7.875,7.875,7.875,7.875,3.1636,12800,0.0,1.0
2000-05-30,7.875,8.0,7.844,8.0,3.2139,2963,0.0,1.0
2000-05-31,8.0,8.0,7.87,7.87,3.1616,2578,0.0,1.0
2000-06-01,7.87,7.87,7.87,7.87,3.1616,0,0.0,1.0
2000-06-02,7.875,7.875,7.875,7.875,3.1636,800,0.0,1.0
