timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,18.0,18.06,17.69,17.69,13.8253,36500,0.0,1.0
2000-01-04,17.5,17.5,16.75,16.88,13.1923,50400,0.0,1.0
2000-01-05,16.88,17.31,16.88,17.31,13.5284,7700,0.0,1.0
2000-01-06,17.12,17.12,16.75,16.75,13.0907,13400,0.0,1.0
2000-01-07,16.94,16.94,16.5,16.56,12.9422,27800,0.0,1.0
2000-01-10,16.38,16.56,16.25,16.44,12.8484,56900,0.0,1.0
2000-01-11,16.56,16.62,16.44,16.5,12.8953,3600,0.0,1.0
2000-01-12,16.69,16.88,16.62,16.88,13.1923,6200,0.0,1.0
2000-01-13,16.75,16.75,16.25,16.5,12.8953,8900,0.0,1.0
2000-01-14,16.44,16.5,16.25,16.5,12.8953,19700,0.0,1.0
2000-01-18,16.44,16.44,16.06,16.19,12.653,5700,0.0,1.0
2000-01-19,16.12,16.12,15.94,15.94,12.4577,7000,0.0,1.0
2000-01-20,15.94,15.94,15.75,15.94,12.4577,5000,0.0,1.0
2000-01-21,15.81,16.06,15.62,16.06,12.5514,11300,0.0,1.0
2000-01-24,15.25,15.38,14.75,14.75,11.5276,24200,0.0,1.0
2000-01-25,14.5,14.5,14.19,14.38,11.2385,8100,0.0,1.0
2000-01-26,14.19,14.19,13.38,13.38,10.4569,15200,0.0,1.0
2000-01-27,13.25,14.56,13.0,13.88,10.8477,29100,0.0,1.0
2000-01-28,13.81,14.19,13.5,14.06,10.9884,8700,0.0,1.0
2000-01-31,13.94,14.0,13.38,13.38,10.4569,39500,0.0,1.0
2000-02-01,13.5,14.0,13.5,13.88,10.8477,37400,0.0,1.0
2000-02-02,13.94,13.94,13.62,13.62,10.6445,30700,0.0,1.0
2000-02-03,13.62,13.81,13.5,13.81,10.793,23300,0.0,1.0
2000-02-04,13.75,13.75,13.56,13.62,10.6445,18700,0.0,1.0
2000-02-07,13.5,13.75,13.5,13.62,10.6445,20700,0.0,1.0
2000-02-08,13.69,13.94,13.62,13.69,10.6992,26700,0.0,1.0
2000-02-09,13.81,14.12,13.69,13.69,10.6992,18400,0.0,1.0
2000-02-10,13.69,14.25,13.69,14.0,10.9415,13300,0.0,1.0
2000-02-11,14.06,14.06,13.81,13.88,10.8477,9400,0.0,1.0
2000-02-14,13.94,14.12,13.81,13.94,10.8946,3900,0.0,1.0
2000-02-15,14.06,14.25,14.0,14.0,10.9415,6200,0.0,1.0
2000-02-16,14.0,14.0,13.81,13.94,10.8946,2300,0.0,1.0
2000-02-17,13.94,13.94,13.81,13.81,10.793,1400,0.0,1.0
2000-02-18,13.81,13.88,13.81,13.88,10.8477,13600,0.0,1.0
2000-02-22,13.88,13.94,13.62,13.75,10.7461,20300,0.0,1.0
2000-02-23,13.88,14.75,13.88,14.75,11.5276,183100,0.0,1.0
2000-02-24,14.88,15.81,14.75,15.44,12.0669,30000,0.0,1.0
2000-02-25,15.56,15.69,14.38,14.38,11.2385,41700,0.0,1.0
2000-02-28,15.0,15.31,14.88,14.88,11.6292,39000,0.0,1.0
2000-02-29,14.81,14.94,14.56,14.94,11.6761,6900,0.0,1.0
2000-03-01,14.94,15.19,14.75,15.19,11.8715,27500,0.0,1.0
2000-03-02,15.06,15.06,14.56,14.56,11.3791,14700,0.0,1.0
2000-03-03,14.5,14.94,14.44,14.94,11.6761,7800,0.0,1.0
2000-03-06,14.88,14.88,14.38,14.38,11.2385,10900,0.0,1.0
2000-03-07,14.38,14.5,14.38,14.38,11.2385,18400,0.0,1.0
