timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-12-08,8.9,8.9,8.51,8.9,8.9,2300,0.0,1.0
2015-12-09,8.85,8.85,8.51,8.85,8.85,2670,0.0,1.0
2015-12-10,9.01,9.01,8.0258,8.9,8.9,7210,0.0,1.0
2015-12-11,9.1,10.0,9.01,10.0,10.0,3802,0.0,1.0
2015-12-14,10.0,10.0,10.0,10.0,10.0,602,0.0,1.0
2015-12-15,9.405,9.85,9.405,9.85,9.85,2400,0.0,1.0
2015-12-16,9.259,9.7,9.06,9.7,9.7,2500,0.0,1.0
2015-12-17,9.0101,9.6,9.0101,9.0597,9.0597,8800,0.0,1.0
2015-12-18,9.06,9.06,9.01,9.01,9.01,1500,0.0,1.0
2015-12-21,8.98,9.0,8.75,9.0,9.0,7220,0.0,1.0
2015-12-22,9.0,9.0,9.0,9.0,9.0,50,0.0,1.0
2015-12-23,8.98,9.0,8.52,9.0,9.0,1050,0.0,1.0
2015-12-24,8.99,8.99,8.99,8.99,8.99,206,0.0,1.0
2015-12-28,8.951,8.951,8.951,8.951,8.951,100,0.0,1.0
2015-12-29,8.95,8.95,8.5101,8.95,8.95,4350,0.0,1.0
2015-12-30,8.98,8.98,8.91,8.91,8.91,567,0.0,1.0
2015-12-31,8.7906,8.8899,8.5101,8.8899,8.8899,1100,0.0,1.0
2016-01-04,8.5001,9.0,8.5,8.5,8.5,1829,0.0,1.0
2016-01-05,8.254,8.9899,8.25,8.9899,8.9899,2600,0.0,1.0
2016-01-06,8.473,9.01,8.473,9.01,9.01,410,0.0,1.0
2016-01-07,8.95,8.95,8.5001,8.5001,8.5001,1450,0.0,1.0
2016-01-08,9.01,9.01,8.5001,8.5125,8.5125,2150,0.0,1.0
2016-01-11,8.89,8.89,8.51,8.7499,8.7499,1700,0.0,1.0
2016-01-12,8.93,8.975,8.5,8.5,8.5,4550,0.0,1.0
2016-01-13,8.9,8.9,8.15,8.69,8.69,12952,0.0,1.0
2016-01-14,9.0,9.0,8.28,8.8,8.8,36370,0.0,1.0
2016-01-15,8.51,8.75,8.51,8.75,8.75,5636,0.0,1.0
2016-01-19,8.5135,8.9,8.5135,8.9,8.9,1950,0.0,1.0
2016-01-20,9.23,9.23,8.2601,8.65,8.65,12985,0.0,1.0
2016-01-21,8.84,8.9,8.5,8.5001,8.5001,3550,0.0,1.0
2016-01-22,8.82,8.85,7.71,8.8299,8.8299,2800,0.0,1.0
2016-01-25,8.44,8.54,8.0601,8.46,8.46,1810,0.0,1.0
2016-01-26,8.3499,9.0,7.75,8.2051,8.2051,160787,0.0,1.0
2016-01-27,8.1,8.8,7.76,8.03,8.03,41038,0.0,1.0
2016-01-28,8.99,9.0,8.15,8.2,8.2,8513,0.0,1.0
2016-01-29,9.89,9.89,8.2456,8.8,8.8,500,0.0,1.0
2016-02-01,9.4699,9.4699,8.42,8.724,8.724,9810,0.0,1.0
2016-02-02,8.5,8.5,8.24,8.44,8.44,1900,0.0,1.0
2016-02-03,8.28,8.28,8.02,8.1,8.1,6000,0.0,1.0
2016-02-04,9.1152,9.1152,8.1,8.64,8.64,2000,0.0,1.0
2016-02-05,8.95,8.99,8.26,8.97,8.97,7703,0.0,1.0
2016-02-08,8.49,8.49,8.49,8.49,8.49,200,0.0,1.0
2016-02-09,8.9,8.9,8.08,8.08,8.08,9993,0.0,1.0
