timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-08-16,24.98,24.98,24.85,24.9,23.0316,509380,0.0,1.0
2016-08-17,24.95,24.96,24.81,24.9,23.0316,334271,0.0,1.0
2016-08-18,24.85,24.95,24.85,24.95,23.0778,383795,0.0,1.0
2016-08-19,24.95,25.0,24.9,24.93,23.0593,255815,0.0,1.0
2016-08-22,24.95,24.97,24.875,24.93,23.0593,350587,0.0,1.0
2016-08-23,25.0,25.0,24.91,24.98,23.1056,444200,0.0,1.0
2016-08-24,24.99,25.01,24.95,24.9999,23.124,344439,0.0,1.0
2016-08-25,25.01,25.02,24.97,25.01,23.1333,359783,0.0,1.0
2016-08-26,25.01,25.04,24.97,25.01,23.1333,255114,0.0,1.0
2016-08-29,25.05,25.08,25.02,25.05,23.1703,443912,0.0,1.0
2016-08-30,25.07,25.16,25.06,25.15,23.2628,510733,0.0,1.0
2016-08-31,25.16,25.19,25.1,25.16,23.2721,585909,0.0,1.0
2016-09-01,25.14,25.17,25.03,25.07,23.1888,238693,0.0,1.0
2016-09-02,25.15,25.16,25.04,25.07,23.1888,364355,0.0,1.0
2016-09-06,25.13,25.15,25.1,25.1092,23.2251,324869,0.0,1.0
2016-09-07,25.15,25.16,25.089,25.15,23.2628,394567,0.0,1.0
2016-09-08,25.16,25.16,25.09,25.1092,23.2251,272319,0.0,1.0
2016-09-09,25.12,25.12,24.8,24.88,23.0131,468522,0.0,1.0
2016-09-12,24.99,25.07,24.85,24.94,23.0686,385164,0.0,1.0
2016-09-13,24.92,24.92,24.67,24.76,22.9021,238673,0.0,1.0
2016-09-14,24.85,24.89,24.8,24.89,23.0223,214486,0.0,1.0
2016-09-15,24.87,25.0,24.8,24.95,23.0778,231979,0.0,1.0
2016-09-16,25.0,25.07,24.84,24.97,23.0963,225090,0.0,1.0
2016-09-19,25.04,25.06,25.01,25.04,23.1611,130399,0.0,1.0
2016-09-20,25.1,25.1,25.02,25.02,23.1426,273986,0.0,1.0
2016-09-21,25.1,25.18,25.02,25.11,23.2258,305335,0.0,1.0
2016-09-22,25.17,25.23,25.1,25.19,23.2998,405779,0.0,1.0
2016-09-23,25.2,25.38,25.14,25.34,23.4385,214442,0.0,1.0
2016-09-26,25.3,25.3,25.17,25.18,23.2906,117593,0.0,1.0
2016-09-27,25.26,25.29,25.15,25.25,23.3553,170122,0.0,1.0
2016-09-28,25.25,25.29,25.21,25.21,23.3183,159359,0.0,1.0
2016-09-29,25.27,25.2795,24.9,24.92,23.0501,143426,0.0,1.0
2016-09-30,25.06,25.2,25.01,25.04,23.1611,113589,0.0,1.0
2016-10-03,25.12,25.13,25.05,25.05,23.1703,106471,0.0,1.0
2016-10-04,25.1,25.1,24.93,24.97,23.0963,133806,0.0,1.0
2016-10-05,25.01,25.13,25.01,25.08,23.1981,157312,0.0,1.0
2016-10-06,25.11,25.11,25.0,25.04,23.1611,176412,0.0,1.0
2016-10-07,25.08,25.09,25.0,25.06,23.1796,111779,0.0,1.0
2016-10-10,25.06,25.06,24.89,24.91,23.0408,146443,0.0,1.0
2016-10-11,24.95,24.95,24.7601,24.8,22.9391,123459,0.0,1.0
2016-10-12,24.89,24.9,24.76,24.83,22.9668,89333,0.0,1.0
