timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-04-01,24.53,25.0,24.53,24.8,21.5709,178841,0.0,1.0
2016-04-04,25.05,25.05,24.5,24.79,21.5622,53397,0.0,1.0
2016-04-05,24.74,24.8,24.53,24.8,21.5709,31980,0.0,1.0
2016-04-06,24.75,24.82,24.7,24.75,21.5274,38910,0.0,1.0
2016-04-07,24.75,24.79,24.6,24.75,21.5274,14394,0.0,1.0
2016-04-08,24.79,25.79,24.5,25.79,22.432,13725,0.0,1.0
2016-04-11,24.65,24.8,24.61,24.8,21.5709,8100,0.0,1.0
2016-04-12,24.62,24.8,24.6,24.65,21.4404,8450,0.0,1.0
2016-04-13,24.79,24.79,24.7,24.75,21.5274,19035,0.0,1.0
2016-04-14,24.55,24.74,24.14,24.15,21.0055,8350,0.0,1.0
2016-04-15,24.8,24.8,24.25,24.25,21.0925,2821,0.0,1.0
2016-04-18,24.75,25.1,24.26,24.45,21.2664,19235,0.0,1.0
2016-04-19,24.69,24.79,24.5,24.74,21.5187,2700,0.0,1.0
2016-04-20,24.79,24.79,24.5,24.67,21.4578,19285,0.0,1.0
2016-04-21,24.67,24.83,24.5,24.65,21.4404,7834,0.0,1.0
2016-04-22,24.68,24.99,24.62,24.65,21.4404,14206,0.0,1.0
2016-04-25,24.82,24.82,24.45,24.65,21.4404,2125,0.0,1.0
2016-04-26,24.65,24.8,24.65,24.75,21.5274,2222,0.0,1.0
2016-04-27,24.7,24.75,24.65,24.7,21.4839,2357,0.0,1.0
2016-04-28,24.63,24.65,24.56,24.65,21.4404,10751,0.0,1.0
2016-04-29,24.63,24.65,24.5,24.6,21.3969,3650,0.0,1.0
2016-05-02,24.6,24.75,24.5,24.75,21.5274,6316,0.0,1.0
2016-05-03,24.76,24.76,24.5,24.64,21.4317,4665,0.0,1.0
2016-05-04,24.7,24.7,24.7,24.7,21.4839,1120,0.0,1.0
2016-05-05,24.76,24.76,24.65,24.7,21.4839,10935,0.0,1.0
2016-05-06,24.53,24.65,24.53,24.65,21.4404,7915,0.0,1.0
2016-05-09,24.65,24.9972,24.63,24.72,21.5013,10408,0.0,1.0
2016-05-10,24.8,24.8,24.7,24.7,21.4839,6970,0.0,1.0
2016-05-11,24.71,25.25,24.7,24.92,21.6752,14552,0.0,1.0
2016-05-12,25.0,25.09,25.0,25.0,21.7448,1358,0.0,1.0
2016-05-13,25.06,25.06,24.95,24.95,21.7013,17248,0.0,1.0
2016-05-16,24.99,25.1,24.65,25.0199,21.7621,14228,0.0,1.0
2016-05-17,25.0,25.08,24.75,25.0029,21.7473,5630,0.0,1.0
2016-05-18,25.08,25.088,24.9401,25.0773,21.8121,4355,0.0,1.0
2016-05-19,25.0,25.25,24.6846,25.0999,21.8317,16725,0.0,1.0
2016-05-20,25.162,25.25,25.077,25.2,21.9188,8678,0.0,1.0
2016-05-23,25.21,25.2499,24.65,25.1072,21.8381,4925,0.0,1.0
2016-05-24,25.0501,25.4,25.0,25.1999,21.9187,11825,0.0,1.0
2016-05-25,25.15,25.1585,25.11,25.1585,21.8827,3565,0.0,1.0
2016-05-26,25.119,25.19,25.0,25.0,21.7448,5946,0.0,1.0
2016-05-27,25.19,25.19,25.0,25.01,21.7535,3660,0.0,1.0
2016-05-31,25.05,25.18,24.85,25.1741,21.8962,7153,0.0,1.0
2016-06-01,25.11,25.11,25.0617,25.0617,21.7985,1479,0.0,1.0
2016-06-02,25.09,25.09,25.0617,25.09,21.8231,3700,0.0,1.0
2016-06-03,25.09,25.09,25.0774,25.0774,21.8121,3200,0.0,1.0
2016-06-06,25.09,25.09,25.08,25.0869,21.8204,3136,0.0,1.0
2016-06-07,25.09,25.1699,25.08,25.09,21.8231,13080,0.0,1.0
2016-06-08,25.1689,25.17,25.1167,25.1199,21.8491,2500,0.0,1.0
2016-06-09,25.1101,25.2499,25.1101,25.2499,21.9622,5828,0.0,1.0
2016-06-10,25.25,25.25,25.11,25.2179,21.9343,8909,0.0,1.0
2016-06-13,25.25,25.25,25.11,25.1658,21.889,2468,0.0,1.0
2016-06-14,25.2,25.2,25.13,25.13,21.8579,501,0.0,1.0
2016-06-15,25.25,25.25,25.2045,25.2045,21.9227,474,0.0,1.0
2016-06-16,25.11,25.23,25.11,25.23,21.9449,1000,0.0,1.0
2016-06-17,25.24,25.25,25.24,25.2499,21.9622,1869,0.0,1.0
2016-06-20,25.25,25.25,25.2335,25.25,21.9623,900,0.0,1.0
2016-06-21,25.25,25.3,25.22,25.29,21.9971,4297,0.0,1.0
2016-06-22,25.2101,25.5,25.2101,25.5,22.1797,3193,0.0,1.0
2016-06-23,25.4,25.4,25.24,25.25,21.9623,4350,0.0,1.0
2016-06-24,25.4,25.4101,25.4,25.41,22.1014,3195,0.0,1.0
2016-06-27,25.4,25.45,25.3,25.45,22.1362,800,0.0,1.0
2016-06-28,25.5,25.5,25.4,25.45,22.1362,6560,0.0,1.0
2016-06-29,25.3,25.3,25.1718,25.2499,22.4502,31799,0.5611,1.0
2016-06-30,25.3,25.3,25.1808,25.25,22.4503,12700,0.0,1.0
2016-07-01,25.25,25.2952,25.2,25.25,22.4503,9603,0.0,1.0
2016-07-05,25.25,25.3,25.25,25.275,22.4725,3400,0.0,1.0
2016-07-06,25.3,25.3,25.25,25.26,22.4592,11872,0.0,1.0
2016-07-07,25.265,25.29,25.23,25.26,22.4592,3722,0.0,1.0
2016-07-08,25.25,25.2799,25.2301,25.26,22.4592,7055,0.0,1.0
2016-07-11,25.26,25.2999,25.26,25.28,22.477,10275,0.0,1.0
2016-07-12,25.26,25.3,25.26,25.2899,22.4858,9393,0.0,1.0
2016-07-13,25.26,25.3,25.26,25.275,22.4725,9235,0.0,1.0
2016-07-14,25.27,25.3499,25.27,25.3,22.4948,7375,0.0,1.0
2016-07-15,25.4399,25.4399,25.4256,25.4256,22.6064,2610,0.0,1.0
2016-07-18,25.45,25.5,25.3775,25.46,22.637,5696,0.0,1.0
2016-07-19,25.6,26.0,25.6,26.0,23.1171,7654,0.0,1.0
2016-07-20,25.7,25.7,25.3101,25.32,22.5125,11335,0.0,1.0
2016-07-21,25.32,25.32,25.32,25.32,22.5125,0,0.0,1.0
