timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-01-04,4.5,4.54,4.5,4.52,4.52,1507,0.0,1.0
2016-01-05,4.4,4.47,4.388,4.388,4.388,4248,0.0,1.0
2016-01-06,4.2,4.2,4.2,4.2,4.2,457,0.0,1.0
2016-01-07,3.98,3.98,3.98,3.98,3.98,6500,0.0,1.0
2016-01-08,4.08,4.08,3.97,4.04,4.04,8476,0.0,1.0
2016-01-11,4.05,4.08,4.04,4.08,4.08,1600,0.0,1.0
2016-01-12,3.95,3.95,3.824,3.824,3.824,5871,0.0,1.0
2016-01-13,3.85,3.858,3.75,3.75,3.75,16425,0.0,1.0
2016-01-14,3.75,3.76,3.75,3.76,3.76,1120,0.0,1.0
2016-01-15,3.77,3.77,3.02,3.61,3.61,7565,0.0,1.0
2016-01-19,3.93,3.93,3.85,3.882,3.882,9149,0.0,1.0
2016-01-20,3.61,3.61,3.35,3.49,3.49,5078,0.0,1.0
2016-01-21,3.12,3.542,3.12,3.54,3.54,1000,0.0,1.0
2016-01-22,3.675,3.76,3.675,3.75,3.75,8489,0.0,1.0
2016-01-25,3.37,3.37,3.32,3.37,3.37,3780,0.0,1.0
2016-01-26,3.39,3.39,3.389,3.389,3.389,290,0.0,1.0
2016-01-27,3.414,3.44,3.39,3.39,3.39,16321,0.0,1.0
2016-01-28,3.3,3.6,3.3,3.6,3.6,7590,0.0,1.0
2016-01-29,3.47,3.47,3.47,3.47,3.47,7200,0.0,1.0
2016-02-01,3.3,3.3,3.24,3.24,3.24,6204,0.0,1.0
2016-02-02,3.1,3.1,3.07,3.088,3.088,4380,0.0,1.0
2016-02-03,3.3,3.3,3.3,3.3,3.3,529,0.0,1.0
2016-02-04,3.2,3.2,3.1931,3.1931,3.1931,1625,0.0,1.0
2016-02-05,3.1931,3.1931,3.1931,3.1931,3.1931,100,0.0,1.0
2016-02-08,3.09,3.09,3.058,3.058,3.058,17368,0.0,1.0
2016-02-09,2.94,2.94,2.84,2.88,2.88,4707,0.0,1.0
