timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,58.81,59.44,55.0,55.75,11.2887,2023400,0.0,1.0
2000-01-04,55.0,55.06,51.38,52.75,10.6813,1955500,0.0,1.0
2000-01-05,52.63,53.94,51.75,52.88,10.7076,1230300,0.0,1.0
2000-01-06,52.0,54.0,51.88,52.56,10.6428,1129900,0.0,1.0
2000-01-07,52.94,54.44,52.75,53.75,10.8838,917100,0.0,1.0
2000-01-10,54.0,55.5,53.81,55.38,11.2138,1121400,0.0,1.0
2000-01-11,54.63,55.75,53.44,53.88,10.9101,1047900,0.0,1.0
2000-01-12,53.81,54.19,51.75,52.94,10.7268,2261100,0.035,1.0
2000-01-13,53.0,53.0,52.0,52.38,10.6134,1307000,0.0,1.0
2000-01-14,53.0,54.88,52.88,54.13,10.968,2269700,0.0,1.0
2000-01-18,54.75,54.75,52.88,53.25,10.7896,1155300,0.0,1.0
2000-01-19,53.5,53.69,52.75,52.88,10.7147,1125700,0.0,1.0
2000-01-20,52.88,52.94,49.0,50.75,10.2831,2999300,0.0,1.0
2000-01-21,50.63,50.69,46.69,47.38,9.6003,3900000,0.0,1.0
2000-01-24,47.5,48.88,46.19,46.75,9.4726,2165000,0.0,1.0
2000-01-25,47.0,47.19,45.0,46.0,9.3206,2283400,0.0,1.0
2000-01-26,45.75,47.0,44.25,46.63,9.4483,2747900,0.0,1.0
2000-01-27,46.75,46.94,45.06,45.81,9.2821,2376700,0.0,1.0
2000-01-28,45.63,45.69,43.31,44.56,9.0289,1738300,0.0,1.0
2000-01-31,44.69,45.31,43.06,44.63,9.043,2493500,0.0,1.0
2000-02-01,44.88,47.5,44.88,47.06,9.5354,2948000,0.0,1.0
2000-02-02,46.63,48.25,45.81,47.25,9.5739,2657100,0.0,1.0
2000-02-03,47.5,48.25,46.5,47.13,9.5496,1493600,0.0,1.0
2000-02-04,47.06,48.81,47.06,48.38,9.8029,2500200,0.0,1.0
2000-02-07,47.63,47.63,46.69,46.94,9.5111,1766900,0.0,1.0
2000-02-08,47.0,48.75,45.19,48.44,9.815,1683800,0.0,1.0
2000-02-09,48.44,48.44,46.06,46.38,9.3976,1239200,0.0,1.0
2000-02-10,46.25,46.31,45.19,46.06,9.3328,948500,0.0,1.0
2000-02-11,46.13,47.0,45.94,46.0,9.3206,834600,0.0,1.0
2000-02-14,46.06,47.31,45.63,46.81,9.4848,1009000,0.0,1.0
2000-02-15,46.56,46.75,45.63,46.0,9.3206,1385000,0.0,1.0
2000-02-16,45.5,45.69,43.44,43.75,8.8647,1611300,0.0,1.0
2000-02-17,45.19,45.19,41.19,42.5,8.6115,2781500,0.0,1.0
2000-02-18,42.56,44.44,42.5,43.5,8.8141,2881900,0.0,1.0
2000-02-22,44.13,45.19,42.25,43.06,8.7249,2502900,0.0,1.0
2000-02-23,42.75,43.13,41.0,42.56,8.6236,2322000,0.0,1.0
2000-02-24,43.56,43.56,40.75,40.75,8.2569,1812000,0.0,1.0
2000-02-25,42.5,42.88,41.38,41.75,8.4595,1799600,0.0,1.0
2000-02-28,42.38,46.25,41.75,45.69,9.2578,2595700,0.0,1.0
2000-02-29,47.63,47.94,46.25,47.81,9.6874,2425100,0.0,1.0
2000-03-01,48.5,48.56,45.63,47.81,9.6874,2506200,0.0,1.0
2000-03-02,46.88,47.19,45.75,46.0,9.3206,1469400,0.0,1.0
2000-03-03,46.5,47.44,46.38,47.0,9.5233,1961000,0.0,1.0
2000-03-06,47.5,47.5,44.5,45.0,9.118,1556400,0.0,1.0
2000-03-07,45.5,45.56,41.06,41.63,8.4352,3415100,0.0,1.0
2000-03-08,42.44,44.81,41.94,43.88,8.8911,2076800,0.0,1.0
2000-03-09,43.88,47.0,43.31,46.44,9.4098,1511300,0.0,1.0
2000-03-10,46.38,47.13,45.0,45.0,9.118,818100,0.0,1.0
2000-03-13,43.0,44.38,43.0,43.5,8.8141,1270500,0.0,1.0
2000-03-14,43.75,43.75,42.13,42.38,8.5871,4197800,0.0,1.0
2000-03-15,42.5,45.5,41.88,45.31,9.1808,2181800,0.0,1.0
2000-03-16,46.19,50.13,46.06,50.06,10.1433,3745400,0.0,1.0
2000-03-17,50.06,51.81,49.13,51.44,10.4229,2838100,0.0,1.0
2000-03-20,50.25,51.19,49.0,50.56,10.2446,1488700,0.0,1.0
2000-03-21,50.56,52.06,50.13,50.88,10.3094,1692000,0.0,1.0
2000-03-22,50.88,51.38,49.44,50.44,10.2203,1443200,0.0,1.0
2000-03-23,50.38,52.69,49.94,52.56,10.6498,1637900,0.0,1.0
2000-03-24,52.56,54.5,52.06,53.75,10.891,1625400,0.0,1.0
2000-03-27,52.81,53.81,52.75,53.44,10.8281,1211600,0.0,1.0
2000-03-28,52.81,54.44,52.81,53.5,10.8403,1223800,0.0,1.0
2000-03-29,53.38,55.13,53.06,55.06,11.1564,2184100,0.0,1.0
2000-03-30,54.88,58.06,54.63,58.0,11.7521,2606000,0.0,1.0
2000-03-31,59.88,59.88,57.31,58.38,11.8291,2165600,0.0,1.0
2000-04-03,58.44,60.63,58.44,60.5,12.2587,2433300,0.0,1.0
2000-04-04,59.63,60.06,56.44,59.69,12.0945,2656800,0.0,1.0
2000-04-05,59.0,59.69,57.56,59.63,12.0824,1692500,0.0,1.0
2000-04-06,59.0,60.31,57.75,60.06,12.1695,1455300,0.0,1.0
2000-04-07,60.13,60.88,58.69,60.63,12.285,1746200,0.0,1.0
2000-04-10,60.5,61.75,60.0,61.44,12.4491,1535500,0.0,1.0
2000-04-11,60.06,61.0,59.25,60.88,12.3357,1366700,0.0,1.0
2000-04-12,62.13,67.25,62.06,63.5,12.8736,4547500,0.035,1.0
2000-04-13,63.5,63.63,58.5,59.5,12.0627,3511800,0.0,1.0
2000-04-14,58.5,58.5,55.06,56.73,11.5011,2132200,0.0,1.0
2000-04-17,55.0,55.0,52.5,54.44,11.0368,2130700,0.0,1.0
2000-04-18,53.44,55.69,52.56,55.02,11.1544,2058900,0.0,1.0
2000-04-19,54.88,55.75,53.88,54.81,11.1119,1035700,0.0,1.0
2000-04-20,54.56,55.38,54.25,55.31,11.2132,1214600,0.0,1.0
2000-04-24,56.0,58.5,55.5,56.5,11.4545,1488600,0.0,1.0
2000-04-25,55.5,55.5,54.13,54.75,11.0997,2674400,0.0,1.0
2000-04-26,54.63,55.75,54.25,54.44,11.0368,3544200,0.0,1.0
2000-04-27,53.5,53.69,52.44,53.44,10.8341,2700100,0.0,1.0
2000-04-28,52.75,52.88,49.5,49.5,10.0353,3380200,0.0,1.0
2000-05-01,50.0,52.38,49.13,52.0,10.5422,2463800,0.0,1.0
2000-05-02,52.25,52.69,50.19,50.88,10.3151,1511200,0.0,1.0
2000-05-03,49.25,49.38,46.81,48.0,9.7312,2864400,0.0,1.0
2000-05-04,48.5,48.63,47.0,47.38,9.6055,2032600,0.0,1.0
2000-05-05,47.06,48.06,47.06,47.81,9.6927,1379900,0.0,1.0
2000-05-08,47.44,49.5,47.06,49.06,9.9461,1390900,0.0,1.0
2000-05-09,49.5,50.5,48.81,49.25,9.9847,1902300,0.0,1.0
2000-05-10,49.31,49.94,48.25,48.5,9.8326,1338900,0.0,1.0
2000-05-11,48.94,48.94,48.13,48.69,9.8711,1124800,0.0,1.0
2000-05-12,48.94,49.0,47.5,47.96,9.7231,1695300,0.0,1.0
2000-05-15,49.13,50.81,48.88,50.69,10.2766,2432500,0.0,1.0
