timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-04-18,28.04,33.95,28.04,30.03,30.03,6858271,0.0,1.0
2016-04-19,30.16,32.35,30.01,32.07,32.07,4683695,0.0,1.0
2016-04-20,32.05,32.63,31.77,31.9,31.9,1204026,0.0,1.0
2016-04-21,31.97,32.57,31.75,32.48,32.48,1217578,0.0,1.0
2016-04-22,32.35,32.97,32.27,32.53,32.53,768633,0.0,1.0
2016-04-25,32.4,32.69,32.21,32.68,32.68,1138596,0.0,1.0
2016-04-26,32.62,33.06,32.43,32.64,32.64,495652,0.0,1.0
2016-04-27,32.38,32.96,32.33,32.81,32.81,461438,0.0,1.0
2016-04-28,33.8,35.69,32.08,32.26,32.26,402045,0.0,1.0
2016-04-29,32.54,32.54,31.79,32.02,32.02,737494,0.0,1.0
2016-05-02,32.03,32.75,32.0,32.65,32.65,387825,0.0,1.0
2016-05-03,31.93,32.7,31.93,32.47,32.47,360386,0.0,1.0
2016-05-04,32.3,32.92,31.77,31.94,31.94,251687,0.0,1.0
2016-05-05,32.08,32.16,31.8,31.97,31.97,484332,0.0,1.0
2016-05-06,31.69,32.34,31.69,32.33,32.33,854205,0.0,1.0
2016-05-09,31.76,32.285,31.76,31.87,31.87,331364,0.0,1.0
2016-05-10,32.19,32.21,31.67,32.08,32.08,592603,0.0,1.0
2016-05-11,31.81,32.07,31.42,31.54,31.54,445393,0.0,1.0
2016-05-12,31.54,31.66,31.11,31.34,31.34,244218,0.0,1.0
2016-05-13,31.38,31.53,30.29,31.04,31.04,1835110,0.0,1.0
2016-05-16,30.82,31.49,30.79,31.13,31.13,640464,0.0,1.0
2016-05-17,30.86,31.42,30.01,30.89,30.89,1053100,0.0,1.0
2016-05-18,30.69,31.39,30.69,31.21,31.21,724943,0.0,1.0
2016-05-19,30.65,31.43,30.6,31.07,31.07,2140968,0.0,1.0
2016-05-20,31.11,31.63,31.02,31.31,31.31,762930,0.0,1.0
2016-05-23,31.24,31.4,30.98,31.02,31.02,282083,0.0,1.0
2016-05-24,30.91,31.67,30.91,31.51,31.51,659025,0.0,1.0
2016-05-25,31.52,31.78,31.29,31.62,31.62,548636,0.0,1.0
2016-05-26,31.55,31.945,31.37,31.4,31.4,434585,0.0,1.0
2016-05-27,31.37,31.74,31.275,31.54,31.54,446667,0.0,1.0
2016-05-31,31.78,31.78,31.3,31.45,31.45,1133741,0.0,1.0
2016-06-01,31.18,31.77,30.69,31.66,31.66,1610513,0.0,1.0
2016-06-02,31.55,31.85,31.51,31.61,31.61,495183,0.0,1.0
2016-06-03,31.52,31.6,28.4838,31.47,31.47,885214,0.0,1.0
2016-06-06,31.41,31.88,31.29,31.31,31.31,562122,0.0,1.0
2016-06-07,31.2,31.54,31.12,31.34,31.34,446410,0.0,1.0
2016-06-08,31.28,31.67,31.28,31.43,31.43,380843,0.0,1.0
2016-06-09,31.23,31.765,31.23,31.73,31.73,455829,0.0,1.0
2016-06-10,31.54,31.64,31.2,31.45,31.45,427791,0.0,1.0
2016-06-13,31.33,31.49,30.66,30.75,30.75,556269,0.0,1.0
2016-06-14,30.66,30.85,30.36,30.48,30.48,454066,0.0,1.0
2016-06-15,30.42,30.97,30.42,30.5,30.5,532892,0.0,1.0
2016-06-16,30.31,30.84,30.1,30.75,30.75,338506,0.0,1.0
2016-06-17,30.58,31.05,29.95,30.05,30.05,5110675,0.0,1.0
2016-06-20,30.65,30.8,29.94,30.185,30.185,1266415,0.0,1.0
2016-06-21,30.12,30.14,29.54,29.58,29.58,914713,0.0,1.0
2016-06-22,29.68,29.98,29.2752,29.96,29.96,1753573,0.0,1.0
2016-06-23,30.15,31.47,29.64,31.41,31.41,2372293,0.0,1.0
2016-06-24,29.9,30.99,29.9,30.39,30.39,2117300,0.0,1.0
2016-06-27,30.14,30.4,29.01,29.29,29.29,819422,0.0,1.0
2016-06-28,29.63,30.06,29.22,30.0,30.0,1548557,0.0,1.0
2016-06-29,30.34,30.8,30.03,30.39,30.39,779844,0.0,1.0
2016-06-30,30.42,30.99,30.12,30.87,30.87,832060,0.0,1.0
2016-07-01,30.91,31.32,30.75,31.22,31.22,655380,0.0,1.0
2016-07-05,30.95,31.38,30.52,31.14,31.14,618261,0.0,1.0
2016-07-06,30.94,31.4,30.5112,31.3,31.3,493735,0.0,1.0
2016-07-07,31.25,31.88,31.17,31.5,31.5,630494,0.0,1.0
2016-07-08,31.77,32.19,31.69,32.03,32.03,514249,0.0,1.0
2016-07-11,32.15,32.38,32.02,32.3,32.3,240796,0.0,1.0
2016-07-12,32.4,32.59,31.82,31.86,31.86,361557,0.0,1.0
2016-07-13,31.88,32.37,31.71,32.33,32.33,457326,0.0,1.0
2016-07-14,32.45,33.0,32.16,32.92,32.92,578330,0.0,1.0
2016-07-15,32.85,33.09,32.68,33.06,33.06,389701,0.0,1.0
2016-07-18,33.01,33.33,32.66,33.24,33.24,338375,0.0,1.0
2016-07-19,33.1,33.67,33.1,33.63,33.63,735615,0.0,1.0
2016-07-20,33.65,33.93,33.46,33.9,33.9,577357,0.0,1.0
2016-07-21,33.8,33.99,33.52,33.92,33.92,422255,0.0,1.0
2016-07-22,33.88,34.31,33.66,34.24,34.24,532772,0.0,1.0
2016-07-25,34.1,34.23,33.39,33.4,33.4,471799,0.0,1.0
2016-07-26,33.45,35.05,33.45,34.83,34.83,752955,0.0,1.0
2016-07-27,34.9,35.5,34.76,35.25,35.25,317602,0.0,1.0
2016-07-28,35.26,35.28,34.43,34.93,34.93,424416,0.0,1.0
2016-07-29,34.95,35.43,34.61,35.25,35.25,504378,0.0,1.0
2016-08-01,35.13,35.18,34.52,34.62,34.62,423303,0.0,1.0
2016-08-02,34.6,34.71,33.7,33.93,33.93,726596,0.0,1.0
2016-08-03,33.66,34.01,33.65,33.92,33.92,299504,0.0,1.0
2016-08-04,33.97,34.1299,33.49,33.53,33.53,344894,0.0,1.0
2016-08-05,33.68,34.02,33.325,33.69,33.69,571066,0.0,1.0
2016-08-08,33.63,33.82,32.91,33.16,33.16,910073,0.0,1.0
2016-08-09,33.27,33.63,32.56,32.86,32.86,599632,0.0,1.0
2016-08-10,32.78,33.305,32.64,33.02,33.02,491130,0.0,1.0
2016-08-11,33.21,33.48,32.94,33.39,33.39,306751,0.0,1.0
2016-08-12,33.47,33.47,33.08,33.2,33.2,267321,0.0,1.0
2016-08-15,33.1,33.44,32.75,33.3,33.3,364216,0.0,1.0
2016-08-16,33.14,33.54,33.0,33.39,33.39,456236,0.0,1.0
2016-08-17,33.38,33.4112,33.01,33.26,33.26,513590,0.0,1.0
2016-08-18,33.13,33.59,32.63,32.75,32.75,510719,0.0,1.0
2016-08-19,32.55,32.66,32.43,32.62,32.62,292924,0.0,1.0
2016-08-22,32.49,32.81,32.3,32.42,32.42,314564,0.0,1.0
2016-08-23,32.48,32.78,32.33,32.51,32.51,588077,0.0,1.0
2016-08-24,32.41,32.57,32.005,32.12,32.12,486116,0.0,1.0
2016-08-25,32.21,32.78,32.03,32.73,32.73,728439,0.0,1.0
2016-08-26,32.74,33.07,32.41,32.99,32.99,786125,0.0,1.0
2016-08-29,33.12,33.36,32.99,33.16,33.16,465008,0.0,1.0
2016-08-30,33.16,33.36,32.79,33.3,33.3,700178,0.0,1.0
2016-08-31,33.27,33.47,32.89,33.23,33.23,505636,0.0,1.0
2016-09-01,33.12,33.39,32.71,33.25,33.25,632743,0.0,1.0
2016-09-02,33.36,33.57,33.21,33.52,33.52,477589,0.0,1.0
2016-09-06,33.33,33.69,33.19,33.51,33.51,846829,0.0,1.0
2016-09-07,33.51,33.89,33.27,33.88,33.88,2109664,0.0,1.0
2016-09-08,33.93,34.0499,33.58,33.94,33.94,732245,0.0,1.0
2016-09-09,33.72,33.87,33.05,33.19,33.19,1479444,0.0,1.0
2016-09-12,33.06,33.72,32.91,33.67,33.67,1649135,0.0,1.0
2016-09-13,33.32,33.48,32.78,32.95,32.95,511912,0.0,1.0
2016-09-14,32.82,33.04,32.665,32.99,32.99,620280,0.0,1.0
2016-09-15,32.87,33.29,32.79,33.25,33.25,347301,0.0,1.0
2016-09-16,33.19,33.42,32.13,32.35,32.35,4368915,0.0,1.0
2016-09-19,32.37,33.24,32.37,32.76,32.76,741332,0.0,1.0
2016-09-20,32.91,32.93,32.58,32.87,32.87,412743,0.0,1.0
2016-09-21,32.92,33.34,32.74,33.27,33.27,389438,0.0,1.0
2016-09-22,33.24,33.59,33.24,33.37,33.37,588740,0.0,1.0
2016-09-23,33.2,33.56,33.13,33.36,33.36,527340,0.0,1.0
2016-09-26,33.18,33.395,33.04,33.09,33.09,689347,0.0,1.0
2016-09-27,33.02,33.26,32.97,33.18,33.18,779895,0.0,1.0
2016-09-28,33.15,33.15,32.84,32.97,32.97,499686,0.0,1.0
2016-09-29,32.86,33.15,32.7861,32.92,32.92,688403,0.0,1.0
2016-09-30,33.2,33.455,32.9375,33.41,33.41,1153117,0.0,1.0
2016-10-03,33.46,33.76,33.33,33.67,33.67,637648,0.0,1.0
2016-10-04,33.7,33.76,33.2,33.44,33.44,961561,0.0,1.0
2016-10-05,33.49,33.59,33.04,33.06,33.06,365200,0.0,1.0
2016-10-06,32.85,33.11,32.8,32.99,32.99,299681,0.0,1.0
2016-10-07,33.07,33.07,32.61,32.84,32.84,240356,0.0,1.0
2016-10-10,32.98,33.11,32.59,32.72,32.72,479997,0.0,1.0
2016-10-11,32.73,32.73,32.01,32.1,32.1,550556,0.0,1.0
2016-10-12,32.1,32.23,32.01,32.13,32.13,446061,0.0,1.0
2016-10-13,31.96,32.26,31.34,32.13,32.13,443697,0.0,1.0
2016-10-14,32.24,32.665,32.24,32.31,32.31,516254,0.0,1.0
2016-10-17,32.31,32.52,32.21,32.35,32.35,463233,0.0,1.0
2016-10-18,32.64,32.79,32.52,32.74,32.74,587655,0.0,1.0
2016-10-19,32.64,33.25,32.56,33.17,33.17,589572,0.0,1.0
2016-10-20,33.17,33.42,33.03,33.13,33.13,410764,0.0,1.0
2016-10-21,32.92,33.36,32.84,33.31,33.31,404216,0.0,1.0
2016-10-24,33.59,33.65,33.29,33.46,33.46,287597,0.0,1.0
2016-10-25,33.39,33.72,33.385,33.71,33.71,465732,0.0,1.0
2016-10-26,33.62,33.94,33.46,33.9,33.9,559532,0.0,1.0
2016-10-27,33.95,33.985,32.59,32.72,32.72,1202891,0.0,1.0
2016-10-28,32.63,33.32,32.63,32.95,32.95,573978,0.0,1.0
2016-10-31,33.08,33.4,32.96,33.19,33.19,393402,0.0,1.0
2016-11-01,33.3,33.36,32.68,32.8,32.8,433975,0.0,1.0
2016-11-02,32.85,32.96,32.34,32.37,32.37,595995,0.0,1.0
2016-11-03,32.51,32.6888,32.13,32.23,32.23,425722,0.0,1.0
2016-11-04,32.21,32.68,32.17,32.22,32.22,588519,0.0,1.0
2016-11-07,32.58,33.055,32.51,32.99,32.99,583320,0.0,1.0
2016-11-08,32.83,33.62,32.83,33.27,33.27,833519,0.0,1.0
2016-11-09,32.88,33.82,32.34,33.55,33.55,625429,0.0,1.0
2016-11-10,33.57,34.18,33.41,33.79,33.79,936310,0.0,1.0
2016-11-11,33.54,34.33,33.44,34.13,34.13,636182,0.0,1.0
2016-11-14,34.23,35.35,34.23,34.9,34.9,728090,0.0,1.0
2016-11-15,35.02,35.88,34.71,35.85,35.85,742570,0.0,1.0
2016-11-16,35.71,35.75,35.15,35.42,35.42,538672,0.0,1.0
2016-11-17,35.4,35.8,35.22,35.63,35.63,558919,0.0,1.0
2016-11-18,35.63,36.12,35.61,36.02,36.02,595581,0.0,1.0
2016-11-21,36.0,36.2,35.86,35.95,35.95,582685,0.0,1.0
2016-11-22,36.15,36.36,35.8,36.19,36.19,419780,0.0,1.0
2016-11-23,36.1,36.3,35.9,35.99,35.99,568347,0.0,1.0
2016-11-25,35.98,36.18,35.98,36.07,36.07,98613,0.0,1.0
2016-11-28,35.86,35.95,35.33,35.37,35.37,257092,0.0,1.0
2016-11-29,35.27,35.91,35.27,35.77,35.77,751740,0.0,1.0
2016-11-30,35.98,36.05,35.58,35.76,35.76,568037,0.0,1.0
2016-12-01,35.77,36.08,35.45,35.92,35.92,592240,0.0,1.0
2016-12-02,35.81,36.08,33.32,33.94,33.94,1106080,0.0,1.0
2016-12-05,33.94,34.49,33.81,34.21,34.21,952886,0.0,1.0
2016-12-06,34.2,34.81,34.2,34.74,34.74,635593,0.0,1.0
2016-12-07,34.84,35.57,34.6,35.26,35.26,562286,0.0,1.0
2016-12-08,35.37,35.66,35.17,35.37,35.37,371637,0.0,1.0
2016-12-09,35.51,35.7,35.0,35.16,35.16,674444,0.0,1.0
2016-12-12,35.27,35.27,34.07,34.09,34.09,800178,0.0,1.0
2016-12-13,34.09,34.62,34.09,34.49,34.49,1097057,0.0,1.0
2016-12-14,34.5,35.035,34.3,34.67,34.67,641726,0.0,1.0
2016-12-15,34.57,34.75,34.22,34.29,34.29,367008,0.0,1.0
2016-12-16,34.23,34.73,34.07,34.29,34.29,1017851,0.0,1.0
2016-12-19,34.18,34.55,34.133,34.22,34.22,396291,0.0,1.0
2016-12-20,34.38,34.755,33.91,34.73,34.73,212883,0.0,1.0
2016-12-21,34.82,34.89,34.54,34.76,34.76,287227,0.0,1.0
2016-12-22,34.77,34.77,33.1421,34.54,34.54,273042,0.0,1.0
2016-12-23,34.48,34.63,34.3101,34.53,34.53,398108,0.0,1.0
2016-12-27,34.69,34.77,34.43,34.44,34.44,120529,0.0,1.0
2016-12-28,34.5,34.5,34.03,34.19,34.19,244053,0.0,1.0
2016-12-29,34.13,34.3,33.825,33.92,33.92,333299,0.0,1.0
2016-12-30,34.03,34.23,33.66,33.92,33.92,517730,0.0,1.0
2017-01-03,33.62,34.29,33.62,34.1,34.1,619469,0.0,1.0
2017-01-04,34.33,34.585,34.12,34.45,34.45,612828,0.0,1.0
2017-01-05,34.44,35.02,34.44,34.89,34.89,483082,0.0,1.0
2017-01-06,34.99,34.99,34.41,34.46,34.46,518837,0.0,1.0
2017-01-09,34.29,35.02,34.29,34.79,34.79,870762,0.0,1.0
2017-01-10,34.71,35.19,34.49,35.08,35.08,486344,0.0,1.0
2017-01-11,35.22,35.22,34.55,34.72,34.72,243578,0.0,1.0
2017-01-12,34.78,34.78,34.11,34.52,34.52,395050,0.0,1.0
2017-01-13,34.68,35.07,34.55,34.93,34.93,573095,0.0,1.0
2017-01-17,34.69,34.89,34.51,34.67,34.67,326115,0.0,1.0
2017-01-18,34.63,35.18,34.46,35.08,35.08,532137,0.0,1.0
2017-01-19,35.26,35.26,34.73,34.95,34.95,597531,0.0,1.0
2017-01-20,34.84,35.19,34.69,35.08,35.08,355843,0.0,1.0
2017-01-23,34.1,35.37,34.1,34.86,34.86,1533611,0.0,1.0
2017-01-24,34.83,35.23,34.4717,34.88,34.88,718475,0.0,1.0
2017-01-25,35.11,35.33,34.88,34.92,34.92,693186,0.0,1.0
2017-01-26,35.03,35.89,35.03,35.66,35.66,554685,0.0,1.0
2017-01-27,35.56,36.07,35.42,35.97,35.97,523877,0.0,1.0
2017-01-30,35.33,35.8,35.33,35.75,35.75,568255,0.0,1.0
2017-01-31,35.75,36.03,35.45,35.89,35.89,446964,0.0,1.0
2017-02-01,36.05,36.38,35.82,36.35,36.35,428229,0.0,1.0
2017-02-02,36.47,36.47,35.85,35.93,35.93,670753,0.0,1.0
2017-02-03,35.88,36.39,35.88,36.38,36.38,298681,0.0,1.0
2017-02-06,36.22,36.56,36.04,36.38,36.38,408206,0.0,1.0
2017-02-07,36.4,36.42,35.83,35.93,35.93,321075,0.0,1.0
2017-02-08,35.76,35.99,35.43,35.775,35.775,257676,0.0,1.0
2017-02-09,36.0,36.04,35.626,35.75,35.75,182803,0.0,1.0
2017-02-10,35.97,35.97,35.4,35.8,35.8,155491,0.0,1.0
2017-02-13,35.87,36.05,35.66,35.82,35.82,235414,0.0,1.0
2017-02-14,35.62,36.18,35.49,35.63,35.63,311796,0.0,1.0
2017-02-15,35.85,37.33,35.8,37.25,37.25,788561,0.0,1.0
2017-02-16,37.51,37.872,37.41,37.78,37.78,476232,0.0,1.0
2017-02-17,37.57,38.04,37.37,37.86,37.86,226785,0.0,1.0
2017-02-21,37.96,38.8,37.77,38.73,38.73,288731,0.0,1.0
2017-02-22,39.51,39.8,38.21,39.07,39.07,532434,0.0,1.0
2017-02-23,38.95,39.38,38.4,38.52,38.52,229942,0.0,1.0
2017-02-24,38.41,38.93,38.25,38.71,38.71,324713,0.0,1.0
2017-02-27,38.87,39.21,38.79,39.19,39.19,301011,0.0,1.0
2017-02-28,39.11,39.38,38.53,38.93,38.93,602698,0.0,1.0
2017-03-01,39.3,39.44,39.02,39.24,39.24,224061,0.0,1.0
2017-03-02,39.12,39.23,38.71,39.01,39.01,285181,0.0,1.0
2017-03-03,38.94,39.13,38.681,38.78,38.78,298237,0.0,1.0
2017-03-06,38.81,38.81,38.47,38.51,38.51,311203,0.0,1.0
2017-03-07,38.63,38.91,38.48,38.63,38.63,536439,0.0,1.0
2017-03-08,38.53,38.95,38.52,38.59,38.59,359067,0.0,1.0
2017-03-09,38.74,38.85,37.95,38.22,38.22,374725,0.0,1.0
2017-03-10,38.47,38.6,38.115,38.16,38.16,499668,0.0,1.0
2017-03-13,38.3,39.78,37.99,39.37,39.37,914857,0.0,1.0
2017-03-14,39.38,39.53,38.94,39.45,39.45,377465,0.0,1.0
2017-03-15,39.42,39.69,38.9,38.95,38.95,362565,0.0,1.0
2017-03-16,38.95,39.09,38.51,38.93,38.93,252289,0.0,1.0
2017-03-17,39.13,39.76,38.851,39.38,39.38,778120,0.0,1.0
2017-03-20,39.23,39.66,39.09,39.21,39.21,200915,0.0,1.0
2017-03-21,39.25,39.73,38.63,38.7,38.7,618876,0.0,1.0
2017-03-22,38.39,38.43,37.72,38.02,38.02,596115,0.0,1.0
2017-03-23,37.8,38.89,37.8,38.67,38.67,694120,0.0,1.0
2017-03-24,38.68,38.85,37.98,38.18,38.18,267526,0.0,1.0
2017-03-27,38.03,38.42,37.81,38.27,38.27,265170,0.0,1.0
2017-03-28,38.4,38.82,38.13,38.5,38.5,272352,0.0,1.0
2017-03-29,38.62,38.64,38.335,38.55,38.55,189188,0.0,1.0
2017-03-30,38.68,39.225,38.45,39.06,39.06,423029,0.0,1.0
2017-03-31,38.82,39.09,37.172,38.78,38.78,454781,0.0,1.0
2017-04-03,38.94,39.08,38.21,38.55,38.55,333809,0.0,1.0
