timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-02-10,35.0,38.88,33.63,36.63,366.3,6000,0.0,1.0
2000-02-11,38.0,38.0,35.75,35.88,358.8,37000,0.0,1.0
2000-02-14,36.38,36.38,33.25,33.75,337.5,25000,0.0,1.0
2000-02-15,34.75,36.0,34.13,35.88,358.8,496000,0.0,1.0
2000-02-16,35.88,40.19,34.88,39.38,393.8,2244000,0.0,1.0
2000-02-17,40.0,40.5,38.0,39.16,391.6,1477000,0.0,1.0
2000-02-18,39.38,39.38,35.0,36.44,364.4,1063000,0.0,1.0
2000-02-22,36.94,37.5,34.88,36.0,360.0,1086000,0.0,1.0
2000-02-23,36.75,36.75,35.5,35.63,356.3,672000,0.0,1.0
2000-02-24,37.69,37.88,30.5,33.31,333.1,996000,0.0,1.0
2000-02-25,32.78,33.0,29.06,30.44,304.4,812000,0.0,1.0
2000-02-28,29.63,30.13,29.5,29.75,297.5,600000,0.0,1.0
2000-02-29,30.0,31.0,29.88,30.56,305.6,576000,0.0,1.0
2000-03-01,31.38,35.0,31.25,34.88,348.8,1100000,0.0,1.0
2000-03-02,34.63,35.0,30.5,33.84,338.4,440000,0.0,1.0
2000-03-03,34.0,34.81,33.5,34.34,343.4,368000,0.0,1.0
2000-03-06,34.5,34.75,30.75,32.44,324.4,529000,0.0,1.0
2000-03-07,32.63,32.63,29.88,32.06,320.6,608000,0.0,1.0
2000-03-08,31.66,32.13,31.0,31.19,311.9,454000,0.0,1.0
2000-03-09,31.38,31.73,29.5,29.88,298.8,404000,0.0,1.0
2000-03-10,30.0,30.0,28.5,28.52,285.2,504000,0.0,1.0
2000-03-13,28.38,28.38,27.25,27.91,279.1,251000,0.0,1.0
2000-03-14,27.88,28.0,23.63,23.63,236.3,699000,0.0,1.0
2000-03-15,25.25,26.75,24.13,24.25,242.5,1260000,0.0,1.0
2000-03-16,25.75,25.75,23.94,24.03,240.3,965000,0.0,1.0
2000-03-17,23.88,23.94,23.56,23.63,236.3,787000,0.0,1.0
2000-03-20,23.69,23.75,22.56,22.94,229.4,460000,0.0,1.0
2000-03-21,23.0,23.0,18.44,20.0,200.0,1204000,0.0,1.0
2000-03-22,20.38,22.5,19.75,21.75,217.5,2382000,0.0,1.0
2000-03-23,26.0,27.44,23.5,25.83,258.3,4327000,0.0,1.0
2000-03-24,26.75,31.44,26.38,30.81,308.1,2313000,0.0,1.0
2000-03-27,31.69,31.88,27.75,29.31,293.1,572000,0.0,1.0
2000-03-28,28.75,28.75,26.38,26.5,265.0,499000,0.0,1.0
2000-03-29,26.69,27.13,22.5,25.13,251.3,990000,0.0,1.0
2000-03-30,24.94,25.13,24.13,24.44,244.4,710000,0.0,1.0
2000-03-31,24.5,24.5,21.94,23.88,238.8,785000,0.0,1.0
2000-04-03,23.5,24.0,20.75,21.25,212.5,239000,0.0,1.0
2000-04-04,21.56,21.88,17.69,19.63,196.3,659000,0.0,1.0
2000-04-05,18.25,21.0,17.88,20.81,208.1,573000,0.0,1.0
2000-04-06,20.91,24.0,20.88,21.94,219.4,273000,0.0,1.0
2000-04-07,22.13,22.25,20.88,21.19,211.9,345000,0.0,1.0
2000-04-10,22.13,22.31,21.19,21.44,214.4,249000,0.0,1.0
2000-04-11,20.5,21.0,19.27,20.06,200.6,278000,0.0,1.0
2000-04-12,20.0,20.06,17.38,17.63,176.3,346000,0.0,1.0
2000-04-13,18.63,19.0,17.0,17.0,170.0,317000,0.0,1.0
2000-04-14,16.5,16.56,11.5,12.56,125.6,595000,0.0,1.0
2000-04-17,12.13,12.63,10.5,11.25,112.5,543000,0.0,1.0
2000-04-18,11.69,14.13,11.63,13.5,135.0,2301000,0.0,1.0
2000-04-19,14.34,16.13,13.56,15.0,150.0,814000,0.0,1.0
2000-04-20,15.03,15.44,13.63,14.06,140.6,205000,0.0,1.0
2000-04-24,13.81,15.88,11.63,14.88,148.8,189000,0.0,1.0
2000-04-25,14.63,17.0,14.63,15.88,158.8,436000,0.0,1.0
2000-04-26,16.5,16.56,14.0,14.88,148.8,187000,0.0,1.0
2000-04-27,14.06,15.0,11.0,15.0,150.0,1393000,0.0,1.0
2000-04-28,15.25,16.63,14.88,16.44,164.4,609000,0.0,1.0
2000-05-01,16.5,19.31,16.0,19.0,190.0,371000,0.0,1.0
2000-05-02,19.0,19.13,17.88,17.94,179.4,124000,0.0,1.0
2000-05-03,17.69,18.63,17.63,18.38,183.8,227000,0.0,1.0
2000-05-04,18.13,19.63,18.13,19.0,190.0,94000,0.0,1.0
2000-05-05,18.75,20.0,18.63,20.0,200.0,346000,0.0,1.0
2000-05-08,19.78,19.88,17.75,18.88,188.8,183000,0.0,1.0
2000-05-09,19.0,19.0,17.75,17.88,178.8,202000,0.0,1.0
2000-05-10,17.88,17.88,15.5,16.44,164.4,401000,0.0,1.0
2000-05-11,16.52,17.38,16.5,17.06,170.6,145000,0.0,1.0
2000-05-12,17.06,17.38,16.75,17.19,171.9,302000,0.0,1.0
2000-05-15,16.91,17.25,16.63,17.13,171.3,233000,0.0,1.0
2000-05-16,16.88,17.88,16.63,16.81,168.1,141000,0.0,1.0
2000-05-17,16.81,17.13,14.13,15.5,155.0,351000,0.0,1.0
2000-05-18,15.88,16.0,15.25,15.31,153.1,53000,0.0,1.0
2000-05-19,15.25,15.31,13.5,14.63,146.3,111000,0.0,1.0
2000-05-22,14.75,15.05,13.0,15.0,150.0,102000,0.0,1.0
2000-05-23,14.88,15.13,13.63,14.25,142.5,144000,0.0,1.0
2000-05-24,14.13,15.19,12.63,15.13,151.3,85000,0.0,1.0
2000-05-25,15.0,15.13,13.25,13.75,137.5,145000,0.0,1.0
2000-05-26,13.0,13.88,12.5,13.75,137.5,135000,0.0,1.0
2000-05-30,13.38,15.13,13.25,14.94,149.4,85000,0.0,1.0
2000-05-31,14.63,15.25,13.75,15.0,150.0,201000,0.0,1.0
2000-06-01,15.0,15.31,14.88,15.25,152.5,483000,0.0,1.0
2000-06-02,15.63,17.63,15.56,17.44,174.4,222000,0.0,1.0
2000-06-05,17.0,18.75,16.63,17.13,171.3,89000,0.0,1.0
2000-06-06,17.38,17.94,16.13,16.13,161.3,190000,0.0,1.0
2000-06-07,16.13,16.44,15.5,16.38,163.8,56000,0.0,1.0
2000-06-08,16.44,16.44,14.94,15.0,150.0,101000,0.0,1.0
2000-06-09,15.0,15.38,13.5,14.38,143.8,193000,0.0,1.0
2000-06-12,14.38,15.0,13.44,14.38,143.8,50000,0.0,1.0
2000-06-13,14.25,15.44,14.25,15.19,151.9,158000,0.0,1.0
2000-06-14,15.19,17.13,15.19,16.44,164.4,216000,0.0,1.0
2000-06-15,16.25,16.44,15.2,15.5,155.0,177000,0.0,1.0
2000-06-16,16.44,17.94,13.38,17.5,175.0,391000,0.0,1.0
2000-06-19,17.06,17.25,15.94,16.06,160.6,354000,0.0,1.0
2000-06-20,16.5,16.5,15.13,15.56,155.6,149000,0.0,1.0
2000-06-21,15.56,16.13,15.44,15.69,156.9,115000,0.0,1.0
2000-06-22,15.81,16.0,14.88,15.38,153.8,142000,0.0,1.0
2000-06-23,15.38,15.5,14.69,14.81,148.1,197000,0.0,1.0
2000-06-26,14.56,14.75,13.5,14.13,141.3,307000,0.0,1.0
2000-06-27,14.0,14.13,12.94,13.0,130.0,151000,0.0,1.0
2000-06-28,13.19,13.38,11.88,11.94,119.4,237000,0.0,1.0
2000-06-29,12.63,12.81,11.5,11.56,115.6,368000,0.0,1.0
2000-06-30,12.25,12.81,12.19,12.75,127.5,347000,0.0,1.0
2000-07-03,12.63,13.31,12.5,12.75,127.5,421000,0.0,1.0
2000-07-05,13.25,13.56,12.25,12.25,122.5,229000,0.0,1.0
2000-07-06,12.5,12.63,12.0,12.25,122.5,226000,0.0,1.0
2000-07-07,12.38,14.0,12.0,14.0,140.0,501000,0.0,1.0
2000-07-10,13.75,16.13,13.75,15.63,156.3,246000,0.0,1.0
2000-07-11,15.75,16.31,15.5,16.0,160.0,273000,0.0,1.0
