timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,11.4375,11.625,11.3125,11.5,3.9659,44500,0.0,1.0
2000-01-04,11.5,11.63,11.38,11.56,3.9866,29000,0.0,1.0
2000-01-05,11.56,11.63,11.5,11.5,3.9659,37300,0.0,1.0
2000-01-06,11.56,11.75,11.56,11.75,4.0521,19800,0.0,1.0
2000-01-07,11.69,11.81,11.69,11.81,4.0728,20800,0.0,1.0
2000-01-10,11.81,11.94,11.69,11.81,4.0728,40200,0.0,1.0
2000-01-11,11.81,11.81,11.69,11.69,4.0314,25800,0.0,1.0
2000-01-12,11.56,11.69,11.5,11.69,4.0314,52600,0.0,1.0
2000-01-13,11.5,11.56,11.5,11.56,4.0093,14900,0.066,1.0
2000-01-14,11.5,11.56,11.5,11.56,4.0093,9300,0.0,1.0
2000-01-18,11.56,11.56,11.5,11.56,4.0093,9500,0.0,1.0
2000-01-19,11.5,11.63,11.44,11.56,4.0093,41100,0.0,1.0
2000-01-20,11.56,11.75,11.56,11.75,4.0752,37100,0.0,1.0
2000-01-21,11.75,11.81,11.69,11.81,4.0961,18400,0.0,1.0
2000-01-24,11.75,11.94,11.75,11.94,4.1411,26700,0.0,1.0
2000-01-25,11.88,12.0,11.88,11.94,4.1411,23000,0.0,1.0
2000-01-26,11.94,12.0,11.94,12.0,4.162,13900,0.0,1.0
2000-01-27,11.94,12.06,11.94,12.06,4.1828,13900,0.0,1.0
2000-01-28,12.06,12.06,11.88,11.88,4.1203,5500,0.0,1.0
2000-01-31,11.94,12.06,11.88,11.94,4.1411,38400,0.0,1.0
2000-02-01,12.0,12.06,11.94,11.94,4.1411,10900,0.0,1.0
2000-02-02,11.88,12.0,11.88,12.0,4.162,42800,0.0,1.0
2000-02-03,12.0,12.06,11.94,12.06,4.1828,27100,0.0,1.0
2000-02-04,12.06,12.06,12.0,12.06,4.1828,10600,0.0,1.0
2000-02-07,12.13,12.19,12.0,12.06,4.1828,38200,0.0,1.0
2000-02-08,12.0,12.19,12.0,12.19,4.2278,12500,0.0,1.0
2000-02-09,12.13,12.19,12.06,12.06,4.1828,21100,0.0,1.0
2000-02-10,12.06,12.25,12.06,12.13,4.207,44700,0.0,1.0
2000-02-11,12.19,12.25,12.13,12.25,4.2487,12100,0.0,1.0
2000-02-14,12.25,12.25,12.13,12.25,4.2487,15100,0.0,1.0
2000-02-15,12.13,12.13,12.0,12.13,4.2304,20500,0.0673,1.0
2000-02-16,12.06,12.13,12.06,12.13,4.2304,9300,0.0,1.0
2000-02-17,12.06,12.13,12.06,12.06,4.206,9600,0.0,1.0
2000-02-18,12.13,12.19,11.94,12.0,4.185,33500,0.0,1.0
2000-02-22,12.0,12.06,11.94,12.06,4.206,24000,0.0,1.0
2000-02-23,12.0,12.0,11.94,12.0,4.185,18500,0.0,1.0
2000-02-24,12.0,12.13,11.88,12.13,4.2304,26300,0.0,1.0
2000-02-25,12.13,12.13,12.0,12.06,4.206,8500,0.0,1.0
2000-02-28,12.13,12.13,12.0,12.0,4.185,5900,0.0,1.0
2000-02-29,12.06,12.13,11.88,11.94,4.1641,40100,0.0,1.0
2000-03-01,11.81,12.0,11.81,12.0,4.185,26500,0.0,1.0
2000-03-02,11.88,12.06,11.88,11.94,4.1641,43200,0.0,1.0
2000-03-03,11.88,12.0,11.88,11.88,4.1432,13800,0.0,1.0
2000-03-06,11.81,11.88,11.81,11.81,4.1188,10900,0.0,1.0
2000-03-07,11.81,11.88,11.81,11.88,4.1432,23400,0.0,1.0
2000-03-08,11.88,12.0,11.88,11.94,4.1641,15100,0.0,1.0
2000-03-09,11.94,12.06,11.94,12.06,4.206,18400,0.0,1.0
2000-03-10,12.06,12.06,11.94,11.94,4.1641,22700,0.0,1.0
2000-03-13,11.94,12.06,11.94,12.06,4.206,28800,0.0,1.0
2000-03-14,11.94,12.13,11.94,12.13,4.2304,26400,0.0,1.0
2000-03-15,12.0,12.0,12.0,12.0,4.2085,7800,0.0673,1.0
2000-03-16,12.0,12.06,11.94,12.0,4.2085,4900,0.0,1.0
2000-03-17,12.0,12.06,12.0,12.0,4.2085,14900,0.0,1.0
2000-03-20,11.94,12.0,11.94,12.0,4.2085,9200,0.0,1.0
2000-03-21,12.0,12.0,11.94,12.0,4.2085,16700,0.0,1.0
2000-03-22,11.94,12.13,11.81,12.13,4.2541,28900,0.0,1.0
2000-03-23,12.0,12.19,12.0,12.06,4.2296,22900,0.0,1.0
2000-03-24,12.06,12.19,12.06,12.13,4.2541,42800,0.0,1.0
2000-03-27,12.19,12.19,12.19,12.19,4.2751,6400,0.0,1.0
2000-03-28,12.25,12.31,12.25,12.31,4.3172,12600,0.0,1.0
2000-03-29,12.31,12.44,12.31,12.44,4.3628,41300,0.0,1.0
2000-03-30,12.44,12.5,12.38,12.44,4.3628,33800,0.0,1.0
2000-03-31,12.44,12.75,12.44,12.69,4.4505,45900,0.0,1.0
2000-04-03,12.69,12.81,12.69,12.81,4.4926,11500,0.0,1.0
2000-04-04,12.75,12.88,12.69,12.81,4.4926,30700,0.0,1.0
2000-04-05,12.81,13.19,12.81,12.94,4.5382,36500,0.0,1.0
2000-04-06,12.94,13.0,12.81,12.81,4.4926,19200,0.0,1.0
2000-04-07,12.94,12.94,12.88,12.88,4.5171,5200,0.0,1.0
2000-04-10,12.94,13.0,12.81,12.94,4.5382,15500,0.0,1.0
2000-04-11,13.0,13.06,12.88,12.94,4.5382,35200,0.0,1.0
2000-04-12,13.0,13.06,13.0,13.06,4.5803,14900,0.0,1.0
2000-04-13,13.06,13.06,13.0,13.0,4.5828,13700,0.0673,1.0
2000-04-14,13.0,13.06,13.0,13.0,4.5828,22200,0.0,1.0
2000-04-17,13.0,13.0,12.88,12.88,4.5405,14600,0.0,1.0
2000-04-18,12.88,12.94,12.81,12.88,4.5405,12800,0.0,1.0
2000-04-19,12.88,12.88,12.81,12.81,4.5158,4000,0.0,1.0
2000-04-20,12.88,13.0,12.63,12.63,4.4524,25300,0.0,1.0
2000-04-24,12.75,12.75,12.69,12.69,4.4735,2800,0.0,1.0
2000-04-25,12.63,12.69,12.56,12.69,4.4735,31900,0.0,1.0
2000-04-26,12.69,12.81,12.69,12.75,4.4947,32900,0.0,1.0
2000-04-27,12.81,12.81,12.69,12.69,4.4735,25300,0.0,1.0
2000-04-28,12.75,12.81,12.75,12.75,4.4947,35400,0.0,1.0
2000-05-01,12.81,12.88,12.38,12.5,4.4066,47800,0.0,1.0
2000-05-02,12.5,12.56,12.38,12.38,4.3643,18500,0.0,1.0
2000-05-03,12.38,12.38,12.25,12.38,4.3643,8600,0.0,1.0
2000-05-04,12.38,12.38,12.31,12.38,4.3643,7000,0.0,1.0
2000-05-05,12.38,12.44,12.19,12.38,4.3643,33800,0.0,1.0
2000-05-08,12.38,12.38,12.38,12.38,4.3643,3700,0.0,1.0
2000-05-09,12.44,12.5,12.38,12.5,4.4066,26900,0.0,1.0
2000-05-10,12.5,12.5,12.25,12.31,4.3396,22600,0.0,1.0
2000-05-11,12.31,12.38,12.25,12.31,4.3396,9700,0.0,1.0
2000-05-12,12.25,12.25,12.13,12.19,4.321,8200,0.0673,1.0
2000-05-15,12.19,12.31,12.0,12.13,4.2997,31400,0.0,1.0
2000-05-16,12.13,12.13,12.06,12.13,4.2997,18500,0.0,1.0
2000-05-17,12.19,12.25,12.06,12.25,4.3423,19600,0.0,1.0
2000-05-18,12.13,12.13,12.0,12.13,4.2997,25600,0.0,1.0
2000-05-19,12.06,12.13,12.0,12.06,4.2749,13400,0.0,1.0
2000-05-22,12.13,12.38,12.06,12.25,4.3423,35800,0.0,1.0
2000-05-23,12.25,12.44,12.25,12.44,4.4096,6800,0.0,1.0
2000-05-24,12.44,12.44,12.25,12.38,4.3884,14600,0.0,1.0
2000-05-25,12.25,12.44,12.19,12.38,4.3884,21900,0.0,1.0
2000-05-26,12.44,12.44,12.25,12.31,4.3635,30900,0.0,1.0
2000-05-30,12.38,12.38,12.25,12.31,4.3635,11100,0.0,1.0
2000-05-31,12.38,12.5,12.38,12.5,4.4309,29200,0.0,1.0
2000-06-01,12.56,12.56,12.56,12.56,4.4522,7600,0.0,1.0
2000-06-02,12.63,12.63,12.63,12.63,4.477,4400,0.0,1.0
2000-06-05,12.75,12.75,12.69,12.69,4.4982,7200,0.0,1.0
2000-06-06,12.69,12.75,12.63,12.69,4.4982,12000,0.0,1.0
2000-06-07,12.69,12.81,12.63,12.69,4.4982,15500,0.0,1.0
2000-06-08,12.69,12.69,12.56,12.69,4.4982,13200,0.0,1.0
2000-06-09,12.63,12.88,12.63,12.81,4.5408,40100,0.0,1.0
2000-06-12,12.94,13.13,12.94,13.0,4.6081,16400,0.0,1.0
2000-06-13,12.94,12.94,12.94,12.94,4.5869,4500,0.0,1.0
2000-06-14,13.0,13.06,12.69,12.75,4.5195,22400,0.0,1.0
2000-06-15,12.69,12.75,12.56,12.69,4.5221,11700,0.0673,1.0
2000-06-16,12.75,12.81,12.75,12.81,4.5649,6500,0.0,1.0
2000-06-19,12.69,12.88,12.63,12.81,4.5649,11900,0.0,1.0
2000-06-20,12.75,12.88,12.63,12.88,4.5898,22200,0.0,1.0
2000-06-21,12.75,12.88,12.75,12.88,4.5898,5800,0.0,1.0
2000-06-22,12.88,12.94,12.81,12.81,4.5649,14900,0.0,1.0
2000-06-23,12.81,12.94,12.75,12.94,4.6112,31300,0.0,1.0
2000-06-26,12.94,13.0,12.88,12.88,4.5898,16300,0.0,1.0
2000-06-27,12.94,13.13,12.94,13.0,4.6326,43200,0.0,1.0
2000-06-28,13.0,13.06,12.94,13.0,4.6326,18100,0.0,1.0
2000-06-29,13.06,13.06,12.94,13.06,4.6539,13600,0.0,1.0
2000-06-30,13.06,13.25,13.06,13.25,4.7217,42700,0.0,1.0
2000-07-03,13.19,13.31,13.19,13.31,4.743,3400,0.0,1.0
2000-07-05,13.31,13.31,13.25,13.25,4.7217,7100,0.0,1.0
2000-07-06,13.31,13.5,13.31,13.5,4.8107,38900,0.0,1.0
2000-07-07,13.63,13.69,13.44,13.5,4.8107,16200,0.0,1.0
2000-07-10,13.44,13.5,13.44,13.5,4.8107,5600,0.0,1.0
2000-07-11,13.44,13.75,13.44,13.63,4.8571,27600,0.0,1.0
2000-07-12,13.56,13.56,13.44,13.44,4.7894,3300,0.0,1.0
2000-07-13,13.44,13.5,13.44,13.5,4.8347,2500,0.0673,1.0
2000-07-14,13.38,13.75,13.38,13.63,4.8813,39700,0.0,1.0
2000-07-17,13.63,13.75,13.63,13.75,4.9243,26800,0.0,1.0
2000-07-18,13.75,13.81,13.69,13.81,4.9457,12600,0.0,1.0
2000-07-19,13.69,13.81,13.69,13.81,4.9457,27300,0.0,1.0
2000-07-20,13.81,13.88,13.81,13.88,4.9708,19600,0.0,1.0
2000-07-21,13.94,13.94,13.88,13.88,4.9708,14400,0.0,1.0
2000-07-24,13.94,14.0,13.94,14.0,5.0138,23600,0.0,1.0
2000-07-25,14.06,14.06,13.94,13.94,4.9923,4400,0.0,1.0
2000-07-26,13.94,14.0,13.94,13.94,4.9923,1100,0.0,1.0
2000-07-27,13.94,14.0,13.94,13.94,4.9923,2200,0.0,1.0
2000-07-28,14.06,14.06,13.94,13.94,4.9923,2200,0.0,1.0
2000-07-31,14.0,14.06,14.0,14.0,5.0138,2800,0.0,1.0
2000-08-01,14.0,14.0,13.94,13.94,4.9923,9200,0.0,1.0
2000-08-02,13.94,13.94,13.75,13.75,4.9243,28900,0.0,1.0
2000-08-03,13.81,14.0,13.81,13.88,4.9708,6000,0.0,1.0
2000-08-04,14.0,14.06,13.88,14.0,5.0138,5300,0.0,1.0
2000-08-07,13.94,13.94,13.81,13.81,4.9457,5100,0.0,1.0
2000-08-08,13.88,14.06,13.81,13.81,4.9457,25700,0.0,1.0
2000-08-09,13.81,14.0,13.81,13.88,4.9708,14900,0.0,1.0
2000-08-10,13.88,13.94,13.81,13.94,4.9923,3500,0.0,1.0
2000-08-11,13.94,13.94,13.88,13.88,4.9708,2600,0.0,1.0
2000-08-14,13.88,14.0,13.81,14.0,5.0138,14600,0.0,1.0
2000-08-15,14.0,14.06,13.94,13.94,4.9923,11600,0.0,1.0
2000-08-16,13.81,13.81,13.81,13.81,4.9698,10800,0.0673,1.0
2000-08-17,13.88,13.88,13.75,13.75,4.9483,10900,0.0,1.0
2000-08-18,13.88,13.94,13.81,13.88,4.995,21300,0.0,1.0
2000-08-21,13.88,13.94,13.81,13.94,5.0166,7700,0.0,1.0
2000-08-22,13.88,13.88,13.81,13.81,4.9698,5700,0.0,1.0
2000-08-23,13.81,13.81,13.63,13.69,4.9267,20000,0.0,1.0
2000-08-24,13.75,13.88,13.69,13.88,4.995,8800,0.0,1.0
2000-08-25,13.88,14.19,13.88,14.19,5.1066,24500,0.0,1.0
2000-08-28,14.06,14.19,14.06,14.06,5.0598,9000,0.0,1.0
2000-08-29,14.13,14.25,14.13,14.25,5.1282,9300,0.0,1.0
2000-08-30,14.31,14.31,14.19,14.19,5.1066,13000,0.0,1.0
2000-08-31,14.25,14.31,14.25,14.25,5.1282,29800,0.0,1.0
2000-09-01,14.25,14.38,14.25,14.38,5.175,5500,0.0,1.0
2000-09-05,14.19,14.38,14.19,14.38,5.175,15600,0.0,1.0
2000-09-06,14.31,14.38,14.31,14.38,5.175,10200,0.0,1.0
2000-09-07,14.31,14.38,14.31,14.38,5.175,5900,0.0,1.0
2000-09-08,14.31,14.44,14.31,14.44,5.1966,4700,0.0,1.0
2000-09-11,14.31,14.56,14.31,14.56,5.2397,17000,0.0,1.0
2000-09-12,14.5,14.63,14.44,14.63,5.2649,13700,0.0,1.0
2000-09-13,14.63,14.63,14.38,14.38,5.175,12200,0.0,1.0
