timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-01-04,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-01-05,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-01-06,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-01-07,1.0,1.0,0.94,1.0,1.9005,22400,0.0,1.0
2000-01-10,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-01-11,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-01-12,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-01-13,0.88,0.88,0.88,0.88,1.6724,8000,0.0,1.0
2000-01-14,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-01-18,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-01-19,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-01-20,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-01-21,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-01-24,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-01-25,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-01-26,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-01-27,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-01-28,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-01-31,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-01,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-02,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-03,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-04,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-07,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-08,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-09,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-10,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-11,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-14,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-15,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-16,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-17,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-18,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-22,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-23,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-24,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-02-25,1.0,1.0,1.0,1.0,1.9005,1000,0.0,1.0
2000-02-28,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-02-29,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-03-01,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-03-02,1.0,1.0,1.0,1.0,1.9005,1000,0.0,1.0
2000-03-03,1.0,1.0,1.0,1.0,1.9005,4000,0.0,1.0
2000-03-06,1.0,1.0,1.0,1.0,1.9005,18400,0.0,1.0
2000-03-07,1.0,1.0,1.0,1.0,1.9005,1000,0.0,1.0
2000-03-08,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-03-09,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-03-10,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-03-13,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-03-14,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-03-15,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-03-16,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-03-17,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-03-20,0.75,0.88,0.63,0.75,1.4254,8400,0.0,1.0
2000-03-21,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-03-22,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-03-23,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-03-24,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-03-27,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-03-28,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-03-29,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-03-30,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-03-31,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-04-03,0.88,0.88,0.88,0.88,1.6724,35000,0.0,1.0
2000-04-04,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-05,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-06,0.88,0.88,0.88,0.88,1.6724,9000,0.0,1.0
2000-04-07,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-10,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-11,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-12,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-13,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-14,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-17,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-18,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-19,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-20,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-24,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-25,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-26,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-27,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-04-28,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-01,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-02,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-03,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-04,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-05,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-08,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-09,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-10,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-11,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-12,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-15,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-16,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-17,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-18,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-05-19,0.75,0.75,0.75,0.75,1.4254,1400,0.0,1.0
2000-05-22,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-05-23,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-05-24,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-05-25,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-05-26,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-05-30,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-05-31,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-06-01,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-06-02,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-06-05,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-06-06,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-06-07,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-06-08,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-06-09,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-06-12,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-06-13,0.88,1.13,0.88,1.13,2.1476,17400,0.0,1.0
2000-06-14,0.88,0.88,0.88,0.88,1.6724,200,0.0,1.0
2000-06-15,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-06-16,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-06-19,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-06-20,1.0,1.0,1.0,1.0,1.9005,10000,0.0,1.0
2000-06-21,1.0,1.0,1.0,1.0,1.9005,4000,0.0,1.0
2000-06-22,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-06-23,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-06-26,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-06-27,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-06-28,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-06-29,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-06-30,1.0,1.0,1.0,1.0,1.9005,3400,0.0,1.0
2000-07-03,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-07-05,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-07-06,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-07-07,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-07-10,1.0,1.0,1.0,1.0,1.9005,6000,0.0,1.0
2000-07-11,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-07-12,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-07-13,0.88,0.88,0.88,0.88,1.6724,10000,0.0,1.0
2000-07-14,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-07-17,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-07-18,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-07-19,0.88,0.88,0.88,0.88,1.6724,0,0.0,1.0
2000-07-20,0.88,0.88,0.88,0.88,1.6724,8000,0.0,1.0
2000-07-21,0.75,0.75,0.75,0.75,1.4254,7200,0.0,1.0
2000-07-24,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-07-25,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-07-26,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-07-27,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-07-28,0.75,0.75,0.75,0.75,1.4254,0,0.0,1.0
2000-07-31,0.81,0.81,0.81,0.81,1.5394,4400,0.0,1.0
2000-08-01,0.81,0.81,0.81,0.81,1.5394,0,0.0,1.0
2000-08-02,0.81,0.81,0.81,0.81,1.5394,3800,0.0,1.0
2000-08-03,0.81,0.81,0.81,0.81,1.5394,0,0.0,1.0
2000-08-04,0.81,0.81,0.81,0.81,1.5394,0,0.0,1.0
2000-08-07,0.81,0.81,0.81,0.81,1.5394,0,0.0,1.0
2000-08-08,0.81,0.81,0.81,0.81,1.5394,0,0.0,1.0
2000-08-09,0.81,0.81,0.81,0.81,1.5394,0,0.0,1.0
2000-08-10,1.06,1.06,1.0,1.0,1.9005,36000,0.0,1.0
2000-08-11,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-08-14,1.0,1.0,1.0,1.0,1.9005,0,0.0,1.0
2000-08-15,0.93,0.93,0.93,0.93,1.7675,5400,0.0,1.0
2000-08-16,1.06,1.06,1.06,1.06,2.0145,6000,0.0,1.0
2000-08-17,1.06,1.06,1.06,1.06,2.0145,0,0.0,1.0
2000-08-18,1.06,1.06,1.06,1.06,2.0145,0,0.0,1.0
2000-08-21,1.0,1.0,0.81,0.81,1.5394,9400,0.0,1.0
2000-08-22,1.0,1.19,1.0,1.13,2.1476,29000,0.0,1.0
2000-08-23,1.19,1.25,1.19,1.19,2.2616,24400,0.0,1.0
2000-08-24,1.63,1.63,1.56,1.59,3.0218,87000,0.0,1.0
2000-08-25,1.75,1.75,1.63,1.69,3.2118,108600,0.0,1.0
2000-08-28,1.75,2.13,1.75,2.0,3.801,115600,0.0,1.0
2000-08-29,2.06,2.06,1.97,2.0,3.801,49600,0.0,1.0
2000-08-30,1.97,2.0,1.97,2.0,3.801,34400,0.0,1.0
2000-08-31,2.0,2.0,2.0,2.0,3.801,200,0.0,1.0
2000-09-01,1.94,1.97,1.94,1.97,3.744,6400,0.0,1.0
2000-09-05,1.88,1.94,1.81,1.88,3.5729,80000,0.0,1.0
2000-09-06,1.84,1.97,1.84,1.94,3.687,9600,0.0,1.0
2000-09-07,1.88,1.94,1.88,1.88,3.5729,26400,0.0,1.0
2000-09-08,1.91,1.91,1.88,1.88,3.5729,5000,0.0,1.0
2000-09-11,1.94,1.94,1.88,1.88,3.5729,9000,0.0,1.0
2000-09-12,1.94,2.03,1.88,2.0,3.801,99800,0.0,1.0
2000-09-13,2.16,2.88,1.5,2.81,5.3404,125000,0.0,1.0
2000-09-14,3.0,3.0,2.84,2.94,5.5875,81800,0.0,1.0
2000-09-15,2.97,3.56,2.91,3.53,6.7088,96800,0.0,1.0
2000-09-18,3.5,3.56,3.0,3.13,5.9486,119600,0.0,1.0
2000-09-19,3.06,3.06,3.0,3.0,5.7015,7400,0.0,1.0
2000-09-20,2.8,2.8,2.38,2.5,4.7512,67000,0.0,1.0
2000-09-21,2.69,2.69,2.13,2.25,4.2761,30000,0.0,1.0
2000-09-22,2.38,2.5,2.31,2.5,4.7512,16600,0.0,1.0
2000-09-25,2.19,2.19,2.19,2.19,4.1621,1400,0.0,1.0
2000-09-26,2.19,2.19,2.19,2.19,4.1621,2400,0.0,1.0
2000-09-27,2.19,2.19,2.0,2.06,3.915,42000,0.0,1.0
2000-09-28,2.06,2.56,2.06,2.56,4.8653,2000,0.0,1.0
2000-09-29,2.44,2.5,2.44,2.44,4.6372,12000,0.0,1.0
2000-10-02,2.5,2.5,2.5,2.5,4.7512,200,0.0,1.0
2000-10-03,2.31,2.31,2.19,2.19,4.1621,13400,0.0,1.0
2000-10-04,2.06,2.06,2.0,2.0,3.801,36800,0.0,1.0
2000-10-05,2.03,2.13,2.0,2.0,3.801,23400,0.0,1.0
2000-10-06,2.13,2.13,2.0,2.0,3.801,20200,0.0,1.0
2000-10-09,2.13,2.13,2.0,2.0,3.801,23600,0.0,1.0
2000-10-10,2.0,2.06,2.0,2.0,3.801,20000,0.0,1.0
2000-10-11,1.97,2.13,1.97,2.13,4.0481,13200,0.0,1.0
2000-10-12,2.13,2.88,2.13,2.88,5.4734,74800,0.0,1.0
2000-10-13,2.78,2.78,2.34,2.34,4.4472,19000,0.0,1.0
2000-10-16,2.48,2.48,2.13,2.13,4.0481,1400,0.0,1.0
2000-10-17,2.13,2.25,2.13,2.13,4.0481,3400,0.0,1.0
2000-10-18,2.38,2.38,2.38,2.38,4.5232,1000,0.0,1.0
2000-10-19,2.5,2.5,2.34,2.38,4.5232,5000,0.0,1.0
2000-10-20,2.5,2.5,2.22,2.38,4.5232,225200,0.0,1.0
2000-10-23,2.22,2.22,1.94,2.13,4.0481,63600,0.0,1.0
2000-10-24,2.06,2.06,1.88,2.0,3.801,73400,0.0,1.0
2000-10-25,2.0,2.0,1.94,2.0,3.801,37000,0.0,1.0
2000-10-26,2.0,2.03,1.94,2.0,3.801,36000,0.0,1.0
2000-10-27,1.94,2.0,1.88,2.0,3.801,41600,0.0,1.0
2000-10-30,2.0,2.0,1.97,1.97,3.744,6400,0.0,1.0
2000-10-31,2.0,2.0,1.94,2.0,3.801,64000,0.0,1.0
