timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,44.69,52.0,44.69,52.0,18.0519,245000,0.0,1.0
2000-01-04,48.25,50.31,45.31,49.88,17.3159,153100,0.0,1.0
2000-01-05,48.63,51.25,48.63,49.25,17.0972,127400,0.0,1.0
2000-01-06,50.53,50.56,45.31,45.63,15.8405,82500,0.0,1.0
2000-01-07,45.94,47.5,44.75,46.0,15.969,86800,0.0,1.0
2000-01-10,47.0,48.0,42.63,46.38,16.1009,316300,0.0,1.0
2000-01-11,45.63,50.75,43.5,49.38,17.1424,111200,0.0,1.0
2000-01-12,49.44,50.5,45.88,45.88,15.9273,434400,0.0,1.0
2000-01-13,46.38,46.5,44.19,46.06,15.9898,378000,0.0,1.0
2000-01-14,47.0,47.0,45.13,45.5,15.7954,207800,0.0,1.0
2000-01-18,45.81,49.88,45.06,45.06,15.6427,217300,0.0,1.0
2000-01-19,45.13,45.38,44.38,45.0,15.6218,289000,0.0,1.0
2000-01-20,44.63,48.0,44.63,47.38,16.4481,1539400,0.0,1.0
2000-01-21,48.5,58.78,47.38,57.56,19.9821,1047000,0.0,1.0
2000-01-24,55.75,57.13,51.5,51.5,17.8783,288300,0.0,1.0
2000-01-25,51.75,53.5,51.5,53.0,18.3991,172700,0.0,1.0
2000-01-26,52.56,52.88,51.13,51.5,17.8783,259000,0.0,1.0
2000-01-27,51.69,52.25,48.88,50.25,17.4444,907200,0.0,1.0
2000-01-28,43.88,50.13,43.5,48.0,16.6633,286200,0.0,1.0
2000-01-31,48.16,48.25,47.13,47.63,16.5349,46100,0.0,1.0
2000-02-01,47.81,47.81,44.5,45.25,15.7086,77000,0.0,1.0
2000-02-02,45.5,46.0,45.19,45.19,15.6878,159800,0.0,1.0
2000-02-03,46.13,46.13,42.38,44.63,15.4934,256400,0.0,1.0
2000-02-04,44.25,49.13,44.0,47.38,16.4481,221400,0.0,1.0
2000-02-07,47.25,52.19,47.25,49.0,17.0104,224800,0.0,1.0
2000-02-08,49.0,49.38,43.0,44.63,15.4934,256500,0.0,1.0
2000-02-09,44.0,45.88,44.0,44.75,15.5351,155200,0.0,1.0
2000-02-10,44.75,49.0,44.75,48.63,16.882,192800,0.0,1.0
2000-02-11,48.5,49.0,46.75,46.75,16.2294,47200,0.0,1.0
2000-02-14,47.5,49.5,47.0,48.63,16.882,146400,0.0,1.0
2000-02-15,49.25,49.5,44.88,46.0,15.969,151800,0.0,1.0
2000-02-16,46.06,47.38,44.0,47.31,16.4238,232100,0.0,1.0
2000-02-17,47.56,50.75,47.56,49.94,17.3368,727700,0.0,1.0
2000-02-18,50.06,50.25,49.75,50.0,17.3576,593600,0.0,1.0
2000-02-22,50.09,51.94,49.88,51.75,17.9651,311500,0.0,1.0
2000-02-23,51.86,52.0,50.5,51.5,17.8783,156300,0.0,1.0
2000-02-24,51.5,52.0,51.0,51.38,17.8367,114100,0.0,1.0
2000-02-25,52.0,72.75,52.0,60.88,21.1346,693800,0.0,1.0
2000-02-28,61.5,61.5,53.56,58.0,20.1348,178600,0.0,1.0
2000-02-29,59.13,71.0,58.0,69.0,23.9535,287300,0.0,1.0
2000-03-01,67.75,71.31,67.5,71.0,24.6478,324100,0.0,1.0
2000-03-02,71.25,72.0,60.0,70.5,24.4742,277700,0.0,1.0
2000-03-03,73.0,80.75,71.25,78.0,27.0779,466700,0.0,1.0
2000-03-06,78.28,78.5,70.0,73.0,25.3421,192900,0.0,1.0
2000-03-07,76.61,84.44,76.56,78.56,27.2723,2074100,0.0,1.0
2000-03-08,78.0,80.25,76.88,79.75,27.6854,311300,0.0,1.0
2000-03-09,78.0,89.63,78.0,86.0,29.8551,616700,0.0,1.0
2000-03-10,83.25,87.0,82.0,84.13,29.2059,361500,0.0,1.0
2000-03-13,80.88,86.0,79.75,83.0,28.8136,125500,0.0,1.0
2000-03-14,82.88,86.25,79.13,79.88,27.7305,336100,0.0,1.0
2000-03-15,79.13,82.0,78.13,78.88,27.3834,280200,0.0,1.0
2000-03-16,78.91,79.75,73.25,73.75,25.6025,326600,0.0,1.0
2000-03-17,73.88,76.0,73.0,73.0,25.3421,282900,0.0,1.0
2000-03-20,72.5,72.56,70.5,70.63,24.5193,136000,0.0,1.0
2000-03-21,70.28,70.28,57.31,63.88,22.1761,448800,0.0,1.0
2000-03-22,62.0,66.88,61.75,62.0,21.5234,91300,0.0,1.0
2000-03-23,61.75,63.0,61.5,62.0,21.5234,168000,0.0,1.0
2000-03-24,61.81,62.88,61.25,62.75,21.7838,201200,0.0,1.0
2000-03-27,63.34,63.38,60.31,60.31,20.9367,317200,0.0,1.0
2000-03-28,62.0,62.25,54.19,55.0,19.0934,115500,0.0,1.0
2000-03-29,54.63,58.5,51.75,54.75,19.0066,253000,0.0,1.0
2000-03-30,53.0,65.13,51.75,62.31,21.631,262400,0.0,1.0
2000-03-31,64.0,64.0,56.5,60.13,20.8743,221200,0.0,1.0
2000-04-03,58.25,60.25,49.0,50.0,17.3576,261300,0.0,1.0
2000-04-04,49.25,50.0,33.94,41.0,14.2332,881800,0.0,1.0
2000-04-05,40.63,44.25,40.13,43.56,15.1219,313700,0.0,1.0
2000-04-06,44.06,46.13,44.0,44.38,15.4066,395000,0.0,1.0
2000-04-07,45.88,51.63,45.0,48.19,16.7293,442100,0.0,1.0
2000-04-10,48.13,50.25,46.25,47.13,16.3613,340000,0.0,1.0
2000-04-11,47.19,47.19,39.56,40.38,14.018,221400,0.0,1.0
2000-04-12,40.75,41.5,32.25,33.0,11.456,265300,0.0,1.0
2000-04-13,33.97,35.56,28.0,31.19,10.8277,505500,0.0,1.0
2000-04-14,30.88,31.38,21.75,24.75,8.592,404100,0.0,1.0
2000-04-17,21.75,29.38,21.75,27.0,9.3731,372500,0.0,1.0
2000-04-18,27.5,30.23,24.81,28.06,9.7411,280200,0.0,1.0
2000-04-19,29.0,29.0,26.25,27.0,9.3731,136600,0.0,1.0
2000-04-20,26.63,28.38,25.63,26.5,9.1995,66200,0.0,1.0
2000-04-24,28.0,28.0,20.5,21.88,7.5957,191900,0.0,1.0
2000-04-25,22.44,24.81,19.38,24.81,8.6128,264000,0.0,1.0
2000-04-26,24.81,27.5,24.0,25.75,8.9392,359600,0.0,1.0
2000-04-27,25.25,30.0,25.13,30.0,10.4146,388500,0.0,1.0
2000-04-28,30.38,35.0,29.69,31.0,10.7617,561700,0.0,1.0
2000-05-01,30.69,41.0,30.63,37.88,13.1501,299700,0.0,1.0
2000-05-02,38.59,38.63,35.63,36.0,12.4975,123100,0.0,1.0
2000-05-03,36.84,36.94,33.0,34.38,11.9351,117000,0.0,1.0
2000-05-04,35.25,36.0,33.0,36.0,12.4975,56800,0.0,1.0
2000-05-05,35.5,36.0,33.94,34.5,11.9767,171300,0.0,1.0
2000-05-08,34.13,36.63,32.25,33.13,11.5011,31600,0.0,1.0
2000-05-09,33.19,35.63,30.38,34.88,12.1087,72100,0.0,1.0
2000-05-10,33.5,35.63,30.13,34.88,12.1087,157100,0.0,1.0
2000-05-11,34.75,37.25,34.5,37.25,12.9314,107500,0.0,1.0
2000-05-12,37.19,37.31,35.0,35.88,12.4558,86600,0.0,1.0
2000-05-15,35.94,38.38,35.88,38.38,13.3237,67800,0.0,1.0
2000-05-16,38.31,40.0,34.38,35.63,12.369,182100,0.0,1.0
2000-05-17,35.81,37.5,35.38,36.69,12.737,61100,0.0,1.0
2000-05-18,37.0,38.0,35.38,36.38,12.6294,60400,0.0,1.0
2000-05-19,36.0,36.25,35.88,35.88,12.4558,47500,0.0,1.0
2000-05-22,36.5,36.5,31.81,36.0,12.4975,74300,0.0,1.0
2000-05-23,36.0,36.0,33.0,33.13,11.5011,79600,0.0,1.0
2000-05-24,33.63,33.63,28.5,29.88,10.3729,138200,0.0,1.0
2000-05-25,29.75,31.06,29.0,29.38,10.1993,141100,0.0,1.0
2000-05-26,29.75,29.75,28.13,28.25,9.807,39300,0.0,1.0
2000-05-30,29.0,29.5,28.13,28.31,9.8279,119900,0.0,1.0
2000-05-31,29.0,29.06,28.0,28.63,9.939,154700,0.0,1.0
2000-06-01,28.75,28.75,26.75,27.56,9.5675,165700,0.0,1.0
2000-06-02,28.31,30.75,28.13,29.25,10.1542,450900,0.0,1.0
2000-06-05,28.06,28.81,27.25,27.56,9.5675,330700,0.0,1.0
2000-06-06,28.0,28.0,27.13,27.13,9.4182,447600,0.0,1.0
2000-06-07,27.25,27.88,26.75,27.56,9.5675,66000,0.0,1.0
2000-06-08,27.22,27.94,26.0,27.5,9.5467,786800,0.0,1.0
2000-06-09,28.0,31.56,27.5,28.98,10.0605,486400,0.0,1.0
2000-06-12,30.06,30.06,28.63,29.13,10.1125,188300,0.0,1.0
2000-06-13,29.31,30.88,28.88,30.38,10.5465,154600,0.0,1.0
2000-06-14,30.94,30.94,28.88,29.06,10.0882,167200,0.0,1.0
2000-06-15,28.94,29.75,28.63,29.44,10.2202,61800,0.0,1.0
2000-06-16,29.63,29.63,28.69,29.13,10.1125,182100,0.0,1.0
2000-06-19,29.03,29.5,28.88,29.31,10.175,280300,0.0,1.0
2000-06-20,29.13,29.31,28.75,28.94,10.0466,620200,0.0,1.0
2000-06-21,29.0,29.0,27.63,27.63,9.5918,96500,0.0,1.0
2000-06-22,28.63,28.69,27.75,28.25,9.807,380700,0.0,1.0
2000-06-23,28.0,28.25,26.25,27.06,9.3939,272400,0.0,1.0
2000-06-26,27.25,28.0,25.75,25.94,9.0051,255100,0.0,1.0
2000-06-27,25.97,26.25,25.88,26.06,9.0468,201400,0.0,1.0
2000-06-28,25.97,27.25,25.88,26.5,9.1995,356800,0.0,1.0
2000-06-29,26.19,28.88,25.75,28.5,9.8938,382400,0.0,1.0
2000-06-30,28.63,30.0,21.75,23.0,7.9845,973000,0.0,1.0
2000-07-03,23.0,29.38,22.94,27.75,9.6335,206800,0.0,1.0
2000-07-05,27.13,27.44,26.5,26.63,9.2447,178200,0.0,1.0
2000-07-06,26.88,27.5,25.88,27.13,9.4182,375800,0.0,1.0
2000-07-07,26.69,27.25,25.94,26.75,9.2863,168400,0.0,1.0
2000-07-10,26.63,30.25,26.63,29.06,10.0882,257200,0.0,1.0
2000-07-11,29.5,30.44,28.63,29.02,10.0744,262200,0.0,1.0
2000-07-12,30.66,30.69,27.63,29.13,10.1125,294800,0.0,1.0
2000-07-13,29.06,30.5,20.5,22.94,7.9637,2362500,0.0,1.0
