timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,12.19,12.38,12.19,12.38,3.9484,36400,0.0,1.0
2000-01-04,12.25,12.25,12.13,12.25,3.907,16600,0.0,1.0
2000-01-05,12.25,12.25,12.19,12.19,3.8878,10600,0.0,1.0
2000-01-06,12.19,12.38,12.19,12.31,3.9261,7500,0.0,1.0
2000-01-07,12.25,12.44,12.25,12.38,3.9484,34500,0.0,1.0
2000-01-10,12.38,12.44,12.25,12.44,3.9676,31500,0.0,1.0
2000-01-11,12.31,12.31,12.25,12.25,3.907,13300,0.0,1.0
2000-01-12,12.19,12.31,12.13,12.25,3.907,10400,0.0,1.0
2000-01-13,12.06,12.13,12.0,12.0,3.8491,4200,0.0685,1.0
2000-01-14,12.06,12.06,11.88,12.0,3.8491,17500,0.0,1.0
2000-01-18,11.94,12.06,11.94,12.06,3.8683,23200,0.0,1.0
2000-01-19,12.06,12.06,12.0,12.0,3.8491,71000,0.0,1.0
2000-01-20,12.0,12.06,12.0,12.0,3.8491,50900,0.0,1.0
2000-01-21,12.06,12.06,12.0,12.0,3.8491,78200,0.0,1.0
2000-01-24,12.0,12.13,12.0,12.13,3.8908,48900,0.0,1.0
2000-01-25,12.13,12.13,12.0,12.06,3.8683,33800,0.0,1.0
2000-01-26,12.0,12.13,12.0,12.13,3.8908,13100,0.0,1.0
2000-01-27,12.13,12.31,12.13,12.19,3.91,9200,0.0,1.0
2000-01-28,12.19,12.31,12.06,12.19,3.91,28400,0.0,1.0
2000-01-31,12.19,12.19,12.06,12.13,3.8908,26600,0.0,1.0
2000-02-01,12.13,12.19,12.13,12.19,3.91,12000,0.0,1.0
2000-02-02,12.06,12.13,12.06,12.13,3.917,21600,0.0818,1.0
2000-02-03,12.13,12.31,12.13,12.31,3.9751,36900,0.0,1.0
2000-02-04,12.31,12.31,12.25,12.31,3.9751,6800,0.0,1.0
2000-02-07,12.25,12.44,12.25,12.25,3.9558,16300,0.0,1.0
2000-02-08,12.25,12.38,12.13,12.13,3.917,28000,0.0,1.0
2000-02-09,12.13,12.25,11.94,12.0,3.875,37800,0.0,1.0
2000-02-10,11.88,11.94,11.5,11.5,3.7136,41400,0.0,1.0
2000-02-11,11.63,12.0,11.63,11.88,3.8363,58700,0.0,1.0
2000-02-14,11.94,11.94,11.88,11.88,3.8363,23800,0.0,1.0
2000-02-15,11.94,11.94,11.88,11.88,3.8363,31600,0.0,1.0
2000-02-16,11.88,12.06,11.88,12.0,3.875,77200,0.0,1.0
2000-02-17,12.06,12.13,11.94,12.0,3.875,108800,0.0,1.0
2000-02-18,12.13,12.19,12.0,12.0,3.875,33600,0.0,1.0
2000-02-22,12.0,12.06,12.0,12.06,3.8944,73100,0.0,1.0
2000-02-23,12.0,12.0,11.75,11.88,3.8363,71500,0.0,1.0
2000-02-24,11.75,11.94,11.69,11.81,3.8137,43600,0.0,1.0
2000-02-25,11.75,11.75,11.56,11.69,3.7749,62500,0.0,1.0
2000-02-28,12.0,12.0,11.69,11.75,3.7943,41900,0.0,1.0
2000-02-29,11.69,11.81,11.56,11.63,3.7556,60600,0.0,1.0
2000-03-01,11.69,11.81,11.5,11.69,3.7749,33200,0.0,1.0
2000-03-02,11.81,11.94,11.81,11.88,3.8363,29000,0.0,1.0
2000-03-03,11.75,11.88,11.56,11.75,3.7943,38000,0.0,1.0
2000-03-06,11.56,11.63,11.44,11.56,3.733,35300,0.0,1.0
2000-03-07,11.56,11.69,11.31,11.38,3.6748,57300,0.0,1.0
2000-03-08,11.31,11.31,11.0,11.0,3.5521,75200,0.0,1.0
2000-03-09,11.0,11.0,10.81,10.88,3.5134,55700,0.0,1.0
2000-03-10,10.75,10.81,10.69,10.75,3.4714,72100,0.0,1.0
2000-03-13,10.75,10.81,10.63,10.69,3.452,47200,0.0,1.0
2000-03-14,10.75,10.81,10.63,10.63,3.4326,110100,0.0,1.0
2000-03-15,10.56,10.63,10.5,10.56,3.4259,24500,0.049,1.0
2000-03-16,10.56,10.69,10.5,10.63,3.4486,47500,0.0,1.0
2000-03-17,10.5,10.75,10.5,10.75,3.4875,71500,0.0,1.0
2000-03-20,10.75,10.75,10.63,10.63,3.4486,37300,0.0,1.0
2000-03-21,10.63,10.75,10.63,10.63,3.4486,69900,0.0,1.0
2000-03-22,10.63,10.75,10.63,10.69,3.468,42300,0.0,1.0
2000-03-23,10.63,10.81,10.56,10.81,3.507,134500,0.0,1.0
2000-03-24,10.69,10.81,10.69,10.75,3.4875,45600,0.0,1.0
2000-03-27,10.69,10.81,10.69,10.75,3.4875,73100,0.0,1.0
2000-03-28,10.75,10.81,10.69,10.75,3.4875,48700,0.0,1.0
2000-03-29,10.75,11.0,10.75,10.88,3.5297,46700,0.0,1.0
2000-03-30,10.94,10.94,10.88,10.94,3.5491,18600,0.0,1.0
2000-03-31,10.88,11.0,10.75,11.0,3.5686,46000,0.0,1.0
2000-04-03,10.88,11.0,10.88,11.0,3.5686,15300,0.0,1.0
2000-04-04,10.94,11.06,10.88,11.06,3.5881,14200,0.0,1.0
2000-04-05,11.0,11.13,11.0,11.06,3.5881,49600,0.0,1.0
2000-04-06,11.06,11.25,11.06,11.25,3.6497,64000,0.0,1.0
2000-04-07,11.13,11.25,11.0,11.19,3.6302,69100,0.0,1.0
2000-04-10,11.06,11.19,11.06,11.13,3.6108,24400,0.0,1.0
2000-04-11,11.13,11.31,11.13,11.25,3.6497,79800,0.0,1.0
2000-04-12,11.25,11.31,11.06,11.19,3.6302,59400,0.0,1.0
2000-04-13,11.13,11.25,10.81,11.0,3.5899,300500,0.0658,1.0
2000-04-14,11.0,11.0,10.88,11.0,3.5899,46300,0.0,1.0
2000-04-17,10.94,11.06,10.81,10.81,3.5279,43700,0.0,1.0
2000-04-18,10.81,10.88,10.75,10.75,3.5083,50600,0.0,1.0
2000-04-19,10.75,10.81,10.75,10.75,3.5083,14500,0.0,1.0
2000-04-20,10.75,10.81,10.75,10.81,3.5279,63300,0.0,1.0
2000-04-24,10.81,10.88,10.75,10.81,3.5279,46700,0.0,1.0
2000-04-25,10.81,10.88,10.75,10.75,3.5083,54200,0.0,1.0
2000-04-26,10.75,10.88,10.75,10.81,3.5279,61500,0.0,1.0
2000-04-27,10.81,10.81,10.63,10.69,3.4888,55700,0.0,1.0
2000-04-28,10.75,10.94,10.69,10.94,3.5704,101600,0.0,1.0
