timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-05-21,10.97,11.2,10.96,11.0,10.5955,64000,0.0,1.0
2008-05-22,10.99,11.06,10.96,11.03,10.6243,56200,0.0,1.0
2008-05-23,11.15,11.15,10.92,11.0,10.5955,61900,0.0,1.0
2008-05-27,10.99,11.0,10.9,11.0,10.5955,107300,0.0,1.0
2008-05-28,11.09,11.09,11.0,11.0,10.5955,3700,0.0,1.0
2008-05-29,11.0,11.03,11.0,11.0,10.5955,28800,0.0,1.0
2008-05-30,11.0,11.05,10.95,11.05,10.6436,60700,0.0,1.0
2008-06-02,10.92,10.95,10.92,10.95,10.5473,4000,0.0,1.0
2008-06-03,11.04,11.05,10.96,11.0,10.5955,47500,0.0,1.0
2008-06-04,11.0,11.01,10.92,11.0,10.5955,35100,0.0,1.0
2008-06-05,10.97,10.97,10.97,10.97,10.5666,3200,0.0,1.0
2008-06-06,10.9,10.98,10.85,10.95,10.5473,14900,0.0,1.0
2008-06-09,10.92,11.0,10.9,10.9,10.4991,15100,0.0,1.0
2008-06-10,10.95,11.01,10.95,11.0,10.5955,11800,0.0,1.0
2008-06-11,11.0,11.0,11.0,11.0,10.5955,24000,0.0,1.0
2008-06-12,10.98,10.98,10.98,10.98,10.5762,4200,0.0,1.0
2008-06-13,11.0,11.0,10.96,10.98,10.5762,25200,0.0,1.0
2008-06-16,11.02,11.02,10.9,10.99,10.5858,8000,0.0,1.0
2008-06-17,11.02,11.02,10.95,11.0,10.5955,22000,0.0,1.0
2008-06-18,11.0,11.01,10.97,11.01,10.6051,13800,0.0,1.0
2008-06-19,11.0,11.0,10.92,11.0,10.5955,15600,0.0,1.0
2008-06-20,10.99,11.0,10.75,10.75,10.3546,14200,0.0,1.0
2008-06-23,10.95,11.0,10.84,11.0,10.5955,11200,0.0,1.0
2008-06-24,10.82,11.01,10.82,10.85,10.451,10900,0.0,1.0
2008-06-25,11.0,11.01,10.96,11.01,10.6051,6500,0.0,1.0
2008-06-26,10.95,11.01,10.8,10.8,10.4028,13600,0.0,1.0
2008-06-27,10.92,11.0,10.92,11.0,10.5955,64400,0.0,1.0
2008-06-30,10.98,10.98,10.98,10.98,10.5762,4200,0.0,1.0
2008-07-01,10.98,10.98,10.85,10.85,10.451,65900,0.0,1.0
2008-07-02,10.94,10.98,10.91,10.98,10.5762,2300,0.0,1.0
2008-07-03,10.97,10.97,10.81,10.89,10.4895,8200,0.0,1.0
2008-07-07,10.89,10.89,10.75,10.75,10.3546,11900,0.0,1.0
2008-07-08,10.75,10.76,10.51,10.61,10.2198,21900,0.0,1.0
2008-07-09,10.68,10.8,10.52,10.55,10.162,81700,0.0,1.0
2008-07-10,10.65,10.94,10.65,10.85,10.451,6900,0.0,1.0
2008-07-11,10.71,10.71,10.7,10.7,10.3065,300,0.0,1.0
2008-07-14,10.53,10.88,10.51,10.51,10.1235,3800,0.0,1.0
2008-07-15,10.53,10.53,10.23,10.23,9.8538,41200,0.0,1.0
2008-07-16,10.25,10.5,10.25,10.5,10.1138,4600,0.0,1.0
2008-07-17,10.36,10.5,10.36,10.5,10.1138,1500,0.0,1.0
2008-07-18,10.46,10.46,10.46,10.46,10.0753,200,0.0,1.0
2008-07-21,10.59,10.61,10.59,10.6,10.2102,3900,0.0,1.0
2008-07-22,10.6,10.6,10.6,10.6,10.2102,0,0.0,1.0
2008-07-23,10.59,10.61,10.55,10.6,10.2102,9300,0.0,1.0
2008-07-24,10.65,10.7,10.65,10.7,10.3065,4600,0.0,1.0
2008-07-25,10.68,10.68,10.68,10.68,10.2872,33100,0.0,1.0
2008-07-28,10.68,10.68,10.68,10.68,10.2872,0,0.0,1.0
2008-07-29,10.68,10.68,10.68,10.68,10.2872,0,0.0,1.0
2008-07-30,10.68,10.68,10.68,10.68,10.2872,0,0.0,1.0
2008-07-31,10.68,10.68,10.68,10.68,10.2872,0,0.0,1.0
2008-08-01,10.59,10.59,10.59,10.59,10.2005,1000,0.0,1.0
2008-08-04,10.59,10.59,10.59,10.59,10.2005,0,0.0,1.0
2008-08-05,10.75,10.75,10.75,10.75,10.3546,1000,0.0,1.0
2008-08-06,10.7,10.7,10.6,10.6,10.2102,2900,0.0,1.0
2008-08-07,10.69,10.7,10.4,10.4,10.0175,23300,0.0,1.0
2008-08-08,10.74,10.74,10.28,10.44,10.056,1800,0.0,1.0
2008-08-11,10.44,10.44,10.44,10.44,10.056,0,0.0,1.0
2008-08-12,10.22,10.23,10.22,10.23,9.8538,300,0.0,1.0
2008-08-13,10.5,10.52,10.21,10.22,9.8441,5600,0.0,1.0
2008-08-14,10.22,10.22,10.22,10.22,9.8441,0,0.0,1.0
2008-08-15,10.5,10.5,10.49,10.5,10.1138,7300,0.0,1.0
2008-08-18,10.26,10.26,10.26,10.26,9.8827,200,0.0,1.0
2008-08-19,10.26,10.26,10.26,10.26,9.8827,0,0.0,1.0
2008-08-20,10.48,10.48,10.48,10.48,10.0946,200,0.0,1.0
2008-08-21,10.31,10.31,10.31,10.31,9.9308,300,0.0,1.0
2008-08-22,10.36,10.5,10.36,10.5,10.1138,3200,0.0,1.0
2008-08-25,10.5,10.5,10.5,10.5,10.1138,0,0.0,1.0
2008-08-26,10.36,10.45,10.36,10.45,10.0657,500,0.0,1.0
2008-08-27,10.45,10.45,10.45,10.45,10.0657,0,0.0,1.0
2008-08-28,10.44,10.5,10.43,10.5,10.1138,32200,0.0,1.0
2008-08-29,10.5,10.5,10.5,10.5,10.1138,0,0.0,1.0
2008-09-02,10.5,10.5,10.5,10.5,10.1138,5600,0.0,1.0
2008-09-03,10.46,10.46,10.46,10.46,10.0753,3200,0.0,1.0
2008-09-04,10.41,10.41,10.41,10.41,10.0271,100,0.0,1.0
2008-09-05,10.35,10.35,10.35,10.35,9.9694,200,0.0,1.0
2008-09-08,10.5,10.5,10.5,10.5,10.1138,10700,0.0,1.0
2008-09-09,10.45,10.45,10.45,10.45,10.0657,2000,0.0,1.0
2008-09-10,10.4,10.4,10.34,10.35,9.9694,8500,0.0,1.0
2008-09-11,10.35,10.35,10.35,10.35,9.9694,0,0.0,1.0
2008-09-12,10.26,10.26,10.24,10.24,9.8634,1600,0.0,1.0
2008-09-15,10.24,10.24,10.24,10.24,9.8634,0,0.0,1.0
2008-09-16,10.24,10.24,10.24,10.24,9.8634,0,0.0,1.0
2008-09-17,10.21,10.21,10.05,10.05,9.6804,18300,0.0,1.0
2008-09-18,10.03,10.18,10.03,10.18,9.8056,10600,0.0,1.0
2008-09-19,10.18,10.36,10.05,10.36,9.979,10500,0.0,1.0
2008-09-22,10.39,10.4,10.28,10.28,9.9019,1500,0.0,1.0
2008-09-23,10.16,10.16,10.03,10.03,9.6611,7800,0.0,1.0
2008-09-24,10.03,10.03,10.03,10.03,9.6611,0,0.0,1.0
2008-09-25,10.03,10.03,10.03,10.03,9.6611,0,0.0,1.0
2008-09-26,10.03,10.03,10.03,10.03,9.6997,0,0.04,1.0
2008-09-29,10.03,10.03,10.03,10.03,9.6997,0,0.0,1.0
2008-09-30,10.03,10.03,10.03,10.03,9.6997,300,0.0,1.0
2008-10-01,10.03,10.03,10.03,10.03,9.6997,0,0.0,1.0
2008-10-02,9.99,9.99,9.98,9.99,9.661,8100,0.0,1.0
2008-10-03,9.99,9.99,9.99,9.99,9.661,0,0.0,1.0
2008-10-06,9.96,9.96,9.55,9.55,9.2355,10400,0.0,1.0
2008-10-07,9.67,9.68,9.67,9.68,9.3612,900,0.0,1.0
2008-10-08,9.68,9.68,9.68,9.68,9.3612,0,0.0,1.0
2008-10-09,9.51,9.54,9.01,9.01,8.7132,12000,0.0,1.0
2008-10-10,9.01,9.01,9.01,9.01,8.7132,200,0.0,1.0
2008-10-13,9.77,9.77,9.77,9.77,9.4482,100,0.0,1.0
2008-10-14,9.77,9.77,9.77,9.77,9.4482,0,0.0,1.0
2008-10-15,9.77,9.77,9.77,9.77,9.4482,0,0.0,1.0
2008-10-16,9.78,9.78,9.78,9.78,9.4579,300,0.0,1.0
2008-10-17,9.7,9.7,9.7,9.7,9.3805,2100,0.0,1.0
2008-10-20,9.7,9.7,9.7,9.7,9.3805,0,0.0,1.0
2008-10-21,9.7,9.7,9.7,9.7,9.3805,0,0.0,1.0
2008-10-22,9.7,9.7,9.7,9.7,9.3805,0,0.0,1.0
2008-10-23,9.7,9.7,9.7,9.7,9.3805,0,0.0,1.0
2008-10-24,9.7,9.7,9.7,9.7,9.3805,0,0.0,1.0
2008-10-27,9.7,9.7,9.7,9.7,9.3805,0,0.0,1.0
2008-10-28,9.59,9.63,9.05,9.63,9.3128,3800,0.0,1.0
2008-10-29,9.6,9.6,9.6,9.6,9.2838,1300,0.0,1.0
2008-10-30,9.6,9.6,9.6,9.6,9.2838,100,0.0,1.0
2008-10-31,9.25,9.5,9.25,9.5,9.1871,4500,0.0,1.0
2008-11-03,9.5,9.5,9.5,9.5,9.1871,500,0.0,1.0
2008-11-04,9.5,9.5,9.5,9.5,9.1871,0,0.0,1.0
2008-11-05,9.5,9.5,9.5,9.5,9.1871,0,0.0,1.0
2008-11-06,9.6,9.65,9.5,9.5,9.1871,3200,0.0,1.0
2008-11-07,9.5,9.5,9.5,9.5,9.1871,3100,0.0,1.0
2008-11-10,9.5,9.5,9.5,9.5,9.1871,1000,0.0,1.0
2008-11-11,9.5,9.5,9.5,9.5,9.1871,5100,0.0,1.0
2008-11-12,9.3,9.73,9.3,9.73,9.4095,3100,0.0,1.0
2008-11-13,9.73,9.73,9.73,9.73,9.4095,0,0.0,1.0
2008-11-14,9.73,9.73,9.73,9.73,9.4095,0,0.0,1.0
2008-11-17,9.73,9.73,9.73,9.73,9.4095,0,0.0,1.0
2008-11-18,9.73,9.73,9.73,9.73,9.4095,0,0.0,1.0
2008-11-19,9.73,9.73,9.73,9.73,9.4095,0,0.0,1.0
2008-11-20,9.25,9.25,9.25,9.25,8.9453,10400,0.0,1.0
2008-11-21,8.79,9.0,8.79,9.0,8.7036,200,0.0,1.0
2008-11-24,9.1,9.1,9.1,9.1,8.8003,500,0.0,1.0
2008-11-25,9.1,9.1,9.1,9.1,8.8003,0,0.0,1.0
2008-11-26,9.1,9.1,9.1,9.1,8.8003,0,0.0,1.0
2008-11-28,9.4,9.4,9.4,9.4,9.0904,200,0.0,1.0
2008-12-01,9.1,9.1,9.1,9.1,8.8003,1100,0.0,1.0
2008-12-02,9.1,9.1,9.1,9.1,8.8003,0,0.0,1.0
2008-12-03,9.1,9.1,9.1,9.1,8.8003,0,0.0,1.0
2008-12-04,9.1,9.1,9.1,9.1,8.8003,0,0.0,1.0
2008-12-05,9.1,9.1,9.1,9.1,8.8003,0,0.0,1.0
2008-12-08,9.0,9.0,8.97,9.0,8.7036,7900,0.0,1.0
2008-12-09,9.0,9.0,9.0,9.0,8.7036,0,0.0,1.0
2008-12-10,9.0,9.0,9.0,9.0,8.7036,0,0.0,1.0
2008-12-11,9.0,9.0,9.0,9.0,8.7036,0,0.0,1.0
2008-12-12,9.0,9.0,9.0,9.0,8.7036,4000,0.0,1.0
2008-12-15,9.0,9.0,9.0,9.0,8.7036,4100,0.0,1.0
2008-12-16,9.1,9.1,9.1,9.1,8.8003,100,0.0,1.0
2008-12-17,9.1,9.1,9.1,9.1,8.8003,0,0.0,1.0
2008-12-18,9.1,9.1,9.1,9.1,8.8003,0,0.0,1.0
2008-12-19,8.75,8.75,8.75,8.75,8.4618,300,0.0,1.0
2008-12-22,8.75,8.75,8.75,8.75,8.4618,0,0.0,1.0
2008-12-23,8.9,8.9,8.9,8.9,8.6069,1200,0.0,1.0
2008-12-24,8.9,8.9,8.9,8.9,8.6069,0,0.0,1.0
2008-12-26,8.95,9.15,8.95,9.15,8.8486,55900,0.0,1.0
2008-12-29,9.15,9.15,9.15,9.15,8.8873,0,0.04,1.0
2008-12-30,9.2,9.2,9.0,9.2,8.9359,5600,0.0,1.0
2008-12-31,9.2,9.2,9.2,9.2,8.9359,900,0.0,1.0
2009-01-02,9.2,9.2,9.2,9.2,8.9359,0,0.0,1.0
2009-01-05,9.0,9.0,8.85,9.0,8.7416,21900,0.0,1.0
