timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-10-25,14.75,15.25,14.58,15.25,8.9754,692571,0.0,1.0
2012-10-26,14.9,15.18,14.81,15.14,8.9107,112000,0.0,1.0
2012-10-31,15.39,15.39,14.9,15.25,8.9754,66469,0.0,1.0
2012-11-01,15.1,15.1,14.95,15.0,8.8283,31135,0.0,1.0
2012-11-02,15.03,15.11,14.99,15.0075,8.8327,30860,0.0,1.0
2012-11-05,15.04,15.04,14.6,14.93,8.7871,122347,0.0,1.0
2012-11-06,15.04,15.115,14.29,15.0,8.8283,83136,0.0,1.0
2012-11-07,15.1,15.15,15.0,15.0,8.8283,61465,0.0,1.0
2012-11-08,15.12,15.19,14.9252,15.02,8.8401,111966,0.0,1.0
2012-11-09,15.03,15.15,14.93,15.01,8.8342,30350,0.0,1.0
2012-11-12,15.03,15.25,14.91,15.25,8.9754,27125,0.0,1.0
2012-11-13,15.02,15.18,15.0,15.02,8.8401,38463,0.0,1.0
2012-11-14,15.0,15.17,14.95,15.0,8.8283,81778,0.0,1.0
2012-11-15,14.94,15.0,14.6,14.97,8.8106,54966,0.0,1.0
2012-11-16,15.09,15.24,14.9,15.24,8.9695,17432,0.0,1.0
2012-11-19,15.25,15.25,14.9575,15.02,8.8401,15116,0.0,1.0
2012-11-20,15.02,15.05,14.77,15.01,8.8342,41750,0.0,1.0
2012-11-21,15.097,15.14,14.92,15.01,8.8342,37740,0.0,1.0
2012-11-23,15.05,15.06,15.0,15.0,8.8283,1850,0.0,1.0
2012-11-26,15.05,15.2,14.95,15.05,8.8577,15970,0.0,1.0
2012-11-27,15.06,15.25,15.04,15.05,8.8577,31951,0.0,1.0
2012-11-28,15.25,15.25,14.85,15.0,8.8283,14401,0.0,1.0
2012-11-29,15.0,15.1,14.76,14.87,8.7518,10095,0.0,1.0
2012-11-30,15.06,15.2499,15.0,15.0,8.8283,14728,0.0,1.0
2012-12-03,15.25,15.25,14.8712,14.89,8.7636,7750,0.0,1.0
2012-12-04,14.9,15.25,14.87,15.1,8.8872,26498,0.0,1.0
2012-12-05,15.25,15.3,14.89,15.3,9.0049,26704,0.0,1.0
2012-12-06,14.93,15.2,14.93,15.0,8.8283,6918,0.0,1.0
2012-12-07,15.39,15.39,14.97,14.97,8.8106,8852,0.0,1.0
2012-12-10,15.0,15.03,14.92,15.03,8.846,525,0.0,1.0
2012-12-11,15.25,15.25,14.8775,15.15,8.9166,7952,0.0,1.0
2012-12-12,14.95,15.3,14.95,14.99,9.0225,9836,0.34,1.0
2012-12-13,14.97,15.15,14.75,15.0,9.0285,11773,0.0,1.0
2012-12-14,15.1,15.1,14.81,15.0,9.0285,18520,0.0,1.0
2012-12-17,15.08,15.1,15.0,15.1,9.0887,4764,0.0,1.0
2012-12-18,15.0,15.1,15.0,15.0,9.0285,9701,0.0,1.0
2012-12-19,15.15,15.15,14.75,15.0,9.0285,5300,0.0,1.0
2012-12-20,15.1,15.1,14.69,14.71,8.854,12443,0.0,1.0
2012-12-21,14.61,15.14,14.56,14.9,8.9683,21360,0.0,1.0
2012-12-24,15.04,15.14,15.04,15.14,9.1128,6726,0.0,1.0
2012-12-26,15.092,15.25,14.8,14.81,8.9142,16605,0.0,1.0
2012-12-27,15.23,15.23,14.75,14.75,8.8781,26535,0.0,1.0
2012-12-28,15.39,15.39,14.57,14.59,8.7818,42753,0.0,1.0
2012-12-31,14.69,14.9,14.53,14.83,8.9262,11256,0.0,1.0
2013-01-02,14.82,15.04,14.6,15.04,9.0526,6202,0.0,1.0
2013-01-03,14.94,15.09,14.89,15.09,9.0827,2379,0.0,1.0
2013-01-04,15.0,15.06,15.0,15.0,9.0285,5700,0.0,1.0
2013-01-07,14.91,15.09,14.91,15.06,9.0647,6575,0.0,1.0
2013-01-08,15.05,15.06,15.0,15.06,9.0647,10266,0.0,1.0
2013-01-09,15.05,15.05,14.79,14.85,8.9383,8325,0.0,1.0
2013-01-10,14.9,14.99,14.7,14.7,8.848,20940,0.0,1.0
2013-01-11,14.7,14.98,14.55,14.55,8.7577,11120,0.0,1.0
2013-01-14,14.86,15.3,14.85,15.1,9.0887,19189,0.0,1.0
2013-01-15,15.09,15.39,14.85,14.98,9.0165,18461,0.0,1.0
2013-01-16,14.85,15.2,14.81,15.05,9.0586,7524,0.0,1.0
2013-01-17,14.8442,15.328,14.8308,15.0,9.0285,8164,0.0,1.0
2013-01-18,15.1499,15.15,15.0528,15.1,9.0887,10800,0.0,1.0
2013-01-22,15.15,15.29,15.0,15.2,9.1489,18697,0.0,1.0
2013-01-23,15.25,15.25,15.07,15.2,9.1489,11725,0.0,1.0
2013-01-24,15.16,15.3,15.05,15.3,9.2091,16400,0.0,1.0
2013-01-25,15.11,15.25,15.11,15.2,9.1489,5791,0.0,1.0
2013-01-28,15.11,15.34,14.85,14.87,8.9503,39278,0.0,1.0
2013-01-29,14.95,15.15,14.81,15.03,9.0466,25029,0.0,1.0
2013-01-30,14.88,15.2899,14.88,15.2,9.1489,4505,0.0,1.0
2013-01-31,15.2,15.2,15.062,15.172,9.1321,12486,0.0,1.0
2013-02-01,15.219,15.23,15.02,15.2,9.1489,36422,0.0,1.0
2013-02-04,15.1,15.2,15.01,15.01,9.0346,22478,0.0,1.0
2013-02-05,15.2,15.2,15.048,15.15,9.1188,21731,0.0,1.0
2013-02-06,15.15,15.15,15.0,15.084,9.0791,20900,0.0,1.0
2013-02-07,14.9995,15.05,14.95,15.02,9.0406,7723,0.0,1.0
2013-02-08,15.1,15.23,15.054,15.2,9.1489,14650,0.0,1.0
2013-02-11,15.23,15.23,15.0,15.05,9.0586,10984,0.0,1.0
2013-02-12,15.23,15.25,15.02,15.25,9.179,25189,0.0,1.0
2013-02-13,15.01,15.3,15.01,15.25,9.179,14356,0.0,1.0
2013-02-14,15.0,15.2,15.0,15.17,9.1309,2840,0.0,1.0
2013-02-15,15.24,15.25,15.08,15.25,9.179,17200,0.0,1.0
2013-02-19,15.22,15.39,15.14,15.35,9.2392,22118,0.0,1.0
2013-02-20,15.34,15.39,15.18,15.2501,9.1791,21511,0.0,1.0
2013-02-21,15.25,15.25,15.1,15.1,9.0887,7300,0.0,1.0
2013-02-22,15.37,15.42,15.15,15.1501,9.1189,20718,0.0,1.0
2013-02-25,15.37,15.37,15.0,15.0,9.0285,22829,0.0,1.0
2013-02-26,15.01,15.42,15.01,15.146,9.1164,27031,0.0,1.0
2013-02-27,15.22,15.39,15.04,15.267,9.1892,9109,0.0,1.0
2013-02-28,15.03,15.19,15.03,15.06,9.0647,4511,0.0,1.0
