timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,415.0,415.0,405.0,406.56,26.1221,11900,0.0,1.0
2000-01-04,406.31,406.31,384.0,393.5,25.283,10300,0.0,1.0
2000-01-05,395.38,395.38,388.75,395.25,25.3954,4900,0.0,1.0
2000-01-06,395.25,404.0,391.0,399.88,25.6929,28500,0.0,1.0
2000-01-07,400.0,413.5,398.5,407.0,26.1503,33000,0.0,1.0
2000-01-10,405.5,411.06,404.25,407.25,26.1664,6100,0.0,1.0
2000-01-11,407.0,408.25,390.0,395.25,25.3954,5600,0.0,1.0
2000-01-12,394.5,401.44,394.0,399.88,25.6929,12800,0.0,1.0
2000-01-13,399.88,410.25,399.88,410.25,26.3592,2800,0.0,1.0
2000-01-14,410.0,425.5,410.0,420.25,27.0017,5600,0.0,1.0
2000-01-18,423.0,424.75,420.0,420.0,26.9856,5600,0.0,1.0
2000-01-19,416.0,417.44,411.25,412.0,26.4716,7500,0.0,1.0
2000-01-20,413.0,413.0,408.75,408.75,26.2628,2800,0.0,1.0
2000-01-21,410.13,414.0,410.0,411.81,26.4594,6600,0.0,1.0
2000-01-24,412.0,412.25,405.0,405.0,26.0218,22200,0.0,1.0
2000-01-25,407.0,407.0,400.06,405.0,26.0218,17100,0.0,1.0
2000-01-26,400.0,419.5,400.0,419.5,26.9535,22400,0.0,1.0
2000-01-27,421.75,422.0,415.75,420.0,26.9856,16900,0.0,1.0
2000-01-28,416.5,416.5,402.0,406.5,26.1182,4800,0.0,1.0
2000-01-31,406.0,414.5,401.94,411.0,26.4074,10600,0.0,1.0
2000-02-01,408.0,416.25,400.5,401.5,25.797,5000,0.0,1.0
2000-02-02,401.75,406.75,400.5,404.0,25.9576,7300,0.0,1.0
2000-02-03,407.0,407.0,400.0,400.19,25.7128,9200,0.0,1.0
2000-02-04,400.19,407.0,400.0,405.25,26.0379,8400,0.0,1.0
