timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,16.69,16.69,16.19,16.38,14.716,24000,0.0,1.0
2000-01-04,16.5,16.63,16.31,16.31,14.6532,8100,0.0,1.0
2000-01-05,16.31,16.63,16.31,16.5,14.8239,55300,0.0,1.0
2000-01-06,16.38,16.44,16.13,16.13,14.4914,27400,0.0,1.0
2000-01-07,16.13,16.56,16.13,16.5,14.8239,43100,0.0,1.0
2000-01-10,16.5,16.63,16.38,16.5,14.8239,29800,0.0,1.0
2000-01-11,16.13,16.25,15.88,15.94,14.3207,27700,0.0,1.0
2000-01-12,15.88,15.88,15.56,15.56,13.9793,8600,0.0,1.0
2000-01-13,15.56,16.13,15.56,15.88,14.2668,17000,0.0,1.0
2000-01-14,16.0,16.19,16.0,16.13,14.4914,34500,0.0,1.0
2000-01-18,16.13,16.19,16.13,16.13,14.4914,10900,0.0,1.0
2000-01-19,16.13,16.38,16.13,16.38,14.716,27700,0.0,1.0
2000-01-20,16.5,16.75,16.5,16.63,14.9407,12600,0.0,1.0
2000-01-21,16.5,16.75,16.5,16.69,14.9946,49500,0.0,1.0
2000-01-24,16.75,16.75,16.38,16.44,14.77,33400,0.0,1.0
2000-01-25,16.31,16.38,15.63,16.0,14.3746,23600,0.0,1.0
2000-01-26,16.0,16.88,16.0,16.75,15.0485,47300,0.0,1.0
2000-01-27,16.75,16.88,16.56,16.56,14.8778,8500,0.0,1.0
2000-01-28,16.69,16.69,15.88,16.0,14.3746,11900,0.0,1.0
2000-01-31,15.88,16.25,15.69,16.0,14.3746,25700,0.0,1.0
2000-02-01,15.75,16.19,15.75,16.0,14.3746,17700,0.0,1.0
2000-02-02,16.0,16.06,16.0,16.06,14.4286,35500,0.0,1.0
2000-02-03,16.25,16.31,16.06,16.13,14.4914,18000,0.0,1.0
2000-02-04,16.13,16.5,16.0,16.31,14.6532,19600,0.0,1.0
2000-02-07,16.25,16.38,15.75,15.94,14.3207,19300,0.0,1.0
2000-02-08,15.94,15.94,15.25,15.25,13.7008,36300,0.0,1.0
2000-02-09,15.5,15.63,15.0,15.25,13.7008,18200,0.0,1.0
2000-02-10,15.5,15.5,14.94,14.94,13.4223,43400,0.0,1.0
2000-02-11,14.94,16.0,14.94,15.94,14.3207,43400,0.0,1.0
2000-02-14,15.88,16.56,15.88,16.56,14.8778,54300,0.0,1.0
2000-02-15,16.56,16.75,16.44,16.69,14.9946,48300,0.0,1.0
2000-02-16,16.56,17.19,16.56,17.19,15.4438,64700,0.0,1.0
2000-02-17,16.75,16.94,16.63,16.63,14.9407,46500,0.0,1.0
2000-02-18,16.75,16.75,16.63,16.63,14.9407,13900,0.0,1.0
2000-02-22,16.63,16.69,16.56,16.56,14.8778,11800,0.0,1.0
2000-02-23,16.5,16.5,16.31,16.38,14.716,29900,0.0,1.0
2000-02-24,16.0,16.13,15.81,15.94,14.3207,12900,0.0,1.0
