timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,0.437,0.45,0.437,0.45,0.45,52000,0.0,1.0
2000-01-04,0.468,0.468,0.437,0.468,0.468,64600,0.0,1.0
2000-01-05,0.468,0.562,0.437,0.5,0.5,149500,0.0,1.0
2000-01-06,0.5,0.562,0.5,0.562,0.562,195300,0.0,1.0
2000-01-07,0.562,0.6,0.531,0.562,0.562,159200,0.0,1.0
2000-01-10,0.562,0.656,0.562,0.656,0.656,124400,0.0,1.0
2000-01-11,0.656,0.656,0.562,0.656,0.656,266300,0.0,1.0
2000-01-12,0.656,0.75,0.625,0.687,0.687,193600,0.0,1.0
2000-01-13,0.718,0.812,0.66,0.781,0.781,454500,0.0,1.0
2000-01-14,0.812,0.812,0.687,0.781,0.781,199600,0.0,1.0
2000-01-18,0.781,0.781,0.687,0.75,0.75,76400,0.0,1.0
2000-01-19,0.718,0.75,0.687,0.718,0.718,117900,0.0,1.0
2000-01-20,0.625,0.656,0.562,0.593,0.593,252100,0.0,1.0
2000-01-21,0.593,0.656,0.593,0.656,0.656,53400,0.0,1.0
2000-01-24,0.656,0.687,0.656,0.656,0.656,97300,0.0,1.0
2000-01-25,0.687,0.718,0.656,0.687,0.687,191600,0.0,1.0
2000-01-26,0.718,0.86,0.718,0.86,0.86,356900,0.0,1.0
2000-01-27,0.968,1.0,0.812,0.875,0.875,332800,0.0,1.0
2000-01-28,0.906,0.906,0.76,0.76,0.76,156800,0.0,1.0
2000-01-31,0.76,0.812,0.75,0.812,0.812,104800,0.0,1.0
2000-02-01,0.751,0.812,0.718,0.718,0.718,105700,0.0,1.0
2000-02-02,0.718,0.781,0.718,0.781,0.781,13000,0.0,1.0
2000-02-03,0.718,0.812,0.718,0.812,0.812,154000,0.0,1.0
2000-02-04,0.812,0.812,0.812,0.812,0.812,57600,0.0,1.0
2000-02-07,0.812,0.875,0.781,0.85,0.85,140300,0.0,1.0
2000-02-08,0.875,0.906,0.812,0.906,0.906,177200,0.0,1.0
2000-02-09,0.968,1.01,0.937,0.968,0.968,341800,0.0,1.0
2000-02-10,1.02,1.281,1.0,1.062,1.062,747000,0.0,1.0
2000-02-11,1.062,1.25,1.062,1.125,1.125,347900,0.0,1.0
2000-02-14,1.218,1.281,1.125,1.281,1.281,340500,0.0,1.0
2000-02-15,1.281,1.312,1.093,1.125,1.125,320900,0.0,1.0
2000-02-16,1.125,1.187,1.093,1.187,1.187,181100,0.0,1.0
2000-02-17,1.25,1.812,1.218,1.75,1.75,1644800,0.0,1.0
2000-02-18,1.812,2.281,1.781,1.906,1.906,1874600,0.0,1.0
2000-02-22,1.875,3.0,1.875,3.0,3.0,2019000,0.0,1.0
2000-02-23,3.281,3.5,2.187,2.343,2.343,1599100,0.0,1.0
2000-02-24,2.312,2.656,2.062,2.093,2.093,979700,0.0,1.0
2000-02-25,2.093,2.25,2.0,2.125,2.125,639800,0.0,1.0
2000-02-28,2.093,2.093,1.718,2.0,2.0,496900,0.0,1.0
2000-02-29,1.968,1.968,1.687,1.843,1.843,508200,0.0,1.0
2000-03-01,1.75,1.781,1.5,1.562,1.562,567400,0.0,1.0
2000-03-02,1.562,2.375,1.515,2.062,2.062,868400,0.0,1.0
2000-03-03,2.187,2.25,2.0,2.125,2.125,368100,0.0,1.0
2000-03-06,2.125,2.562,2.062,2.49,2.49,629500,0.0,1.0
2000-03-07,2.5,2.531,2.312,2.437,2.437,422500,0.0,1.0
2000-03-08,2.437,2.437,2.062,2.093,2.093,311400,0.0,1.0
2000-03-09,2.07,2.125,2.0,2.0,2.0,218900,0.0,1.0
2000-03-10,2.093,2.093,1.875,1.937,1.937,263800,0.0,1.0
2000-03-13,2.0,2.125,1.875,2.0,2.0,207500,0.0,1.0
2000-03-14,2.031,2.031,1.875,1.875,1.875,135200,0.0,1.0
2000-03-15,1.875,2.0,1.75,1.812,1.812,197400,0.0,1.0
2000-03-16,1.875,1.906,1.625,1.625,1.625,180700,0.0,1.0
2000-03-17,1.625,1.687,1.5,1.562,1.562,141300,0.0,1.0
2000-03-20,1.656,1.75,1.437,1.5,1.5,273000,0.0,1.0
2000-03-21,1.468,1.531,1.25,1.25,1.25,390100,0.0,1.0
2000-03-22,1.25,1.5,1.25,1.406,1.406,269300,0.0,1.0
2000-03-23,1.406,1.875,1.375,1.531,1.531,178300,0.0,1.0
2000-03-24,1.437,1.875,1.437,1.593,1.593,153200,0.0,1.0
2000-03-27,1.593,1.625,1.437,1.5,1.5,81800,0.0,1.0
2000-03-28,1.5,1.562,1.437,1.437,1.437,57400,0.0,1.0
2000-03-29,1.437,1.5,1.218,1.218,1.218,174800,0.0,1.0
2000-03-30,1.375,1.375,1.218,1.281,1.281,117300,0.0,1.0
2000-03-31,1.343,1.375,1.218,1.312,1.312,340100,0.0,1.0
2000-04-03,1.312,1.406,1.187,1.187,1.187,70900,0.0,1.0
2000-04-04,1.187,1.25,1.0,1.125,1.125,205900,0.0,1.0
2000-04-05,1.125,1.187,1.125,1.125,1.125,47000,0.0,1.0
2000-04-06,1.125,1.375,1.125,1.281,1.281,79900,0.0,1.0
2000-04-07,1.25,1.281,1.0,1.218,1.218,62900,0.0,1.0
2000-04-10,1.125,1.312,1.125,1.281,1.281,76000,0.0,1.0
2000-04-11,1.312,1.375,1.25,1.25,1.25,62900,0.0,1.0
2000-04-12,1.312,1.312,1.218,1.25,1.25,26800,0.0,1.0
2000-04-13,1.25,1.312,1.0,1.125,1.125,156400,0.0,1.0
2000-04-14,1.093,1.125,0.906,1.03,1.03,203400,0.0,1.0
2000-04-17,1.0,1.02,0.656,0.687,0.687,398900,0.0,1.0
2000-04-18,0.875,1.01,0.657,1.0,1.0,181400,0.0,1.0
2000-04-19,1.0,1.468,0.875,1.0,1.0,148900,0.0,1.0
2000-04-20,1.125,1.125,0.937,1.031,1.031,119500,0.0,1.0
2000-04-24,1.0,1.062,0.88,0.937,0.937,93900,0.0,1.0
2000-04-25,0.91,1.062,0.91,1.0,1.0,48500,0.0,1.0
2000-04-26,0.968,1.0,0.968,1.0,1.0,62200,0.0,1.0
2000-04-27,1.0,1.0,0.968,1.0,1.0,5400,0.0,1.0
2000-04-28,1.125,1.312,1.093,1.25,1.25,175400,0.0,1.0
2000-05-01,1.187,1.343,1.031,1.281,1.281,57600,0.0,1.0
2000-05-02,1.343,1.375,1.125,1.187,1.187,27700,0.0,1.0
2000-05-03,1.312,1.343,1.125,1.218,1.218,82400,0.0,1.0
2000-05-04,1.218,1.375,1.125,1.125,1.125,76600,0.0,1.0
2000-05-05,1.125,1.25,1.062,1.062,1.062,64600,0.0,1.0
2000-05-08,1.031,1.125,1.031,1.046,1.046,13100,0.0,1.0
2000-05-09,1.031,1.031,0.937,0.99,0.99,64100,0.0,1.0
2000-05-10,0.99,0.99,0.875,0.875,0.875,63500,0.0,1.0
2000-05-11,0.875,0.937,0.875,0.937,0.937,33100,0.0,1.0
2000-05-12,0.937,1.062,0.906,1.0,1.0,34300,0.0,1.0
2000-05-15,1.062,1.062,0.906,0.968,0.968,44200,0.0,1.0
2000-05-16,0.875,0.968,0.843,0.937,0.937,47900,0.0,1.0
2000-05-17,0.937,0.937,0.843,0.843,0.843,31700,0.0,1.0
2000-05-18,0.875,0.875,0.656,0.718,0.718,500000,0.0,1.0
2000-05-19,0.718,0.75,0.625,0.656,0.656,189700,0.0,1.0
2000-05-22,0.75,0.75,0.718,0.75,0.75,40800,0.0,1.0
2000-05-23,0.718,0.75,0.687,0.73,0.73,41200,0.0,1.0
2000-05-24,0.75,0.812,0.718,0.75,0.75,107700,0.0,1.0
2000-05-25,0.75,0.781,0.718,0.75,0.75,74300,0.0,1.0
2000-05-26,0.781,0.812,0.718,0.75,0.75,83500,0.0,1.0
2000-05-30,0.718,0.75,0.687,0.718,0.718,92900,0.0,1.0
2000-05-31,0.75,0.75,0.687,0.687,0.687,34600,0.0,1.0
2000-06-01,0.75,0.75,0.687,0.687,0.687,8300,0.0,1.0
2000-06-02,0.687,0.781,0.687,0.75,0.75,64700,0.0,1.0
2000-06-05,0.812,0.812,0.718,0.75,0.75,85900,0.0,1.0
2000-06-06,0.718,0.78,0.718,0.78,0.78,7600,0.0,1.0
2000-06-07,0.78,0.78,0.718,0.718,0.718,11800,0.0,1.0
2000-06-08,0.718,0.781,0.687,0.718,0.718,71400,0.0,1.0
2000-06-09,0.781,0.781,0.718,0.781,0.781,11300,0.0,1.0
2000-06-12,0.812,0.812,0.718,0.781,0.781,66700,0.0,1.0
2000-06-13,0.718,0.75,0.718,0.718,0.718,15600,0.0,1.0
2000-06-14,0.718,0.843,0.718,0.781,0.781,93300,0.0,1.0
2000-06-15,0.781,0.781,0.687,0.71,0.71,26200,0.0,1.0
2000-06-16,0.71,0.74,0.71,0.74,0.74,34700,0.0,1.0
2000-06-19,0.74,0.74,0.71,0.74,0.74,12200,0.0,1.0
2000-06-20,0.74,0.74,0.718,0.718,0.718,14200,0.0,1.0
2000-06-21,0.718,0.75,0.71,0.72,0.72,103300,0.0,1.0
2000-06-22,0.74,0.812,0.72,0.812,0.812,140800,0.0,1.0
2000-06-23,0.812,0.812,0.76,0.781,0.781,125000,0.0,1.0
2000-06-26,0.781,0.781,0.75,0.781,0.781,22000,0.0,1.0
2000-06-27,0.75,0.755,0.718,0.75,0.75,91200,0.0,1.0
2000-06-28,0.75,0.812,0.71,0.75,0.75,138700,0.0,1.0
2000-06-29,0.75,0.812,0.718,0.718,0.718,47800,0.0,1.0
2000-06-30,0.781,0.781,0.718,0.718,0.718,15900,0.0,1.0
2000-07-03,0.718,0.75,0.718,0.718,0.718,2600,0.0,1.0
2000-07-05,0.718,0.75,0.718,0.72,0.72,49600,0.0,1.0
2000-07-06,0.75,0.75,0.687,0.7,0.7,152700,0.0,1.0
2000-07-07,0.687,0.718,0.687,0.718,0.718,41400,0.0,1.0
2000-07-10,0.687,0.718,0.687,0.718,0.718,28600,0.0,1.0
2000-07-11,0.687,0.75,0.687,0.75,0.75,145900,0.0,1.0
2000-07-12,0.75,0.75,0.687,0.687,0.687,37500,0.0,1.0
2000-07-13,0.75,0.75,0.687,0.687,0.687,48500,0.0,1.0
2000-07-14,0.687,1.01,0.687,0.906,0.906,218300,0.0,1.0
2000-07-17,0.968,0.968,0.781,0.781,0.781,32200,0.0,1.0
2000-07-18,0.812,0.843,0.781,0.828,0.828,22100,0.0,1.0
2000-07-19,0.812,0.812,0.75,0.781,0.781,80300,0.0,1.0
2000-07-20,0.781,0.812,0.781,0.781,0.781,57900,0.0,1.0
2000-07-21,0.781,0.812,0.75,0.781,0.781,55000,0.0,1.0
2000-07-24,0.75,0.812,0.75,0.812,0.812,16500,0.0,1.0
2000-07-25,0.75,0.812,0.718,0.781,0.781,128400,0.0,1.0
2000-07-26,0.718,0.781,0.718,0.755,0.755,5200,0.0,1.0
2000-07-27,0.718,0.812,0.718,0.751,0.751,49500,0.0,1.0
2000-07-28,0.906,1.25,0.906,1.062,1.062,381500,0.0,1.0
2000-07-31,1.062,1.062,0.875,0.968,0.968,90100,0.0,1.0
2000-08-01,0.937,1.125,0.875,1.093,1.093,159600,0.0,1.0
2000-08-02,1.062,1.062,0.843,0.875,0.875,382900,0.0,1.0
2000-08-03,0.906,0.906,0.781,0.781,0.781,86000,0.0,1.0
2000-08-04,0.781,0.812,0.75,0.75,0.75,170100,0.0,1.0
2000-08-07,0.718,0.812,0.718,0.755,0.755,37100,0.0,1.0
2000-08-08,0.781,0.812,0.718,0.75,0.75,291600,0.0,1.0
2000-08-09,0.875,0.875,0.718,0.75,0.75,118700,0.0,1.0
2000-08-10,0.781,0.781,0.718,0.72,0.72,17200,0.0,1.0
2000-08-11,0.781,0.781,0.718,0.75,0.75,8000,0.0,1.0
2000-08-14,0.781,0.781,0.718,0.718,0.718,49400,0.0,1.0
2000-08-15,0.781,0.781,0.718,0.718,0.718,63100,0.0,1.0
2000-08-16,0.781,0.781,0.718,0.75,0.75,62000,0.0,1.0
2000-08-17,0.718,0.781,0.718,0.75,0.75,142700,0.0,1.0
2000-08-18,0.75,0.75,0.718,0.75,0.75,37900,0.0,1.0
2000-08-21,0.718,0.781,0.718,0.718,0.718,69600,0.0,1.0
2000-08-22,0.718,0.73,0.687,0.718,0.718,68300,0.0,1.0
2000-08-23,0.687,0.75,0.687,0.687,0.687,27000,0.0,1.0
2000-08-24,0.75,0.75,0.687,0.75,0.75,90400,0.0,1.0
2000-08-25,0.75,0.75,0.718,0.718,0.718,15900,0.0,1.0
2000-08-28,0.718,0.75,0.718,0.75,0.75,11800,0.0,1.0
2000-08-29,0.718,0.75,0.687,0.69,0.69,133300,0.0,1.0
2000-08-30,0.687,0.718,0.687,0.687,0.687,132600,0.0,1.0
2000-08-31,0.687,0.718,0.656,0.718,0.718,189200,0.0,1.0
2000-09-01,0.687,0.75,0.687,0.75,0.75,14100,0.0,1.0
2000-09-05,0.74,0.75,0.687,0.69,0.69,22900,0.0,1.0
2000-09-06,0.687,0.75,0.687,0.687,0.687,20100,0.0,1.0
2000-09-07,0.687,0.718,0.687,0.687,0.687,38000,0.0,1.0
2000-09-08,0.687,0.718,0.687,0.687,0.687,14500,0.0,1.0
2000-09-11,0.687,0.75,0.687,0.75,0.75,112000,0.0,1.0
2000-09-12,0.75,0.75,0.687,0.75,0.75,81800,0.0,1.0
2000-09-13,0.687,0.75,0.687,0.75,0.75,31100,0.0,1.0
2000-09-14,0.687,0.781,0.687,0.718,0.718,309000,0.0,1.0
2000-09-15,0.718,0.75,0.718,0.75,0.75,83900,0.0,1.0
2000-09-18,0.75,0.75,0.718,0.718,0.718,64700,0.0,1.0
2000-09-19,0.718,0.75,0.687,0.718,0.718,184200,0.0,1.0
2000-09-20,0.687,0.718,0.68,0.687,0.687,160800,0.0,1.0
2000-09-21,0.687,0.718,0.656,0.656,0.656,201600,0.0,1.0
2000-09-22,0.625,0.656,0.625,0.63,0.63,148100,0.0,1.0
2000-09-25,0.63,0.656,0.63,0.65,0.65,61600,0.0,1.0
2000-09-26,0.65,0.65,0.625,0.63,0.63,44700,0.0,1.0
2000-09-27,0.64,0.64,0.562,0.57,0.57,124100,0.0,1.0
2000-09-28,0.57,0.593,0.531,0.593,0.593,21700,0.0,1.0
2000-09-29,0.593,0.62,0.531,0.62,0.62,13100,0.0,1.0
2000-10-02,0.593,0.62,0.562,0.593,0.593,24300,0.0,1.0
2000-10-03,0.62,0.62,0.562,0.562,0.562,21000,0.0,1.0
2000-10-04,0.62,0.62,0.531,0.562,0.562,24600,0.0,1.0
2000-10-05,0.562,0.62,0.531,0.531,0.531,15000,0.0,1.0
2000-10-06,0.62,0.62,0.531,0.531,0.531,32200,0.0,1.0
2000-10-09,0.5,0.531,0.437,0.468,0.468,193500,0.0,1.0
2000-10-10,0.468,0.5,0.437,0.468,0.468,79400,0.0,1.0
2000-10-11,0.468,0.531,0.468,0.468,0.468,23200,0.0,1.0
2000-10-12,0.531,0.531,0.468,0.47,0.47,137200,0.0,1.0
2000-10-13,0.47,0.531,0.47,0.5,0.5,35700,0.0,1.0
2000-10-16,0.47,0.5,0.47,0.47,0.47,25500,0.0,1.0
2000-10-17,0.47,0.49,0.437,0.44,0.44,94800,0.0,1.0
2000-10-18,0.406,0.5,0.375,0.5,0.5,170800,0.0,1.0
2000-10-19,0.531,0.75,0.5,0.687,0.687,234800,0.0,1.0
