timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-04-28,20.0,20.01,20.0,20.0,11.9392,440678,0.0,1.0
2010-04-29,20.1,20.1,20.0,20.01,11.9451,62687,0.0,1.0
2010-04-30,20.01,20.01,20.0,20.01,11.9451,43400,0.0,1.0
2010-05-03,20.01,20.01,20.0,20.01,11.9451,43600,0.0,1.0
2010-05-04,20.01,20.01,20.0,20.0,11.9392,52623,0.0,1.0
2010-05-05,20.0,20.03,20.0,20.0,11.9392,42072,0.0,1.0
2010-05-06,20.0,20.0664,20.0,20.02,11.9511,54397,0.0,1.0
2010-05-07,20.02,20.1,20.0,20.0599,11.9749,59150,0.0,1.0
2010-05-10,20.14,20.14,20.02,20.0466,11.967,27228,0.0,1.0
2010-05-11,20.05,20.08,20.0,20.07,11.9809,48505,0.0,1.0
2010-05-12,20.05,20.08,20.0199,20.07,11.9809,38875,0.0,1.0
2010-05-13,20.07,20.19,20.04,20.11,12.0048,52910,0.0,1.0
2010-05-14,20.11,20.17,20.04,20.17,12.0406,31125,0.0,1.0
2010-05-17,20.18,20.22,20.052,20.18,12.0466,49296,0.0,1.0
2010-05-18,20.2,20.237,20.1301,20.17,12.0406,34107,0.0,1.0
2010-05-19,20.25,20.25,20.11,20.18,12.0466,47481,0.0,1.0
2010-05-20,20.22,20.22,20.12,20.12,12.0108,69779,0.0,1.0
2010-05-21,20.12,20.25,20.02,20.2,12.0586,57336,0.0,1.0
2010-05-24,20.19,20.31,20.12,20.15,12.0287,107124,0.0,1.0
2010-05-25,20.14,20.16,20.03,20.064,11.9774,66576,0.0,1.0
2010-05-26,20.0,20.02,20.0,20.0005,11.9395,349732,0.0,1.0
2010-05-27,20.0,20.01,20.0,20.0,11.9392,114653,0.0,1.0
2010-05-28,20.0,20.02,20.0,20.01,11.9451,96938,0.0,1.0
2010-06-01,20.0,20.0182,20.0,20.0182,11.95,79824,0.0,1.0
2010-06-02,20.01,20.03,19.98,20.02,11.9511,276154,0.0,1.0
2010-06-03,20.03,20.03,20.0,20.01,11.9451,136391,0.0,1.0
2010-06-04,20.01,20.01,20.0,20.0,11.9392,103580,0.0,1.0
2010-06-07,20.01,20.03,20.0,20.016,11.9487,192628,0.0,1.0
2010-06-08,20.05,20.1,20.0,20.01,11.9451,342965,0.0,1.0
2010-06-09,20.08,20.1,20.0,20.0682,11.9799,108131,0.0,1.0
