timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-01-04,0.3201,0.3893,0.3201,0.3893,0.3893,2000,0.0,1.0
2016-01-05,0.3893,0.3893,0.3893,0.3893,0.3893,0,0.0,1.0
2016-01-06,0.3893,0.3893,0.3893,0.3893,0.3893,0,0.0,1.0
2016-01-07,0.3201,0.3992,0.3201,0.3992,0.3992,1400,0.0,1.0
2016-01-08,0.35,0.35,0.35,0.35,0.35,4900,0.0,1.0
2016-01-11,0.35,0.35,0.34,0.34,0.34,1430,0.0,1.0
2016-01-12,0.3201,0.34,0.31,0.31,0.31,8500,0.0,1.0
2016-01-13,0.285,0.285,0.285,0.285,0.285,4700,0.0,1.0
2016-01-14,0.2868,0.29,0.2868,0.29,0.29,4650,0.0,1.0
2016-01-15,0.287,0.31,0.24,0.24,0.24,5000,0.0,1.0
2016-01-19,0.251,0.251,0.251,0.251,0.251,2500,0.0,1.0
2016-01-20,0.32,0.32,0.2289,0.304,0.304,21723,0.0,1.0
2016-01-21,0.27,0.27,0.27,0.27,0.27,1000,0.0,1.0
2016-01-22,0.251,0.251,0.251,0.251,0.251,2500,0.0,1.0
2016-01-25,0.251,0.251,0.251,0.251,0.251,0,0.0,1.0
2016-01-26,0.251,0.27,0.251,0.26,0.26,4920,0.0,1.0
2016-01-27,0.251,0.255,0.231,0.255,0.255,8583,0.0,1.0
2016-01-28,0.26,0.26,0.258,0.26,0.26,10000,0.0,1.0
2016-01-29,0.3,0.3,0.2387,0.25,0.25,29232,0.0,1.0
2016-02-01,0.25,0.25,0.25,0.25,0.25,0,0.0,1.0
2016-02-02,0.2,0.201,0.2,0.201,0.201,750,0.0,1.0
2016-02-03,0.2083,0.2083,0.2083,0.2083,0.2083,1000,0.0,1.0
2016-02-04,0.2083,0.2083,0.2083,0.2083,0.2083,0,0.0,1.0
2016-02-05,0.21,0.22,0.2091,0.22,0.22,10500,0.0,1.0
2016-02-08,0.22,0.265,0.22,0.265,0.265,6500,0.0,1.0
2016-02-09,0.265,0.265,0.25,0.262,0.262,7200,0.0,1.0
2016-02-10,0.2524,0.2524,0.2524,0.2524,0.2524,150,0.0,1.0
2016-02-11,0.22,0.23,0.22,0.23,0.23,2660,0.0,1.0
2016-02-12,0.22,0.22,0.22,0.22,0.22,580,0.0,1.0
2016-02-16,0.255,0.26,0.255,0.26,0.26,2800,0.0,1.0
2016-02-17,0.26,0.26,0.26,0.26,0.26,0,0.0,1.0
2016-02-18,0.26,0.26,0.26,0.26,0.26,0,0.0,1.0
2016-02-19,0.256,0.26,0.256,0.26,0.26,6000,0.0,1.0
2016-02-22,0.247,0.247,0.247,0.247,0.247,2510,0.0,1.0
2016-02-23,0.26,0.26,0.221,0.221,0.221,1300,0.0,1.0
2016-02-24,0.23,0.24,0.23,0.24,0.24,3400,0.0,1.0
2016-02-25,0.26,0.2921,0.23,0.23,0.23,18950,0.0,1.0
2016-02-26,0.24,0.24,0.22,0.221,0.221,78100,0.0,1.0
2016-02-29,0.216,0.22,0.216,0.22,0.22,15000,0.0,1.0
2016-03-01,0.2399,0.2399,0.21,0.23,0.23,31329,0.0,1.0
2016-03-02,0.2011,0.2399,0.19,0.197,0.197,82200,0.0,1.0
2016-03-03,0.201,0.2125,0.2,0.21,0.21,315662,0.0,1.0
2016-03-04,0.2151,0.2399,0.215,0.23,0.23,15726,0.0,1.0
2016-03-07,0.24,0.35,0.235,0.295,0.295,483499,0.0,1.0
2016-03-08,0.31,0.345,0.3,0.31,0.31,81225,0.0,1.0
2016-03-09,0.3,0.3,0.295,0.295,0.295,55350,0.0,1.0
2016-03-10,0.3,0.3,0.29,0.3,0.3,55000,0.0,1.0
2016-03-11,0.295,0.295,0.291,0.291,0.291,15000,0.0,1.0
2016-03-14,0.28,0.28,0.251,0.251,0.251,96922,0.0,1.0
2016-03-15,0.2548,0.2548,0.2548,0.2548,0.2548,5000,0.0,1.0
2016-03-16,0.286,0.286,0.286,0.286,0.286,500,0.0,1.0
2016-03-17,0.28,0.2918,0.27,0.2918,0.2918,13000,0.0,1.0
2016-03-18,0.2918,0.2918,0.2918,0.2918,0.2918,0,0.0,1.0
2016-03-21,0.264,0.264,0.256,0.256,0.256,17736,0.0,1.0
2016-03-22,0.256,0.256,0.256,0.256,0.256,0,0.0,1.0
2016-03-23,0.256,0.256,0.256,0.256,0.256,0,0.0,1.0
2016-03-24,0.2561,0.2834,0.2561,0.2561,0.2561,5225,0.0,1.0
2016-03-28,0.2834,0.375,0.2834,0.36,0.36,86412,0.0,1.0
2016-03-29,0.32,0.35,0.32,0.35,0.35,8240,0.0,1.0
2016-03-30,0.34,0.34,0.33,0.33,0.33,13676,0.0,1.0
2016-03-31,0.3485,0.361,0.3485,0.361,0.361,16552,0.0,1.0
2016-04-01,0.37,0.4,0.35,0.4,0.4,50810,0.0,1.0
2016-04-04,0.405,0.405,0.37,0.385,0.385,44085,0.0,1.0
2016-04-05,0.39,0.42,0.3621,0.402,0.402,106528,0.0,1.0
2016-04-06,0.42,0.43,0.3938,0.43,0.43,188346,0.0,1.0
2016-04-07,0.5,0.5,0.425,0.43,0.43,342990,0.0,1.0
2016-04-08,0.4462,0.4462,0.4151,0.43,0.43,43744,0.0,1.0
2016-04-11,0.43,0.4321,0.43,0.43,0.43,29565,0.0,1.0
2016-04-12,0.435,0.435,0.3602,0.41,0.41,84613,0.0,1.0
2016-04-13,0.3888,0.39,0.3602,0.38,0.38,27442,0.0,1.0
2016-04-14,0.37,0.37,0.3173,0.34,0.34,40500,0.0,1.0
2016-04-15,0.36,0.3731,0.36,0.3731,0.3731,3000,0.0,1.0
2016-04-18,0.39,0.39,0.321,0.321,0.321,21730,0.0,1.0
2016-04-19,0.322,0.322,0.322,0.322,0.322,1566,0.0,1.0
2016-04-20,0.36,0.36,0.36,0.36,0.36,6449,0.0,1.0
2016-04-21,0.39,0.39,0.331,0.35,0.35,5525,0.0,1.0
2016-04-22,0.3605,0.3629,0.36,0.36,0.36,23050,0.0,1.0
