timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-07-01,6.0,6.38,6.0,6.05,6.05,2927198,0.0,1.0
2014-07-02,6.1,6.1499,6.0,6.0,6.0,349090,0.0,1.0
2014-07-03,6.03,6.22,6.0,6.13,6.13,119953,0.0,1.0
2014-07-07,6.24,6.24,5.75,5.9,5.9,325233,0.0,1.0
2014-07-08,5.8,6.08,5.8,5.97,5.97,195554,0.0,1.0
2014-07-09,5.93,6.06,5.93,5.93,5.93,43059,0.0,1.0
2014-07-10,5.85,7.5399,5.8,6.68,6.68,747313,0.0,1.0
2014-07-11,7.1,7.13,6.41,6.61,6.61,276414,0.0,1.0
2014-07-14,6.61,7.0,6.36,6.8,6.8,107383,0.0,1.0
2014-07-15,6.8,6.8001,5.75,5.85,5.85,533549,0.0,1.0
2014-07-16,5.9,6.09,5.5701,6.09,6.09,199361,0.0,1.0
2014-07-17,6.0,6.4,5.8,6.35,6.35,136072,0.0,1.0
2014-07-18,6.35,6.4,6.1105,6.4,6.4,96980,0.0,1.0
2014-07-21,6.4,6.4,6.11,6.33,6.33,56307,0.0,1.0
2014-07-22,6.32,6.32,6.05,6.15,6.15,85298,0.0,1.0
2014-07-23,6.26,6.2997,6.05,6.1,6.1,41951,0.0,1.0
2014-07-24,6.1,6.7,6.05,6.56,6.56,197104,0.0,1.0
2014-07-25,6.28,6.85,6.28,6.78,6.78,283424,0.0,1.0
2014-07-28,6.99,7.89,6.82,7.53,7.53,570762,0.0,1.0
2014-07-29,7.9,7.9,7.15,7.19,7.19,101653,0.0,1.0
2014-07-30,7.03,7.0975,6.51,6.53,6.53,134235,0.0,1.0
2014-07-31,6.5,6.85,6.1,6.31,6.31,82865,0.0,1.0
2014-08-01,6.31,6.31,6.15,6.26,6.26,78902,0.0,1.0
2014-08-04,6.74,6.74,6.3,6.63,6.63,49346,0.0,1.0
2014-08-05,6.45,6.8,6.22,6.24,6.24,32654,0.0,1.0
2014-08-06,6.15,6.83,6.15,6.82,6.82,88049,0.0,1.0
2014-08-07,6.85,7.0,6.614,7.0,7.0,124618,0.0,1.0
2014-08-08,6.26,6.847,6.26,6.51,6.51,40025,0.0,1.0
2014-08-11,6.55,6.91,6.5101,6.54,6.54,36464,0.0,1.0
2014-08-12,6.77,7.1,6.62,6.975,6.975,89978,0.0,1.0
2014-08-13,7.0999,7.0999,6.816,6.86,6.86,6214,0.0,1.0
2014-08-14,6.99,7.42,6.9,6.99,6.99,93398,0.0,1.0
2014-08-15,7.33,7.34,6.864,7.29,7.29,62627,0.0,1.0
2014-08-18,7.15,7.3,6.96,6.97,6.97,18942,0.0,1.0
2014-08-19,6.9701,7.15,6.86,6.96,6.96,25701,0.0,1.0
2014-08-20,6.83,6.94,6.67,6.67,6.67,17148,0.0,1.0
2014-08-21,6.7457,6.96,6.663,6.75,6.75,12640,0.0,1.0
2014-08-22,6.91,6.92,6.75,6.75,6.75,12044,0.0,1.0
2014-08-25,6.79,6.83,6.68,6.76,6.76,26741,0.0,1.0
2014-08-26,6.66,6.83,6.66,6.8,6.8,30603,0.0,1.0
2014-08-27,6.83,7.2,6.7247,6.9,6.9,36295,0.0,1.0
2014-08-28,6.99,7.2,6.6507,6.94,6.94,36959,0.0,1.0
2014-08-29,7.1,7.19,6.87,7.08,7.08,20771,0.0,1.0
2014-09-02,7.04,7.14,6.95,7.1,7.1,43973,0.0,1.0
2014-09-03,7.034,7.3,6.91,7.06,7.06,92282,0.0,1.0
2014-09-04,7.15,7.24,6.91,7.19,7.19,37836,0.0,1.0
2014-09-05,7.24,7.24,6.77,7.01,7.01,28906,0.0,1.0
2014-09-08,7.21,7.49,7.02,7.48,7.48,41019,0.0,1.0
2014-09-09,7.36,7.7,7.2926,7.63,7.63,29526,0.0,1.0
2014-09-10,7.55,7.84,7.38,7.65,7.65,46207,0.0,1.0
2014-09-11,7.68,7.7,7.06,7.5,7.5,56199,0.0,1.0
2014-09-12,7.81,7.81,7.152,7.57,7.57,39259,0.0,1.0
2014-09-15,7.24,7.72,7.089,7.56,7.56,51997,0.0,1.0
2014-09-16,7.42,7.54,7.101,7.29,7.29,43437,0.0,1.0
2014-09-17,7.19,7.65,6.955,7.09,7.09,26194,0.0,1.0
2014-09-18,7.19,7.19,6.6,6.6,6.6,63578,0.0,1.0
2014-09-19,6.6,6.73,6.15,6.21,6.21,93916,0.0,1.0
2014-09-22,6.25,6.5,5.78,5.8,5.8,67244,0.0,1.0
2014-09-23,5.7635,6.14,5.7635,5.97,5.97,33688,0.0,1.0
2014-09-24,5.95,6.14,5.76,5.8,5.8,24394,0.0,1.0
2014-09-25,5.8,5.9,5.8,5.87,5.87,7040,0.0,1.0
2014-09-26,5.8,5.93,5.8,5.91,5.91,8357,0.0,1.0
2014-09-29,5.87,6.09,5.801,6.01,6.01,12027,0.0,1.0
2014-09-30,6.09,6.1,5.98,6.05,6.05,13013,0.0,1.0
2014-10-01,5.99,6.25,5.96,6.138,6.138,25264,0.0,1.0
2014-10-02,5.99,6.1,5.99,6.06,6.06,4620,0.0,1.0
2014-10-03,6.0401,6.25,6.0401,6.25,6.25,2521,0.0,1.0
