timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,5.0,5.0,5.0,5.0,1.0767,576,0.0,1.0
2000-01-04,5.125,5.375,5.125,5.375,1.1574,1788,0.0,1.0
2000-01-05,5.38,5.47,5.38,5.38,1.1585,4182,0.0,1.0
2000-01-06,5.375,5.375,5.375,5.375,1.1574,182,0.0,1.0
2000-01-07,5.375,5.375,5.375,5.375,1.1574,1576,0.0,1.0
2000-01-10,5.375,5.375,5.375,5.375,1.1574,576,0.0,1.0
2000-01-11,5.25,5.25,5.125,5.25,1.1305,2182,0.0,1.0
2000-01-12,5.25,5.25,5.25,5.25,1.1305,0,0.0,1.0
2000-01-13,5.25,5.25,5.25,5.25,1.1305,0,0.0,1.0
2000-01-14,5.25,5.375,5.25,5.375,1.1574,5879,0.0,1.0
2000-01-18,5.375,5.5,5.375,5.5,1.1843,12576,0.0,1.0
2000-01-19,5.75,5.75,5.75,5.75,1.2382,182,0.0,1.0
2000-01-20,5.375,5.75,5.375,5.625,1.2112,10394,0.0,1.0
2000-01-21,5.688,5.688,5.625,5.625,1.2112,788,0.0,1.0
2000-01-24,5.688,5.688,5.5,5.5,1.1843,9273,0.0,1.0
2000-01-25,5.75,5.75,5.75,5.75,1.2382,2697,0.0,1.0
2000-01-26,5.625,5.625,5.625,5.625,1.2112,485,0.0,1.0
2000-01-27,5.63,5.63,5.63,5.63,1.2123,0,0.0,1.0
2000-01-28,5.63,5.63,5.63,5.63,1.2123,0,0.0,1.0
2000-01-31,5.5,5.5,5.5,5.5,1.1843,14485,0.0,1.0
2000-02-01,5.5,5.5,5.5,5.5,1.1843,182,0.0,1.0
2000-02-02,5.5,5.688,5.5,5.5,1.1843,1091,0.0,1.0
2000-02-03,5.375,5.375,5.375,5.375,1.1574,182,0.0,1.0
2000-02-04,5.375,5.375,5.375,5.375,1.1574,485,0.0,1.0
2000-02-07,5.125,5.25,5.125,5.125,1.1036,1394,0.0,1.0
2000-02-08,5.25,5.25,5.063,5.063,1.0902,3394,0.0,1.0
2000-02-09,5.063,5.063,5.063,5.063,1.0902,1000,0.0,1.0
2000-02-10,5.063,5.063,5.0,5.0,1.0767,9000,0.0,1.0
2000-02-11,5.0,5.0,5.0,5.0,1.0767,0,0.0,1.0
2000-02-14,5.0,5.0,5.0,5.0,1.0767,0,0.0,1.0
2000-02-15,5.063,5.219,5.0,5.219,1.1238,11000,0.0,1.0
2000-02-16,5.219,5.219,4.875,4.875,1.0497,2000,0.0,1.0
2000-02-17,5.375,5.375,5.375,5.375,1.1574,788,0.0,1.0
2000-02-18,5.313,5.313,5.313,5.313,1.1441,788,0.0,1.0
2000-02-22,5.25,5.438,5.25,5.438,1.171,3091,0.0,1.0
2000-02-23,5.031,5.25,5.031,5.25,1.1305,12485,0.0,1.0
2000-02-24,5.031,5.5,5.0,5.5,1.1843,4788,0.0,1.0
2000-02-25,5.5,5.5,5.5,5.5,1.1843,0,0.0,1.0
2000-02-28,5.5,5.5,5.5,5.5,1.1843,0,0.0,1.0
2000-02-29,5.5,5.5,5.5,5.5,1.1843,0,0.0,1.0
2000-03-01,5.5,5.5,5.5,5.5,1.1843,0,0.0,1.0
2000-03-02,5.5,5.5,5.5,5.5,1.1843,0,0.0,1.0
2000-03-03,5.25,5.25,5.25,5.25,1.1305,6000,0.0,1.0
2000-03-06,5.438,5.438,5.438,5.438,1.171,182,0.0,1.0
2000-03-07,5.44,5.44,5.44,5.44,1.1714,0,0.0,1.0
2000-03-08,5.0,5.25,5.0,5.25,1.1305,10697,0.0,1.0
2000-03-09,5.188,5.25,5.0,5.0,1.0767,15879,0.0,1.0
2000-03-10,5.0,5.0,5.0,5.0,1.0767,0,0.0,1.0
2000-03-13,5.0,5.0,4.938,5.0,1.0767,5697,0.0,1.0
2000-03-14,5.0,5.0,5.0,5.0,1.0767,0,0.0,1.0
2000-03-15,5.0,5.0,5.0,5.0,1.0767,0,0.0,1.0
2000-03-16,5.0,5.0,5.0,5.0,1.0767,576,0.0,1.0
2000-03-17,5.0,5.188,4.906,5.188,1.1171,5394,0.0,1.0
2000-03-20,5.125,5.125,4.906,4.906,1.0564,2485,0.0,1.0
2000-03-21,4.906,5.25,4.0,5.0,1.0767,31697,0.0,1.0
2000-03-22,4.594,4.594,4.125,4.125,0.8882,5182,0.0,1.0
2000-03-23,4.12,4.12,4.12,4.12,0.8872,0,0.0,1.0
2000-03-24,4.12,4.12,4.12,4.12,0.8872,0,0.0,1.0
2000-03-27,4.12,4.12,4.12,4.12,0.8872,0,0.0,1.0
2000-03-28,5.0,5.0,5.0,5.0,1.0767,2000,0.0,1.0
2000-03-29,5.0,5.0,5.0,5.0,1.0767,2394,0.0,1.0
2000-03-30,4.875,4.875,4.875,4.875,1.0497,1273,0.0,1.0
2000-03-31,5.125,5.125,4.875,4.875,1.0497,7576,0.0,1.0
2000-04-03,5.0,5.0,5.0,5.0,1.0767,3485,0.0,1.0
2000-04-04,4.875,4.938,4.875,4.938,1.0633,10576,0.0,1.0
2000-04-05,4.875,4.875,4.875,4.875,1.0497,576,0.0,1.0
2000-04-06,5.125,5.125,4.938,5.125,1.1036,4394,0.0,1.0
2000-04-07,5.031,5.125,5.031,5.063,1.0902,6273,0.0,1.0
