timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-03-04,2.1,2.1,2.1,2.1,2.1,200,0.0,1.0
2016-03-17,1.8,1.8,1.8,1.8,1.8,250,0.0,1.0
2016-06-01,1.5,1.75,1.5,1.75,1.75,2500,0.0,1.0
2016-06-27,1.99,1.99,1.99,1.99,1.99,100,0.0,1.0
2016-06-28,1.99,1.99,1.99,1.99,1.99,200,0.0,1.0
2016-06-29,1.95,1.95,1.95,1.95,1.95,1000,0.0,1.0
2016-07-01,1.95,1.95,1.95,1.95,1.95,2000,0.0,1.0
2016-07-05,1.95,1.95,1.95,1.95,1.95,1100,0.0,1.0
2016-07-27,1.95,1.95,1.9,1.9,1.9,1300,0.0,1.0
2016-10-19,1.81,1.81,1.81,1.81,1.81,164,0.0,1.0
2016-12-27,1.5,1.5,1.5,1.5,1.5,100,0.0,1.0
2017-04-10,2.24,2.36,2.24,2.36,2.36,1400,0.0,1.0
2017-04-11,2.48,2.6,2.48,2.6,2.6,1100,0.0,1.0
2017-04-12,2.85,2.95,2.8,2.8,2.8,14910,0.0,1.0
2017-04-13,2.9,3.0,2.9,3.0,3.0,400,0.0,1.0
2017-04-17,2.75,3.0,2.0,2.0,2.0,2100,0.0,1.0
2017-04-18,2.4,2.4,2.1,2.4,2.4,1100,0.0,1.0
2017-04-19,2.65,2.75,2.65,2.75,2.75,300,0.0,1.0
2017-04-20,2.8,3.11,2.8,3.11,3.11,4300,0.0,1.0
2017-04-21,3.14,3.2,3.14,3.2,3.2,1010,0.0,1.0
2017-04-24,3.1899,3.5,3.1899,3.5,3.5,1900,0.0,1.0
2017-04-25,3.5,4.5,3.5,4.225,4.225,4347,0.0,1.0
2017-04-26,4.2,4.2,3.92,3.92,3.92,1826,0.0,1.0
2017-04-27,3.25,3.25,3.0,3.0,3.0,850,0.0,1.0
2017-04-28,3.0,3.0,3.0,3.0,3.0,139,0.0,1.0
2017-05-01,3.0,3.0,3.0,3.0,3.0,217,0.0,1.0
2017-05-02,3.0,3.0,3.0,3.0,3.0,600,0.0,1.0
2017-05-03,3.0,3.0,2.98,3.0,3.0,2631,0.0,1.0
2017-05-04,5.0,5.0,3.15,3.4,3.4,300,0.0,1.0
2017-05-05,3.55,3.75,3.55,3.75,3.75,400,0.0,1.0
2017-05-08,4.0,6.0,3.95,5.0,5.0,2053,0.0,1.0
2017-05-09,5.0,7.0,5.0,6.6,6.6,2121,0.0,1.0
2017-05-10,6.5,6.5,6.45,6.45,6.45,260,0.0,1.0
2017-05-11,7.0,8.0,7.0,8.0,8.0,1927,0.0,1.0
2017-05-12,9.6,9.6,6.0,8.0,8.0,4507,0.0,1.0
2017-05-15,8.0,8.09,8.0,8.0,8.0,650,0.0,1.0
2017-05-16,7.5,7.5,7.5,7.5,7.5,600,0.0,1.0
2017-05-17,7.1,7.1,6.7,6.7,6.7,1660,0.0,1.0
2017-05-18,7.0,7.0,6.0,6.0,6.0,661,0.0,1.0
2017-05-19,5.8,9.0,5.78,5.8,5.8,1460,0.0,1.0
2017-05-22,5.85,5.85,5.85,5.85,5.85,100,0.0,1.0
2017-05-23,5.85,5.9,2.5,2.75,2.75,2090,0.0,1.0
2017-05-24,3.0,4.0,3.0,4.0,4.0,1200,0.0,1.0
2017-05-25,4.25,4.46,4.25,4.46,4.46,547,0.0,1.0
2017-05-26,4.5,7.0,4.3,6.25,6.25,2590,0.0,1.0
2017-05-30,6.56,6.88,6.25,6.5,6.5,3700,0.0,1.0
2017-05-31,7.0,7.3,6.52,7.2,7.2,2300,0.0,1.0
2017-06-01,7.35,7.5,6.25,6.25,6.25,1065,0.0,1.0
2017-06-02,6.25,6.25,5.25,6.0,6.0,3920,0.0,1.0
2017-06-05,5.75,5.75,5.25,5.74,5.74,1975,0.0,1.0
2017-06-06,5.75,6.9,5.75,6.9,6.9,3491,0.0,1.0
2017-06-07,5.35,5.5,5.35,5.35,5.35,2310,0.0,1.0
2017-06-08,5.61,5.8402,5.61,5.7,5.7,3516,0.0,1.0
2017-06-09,6.9,6.9,5.15,5.55,5.55,1850,0.0,1.0
2017-06-12,5.82,6.11,5.82,6.0,6.0,3155,0.0,1.0
2017-06-13,6.1,6.16,6.1,6.16,6.16,1600,0.0,1.0
2017-06-14,6.169,6.3,6.169,6.3,6.3,2622,0.0,1.0
2017-06-28,5.49,5.49,5.49,5.49,5.49,500,0.0,1.0
2017-06-29,5.5,5.51,5.45,5.45,5.45,1450,0.0,1.0
2017-06-30,5.45,5.45,5.45,5.45,5.45,255,0.0,1.0
2017-07-03,5.45,5.45,5.45,5.45,5.45,500,0.0,1.0
2017-07-05,5.46,5.46,5.0,5.0,5.0,2645,0.0,1.0
2017-07-06,4.95,5.35,4.95,5.35,5.35,1047,0.0,1.0
2017-07-07,5.0,5.0,4.8,4.8,4.8,3150,0.0,1.0
2017-07-10,4.9,5.01,4.9,5.0,5.0,5165,0.0,1.0
2017-07-11,5.1,5.1,5.0,5.0,5.0,1400,0.0,1.0
2017-07-12,4.85,5.0,4.72,4.73,4.73,7025,0.0,1.0
2017-07-13,4.8,5.0,4.75,5.0,5.0,6215,0.0,1.0
2017-07-14,4.8,4.8,4.04,4.04,4.04,4204,0.0,1.0
2017-07-17,4.3,4.4,4.3,4.4,4.4,600,0.0,1.0
2017-07-18,4.472,4.49,4.47,4.49,4.49,3276,0.0,1.0
2017-07-19,4.75,5.5,4.7,5.3925,5.3925,6675,0.0,1.0
2017-07-20,5.5,6.25,5.5,6.1,6.1,15974,0.0,1.0
2017-07-21,6.5,6.5,6.2,6.4,6.4,13334,0.0,1.0
2017-07-24,6.45,6.45,5.15,5.2075,5.2075,11225,0.0,1.0
2017-07-25,5.25,6.0,5.25,5.75,5.75,6200,0.0,1.0
2017-07-26,5.75,5.75,5.3,5.3,5.3,8800,0.0,1.0
2017-07-27,5.1,5.1,4.8,4.95,4.95,17370,0.0,1.0
2017-07-28,5.0,5.7,5.0,5.7,5.7,7829,0.0,1.0
2017-07-31,5.8,7.0,5.8,6.5,6.5,52671,0.0,1.0
2017-08-02,6.7,6.7,6.55,6.556,6.556,4110,0.0,1.0
2017-08-03,6.0,6.0,5.15,5.6,5.6,36293,0.0,1.0
2017-08-04,5.5,5.55,5.45,5.45,5.45,2977,0.0,1.0
2017-08-07,5.7,6.6,5.7,5.75,5.75,6045,0.0,1.0
2017-08-08,5.75,5.75,5.45,5.5,5.5,4788,0.0,1.0
2017-08-09,5.33,5.75,5.23,5.6,5.6,4501,0.0,1.0
2017-08-10,5.609,5.609,5.21,5.34,5.34,13606,0.0,1.0
2017-08-11,5.5,5.528,5.26,5.26,5.26,766,0.0,1.0
2017-08-14,5.3267,5.33,5.0846,5.1,5.1,5220,0.0,1.0
2017-08-15,5.1,5.15,5.01,5.01,5.01,7545,0.0,1.0
2017-08-16,5.1,5.25,5.0793,5.2,5.2,6645,0.0,1.0
2017-08-17,5.1552,5.1552,5.13,5.13,5.13,1200,0.0,1.0
2017-08-18,5.19,5.19,5.19,5.19,5.19,1425,0.0,1.0
2017-08-21,5.13,5.172,5.1,5.1,5.1,3535,0.0,1.0
2017-08-22,5.0716,5.0716,4.9,4.9,4.9,9332,0.0,1.0
2017-08-23,4.9,4.9,4.8,4.85,4.85,10908,0.0,1.0
