timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-01-04,13.39,13.73,12.77,13.22,13.22,98955,0.0,1.0
2016-01-05,13.22,13.3,12.95,13.24,13.24,30689,0.0,1.0
2016-01-06,13.06,13.3,12.67,13.2,13.2,42632,0.0,1.0
2016-01-07,12.94,13.02,12.58,12.6,12.6,49951,0.0,1.0
2016-01-08,12.6,12.98,12.25,12.3,12.3,60896,0.0,1.0
2016-01-11,12.34,12.62,11.515,12.5,12.5,36964,0.0,1.0
2016-01-12,12.66,12.96,12.35,12.75,12.75,65352,0.0,1.0
2016-01-13,12.77,12.77,12.28,12.31,12.31,55783,0.0,1.0
2016-01-14,12.46,12.67,12.23,12.45,12.45,38291,0.0,1.0
2016-01-15,12.08,12.38,11.8,12.09,12.09,49276,0.0,1.0
2016-01-19,12.27,12.36,11.63,11.99,11.99,40271,0.0,1.0
2016-01-20,11.78,12.58,11.58,12.31,12.31,87260,0.0,1.0
2016-01-21,12.31,12.49,12.11,12.16,12.16,35152,0.0,1.0
2016-01-22,12.34,12.56,11.99,12.54,12.54,62606,0.0,1.0
2016-01-25,12.51,12.61,12.17,12.2,12.2,30188,0.0,1.0
2016-01-26,12.25,12.59,12.25,12.43,12.43,32314,0.0,1.0
2016-01-27,12.37,12.56,12.16,12.24,12.24,98058,0.0,1.0
2016-01-28,12.55,12.55,12.12,12.16,12.16,33960,0.0,1.0
2016-01-29,12.33,12.44,12.1,12.36,12.36,186204,0.0,1.0
2016-02-01,12.27,12.6,12.25,12.46,12.46,33925,0.0,1.0
2016-02-02,12.31,12.55,12.11,12.24,12.24,35624,0.0,1.0
2016-02-03,12.39,12.39,11.865,12.18,12.18,29002,0.0,1.0
2016-02-04,12.17,12.49,12.17,12.44,12.44,27118,0.0,1.0
2016-02-05,12.39,12.39,11.68,11.73,11.73,97800,0.0,1.0
2016-02-08,11.45,12.16,11.23,12.06,12.06,65752,0.0,1.0
2016-02-09,11.89,12.379,11.89,12.09,12.09,51066,0.0,1.0
2016-02-10,12.2,12.55,12.18,12.2,12.2,26852,0.0,1.0
2016-02-11,11.98,12.31,11.59,11.9,11.9,37188,0.0,1.0
2016-02-12,12.02,12.45,11.96,12.42,12.42,30959,0.0,1.0
