timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,7.813,7.875,7.813,7.875,3.2701,182400,0.0,1.0
2000-01-04,7.875,7.938,7.813,7.875,3.2701,290100,0.0,1.0
2000-01-05,7.813,7.875,7.813,7.875,3.2701,167200,0.0,1.0
2000-01-06,7.875,7.938,7.813,7.875,3.2701,263000,0.0,1.0
2000-01-07,7.938,8.063,7.875,8.063,3.3482,395900,0.0,1.0
2000-01-10,8.0,8.063,7.875,7.875,3.2701,314000,0.0,1.0
2000-01-11,7.938,7.938,7.75,7.875,3.2701,594900,0.0,1.0
2000-01-12,7.75,7.813,7.75,7.813,3.2444,249700,0.0,1.0
2000-01-13,7.75,7.813,7.75,7.813,3.2444,324500,0.0,1.0
2000-01-14,7.813,7.875,7.75,7.75,3.2182,239700,0.0,1.0
2000-01-18,7.75,7.813,7.688,7.75,3.2182,456700,0.0,1.0
2000-01-19,7.813,7.875,7.75,7.75,3.2182,509500,0.0,1.0
2000-01-20,7.813,7.875,7.75,7.75,3.2182,323300,0.0,1.0
2000-01-21,7.75,7.875,7.75,7.875,3.2701,317100,0.0,1.0
2000-01-24,7.813,7.938,7.813,7.938,3.2963,257400,0.0,1.0
2000-01-25,7.875,8.0,7.875,7.938,3.2963,381000,0.0,1.0
2000-01-26,7.875,8.063,7.875,8.063,3.3482,452000,0.0,1.0
2000-01-27,8.063,8.063,7.938,8.0,3.322,439700,0.0,1.0
2000-01-28,8.0,8.063,7.938,8.063,3.3482,314500,0.0,1.0
2000-01-31,8.0,8.063,7.938,8.0,3.322,578500,0.0,1.0
2000-02-01,8.0,8.125,8.0,8.063,3.3482,499000,0.0,1.0
2000-02-02,8.063,8.125,8.0,8.125,3.3739,239800,0.0,1.0
2000-02-03,8.063,8.125,8.063,8.063,3.3482,774600,0.0,1.0
2000-02-04,8.125,8.188,8.125,8.188,3.4001,246800,0.0,1.0
2000-02-07,8.125,8.188,8.125,8.188,3.4001,289700,0.0,1.0
2000-02-08,8.25,8.25,8.125,8.25,3.4258,315500,0.0,1.0
2000-02-09,8.188,8.25,8.188,8.188,3.4001,279700,0.0,1.0
