timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-09-12,15.09,15.18,15.0,15.07,5.9789,77700,0.0,1.0
2002-09-13,15.2,15.4,15.1,15.4,6.1098,16600,0.0,1.0
2002-09-16,15.35,15.45,15.31,15.35,6.09,22100,0.0,1.0
2002-09-17,15.36,15.6,15.28,15.33,6.082,57500,0.0,1.0
2002-09-18,15.32,15.42,15.25,15.31,6.0741,33400,0.0,1.0
2002-09-19,15.33,15.59,15.33,15.36,6.0939,64800,0.0,1.0
2002-09-20,15.35,15.5,15.31,15.46,6.1336,44300,0.0,1.0
2002-09-23,15.5,15.5,15.26,15.39,6.1058,44900,0.0,1.0
2002-09-24,15.43,15.5,15.28,15.5,6.1495,55100,0.0,1.0
2002-09-25,15.5,15.57,15.33,15.35,6.09,52200,0.0,1.0
2002-09-26,15.43,15.6,15.36,15.53,6.1614,45900,0.0,1.0
2002-09-27,15.53,15.6,15.45,15.55,6.1693,31400,0.0,1.0
2002-09-30,15.62,15.62,15.46,15.61,6.1931,29800,0.0,1.0
2002-10-01,15.63,15.64,15.4,15.4,6.1098,75600,0.0,1.0
2002-10-02,15.45,15.5,15.25,15.39,6.1058,90800,0.0,1.0
2002-10-03,15.4,15.47,15.4,15.46,6.1336,20300,0.0,1.0
2002-10-04,15.39,15.47,15.39,15.44,6.1257,36500,0.0,1.0
2002-10-07,15.44,15.62,15.4,15.62,6.1971,45600,0.0,1.0
2002-10-08,15.44,16.0,15.44,15.6,6.1892,66600,0.0,1.0
2002-10-09,15.52,15.62,15.21,15.37,6.0979,78400,0.0,1.0
2002-10-10,15.39,15.39,15.09,15.18,6.0533,41600,0.0775,1.0
2002-10-11,15.19,15.35,15.15,15.35,6.1211,44200,0.0,1.0
2002-10-14,15.5,15.5,15.37,15.37,6.129,22200,0.0,1.0
2002-10-15,15.42,15.42,15.01,15.1,6.0214,32400,0.0,1.0
2002-10-16,15.01,15.14,14.9,14.98,5.9735,61500,0.0,1.0
2002-10-17,14.9,14.95,14.7,14.73,5.8738,42600,0.0,1.0
2002-10-18,14.7,14.83,14.59,14.83,5.9137,62900,0.0,1.0
2002-10-21,14.83,14.83,14.66,14.68,5.8539,27500,0.0,1.0
2002-10-22,14.7,14.74,14.58,14.64,5.8379,39600,0.0,1.0
2002-10-23,14.56,14.56,14.08,14.21,5.6665,86000,0.0,1.0
2002-10-24,14.2,14.5,14.2,14.5,5.7821,41800,0.0,1.0
2002-10-25,14.41,14.53,14.41,14.5,5.7821,12600,0.0,1.0
2002-10-28,14.49,14.8,14.46,14.7,5.8619,35600,0.0,1.0
2002-10-29,14.73,14.75,14.61,14.74,5.8778,37600,0.0,1.0
2002-10-30,14.7,14.85,14.7,14.81,5.9057,9000,0.0,1.0
2002-10-31,14.89,14.98,14.87,14.96,5.9655,7000,0.0,1.0
2002-11-01,14.99,15.1,14.97,14.99,5.9775,22300,0.0,1.0
2002-11-04,15.0,15.0,14.83,14.89,5.9376,15800,0.0,1.0
2002-11-05,14.94,14.99,14.91,14.97,5.9695,18000,0.0,1.0
2002-11-06,14.95,15.0,14.9,14.95,5.9616,29800,0.0,1.0
2002-11-07,14.99,15.0,14.86,14.93,5.9536,47300,0.0,1.0
2002-11-08,14.87,14.96,14.85,14.96,5.9655,36700,0.0,1.0
2002-11-11,14.96,14.96,14.8,14.86,5.9257,12800,0.0,1.0
2002-11-12,14.87,14.88,14.84,14.86,5.9257,26900,0.0,1.0
2002-11-13,14.81,14.82,14.69,14.75,5.9127,25200,0.0775,1.0
2002-11-14,14.7,14.86,14.63,14.79,5.9287,27500,0.0,1.0
2002-11-15,14.79,14.86,14.79,14.86,5.9568,12300,0.0,1.0
2002-11-18,14.85,14.97,14.79,14.83,5.9448,19800,0.0,1.0
2002-11-19,14.8,14.86,14.8,14.81,5.9368,14700,0.0,1.0
2002-11-20,14.81,14.88,14.8,14.88,5.9648,19200,0.0,1.0
2002-11-21,14.83,14.85,14.8,14.85,5.9528,22700,0.0,1.0
2002-11-22,14.87,14.87,14.44,14.6,5.8526,43100,0.0,1.0
2002-11-25,14.5,14.63,14.35,14.4,5.7724,36800,0.0,1.0
2002-11-26,14.48,14.48,14.37,14.41,5.7764,43500,0.0,1.0
2002-11-27,14.41,14.49,14.4,14.43,5.7844,20100,0.0,1.0
2002-11-29,14.55,14.59,14.55,14.59,5.8486,9600,0.0,1.0
2002-12-02,14.59,14.6,14.46,14.57,5.8405,24700,0.0,1.0
2002-12-03,14.65,14.8,14.6,14.8,5.9327,22200,0.0,1.0
2002-12-04,14.75,14.79,14.66,14.7,5.8927,77400,0.0,1.0
2002-12-05,14.74,14.77,14.68,14.75,5.9127,23500,0.0,1.0
2002-12-06,14.79,14.8,14.72,14.72,5.9007,44500,0.0,1.0
2002-12-09,14.74,14.74,14.67,14.67,5.8806,17800,0.0,1.0
2002-12-10,14.67,14.74,14.61,14.65,5.8726,56700,0.0,1.0
2002-12-11,14.6,14.7,14.53,14.69,5.9618,35200,0.1826,1.0
2002-12-12,14.68,14.69,14.45,14.6,5.9253,47700,0.0,1.0
2002-12-13,14.63,14.63,14.35,14.46,5.8685,47300,0.0,1.0
2002-12-16,14.46,14.46,14.31,14.43,5.8563,27300,0.0,1.0
2002-12-17,14.43,14.44,14.37,14.41,5.8482,16100,0.0,1.0
2002-12-18,14.41,14.41,14.37,14.41,5.8482,29400,0.0,1.0
2002-12-19,14.37,14.38,14.25,14.33,5.8157,94000,0.0,1.0
2002-12-20,14.3,14.3,14.15,14.19,5.7589,57500,0.0,1.0
2002-12-23,14.2,14.29,14.11,14.29,5.7995,48600,0.0,1.0
2002-12-24,14.35,14.42,14.25,14.3,5.8036,31000,0.0,1.0
2002-12-26,14.4,14.4,14.3,14.31,5.8076,11300,0.0,1.0
2002-12-27,14.4,14.5,14.4,14.5,5.8847,31100,0.0,1.0
2002-12-30,14.54,14.79,14.45,14.79,6.0024,72200,0.0,1.0
2002-12-31,14.8,14.94,14.76,14.94,6.0633,37400,0.0,1.0
2003-01-02,14.95,14.99,14.92,14.93,6.0593,30600,0.0,1.0
2003-01-03,14.96,15.04,14.96,15.01,6.0917,16700,0.0,1.0
2003-01-06,15.04,15.08,14.99,15.0,6.0877,38700,0.0,1.0
2003-01-07,14.98,15.04,14.79,14.83,6.0187,62700,0.0,1.0
2003-01-08,14.81,14.81,14.57,14.59,5.9213,61800,0.0,1.0
2003-01-09,14.56,14.63,14.52,14.57,5.9131,58100,0.0,1.0
2003-01-10,14.5,14.62,14.35,14.45,5.8644,60200,0.0,1.0
2003-01-13,14.52,14.52,14.37,14.49,5.9121,25000,0.0775,1.0
2003-01-14,14.5,14.64,14.35,14.6,5.957,23000,0.0,1.0
2003-01-15,14.83,14.85,14.75,14.75,6.0182,26000,0.0,1.0
2003-01-16,14.75,14.83,14.74,14.82,6.0468,23400,0.0,1.0
2003-01-17,14.82,14.82,14.76,14.8,6.0386,18000,0.0,1.0
2003-01-21,14.83,14.85,14.77,14.81,6.0427,27200,0.0,1.0
2003-01-22,14.82,14.82,14.78,14.82,6.0468,23900,0.0,1.0
2003-01-23,14.83,14.89,14.7,14.81,6.0427,40200,0.0,1.0
2003-01-24,14.82,14.84,14.77,14.84,6.0549,25600,0.0,1.0
2003-01-27,14.85,14.85,14.76,14.79,6.0345,29900,0.0,1.0
2003-01-28,14.76,14.97,14.76,14.97,6.108,76300,0.0,1.0
2003-01-29,14.76,14.97,14.76,14.97,6.108,76300,0.0,1.0
2003-01-30,14.96,14.97,14.9,14.91,6.0835,26800,0.0,1.0
2003-01-31,14.97,15.0,14.92,14.92,6.0876,32400,0.0,1.0
2003-02-03,14.99,14.99,14.95,14.99,6.1161,20200,0.0,1.0
2003-02-04,14.95,14.99,14.94,14.99,6.1161,16800,0.0,1.0
2003-02-05,14.94,15.09,14.94,15.03,6.1325,48300,0.0,1.0
2003-02-06,14.96,15.09,14.96,15.07,6.1488,31300,0.0,1.0
2003-02-07,15.08,15.08,15.01,15.01,6.1243,7900,0.0,1.0
2003-02-10,14.99,15.04,14.99,15.0,6.1202,31900,0.0,1.0
2003-02-11,15.02,15.13,14.99,15.05,6.1406,65900,0.0,1.0
2003-02-12,15.07,15.07,14.88,14.98,6.1437,31800,0.0775,1.0
2003-02-13,14.95,15.01,14.92,14.98,6.1437,20200,0.0,1.0
2003-02-14,14.88,14.99,14.88,14.91,6.115,26600,0.0,1.0
2003-02-18,14.96,14.98,14.91,14.97,6.1396,18100,0.0,1.0
2003-02-19,14.93,14.97,14.91,14.96,6.1355,23700,0.0,1.0
