timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-06-19,15.21,16.03,14.96,15.53,14.9473,7717000,0.0,1.0
2013-06-20,16.25,16.3,15.36,15.44,14.8606,1874600,0.0,1.0
2013-06-21,15.98,15.98,15.46,15.8,15.2071,635300,0.0,1.0
2013-06-24,15.79,15.79,15.19,15.52,14.9376,758300,0.0,1.0
2013-06-25,15.5,15.67,15.35,15.66,15.0724,564400,0.0,1.0
2013-06-26,15.54,15.55,15.31,15.47,14.8895,901000,0.0,1.0
2013-06-27,14.78,15.74,14.659,15.37,14.7933,3258000,0.0,1.0
2013-06-28,15.29,15.68,15.25,15.38,14.8029,1793700,0.0,1.0
2013-07-01,15.48,15.5,14.84,14.87,14.312,4343500,0.0,1.0
2013-07-02,14.68,15.19,14.67,14.99,14.4275,8682500,0.0,1.0
2013-07-03,14.84,15.12,14.84,14.97,14.4083,2265100,0.0,1.0
2013-07-05,14.96,15.94,14.96,15.61,15.0243,3470900,0.0,1.0
2013-07-08,15.83,16.08,15.55,16.02,15.4189,4010700,0.0,1.0
2013-07-09,15.81,16.02,15.665,15.73,15.1398,3656200,0.0,1.0
2013-07-10,15.5,15.6,15.22,15.45,14.8703,3010500,0.0,1.0
2013-07-11,15.8,15.8,15.06,15.21,14.6393,3630300,0.0,1.0
2013-07-12,15.0,15.18,14.97,14.99,14.4275,3042300,0.0,1.0
2013-07-15,15.0,15.08,14.52,14.8,14.2447,5331400,0.0,1.0
2013-07-16,14.71,15.47,14.7,15.39,14.8125,2711100,0.0,1.0
2013-07-17,15.28,16.12,15.28,16.02,15.4189,3737700,0.0,1.0
2013-07-18,16.04,16.25,15.46,15.6,15.0146,2827900,0.0,1.0
2013-07-19,15.37,16.26,15.37,16.12,15.5151,3735400,0.0,1.0
2013-07-22,16.15,16.26,15.751,15.9,15.3034,2159200,0.0,1.0
2013-07-23,15.85,16.05,15.71,15.85,15.2553,2104900,0.0,1.0
2013-07-24,15.79,16.05,15.62,15.92,15.3226,2205100,0.0,1.0
2013-07-25,15.91,16.045,15.64,15.76,15.1686,2097300,0.0,1.0
2013-07-26,15.76,16.16,15.5,16.09,15.4863,937600,0.0,1.0
2013-07-29,15.98,16.069,15.61,15.71,15.1205,3495600,0.0,1.0
2013-07-30,15.73,16.18,15.67,16.14,15.5344,3438100,0.0,1.0
2013-07-31,16.09,16.37,16.04,16.09,15.4863,2392800,0.0,1.0
2013-08-01,16.11,16.42,16.09,16.39,15.775,1951600,0.0,1.0
2013-08-02,16.29,16.64,16.25,16.5,15.8809,2042800,0.0,1.0
2013-08-05,16.41,16.48,16.08,16.21,15.6018,1127500,0.0,1.0
2013-08-06,16.13,16.45,16.03,16.39,15.775,1335300,0.0,1.0
2013-08-07,16.24,16.3,16.04,16.16,15.5536,1239800,0.0,1.0
2013-08-08,16.32,16.51,16.15,16.38,15.7654,2109500,0.0,1.0
2013-08-09,16.41,16.41,16.22,16.24,15.6306,1370900,0.0,1.0
2013-08-12,16.1,16.3,15.975,16.11,15.5055,1917600,0.0,1.0
2013-08-13,16.23,16.23,16.0,16.05,15.4478,1643600,0.0,1.0
2013-08-14,16.0,16.21,15.87,16.18,15.5729,2029000,0.0,1.0
2013-08-15,16.06,16.3901,15.935,16.32,15.7076,1351600,0.0,1.0
2013-08-16,16.26,16.45,16.16,16.19,15.5825,2144700,0.0,1.0
