timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-09-24,0.57,0.8,0.55,0.6,0.6,46385,0.0,1.0
2014-09-25,0.35,0.679,0.35,0.6196,0.6196,110538,0.0,1.0
2014-09-26,0.62,0.62,0.4502,0.58,0.58,10041,0.0,1.0
2014-09-29,0.6,0.6,0.45,0.488,0.488,3983,0.0,1.0
2014-09-30,0.68,0.68,0.45,0.68,0.68,45417,0.0,1.0
2014-10-01,0.72,0.8383,0.5,0.75,0.75,27660,0.0,1.0
2014-10-02,0.75,0.75,0.65,0.75,0.75,20400,0.0,1.0
2014-10-03,0.76,2.0,0.76,1.44,1.44,404840,0.0,1.0
2014-10-06,1.85,1.85,1.07,1.25,1.25,104983,0.0,1.0
2014-10-07,1.1,1.3349,0.9999,1.04,1.04,47663,0.0,1.0
2014-10-08,1.04,1.1376,0.96,1.0,1.0,15840,0.0,1.0
2014-10-09,1.13,1.36,0.9501,1.2977,1.2977,63060,0.0,1.0
2014-10-10,1.25,1.45,1.25,1.31,1.31,55891,0.0,1.0
2014-10-13,1.75,1.75,0.875,1.06,1.06,85721,0.0,1.0
2014-10-14,1.2,1.2,0.85,0.99,0.99,60581,0.0,1.0
2014-10-15,0.9,1.03,0.78,1.03,1.03,42608,0.0,1.0
2014-10-16,1.18,1.18,1.0,1.0,1.0,2000,0.0,1.0
2014-10-17,1.15,1.24,1.0,1.0001,1.0001,11305,0.0,1.0
2014-10-20,1.1,1.1,0.85,1.05,1.05,3130,0.0,1.0
2014-10-21,0.85,1.0,0.85,0.881,0.881,13020,0.0,1.0
2014-10-22,0.9,0.99,0.9,0.92,0.92,10811,0.0,1.0
2014-10-23,1.0,1.15,0.8,0.9,0.9,19175,0.0,1.0
2014-10-24,0.86,0.99,0.66,0.7,0.7,49458,0.0,1.0
2014-10-27,0.96,0.96,0.66,0.74,0.74,11410,0.0,1.0
2014-10-28,0.85,0.85,0.72,0.7579,0.7579,6862,0.0,1.0
2014-10-29,0.7,0.774,0.65,0.7,0.7,5292,0.0,1.0
2014-10-30,0.73,0.85,0.65,0.804,0.804,49536,0.0,1.0
2014-10-31,0.81,0.81,0.74,0.79,0.79,2000,0.0,1.0
2014-11-03,0.8,0.8,0.7,0.735,0.735,7000,0.0,1.0
2014-11-04,0.735,0.78,0.735,0.735,0.735,15600,0.0,1.0
2014-11-05,0.78,0.78,0.7799,0.7799,0.7799,5000,0.0,1.0
2014-11-06,0.69,0.8,0.69,0.8,0.8,22299,0.0,1.0
2014-11-07,0.7917,0.7917,0.73,0.73,0.73,2060,0.0,1.0
2014-11-10,0.7,0.7,0.7,0.7,0.7,205,0.0,1.0
2014-11-11,0.78,0.8,0.73,0.75,0.75,15245,0.0,1.0
2014-11-12,0.75,0.75,0.75,0.75,0.75,125,0.0,1.0
2014-11-13,0.78,0.78,0.68,0.6821,0.6821,2595,0.0,1.0
2014-11-14,0.68,0.88,0.68,0.8799,0.8799,6300,0.0,1.0
2014-11-17,0.8,0.86,0.8,0.86,0.86,1200,0.0,1.0
2014-11-18,0.8407,0.85,0.7,0.85,0.85,11972,0.0,1.0
2014-11-19,0.77,0.85,0.77,0.85,0.85,450,0.0,1.0
2014-11-20,0.68,0.76,0.68,0.744,0.744,5860,0.0,1.0
2014-11-21,0.68,0.81,0.68,0.81,0.81,1500,0.0,1.0
2014-11-24,0.77,0.77,0.7699,0.77,0.77,2209,0.0,1.0
