timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,20.0,23.94,19.81,20.62,100.723,57067,0.0,1.0
2000-01-04,20.75,21.0,17.31,18.0,87.9251,41600,0.0,1.0
2000-01-05,18.25,18.88,17.12,18.0,87.9251,12800,0.0,1.0
2000-01-06,18.31,18.62,17.75,17.87,87.29,11733,0.0,1.0
2000-01-07,17.87,19.25,17.75,17.75,86.7039,29867,0.0,1.0
2000-01-10,18.13,18.38,16.75,17.87,87.29,37333,0.0,1.0
2000-01-11,17.75,18.25,17.06,17.25,84.2615,19733,0.0,1.0
2000-01-12,17.19,17.61,16.0,16.37,79.963,18133,0.0,1.0
2000-01-13,16.31,17.0,14.38,16.81,82.1122,49067,0.0,1.0
2000-01-14,17.06,17.38,17.0,17.38,84.8965,6400,0.0,1.0
2000-01-18,17.25,18.0,17.12,17.94,87.632,28800,0.0,1.0
2000-01-19,17.87,18.5,17.75,17.94,87.632,38400,0.0,1.0
2000-01-20,18.19,18.69,17.62,17.62,86.0689,38933,0.0,1.0
2000-01-21,18.0,29.56,17.75,27.0,131.8876,730133,0.0,1.0
2000-01-24,34.0,48.22,29.5,42.13,205.7935,1277867,0.0,1.0
2000-01-25,40.06,42.5,32.75,34.88,170.3792,429867,0.0,1.0
2000-01-26,34.56,44.69,34.5,40.12,195.9752,408000,0.0,1.0
2000-01-27,43.34,46.94,40.81,42.88,209.457,350933,0.0,1.0
2000-01-28,41.5,43.88,36.0,38.0,185.6196,202133,0.0,1.0
2000-01-31,33.25,36.88,30.0,33.0,161.1959,205333,0.0,1.0
2000-02-01,34.94,35.0,30.25,34.0,166.0807,182400,0.0,1.0
2000-02-02,33.0,33.88,31.94,32.0,156.3112,83200,0.0,1.0
2000-02-03,32.06,41.5,32.06,37.44,182.8841,214933,0.0,1.0
2000-02-04,40.97,41.94,36.0,38.19,186.5477,147733,0.0,1.0
2000-02-07,40.0,45.06,39.06,44.56,217.6634,222400,0.0,1.0
2000-02-08,45.0,46.94,40.5,44.87,219.1776,453867,0.0,1.0
2000-02-09,45.0,45.0,39.0,40.75,199.0526,206400,0.0,1.0
2000-02-10,40.97,43.37,38.87,40.0,195.389,98133,0.0,1.0
