timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-10-04,17.25,20.18,16.08,18.8,15.9545,17462012,0.0,1.0
2013-10-07,18.6,20.01,18.27,19.3,16.3789,3316329,0.0,1.0
2013-10-08,19.16,19.66,18.41,18.42,15.6321,1338061,0.0,1.0
2013-10-09,18.35,18.6,18.02,18.51,15.7084,292888,0.0,1.0
2013-10-10,18.6,19.48,18.5,19.48,16.5316,419704,0.0,1.0
2013-10-11,19.07,19.73,19.04,19.54,16.5825,260599,0.0,1.0
2013-10-14,19.1,20.74,19.1,20.19,17.1342,288848,0.0,1.0
2013-10-15,20.2,20.9,20.0,20.22,17.1596,502342,0.0,1.0
2013-10-16,20.22,21.0,20.02,20.42,17.3294,302340,0.0,1.0
2013-10-17,20.1,21.75,20.1,21.56,18.2968,481907,0.0,1.0
2013-10-18,21.31,22.77,20.93,22.37,18.9842,309410,0.0,1.0
2013-10-21,22.52,22.96,22.41,22.59,19.1709,182175,0.0,1.0
2013-10-22,22.51,23.68,22.51,23.0,19.5189,221515,0.0,1.0
2013-10-23,23.0,23.46,22.25,23.3,19.7735,325313,0.0,1.0
2013-10-24,23.65,24.58,22.65,22.82,19.3661,361685,0.0,1.0
2013-10-25,23.31,23.75,22.7,22.75,19.3067,201960,0.0,1.0
2013-10-28,22.75,22.8199,21.55,21.77,18.475,383729,0.0,1.0
2013-10-29,21.94,22.68,21.59,22.6,19.1794,1021624,0.0,1.0
2013-10-30,22.81,22.81,21.87,22.27,18.8993,212566,0.0,1.0
2013-10-31,22.33,22.6,21.85,22.35,18.9672,224221,0.0,1.0
2013-11-01,22.05,22.49,21.9,22.03,18.6957,414895,0.0,1.0
2013-11-04,22.0,22.439,21.82,21.9,18.5854,197210,0.0,1.0
2013-11-05,21.83,22.12,20.64,21.95,18.6278,744208,0.0,1.0
2013-11-06,22.0,22.3899,21.86,22.09,18.7466,201397,0.0,1.0
2013-11-07,22.05,22.47,21.7,21.96,18.6363,271269,0.0,1.0
2013-11-08,22.1,22.96,21.51,22.87,19.4085,109082,0.0,1.0
2013-11-11,23.0,23.43,22.36,23.19,19.6801,253718,0.0,1.0
2013-11-12,23.17,23.21,22.751,23.08,19.5868,117006,0.0,1.0
2013-11-13,22.71,23.2,22.6,23.11,19.6122,132120,0.0,1.0
2013-11-14,23.02,24.45,23.0,23.96,20.3336,120062,0.0,1.0
2013-11-15,24.08,24.9885,23.88,24.46,20.7579,115230,0.0,1.0
2013-11-18,24.67,24.67,23.56,23.72,20.1299,157114,0.0,1.0
2013-11-19,23.56,23.8375,23.09,23.09,19.5952,137086,0.0,1.0
2013-11-20,23.27,23.7099,22.866,23.1,19.6037,46632,0.0,1.0
2013-11-21,23.05,24.47,23.05,24.36,20.673,81181,0.0,1.0
2013-11-22,24.5,25.55,24.5,25.02,21.2331,136671,0.0,1.0
2013-11-25,25.02,25.5,24.75,24.81,21.0549,62749,0.0,1.0
2013-11-26,24.97,24.97,24.26,24.42,20.7239,134973,0.0,1.0
2013-11-27,24.134,25.539,24.134,24.5,20.7918,42545,0.0,1.0
2013-11-29,24.52,24.82,24.3,24.76,21.0125,27652,0.0,1.0
2013-12-02,24.8,24.81,24.33,24.53,20.8173,84484,0.0,1.0
2013-12-03,24.29,25.13,24.1,25.13,21.3265,158375,0.0,1.0
2013-12-04,25.05,25.58,24.99,25.17,21.3604,213782,0.0,1.0
2013-12-05,25.07,26.0,24.99,25.67,21.7847,145627,0.0,1.0
2013-12-06,26.1,26.37,25.43,25.89,21.9714,73054,0.0,1.0
2013-12-09,26.0,26.4,25.9,26.34,22.3533,97868,0.0,1.0
2013-12-10,26.16,26.4841,26.01,26.25,22.277,68445,0.0,1.0
2013-12-11,26.27,26.27,25.5,26.06,22.1157,77978,0.0,1.0
2013-12-12,26.05,26.616,25.37,26.44,22.4382,155119,0.0,1.0
2013-12-13,26.46,26.58,25.9,26.16,22.2006,57705,0.0,1.0
2013-12-16,26.25,26.34,25.83,26.14,22.1836,128480,0.0,1.0
2013-12-17,26.0401,26.44,26.0401,26.17,22.2091,74518,0.0,1.0
2013-12-18,26.26,26.59,25.82,26.42,22.4212,134550,0.0,1.0
2013-12-19,26.5,26.86,26.13,26.75,22.7013,47812,0.0,1.0
2013-12-20,26.66,27.98,26.52,26.85,22.7861,147629,0.0,1.0
2013-12-23,27.11,27.54,27.08,27.3,23.168,45996,0.0,1.0
2013-12-24,27.4,28.185,27.15,27.48,23.3208,79592,0.0,1.0
2013-12-26,27.48,28.01,27.24,27.71,23.516,24855,0.0,1.0
2013-12-27,27.81,28.73,27.42,28.08,23.83,100270,0.0,1.0
2013-12-30,27.85,28.1,27.69,27.89,23.6687,11414,0.0,1.0
2013-12-31,27.81,28.11,27.38,27.6,23.4226,70329,0.0,1.0
2014-01-02,27.56,28.24,27.5,28.02,23.7791,67915,0.0,1.0
2014-01-03,28.42,28.42,27.54,28.08,23.83,25581,0.0,1.0
2014-01-06,28.475,28.69,27.84,27.95,23.7197,76656,0.0,1.0
2014-01-07,27.9,28.46,27.8,27.83,23.6178,76525,0.0,1.0
2014-01-08,27.96,28.444,27.53,27.66,23.4736,90761,0.0,1.0
2014-01-09,27.35,27.35,26.14,26.91,22.8371,358585,0.0,1.0
2014-01-10,26.76,27.31,26.65,27.03,22.9389,92033,0.0,1.0
2014-01-13,27.01,27.31,26.818,27.24,23.1171,58523,0.0,1.0
2014-01-14,27.36,27.36,26.66,26.89,22.8201,134996,0.0,1.0
2014-01-15,26.65,27.4,26.6,26.98,22.8965,52363,0.0,1.0
2014-01-16,26.81,27.0,26.69,26.75,22.7013,87429,0.0,1.0
2014-01-17,26.9,26.9,26.24,26.71,22.6673,207520,0.0,1.0
2014-01-21,26.75,27.0,26.4804,26.89,22.8201,41022,0.0,1.0
2014-01-22,26.8,26.96,26.63,26.64,22.6079,50884,0.0,1.0
2014-01-23,26.5,26.5,24.4,25.79,21.8866,666892,0.0,1.0
2014-01-24,25.48,25.55,24.89,25.21,21.3944,152337,0.0,1.0
2014-01-27,24.9,24.99,24.25,24.79,21.0379,174348,0.0,1.0
2014-01-28,24.98,25.25,24.9,25.15,21.3434,72574,0.0,1.0
2014-01-29,25.01,25.99,25.0,25.55,21.6829,44757,0.0,1.0
2014-01-30,25.5,25.55,25.1,25.33,21.4962,47345,0.0,1.0
2014-01-31,24.89,25.97,24.89,25.85,21.9375,81015,0.0,1.0
2014-02-03,25.83,25.87,25.3039,25.36,21.5217,39529,0.0,1.0
2014-02-04,25.35,25.74,25.1601,25.31,21.4792,27959,0.0,1.0
2014-02-05,25.39,25.39,24.15,24.48,20.7749,79641,0.0,1.0
2014-02-06,24.45,24.82,23.83,24.7,20.9616,68112,0.0,1.0
2014-02-07,25.0,25.14,24.5,25.01,21.2246,43752,0.0,1.0
2014-02-10,25.15,25.15,24.25,24.55,20.8343,72347,0.0,1.0
2014-02-11,24.55,25.03,24.25,24.92,21.1483,64595,0.0,1.0
