timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-06-12,13.12,13.32,11.48,12.12,4.2554,3913353,0.0,1.0
2008-06-13,12.12,12.3,11.86,12.25,4.3011,377089,0.0,1.0
2008-06-16,12.21,12.52,12.13,12.4,4.3537,117700,0.0,1.0
2008-06-17,12.7,12.7,12.4,12.45,4.3713,91200,0.0,1.0
2008-06-18,12.45,12.52,11.7,11.7,4.108,274400,0.0,1.0
2008-06-19,11.7,12.0,10.91,11.27,3.957,597050,0.0,1.0
2008-06-20,10.89,11.25,10.75,10.9,3.8271,427350,0.0,1.0
2008-06-23,11.0,11.0906,10.3,10.91,3.8306,113000,0.0,1.0
2008-06-24,11.0,11.1,10.65,10.9,3.8271,102279,0.0,1.0
2008-06-25,10.95,10.95,10.7,10.7,3.7568,85450,0.0,1.0
2008-06-26,10.52,10.63,10.1,10.28,3.6094,250029,0.0,1.0
2008-06-27,10.46,10.8,10.25,10.26,3.6024,30998,0.0,1.0
2008-06-30,10.25,10.71,10.25,10.29,3.6129,192138,0.0,1.0
2008-07-01,10.25,10.5,10.17,10.25,3.5988,315075,0.0,1.0
2008-07-02,10.17,10.2,9.99,10.15,3.5637,28821,0.0,1.0
2008-07-03,10.0,10.0,9.66,9.8,3.4408,49650,0.0,1.0
2008-07-07,9.81,9.94,9.6,9.94,3.49,64700,0.0,1.0
2008-07-08,9.9,9.965,9.11,9.59,3.3671,47475,0.0,1.0
2008-07-09,9.59,9.62,8.13,9.0,3.16,177648,0.0,1.0
2008-07-10,8.8,9.16,8.8,9.1,3.1951,30085,0.0,1.0
2008-07-11,9.1,9.26,9.01,9.26,3.2513,32305,0.0,1.0
2008-07-14,9.1,9.18,8.59,8.85,3.1073,56198,0.0,1.0
2008-07-15,8.65,8.68,7.56,8.12,2.851,309464,0.0,1.0
2008-07-16,8.1,8.54,8.01,8.49,2.9809,43900,0.0,1.0
2008-07-17,8.5,8.68,8.4,8.51,2.9879,43200,0.0,1.0
2008-07-18,8.5,8.88,8.5,8.78,3.0827,25450,0.0,1.0
2008-07-21,9.01,9.25,8.97,9.11,3.1986,41476,0.0,1.0
2008-07-22,9.1,9.25,9.09,9.16,3.2161,29820,0.0,1.0
2008-07-23,9.25,9.27,9.15,9.25,3.2477,47185,0.0,1.0
2008-07-24,9.25,9.26,9.0,9.26,3.2513,123675,0.0,1.0
2008-07-25,9.26,9.29,9.1,9.25,3.2477,9850,0.0,1.0
2008-07-28,9.25,9.25,9.1,9.12,3.2021,3900,0.0,1.0
2008-07-29,8.8,9.09,8.8,9.03,3.1705,41300,0.0,1.0
2008-07-30,9.05,9.19,8.9,9.15,3.2126,14050,0.0,1.0
2008-07-31,9.15,9.8,9.15,9.64,3.3847,21831,0.0,1.0
2008-08-01,9.64,9.88,9.33,9.88,3.4689,12393,0.0,1.0
2008-08-04,9.98,9.98,9.63,9.71,3.4092,13632,0.0,1.0
2008-08-05,9.8,9.99,9.64,9.83,3.4514,36095,0.0,1.0
2008-08-06,9.6,10.05,9.51,9.75,3.4233,30679,0.0,1.0
2008-08-07,9.76,10.0,9.52,9.77,3.4303,16700,0.0,1.0
2008-08-08,9.5214,9.689,9.36,9.5,3.3355,33000,0.0,1.0
2008-08-11,9.48,9.86,9.48,9.78,3.4338,28550,0.0,1.0
2008-08-12,9.91,10.2999,9.7,9.94,3.49,117312,0.0,1.0
2008-08-13,9.94,10.08,9.65,9.88,3.4689,77500,0.0,1.0
