timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,21.88,22.12,21.63,22.12,9.7077,11700,0.0,1.0
2000-01-04,22.06,22.06,21.81,21.81,9.5716,3900,0.0,1.0
2000-01-05,21.81,21.94,21.63,21.63,9.4927,7800,0.0,1.0
2000-01-06,21.63,21.63,20.94,20.94,9.1898,12400,0.0,1.0
2000-01-07,20.94,21.06,20.94,21.0,9.2162,800,0.0,1.0
2000-01-10,20.88,20.88,20.0,20.06,8.8036,12200,0.0,1.0
2000-01-11,19.5,19.63,19.44,19.5,8.5579,10000,0.0,1.0
2000-01-12,19.5,20.0,19.19,20.0,8.7773,17800,0.0,1.0
2000-01-13,20.13,20.25,20.0,20.13,8.8344,38200,0.0,1.0
2000-01-14,20.06,20.19,20.0,20.19,8.8607,12600,0.0,1.0
2000-01-18,20.13,20.38,20.13,20.31,8.9134,11500,0.0,1.0
2000-01-19,20.56,21.0,20.56,21.0,9.2162,21100,0.0,1.0
2000-01-20,21.13,21.5,21.13,21.38,9.3829,27900,0.0,1.0
2000-01-21,21.5,21.5,21.0,21.06,9.2425,22500,0.0,1.0
2000-01-24,21.06,21.06,21.0,21.0,9.2162,20100,0.0,1.0
2000-01-25,21.13,21.13,20.88,21.06,9.2425,17600,0.0,1.0
2000-01-26,21.0,21.25,20.63,20.63,9.0538,42900,0.0,1.0
2000-01-27,20.5,20.63,20.31,20.31,8.9134,12400,0.0,1.0
2000-01-28,20.38,20.63,20.31,20.31,8.9134,5000,0.0,1.0
2000-01-31,20.31,20.31,19.75,20.13,8.8344,19900,0.0,1.0
2000-02-01,20.06,20.06,19.75,19.75,8.6676,175600,0.0,1.0
2000-02-02,19.56,19.81,19.56,19.81,8.6939,101600,0.0,1.0
2000-02-03,19.94,20.25,19.94,20.25,8.887,17200,0.0,1.0
2000-02-04,20.13,21.44,20.13,21.44,9.4093,43200,0.0,1.0
2000-02-07,21.44,22.75,21.31,22.75,9.9842,44400,0.0,1.0
2000-02-08,23.0,26.0,23.0,24.06,10.5591,237800,0.0,1.0
2000-02-09,24.0,25.5,23.81,24.63,10.8092,173600,0.0,1.0
2000-02-10,24.81,25.38,23.88,24.38,10.6995,87300,0.0,1.0
