timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,0.05,0.07,0.05,0.07,2.52,0,0.0,1.0
2000-01-04,0.07,0.1,0.07,0.08,2.88,0,0.0,1.0
2000-01-05,0.08,0.1,0.08,0.09,3.24,0,0.0,1.0
2000-01-06,0.09,0.09,0.08,0.09,3.24,0,0.0,1.0
2000-01-07,0.09,0.09,0.08,0.08,2.88,0,0.0,1.0
2000-01-10,0.08,0.08,0.08,0.08,2.88,0,0.0,1.0
2000-01-11,0.08,0.1,0.08,0.1,3.6,0,0.0,1.0
2000-01-12,0.1,0.13,0.1,0.12,4.32,0,0.0,1.0
2000-01-13,0.12,0.14,0.1,0.11,3.96,0,0.0,1.0
2000-01-14,0.11,0.11,0.09,0.09,3.24,0,0.0,1.0
2000-01-18,0.09,0.12,0.09,0.09,3.24,0,0.0,1.0
2000-01-19,0.09,0.11,0.06,0.1,3.6,0,0.0,1.0
2000-01-20,0.1,0.12,0.1,0.11,3.96,0,0.0,1.0
2000-01-21,0.11,0.13,0.01,0.12,4.32,0,0.0,1.0
2000-01-24,0.12,0.17,0.12,0.15,5.4,0,0.0,1.0
2000-01-25,0.15,0.2,0.07,0.18,6.48,0,0.0,1.0
2000-01-26,0.18,0.25,0.15,0.17,6.12,0,0.0,1.0
2000-01-27,0.17,0.19,0.02,0.17,6.12,0,0.0,1.0
2000-01-28,0.17,0.19,0.02,0.16,5.76,0,0.0,1.0
2000-01-31,0.16,0.18,0.13,0.13,4.68,0,0.0,1.0
2000-02-01,0.13,0.13,0.11,0.12,4.32,0,0.0,1.0
2000-02-02,0.13,0.15,0.13,0.14,5.04,0,0.0,1.0
2000-02-03,0.15,0.17,0.15,0.16,5.76,0,0.0,1.0
2000-02-04,0.16,0.18,0.16,0.18,6.48,0,0.0,1.0
2000-02-07,0.18,0.2,0.18,0.19,6.84,0,0.0,1.0
2000-02-08,0.19,0.2,0.19,0.2,7.2,0,0.0,1.0
2000-02-09,0.2,0.2,0.19,0.2,7.2,0,0.0,1.0
2000-02-10,0.2,0.2,0.2,0.2,7.2,0,0.0,1.0
2000-02-11,0.2,0.5,0.15,0.27,9.72,0,0.0,1.0
2000-02-14,0.3,0.37,0.3,0.31,11.16,0,0.0,1.0
2000-02-15,0.33,0.45,0.33,0.34,12.24,0,0.0,1.0
2000-02-16,0.34,0.4,0.3,0.31,11.16,0,0.0,1.0
2000-02-17,0.33,0.4,0.33,0.35,12.6,0,0.0,1.0
2000-02-18,0.37,0.4,0.37,0.37,13.32,0,0.0,1.0
2000-02-22,0.39,0.45,0.39,0.44,15.84,0,0.0,1.0
2000-02-23,0.44,0.75,0.21,0.63,22.6801,0,0.0,1.0
2000-02-24,0.63,0.63,0.63,0.63,22.6801,0,0.0,1.0
2000-02-25,0.63,1.0,0.09,0.91,32.7601,0,0.0,1.0
2000-02-28,0.91,1.05,0.54,0.7,25.2001,0,0.0,1.0
2000-02-29,0.7,0.97,0.06,0.6,21.6001,0,0.0,1.0
2000-03-01,0.6,0.8,0.6,0.7,25.2001,0,0.0,1.0
2000-03-02,0.7,0.8,0.7,0.7,25.2001,0,0.0,1.0
2000-03-03,0.7,0.81,0.7,0.71,25.5601,0,0.0,1.0
