timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,21.25,21.38,17.0,18.63,18.6112,1552700,0.0,1.0
2000-01-04,18.19,18.63,15.88,16.44,16.4234,475700,0.0,1.0
2000-01-05,16.0,18.0,15.5,17.13,17.1127,383000,0.0,1.0
2000-01-06,16.94,17.5,15.88,15.94,15.9239,208100,0.0,1.0
2000-01-07,16.0,17.5,16.0,16.81,16.793,208200,0.0,1.0
2000-01-10,17.25,17.5,16.0,16.06,16.0438,286700,0.0,1.0
2000-01-11,16.0,16.63,12.88,14.06,14.0458,445300,0.0,1.0
2000-01-12,14.19,14.38,12.5,13.06,13.0468,295600,0.0,1.0
2000-01-13,13.06,13.5,10.75,12.63,12.6172,482900,0.0,1.0
2000-01-14,13.44,14.0,12.25,13.38,13.3665,281600,0.0,1.0
2000-01-18,13.88,14.44,13.38,14.0,13.9858,162700,0.0,1.0
2000-01-19,14.34,14.5,13.38,13.63,13.6162,109800,0.0,1.0
2000-01-20,13.63,14.5,12.5,14.0,13.9858,183300,0.0,1.0
2000-01-21,14.25,14.31,13.38,13.88,13.866,247100,0.0,1.0
2000-01-24,14.19,14.94,14.0,14.63,14.6152,303200,0.0,1.0
2000-01-25,15.0,17.63,14.63,17.19,17.1726,578500,0.0,1.0
2000-01-26,17.63,17.75,15.5,16.88,16.8629,335600,0.0,1.0
2000-01-27,17.0,17.94,16.75,17.13,17.1127,237500,0.0,1.0
2000-01-28,17.5,17.75,15.25,15.63,15.6142,180600,0.0,1.0
2000-01-31,15.72,16.0,13.56,14.31,14.2955,155900,0.0,1.0
2000-02-01,14.5,15.63,14.25,15.13,15.1147,126800,0.0,1.0
2000-02-02,15.0,17.44,14.13,16.75,16.7331,220200,0.0,1.0
2000-02-03,16.88,17.5,15.81,16.38,16.3634,165600,0.0,1.0
2000-02-04,16.5,16.5,15.0,15.44,15.4244,111200,0.0,1.0
2000-02-07,15.19,15.88,15.0,15.0,14.9848,117500,0.0,1.0
2000-02-08,15.5,15.94,14.5,14.88,14.865,148700,0.0,1.0
2000-02-09,14.5,14.88,14.0,14.09,14.0758,112100,0.0,1.0
2000-02-10,14.13,15.44,14.0,15.13,15.1147,109100,0.0,1.0
2000-02-11,15.44,15.56,14.88,14.88,14.865,112300,0.0,1.0
2000-02-14,15.75,15.81,14.5,14.63,14.6152,102100,0.0,1.0
2000-02-15,14.97,15.0,14.13,14.38,14.3655,48900,0.0,1.0
2000-02-16,14.5,15.0,14.19,14.31,14.2955,63800,0.0,1.0
2000-02-17,14.63,15.0,14.0,14.13,14.1157,78000,0.0,1.0
2000-02-18,14.0,15.0,13.25,14.38,14.3655,171500,0.0,1.0
2000-02-22,14.69,15.25,14.25,14.38,14.3655,187800,0.0,1.0
2000-02-23,14.88,15.0,14.13,14.25,14.2356,83100,0.0,1.0
2000-02-24,14.56,14.69,14.13,14.5,14.4853,58600,0.0,1.0
2000-02-25,14.69,14.75,13.81,14.13,14.1157,115200,0.0,1.0
2000-02-28,13.75,14.0,13.25,13.94,13.9259,104900,0.0,1.0
2000-02-29,14.13,21.75,14.13,19.56,19.5402,1254800,0.0,1.0
2000-03-01,20.75,21.0,17.25,18.13,18.1117,395400,0.0,1.0
2000-03-02,20.5,20.88,19.0,20.5,20.4793,428700,0.0,1.0
2000-03-03,20.5,31.0,20.38,28.5,28.4712,1051400,0.0,1.0
2000-03-06,31.0,38.5,30.06,34.25,34.2154,1089000,0.0,1.0
2000-03-07,38.0,38.5,25.5,30.0,29.9697,1059900,0.0,1.0
2000-03-08,29.88,30.88,25.5,28.5,28.4712,367200,0.0,1.0
2000-03-09,29.0,34.5,29.0,33.25,33.2164,403200,0.0,1.0
2000-03-10,33.5,34.0,29.13,31.0,30.9687,269000,0.0,1.0
2000-03-13,30.5,33.88,28.31,32.0,31.9677,187400,0.0,1.0
2000-03-14,32.5,33.0,28.75,30.0,29.9697,213200,0.0,1.0
2000-03-15,30.88,31.0,27.0,28.0,27.9717,209500,0.0,1.0
2000-03-16,29.0,29.5,23.75,27.0,26.9727,364300,0.0,1.0
2000-03-17,26.5,29.5,26.0,29.13,29.1006,191000,0.0,1.0
