timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,13.88,13.88,13.0,13.12,2.9601,181067,0.0,1.0
2000-01-04,13.13,13.25,12.56,12.69,2.8631,327573,0.0,1.0
2000-01-05,12.75,12.81,12.63,12.75,2.8766,439467,0.0,1.0
2000-01-06,12.69,13.0,12.69,12.88,2.9059,265067,0.0,1.0
2000-01-07,12.88,13.31,12.88,13.0,2.933,249867,0.0,1.0
2000-01-10,13.13,13.19,12.81,13.0,2.933,286773,0.0,1.0
2000-01-11,13.13,13.13,12.81,12.81,2.8901,250453,0.0,1.0
2000-01-12,12.94,13.0,12.69,13.0,2.933,357067,0.0,1.0
2000-01-13,13.0,13.0,12.75,12.81,2.8901,712800,0.0,1.0
2000-01-14,12.88,12.94,12.75,12.88,2.9059,223840,0.0,1.0
2000-01-18,13.0,13.31,13.0,13.06,2.9465,326453,0.0,1.0
2000-01-19,13.19,13.31,13.06,13.06,2.9465,170773,0.0,1.0
2000-01-20,13.06,13.13,12.81,12.81,2.8901,373173,0.0,1.0
2000-01-21,13.06,13.06,12.69,12.75,2.8766,343040,0.0,1.0
2000-01-24,12.75,13.0,12.44,12.44,2.8067,244587,0.0,1.0
2000-01-25,12.44,12.75,12.44,12.56,2.8337,222240,0.0,1.0
2000-01-26,12.69,12.88,12.38,12.38,2.7931,303840,0.0,1.0
2000-01-27,12.63,12.75,12.31,12.38,2.7931,143253,0.0,1.0
2000-01-28,12.5,12.5,12.0,12.06,2.7209,266240,0.0,1.0
2000-01-31,12.25,12.25,11.75,12.13,2.7367,258187,0.0,1.0
2000-02-01,12.0,12.25,11.81,11.88,2.6803,260000,0.0,1.0
2000-02-02,11.87,12.37,11.56,12.13,2.7367,371200,0.0,1.0
2000-02-03,12.19,12.19,11.88,11.94,2.6939,168853,0.0,1.0
2000-02-04,12.19,12.38,12.13,12.13,2.7367,182240,0.0,1.0
2000-02-07,12.13,12.13,12.0,12.0,2.7074,160587,0.0,1.0
2000-02-08,12.0,12.13,11.94,12.06,2.7209,227040,0.0,1.0
2000-02-09,12.19,12.19,11.88,11.88,2.6803,147253,0.0,1.0
2000-02-10,11.88,11.88,11.25,11.38,2.5675,309067,0.0,1.0
2000-02-11,11.38,11.88,11.38,11.5,2.5946,250187,0.0,1.0
2000-02-14,11.56,11.63,11.38,11.56,2.6081,266827,0.0,1.0
2000-02-15,11.56,11.63,11.38,11.38,2.5675,232000,0.0,1.0
2000-02-16,11.0,11.31,11.0,11.19,2.5246,489227,0.0,1.0
2000-02-17,11.19,11.44,11.19,11.38,2.5675,286827,0.0,1.0
2000-02-18,11.44,11.44,10.81,11.38,2.5675,209973,0.0,1.0
2000-02-22,11.31,11.31,11.06,11.19,2.5246,436373,0.0,1.0
2000-02-23,11.13,11.56,11.13,11.56,2.6081,138453,0.0,1.0
2000-02-24,11.5,11.63,11.5,11.5,2.5946,490453,0.0,1.0
2000-02-25,11.31,11.63,11.31,11.44,2.581,1807787,0.0,1.0
2000-02-28,11.5,11.63,11.25,11.31,2.5517,275627,0.0,1.0
2000-02-29,11.44,11.75,11.38,11.69,2.6374,209227,0.0,1.0
2000-03-01,11.5,11.56,10.88,11.0,2.5111,526560,0.13,1.0
2000-03-02,11.06,11.06,10.94,10.94,2.4974,329440,0.0,1.0
2000-03-03,11.0,11.25,10.94,11.25,2.5682,170453,0.0,1.0
2000-03-06,11.25,11.25,10.75,10.94,2.4974,266987,0.0,1.0
2000-03-07,10.81,11.06,10.81,10.94,2.4974,557067,0.0,1.0
2000-03-08,10.81,11.0,10.69,10.81,2.4677,205440,0.0,1.0
2000-03-09,10.88,11.06,10.63,10.75,2.454,389653,0.0,1.0
2000-03-10,10.75,11.19,10.75,11.13,2.5408,230987,0.0,1.0
2000-03-13,11.0,11.06,10.81,11.0,2.5111,349173,0.0,1.0
2000-03-14,10.88,11.25,10.75,11.0,2.5111,478453,0.0,1.0
