timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,9.25,9.5,9.25,9.5,3.9032,37600,0.0,1.0
2000-01-04,9.25,9.5,9.25,9.375,3.8518,61000,0.0,1.0
2000-01-05,9.25,9.375,9.0,9.313,3.8264,54100,0.0,1.0
2000-01-06,9.5,10.0,9.344,9.563,3.9291,55000,0.0,1.0
2000-01-07,9.5,10.25,9.5,10.25,4.2113,33100,0.0,1.0
2000-01-10,9.75,9.938,9.625,9.938,4.0832,36000,0.0,1.0
2000-01-11,9.625,9.875,9.5,9.875,4.0573,16400,0.0,1.0
2000-01-12,9.75,9.875,9.75,9.75,4.0059,8200,0.0,1.0
2000-01-13,9.656,10.38,9.656,10.38,4.2648,13700,0.0,1.0
2000-01-14,10.19,12.0,10.19,11.5,4.7249,59200,0.0,1.0
2000-01-18,11.19,11.19,11.0,11.06,4.5441,24400,0.0,1.0
2000-01-19,11.19,11.38,11.19,11.38,4.6756,86600,0.0,1.0
2000-01-20,11.44,11.44,11.25,11.38,4.6756,18300,0.0,1.0
2000-01-21,11.38,11.56,11.25,11.5,4.7249,43300,0.0,1.0
2000-01-24,11.38,11.56,11.38,11.56,4.7496,63200,0.0,1.0
2000-01-25,11.56,11.63,11.5,11.63,4.7783,8600,0.0,1.0
2000-01-26,11.56,11.63,11.38,11.56,4.7496,26400,0.0,1.0
2000-01-27,11.63,11.69,11.38,11.5,4.7249,50400,0.0,1.0
2000-01-28,11.25,11.75,11.25,11.69,4.803,34000,0.0,1.0
2000-01-31,11.69,11.75,11.5,11.75,4.8276,18500,0.0,1.0
2000-02-01,11.69,11.88,11.56,11.75,4.8276,36200,0.0,1.0
2000-02-02,11.63,11.63,11.5,11.5,4.7249,21400,0.0,1.0
2000-02-03,11.25,11.69,11.19,11.44,4.7003,26400,0.0,1.0
2000-02-04,11.0,11.63,11.0,11.5,4.7249,83300,0.0,1.0
2000-02-07,11.31,11.5,11.13,11.5,4.7249,90000,0.0,1.0
2000-02-08,11.38,11.38,10.38,10.44,4.2894,6700,0.0,1.0
2000-02-09,10.44,10.44,9.875,10.19,4.1867,5400,0.0,1.0
2000-02-10,10.38,10.38,9.25,10.0,4.1086,10900,0.0,1.0
2000-02-11,10.0,10.0,9.438,9.438,3.8777,4100,0.0,1.0
2000-02-14,9.25,9.25,9.125,9.25,3.8005,1600,0.0,1.0
2000-02-15,9.438,9.438,9.25,9.375,3.8518,6200,0.0,1.0
2000-02-16,9.438,9.563,9.438,9.563,3.9291,18700,0.0,1.0
2000-02-17,9.563,9.75,9.563,9.625,3.9546,15700,0.0,1.0
2000-02-18,9.688,9.688,9.625,9.625,3.9546,5400,0.0,1.0
2000-02-22,9.688,9.688,9.125,9.25,3.8005,13300,0.0,1.0
2000-02-23,9.125,9.75,9.125,9.5,3.9032,15200,0.0,1.0
2000-02-24,9.813,10.25,9.75,9.813,4.0318,5000,0.0,1.0
2000-02-25,9.5,9.813,9.5,9.813,4.0318,200,0.0,1.0
2000-02-28,9.688,9.688,9.25,9.25,3.8005,1700,0.0,1.0
2000-02-29,9.188,9.188,9.125,9.125,3.7491,400,0.0,1.0
2000-03-01,9.063,9.188,9.063,9.063,3.7236,2100,0.0,1.0
2000-03-02,9.063,9.125,8.625,8.625,3.5437,8600,0.0,1.0
2000-03-03,9.125,9.125,8.563,9.0,3.6978,3100,0.0,1.0
2000-03-06,9.0,9.0,8.625,8.625,3.5437,2000,0.0,1.0
2000-03-07,8.5,9.0,8.0,8.188,3.3641,24000,0.0,1.0
2000-03-08,9.063,9.063,8.25,8.25,3.3896,10100,0.0,1.0
2000-03-09,8.625,8.938,8.313,8.938,3.6887,4900,0.04,1.0
2000-03-10,8.656,8.938,8.25,8.25,3.4048,40100,0.0,1.0
2000-03-13,8.25,8.25,8.25,8.25,3.4048,0,0.0,1.0
2000-03-14,8.25,8.375,8.25,8.25,3.4048,7600,0.0,1.0
2000-03-15,8.25,8.25,8.188,8.188,3.3792,3300,0.0,1.0
2000-03-16,8.188,8.375,8.188,8.25,3.4048,5900,0.0,1.0
2000-03-17,8.188,8.563,8.188,8.188,3.3792,1500,0.0,1.0
2000-03-20,8.125,8.125,8.125,8.125,3.3532,1600,0.0,1.0
2000-03-21,8.125,8.375,8.125,8.125,3.3532,8200,0.0,1.0
2000-03-22,8.063,8.25,8.063,8.25,3.4048,12400,0.0,1.0
2000-03-23,8.125,8.125,7.938,8.0,3.3016,43400,0.0,1.0
2000-03-24,7.813,8.125,7.813,7.875,3.25,2000,0.0,1.0
2000-03-27,8.0,8.0,7.938,7.938,3.276,10300,0.0,1.0
2000-03-28,7.875,7.875,6.0,6.438,2.657,70500,0.0,1.0
2000-03-29,7.188,8.0,7.0,7.875,3.25,94700,0.0,1.0
2000-03-30,8.125,8.188,7.5,7.75,3.1984,33300,0.0,1.0
2000-03-31,7.813,7.813,7.625,7.688,3.1728,119900,0.0,1.0
2000-04-03,7.688,7.875,7.688,7.813,3.2244,7900,0.0,1.0
2000-04-04,7.813,7.813,7.625,7.625,3.1468,10700,0.0,1.0
2000-04-05,7.625,7.938,7.5,7.5,3.0953,7000,0.0,1.0
