timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,16.69,16.69,16.69,16.69,6.0183,400,0.0,1.0
2000-01-04,16.69,16.69,16.25,16.25,5.8596,4900,0.0,1.0
2000-01-05,16.56,16.56,16.25,16.56,5.9714,1600,0.0,1.0
2000-01-06,16.25,16.25,16.12,16.12,5.8128,6000,0.0,1.0
2000-01-07,16.12,16.12,16.12,16.12,5.8128,0,0.0,1.0
2000-01-10,16.38,16.38,16.12,16.25,5.8596,3800,0.0,1.0
2000-01-11,16.19,16.38,16.0,16.0,5.7695,23900,0.0,1.0
2000-01-12,16.06,16.25,15.5,15.5,5.5892,1900,0.0,1.0
2000-01-13,15.75,15.88,15.0,15.75,5.6793,141900,0.0,1.0
2000-01-14,15.25,15.81,15.25,15.75,5.6793,18400,0.0,1.0
2000-01-18,16.25,16.25,15.62,15.62,5.6325,3200,0.0,1.0
2000-01-19,15.75,15.75,15.62,15.62,5.6325,4600,0.0,1.0
2000-01-20,15.62,15.88,15.62,15.62,5.6325,14500,0.0,1.0
2000-01-21,15.62,15.88,15.5,15.5,5.5892,9500,0.0,1.0
2000-01-24,15.5,15.88,15.5,15.69,5.6577,6200,0.0,1.0
2000-01-25,15.5,15.5,15.5,15.5,5.5892,100,0.0,1.0
2000-01-26,15.5,15.88,15.5,15.81,5.701,12000,0.0,1.0
2000-01-27,15.88,16.56,15.88,15.94,5.7479,42600,0.0,1.0
2000-01-28,15.94,15.94,15.94,15.94,5.7479,900,0.0,1.0
2000-01-31,15.94,15.94,15.94,15.94,5.7479,2200,0.0,1.0
2000-02-01,16.38,16.38,15.94,15.94,5.7479,4600,0.0,1.0
2000-02-02,15.94,15.94,15.94,15.94,5.7479,8400,0.0,1.0
2000-02-03,15.94,15.94,15.94,15.94,5.7479,0,0.0,1.0
2000-02-04,15.94,15.94,15.94,15.94,5.7479,2800,0.0,1.0
2000-02-07,16.0,16.0,15.94,15.94,5.7479,7500,0.0,1.0
2000-02-08,16.0,16.0,15.81,15.81,5.701,2400,0.0,1.0
2000-02-09,15.81,15.81,15.81,15.81,5.701,5200,0.0,1.0
2000-02-10,15.81,15.81,15.69,15.69,5.6577,2900,0.0,1.0
2000-02-11,15.75,15.88,15.75,15.88,5.7262,19500,0.0,1.0
2000-02-14,15.88,15.88,15.88,15.88,5.7262,0,0.0,1.0
2000-02-15,15.88,15.88,15.88,15.88,5.7262,0,0.0,1.0
2000-02-16,15.88,15.88,15.44,15.44,5.5676,3500,0.0,1.0
2000-02-17,15.62,15.88,15.62,15.88,5.7262,2600,0.0,1.0
2000-02-18,15.88,15.88,15.88,15.88,5.7262,0,0.0,1.0
2000-02-22,15.5,15.5,15.5,15.5,5.5892,2000,0.0,1.0
2000-02-23,15.5,15.5,15.5,15.5,5.5892,1100,0.0,1.0
2000-02-24,15.5,15.5,14.75,14.75,5.3188,10900,0.0,1.0
2000-02-25,14.75,14.75,14.25,14.25,5.1385,5900,0.0,1.0
2000-02-28,14.19,14.19,14.0,14.12,5.0916,37400,0.0,1.0
2000-02-29,14.06,14.25,14.06,14.06,5.0699,11400,0.0,1.0
2000-03-01,14.06,14.25,14.06,14.12,5.0916,9500,0.0,1.0
2000-03-02,14.06,14.06,14.06,14.06,5.0699,2000,0.0,1.0
2000-03-03,14.44,14.44,14.38,14.44,5.207,2100,0.0,1.0
2000-03-06,14.38,14.5,14.12,14.5,5.2286,1000,0.0,1.0
2000-03-07,14.12,14.94,14.06,14.94,5.3873,28800,0.0,1.0
2000-03-08,14.0,15.0,14.0,15.0,5.4089,20700,0.0,1.0
2000-03-09,14.5,15.12,14.5,15.06,5.4305,2600,0.0,1.0
2000-03-10,15.06,15.06,15.06,15.06,5.4305,0,0.0,1.0
2000-03-13,14.5,14.5,14.5,14.5,5.2286,1600,0.0,1.0
2000-03-14,14.0,14.25,14.0,14.25,5.1385,2100,0.0,1.0
2000-03-15,14.12,14.12,14.0,14.06,5.1024,14500,0.09,1.0
2000-03-16,14.0,14.0,13.88,13.88,5.0371,6500,0.0,1.0
2000-03-17,13.94,14.0,13.12,13.12,4.7613,7100,0.0,1.0
2000-03-20,13.0,14.0,12.88,13.88,5.0371,16300,0.0,1.0
2000-03-21,12.88,13.5,12.88,13.5,4.8992,4300,0.0,1.0
2000-03-22,13.56,13.56,13.56,13.56,4.9209,600,0.0,1.0
2000-03-23,13.56,14.0,13.56,14.0,5.0806,1600,0.0,1.0
2000-03-24,14.0,14.0,13.69,14.0,5.0806,2000,0.0,1.0
2000-03-27,14.0,14.0,14.0,14.0,5.0806,144500,0.0,1.0
2000-03-28,14.0,14.06,14.0,14.06,5.1024,1600,0.0,1.0
2000-03-29,14.19,14.62,14.19,14.62,5.3056,2200,0.0,1.0
2000-03-30,14.88,14.88,14.88,14.88,5.4,800,0.0,1.0
2000-03-31,14.5,15.12,14.5,14.75,5.3528,2800,0.0,1.0
2000-04-03,14.81,15.06,14.75,14.75,5.3528,8900,0.0,1.0
2000-04-04,14.75,14.75,14.75,14.75,5.3528,300,0.0,1.0
2000-04-05,14.75,14.75,14.75,14.75,5.3528,2700,0.0,1.0
2000-04-06,14.88,14.88,14.88,14.88,5.4,200,0.0,1.0
2000-04-07,14.75,14.75,14.75,14.75,5.3528,2000,0.0,1.0
2000-04-10,14.75,14.75,14.5,14.5,5.2621,2700,0.0,1.0
