timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,21.25,21.5,20.75,20.88,0.9527,188571,0.0,1.0
2000-01-04,20.81,20.94,20.63,20.81,0.9495,260169,0.0,1.0
2000-01-05,20.81,21.0,20.56,20.94,0.9555,76571,0.0,1.0
2000-01-06,20.88,20.94,20.69,20.75,0.9468,78434,0.0,1.0
2000-01-07,20.88,20.88,20.44,20.63,0.9413,76656,0.0,1.0
2000-01-10,20.53,20.56,20.0,20.25,0.924,133630,0.0,1.0
2000-01-11,20.06,20.88,20.06,20.75,0.9468,63048,0.0,1.0
2000-01-12,20.69,20.94,20.25,20.69,0.9441,48381,0.0,1.0
2000-01-13,20.41,21.13,20.38,20.94,0.9555,73228,0.0,1.0
2000-01-14,21.13,21.75,20.88,21.44,0.9783,85185,0.0,1.0
2000-01-18,21.44,21.63,20.63,20.94,0.9555,45989,0.0,1.0
2000-01-19,20.75,21.13,20.69,20.94,0.9555,33058,0.0,1.0
2000-01-20,21.0,21.19,20.5,20.5,0.9354,57587,0.0,1.0
2000-01-21,20.56,20.88,20.0,20.06,0.9153,53989,0.0,1.0
2000-01-24,20.0,20.5,19.38,19.38,0.8843,146434,0.0,1.0
2000-01-25,19.44,19.5,18.88,19.13,0.8729,270159,0.0,1.0
2000-01-26,19.25,20.0,19.16,20.0,0.9126,103767,0.0,1.0
2000-01-27,20.0,20.13,19.56,19.63,0.8957,47767,0.0,1.0
2000-01-28,19.94,20.06,19.0,19.75,0.9139,124656,0.28,1.0
2000-01-31,19.94,20.88,19.75,20.69,0.9574,715365,0.0,1.0
2000-02-01,20.81,20.81,20.38,20.38,0.9431,83238,0.0,1.0
2000-02-02,20.63,20.63,19.5,19.81,0.9167,64381,0.0,1.0
2000-02-03,19.66,20.0,19.38,20.0,0.9255,92000,0.0,1.0
2000-02-04,19.88,20.94,19.88,20.44,0.9459,60656,0.0,1.0
2000-02-07,20.44,20.5,19.88,19.94,0.9227,80974,0.0,1.0
2000-02-08,19.94,19.94,19.13,19.38,0.8968,82561,0.0,1.0
2000-02-09,19.38,19.56,19.13,19.44,0.8996,136169,0.0,1.0
2000-02-10,19.5,19.75,19.06,19.13,0.8853,68656,0.0,1.0
2000-02-11,19.06,19.25,18.69,19.0,0.8792,154561,0.0,1.0
2000-02-14,18.75,19.25,18.63,18.69,0.8649,53778,0.0,1.0
2000-02-15,18.72,19.13,18.63,19.0,0.8792,204000,0.0,1.0
2000-02-16,19.0,19.75,18.88,19.5,0.9024,98032,0.0,1.0
2000-02-17,19.38,19.63,19.13,19.44,0.8996,76571,0.0,1.0
2000-02-18,19.13,19.5,18.88,19.0,0.8792,45058,0.0,1.0
2000-02-22,18.88,19.13,18.63,18.69,0.8649,103450,0.0,1.0
2000-02-23,18.69,19.0,18.56,18.75,0.8677,99852,0.0,1.0
2000-02-24,18.75,18.81,18.44,18.69,0.8649,99852,0.0,1.0
2000-02-25,18.63,19.0,18.19,18.75,0.8677,114434,0.0,1.0
2000-02-28,19.0,19.0,18.38,18.56,0.8589,71450,0.0,1.0
2000-02-29,18.63,20.0,18.25,19.95,0.9232,256825,0.0,1.0
2000-03-01,19.81,19.88,18.25,18.25,0.8445,166836,0.0,1.0
2000-03-02,18.44,18.44,18.0,18.0,0.833,106434,0.0,1.0
2000-03-03,18.13,18.75,18.06,18.75,0.8677,158561,0.0,1.0
2000-03-06,18.63,19.13,18.38,18.75,0.8677,76169,0.0,1.0
