timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-10-25,26.15,26.2,25.45,26.2,24.372,1416907,0.0,1.0
2016-10-26,26.17,26.35,26.1,26.26,24.4278,1631356,0.0,1.0
2016-10-27,26.3,26.4,25.33,26.31,24.4743,984948,0.0,1.0
2016-10-28,26.13,26.26,26.0,26.18,24.3534,428667,0.0,1.0
2016-10-31,26.2,26.25,25.95,26.1,24.279,39123,0.0,1.0
2016-11-01,26.1,26.19,25.95,26.0,24.186,38350,0.0,1.0
2016-11-02,26.1,26.2,25.9,26.1,24.279,333877,0.0,1.0
2016-11-03,25.95,26.29,25.95,26.1,24.279,1033388,0.0,1.0
2016-11-04,26.01,26.35,26.0,26.35,24.5116,7768,0.0,1.0
2016-11-07,26.06,26.4,26.06,26.23,24.3999,94920,0.0,1.0
2016-11-08,26.3,26.3,26.01,26.3,24.465,15247,0.0,1.0
2016-11-09,26.2,26.2,25.96,26.15,24.3255,137657,0.0,1.0
2016-11-10,25.61,26.0,25.61,25.9,24.0929,297345,0.0,1.0
2016-11-11,25.78,26.0,25.25,25.25,23.4883,11648,0.0,1.0
2016-11-14,25.0,25.6,24.0,24.6,22.8837,41498,0.0,1.0
2016-11-15,24.78,25.35,24.78,25.0,23.2557,948003,0.0,1.0
2016-11-16,25.04,25.5,24.5,25.49,23.7116,383055,0.0,1.0
2016-11-17,25.0,25.35,24.86,25.1,23.3488,14861,0.0,1.0
2016-11-18,25.4,26.0,24.75,25.4,23.6278,12610,0.0,1.0
2016-11-21,26.11,26.11,25.07,25.7,23.9069,6239,0.0,1.0
2016-11-22,25.15,26.0,25.1,25.5,23.7209,53338,0.0,1.0
2016-11-23,25.5,25.5,24.76,25.0,23.2557,4508,0.0,1.0
2016-11-25,25.5,25.5,24.75,25.5,23.7209,3609,0.0,1.0
2016-11-28,25.75,25.75,24.75,24.75,23.0232,6171,0.0,1.0
2016-11-29,25.05,25.25,25.05,25.25,23.6518,15367,0.1758,1.0
2016-11-30,25.2,25.2,24.75,25.1099,23.5206,99552,0.0,1.0
2016-12-01,24.85,25.0,24.75,24.84,23.2678,152173,0.0,1.0
2016-12-02,25.06,25.17,24.6,24.86,23.2865,22176,0.0,1.0
2016-12-05,24.85,24.85,24.22,24.47,22.9212,119008,0.0,1.0
2016-12-06,25.06,25.06,24.1832,24.65,23.0898,80927,0.0,1.0
2016-12-07,24.89,25.43,24.7,25.25,23.6518,184300,0.0,1.0
2016-12-08,25.5,25.5,24.9348,25.0,23.4176,30958,0.0,1.0
2016-12-09,25.18,25.258,24.5963,24.95,23.3708,23069,0.0,1.0
2016-12-12,24.95,24.95,24.0571,24.65,23.0898,14879,0.0,1.0
2016-12-13,24.8968,24.8968,24.42,24.7,23.1366,31161,0.0,1.0
2016-12-14,24.98,25.11,24.7,24.98,23.3989,69973,0.0,1.0
2016-12-15,24.81,24.98,24.69,24.92,23.3427,44665,0.0,1.0
2016-12-16,24.96,25.0,24.775,24.94,23.3614,29795,0.0,1.0
2016-12-19,24.9,25.14,24.9,25.03,23.4457,38240,0.0,1.0
2016-12-20,25.25,25.25,24.8172,25.03,23.4457,50452,0.0,1.0
2016-12-21,25.2,25.2,25.05,25.15,23.5581,143348,0.0,1.0
2016-12-22,25.25,25.25,25.15,25.16,23.5675,52875,0.0,1.0
2016-12-23,25.34,25.46,25.15,25.41,23.8017,25029,0.0,1.0
2016-12-27,25.41,25.9,25.2485,25.89,24.2513,25145,0.0,1.0
2016-12-28,25.89,26.02,25.84,25.98,24.3356,20689,0.0,1.0
2016-12-29,25.98,26.04,25.85,26.04,24.3918,17632,0.0,1.0
2016-12-30,26.5,26.5,25.7048,25.85,24.2138,21521,0.0,1.0
2017-01-03,25.94,25.95,25.25,25.85,24.2138,25722,0.0,1.0
2017-01-04,25.94,26.09,25.66,25.83,24.1951,16343,0.0,1.0
2017-01-05,26.5,26.5,25.7,25.75,24.1202,56725,0.0,1.0
2017-01-06,25.75,25.9,25.5334,25.75,24.1202,72679,0.0,1.0
2017-01-09,25.89,25.98,25.28,25.61,23.989,86230,0.0,1.0
2017-01-10,25.69,26.0,25.65,25.9,24.2607,136684,0.0,1.0
2017-01-11,25.98,25.98,25.7737,25.9,24.2607,52464,0.0,1.0
2017-01-12,25.9,26.02,25.85,25.9,24.2607,55207,0.0,1.0
2017-01-13,25.98,26.2141,25.8908,26.04,24.3918,45759,0.0,1.0
2017-01-17,26.12,26.18,25.89,25.97,24.3262,48804,0.0,1.0
2017-01-18,26.03,26.05,25.8,25.9,24.2607,541076,0.0,1.0
2017-01-19,26.0,26.0,25.32,25.77,24.1389,153378,0.0,1.0
2017-01-20,25.65,25.83,25.41,25.66,24.0359,547464,0.0,1.0
2017-01-23,25.51,25.93,25.48,25.79,24.1576,37179,0.0,1.0
2017-01-24,25.78,25.88,25.61,25.85,24.2138,29147,0.0,1.0
2017-01-25,25.94,25.97,25.5949,25.83,24.1951,29512,0.0,1.0
2017-01-26,25.95,25.95,25.6357,25.66,24.0359,20620,0.0,1.0
2017-01-27,25.9,25.9,25.7098,25.85,24.2138,18666,0.0,1.0
2017-01-30,25.9,26.05,25.85,25.96,24.3169,40441,0.0,1.0
2017-01-31,26.14,26.14,25.911,26.13,24.4761,20316,0.0,1.0
2017-02-01,26.19,26.19,26.0,26.12,24.4668,14722,0.0,1.0
2017-02-02,26.24,26.24,26.1099,26.18,24.523,7790,0.0,1.0
2017-02-03,26.2,26.26,26.13,26.23,24.5698,32124,0.0,1.0
2017-02-06,28.2,28.2,26.3601,26.44,24.7665,21445,0.0,1.0
2017-02-07,26.89,26.89,26.322,26.46,24.7852,16869,0.0,1.0
2017-02-08,26.5,26.5,26.2601,26.49,24.8133,18315,0.0,1.0
2017-02-09,26.74,26.81,26.2293,26.5,24.8227,15963,0.0,1.0
2017-02-10,26.31,26.84,26.295,26.62,24.9351,103979,0.0,1.0
2017-02-13,26.38,26.71,26.38,26.66,24.9726,12891,0.0,1.0
2017-02-14,26.66,26.774,26.3401,26.4899,24.8132,33519,0.0,1.0
2017-02-15,26.28,26.6,26.26,26.27,24.6073,29194,0.0,1.0
2017-02-16,26.28,26.5395,26.2523,26.35,24.6822,28478,0.0,1.0
2017-02-17,26.45,26.5254,26.22,26.24,24.5792,14144,0.0,1.0
2017-02-21,26.39,26.48,26.22,26.3,24.6354,8219,0.0,1.0
2017-02-22,26.36,26.39,26.0,26.38,24.7103,18118,0.0,1.0
2017-02-23,26.334,26.65,26.2673,26.45,24.7759,26778,0.0,1.0
2017-02-24,26.94,26.94,26.07,26.54,24.8602,17720,0.0,1.0
2017-02-27,26.31,26.7396,25.7,25.92,24.6087,12803,0.3516,1.0
2017-02-28,26.22,26.299,25.68,26.05,24.7321,21933,0.0,1.0
2017-03-01,26.05,26.15,25.9468,26.15,24.8271,6727,0.0,1.0
2017-03-02,26.15,26.3,25.83,26.06,24.7416,871236,0.0,1.0
2017-03-03,26.28,26.99,25.4701,26.75,25.3967,18316,0.0,1.0
2017-03-06,26.36,26.75,26.1,26.74,25.3872,7945,0.0,1.0
2017-03-07,26.67,26.67,26.1101,26.62,25.2733,21263,0.0,1.0
2017-03-08,26.62,26.62,25.82,26.07,24.7511,13443,0.0,1.0
2017-03-09,25.97,26.09,25.63,25.88,24.5707,21692,0.0,1.0
2017-03-10,26.19,26.19,25.4,25.81,24.5043,10789,0.0,1.0
2017-03-13,25.92,25.9548,25.62,25.67,24.3714,10319,0.0,1.0
2017-03-14,25.86,25.86,25.5101,25.5101,24.2196,18864,0.0,1.0
2017-03-15,25.82,25.82,25.54,25.68,24.3809,24237,0.0,1.0
2017-03-16,25.7,26.12,25.67,26.12,24.7986,43918,0.0,1.0
2017-03-17,26.12,26.2499,26.0,26.0,24.6847,15338,0.0,1.0
2017-03-20,26.23,26.23,26.01,26.01,24.6942,6108,0.0,1.0
2017-03-21,25.985,26.11,25.9234,25.99,24.6752,16318,0.0,1.0
2017-03-22,26.17,26.25,25.89,26.25,24.922,11369,0.0,1.0
2017-03-23,26.25,26.33,25.83,26.2,24.8746,14087,0.0,1.0
2017-03-24,26.27,26.27,26.071,26.26,24.9315,12587,0.0,1.0
2017-03-27,26.02,26.2463,25.58,25.9466,24.634,20993,0.0,1.0
2017-03-28,25.91,26.2299,25.91,26.1,24.7796,11457,0.0,1.0
2017-03-29,26.09,26.207,25.92,26.09,24.7701,21420,0.0,1.0
2017-03-30,25.94,26.1,25.94,26.0,24.6847,17784,0.0,1.0
2017-03-31,26.0,26.05,25.76,25.81,24.5043,358115,0.0,1.0
2017-04-03,25.95,26.16,25.8702,25.96,24.6467,44516,0.0,1.0
2017-04-04,26.0,26.25,25.982,26.25,24.922,39434,0.0,1.0
2017-04-05,26.05,26.41,25.93,26.12,24.7986,21410,0.0,1.0
2017-04-06,26.26,26.5,25.9,26.5,25.1594,9389,0.0,1.0
2017-04-07,26.5,26.5,26.15,26.5,25.1594,5876,0.0,1.0
2017-04-10,26.5,26.9037,26.2374,26.66,25.3113,23966,0.0,1.0
2017-04-11,26.5,26.95,26.28,26.64,25.2923,20778,0.0,1.0
2017-04-12,26.99,26.99,26.33,26.33,24.998,17034,0.0,1.0
2017-04-13,26.66,26.98,26.2103,26.7,25.3493,9578,0.0,1.0
2017-04-17,26.57,27.12,26.57,26.76,25.4062,7718,0.0,1.0
2017-04-18,26.62,26.8,26.45,26.8,25.4442,32462,0.0,1.0
2017-04-19,26.84,26.98,26.5901,26.98,25.6151,8110,0.0,1.0
2017-04-20,26.98,28.5,26.98,27.17,25.7955,18715,0.0,1.0
2017-04-21,27.38,27.5,26.5091,26.97,25.6056,14096,0.0,1.0
2017-04-24,26.91,26.91,26.5,26.87,25.5107,10482,0.0,1.0
2017-04-25,28.68,28.68,26.7527,27.28,25.8999,19635,0.0,1.0
2017-04-26,27.4,27.4,26.7683,26.94,25.5771,13212,0.0,1.0
2017-04-27,26.95,28.05,26.57,27.16,25.786,19197,0.0,1.0
2017-04-28,27.31,27.64,27.0,27.56,26.1658,23185,0.0,1.0
2017-05-01,27.55,28.3223,27.55,27.65,26.2512,12911,0.0,1.0
2017-05-02,26.77,28.9266,26.77,28.44,27.0012,15069,0.0,1.0
2017-05-03,28.1,28.29,27.15,28.29,26.8588,22563,0.0,1.0
2017-05-04,27.92,28.09,27.6124,28.01,26.593,15645,0.0,1.0
2017-05-05,28.0,28.02,27.63,28.01,26.593,20559,0.0,1.0
2017-05-08,28.15,28.24,26.7804,28.24,26.8114,13596,0.0,1.0
2017-05-09,28.19,28.31,27.04,27.42,26.0328,18957,0.0,1.0
2017-05-10,27.37,27.99,27.37,27.83,26.4221,12261,0.0,1.0
2017-05-11,27.99,27.99,27.4449,27.745,26.3414,7241,0.0,1.0
2017-05-12,27.75,27.99,27.72,27.89,26.4791,11131,0.0,1.0
2017-05-15,27.9,28.34,27.9,28.29,26.8588,6671,0.0,1.0
2017-05-16,28.39,28.39,26.81,27.69,26.2892,24729,0.0,1.0
