timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,25.44,25.44,23.31,24.0,7.8225,72400,0.0,1.0
2000-01-04,23.88,24.13,23.5,23.81,7.7606,81600,0.0,1.0
2000-01-05,23.63,24.13,23.31,23.94,7.8029,111200,0.0,1.0
2000-01-06,23.81,24.69,23.81,24.69,8.0474,91000,0.0,1.0
2000-01-07,24.75,25.19,24.44,25.19,8.2104,116700,0.0,1.0
2000-01-10,25.25,25.5,25.19,25.44,8.2918,109000,0.0,1.0
2000-01-11,25.5,25.63,25.0,25.19,8.2104,108100,0.0,1.0
2000-01-12,25.25,25.25,24.0,24.69,8.0474,213300,0.0,1.0
2000-01-13,24.56,25.5,24.56,25.13,8.1908,151500,0.0,1.0
2000-01-14,25.25,25.25,24.38,25.13,8.1908,378000,0.0,1.0
2000-01-18,26.0,27.63,25.81,27.44,8.9437,282000,0.0,1.0
2000-01-19,27.44,27.5,26.63,26.75,8.7188,139800,0.0,1.0
2000-01-20,26.69,26.69,25.94,26.13,8.5167,50200,0.0,1.0
2000-01-21,26.19,27.38,26.06,26.94,8.7807,193200,0.0,1.0
2000-01-24,27.06,27.06,25.88,25.94,8.4548,102800,0.0,1.0
2000-01-25,25.88,27.0,25.81,26.44,8.6178,97800,0.0,1.0
2000-01-26,26.44,27.25,26.44,27.06,8.8199,136600,0.0,1.0
2000-01-27,27.06,27.13,26.38,26.56,8.6569,131100,0.0,1.0
2000-01-28,26.44,26.88,26.0,26.0,8.4744,89800,0.0,1.0
2000-01-31,25.75,25.81,25.31,25.56,8.3309,323500,0.0,1.0
2000-02-01,25.31,26.5,25.31,26.5,8.6373,523600,0.0,1.0
2000-02-02,26.5,27.25,26.5,26.63,8.6797,276500,0.0,1.0
2000-02-03,26.75,26.75,26.19,26.19,8.5363,147300,0.0,1.0
2000-02-04,26.31,26.31,25.31,25.56,8.3309,192100,0.0,1.0
2000-02-07,25.38,25.75,24.94,25.56,8.3309,148800,0.0,1.0
2000-02-08,25.31,25.31,23.88,24.69,8.0474,138700,0.0,1.0
2000-02-09,24.81,24.81,23.75,24.0,7.8225,125700,0.0,1.0
2000-02-10,24.13,25.19,24.0,24.56,8.005,132100,0.0,1.0
2000-02-11,24.69,25.5,24.69,25.31,8.2495,110500,0.0,1.0
2000-02-14,25.31,26.19,25.0,26.19,8.5363,110500,0.0,1.0
2000-02-15,26.19,27.38,26.19,27.25,8.8818,152900,0.0,1.0
2000-02-16,27.19,27.5,26.63,27.25,8.8818,123400,0.0,1.0
2000-02-17,27.06,27.44,26.88,27.44,8.9437,133100,0.0,1.0
2000-02-18,27.31,27.31,26.75,26.88,8.7612,113900,0.0,1.0
2000-02-22,26.88,26.88,25.69,26.0,8.4744,159600,0.0,1.0
2000-02-23,25.88,26.38,25.44,26.31,8.5754,94000,0.0,1.0
