timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,18.13,18.13,18.13,18.13,3.2526,1500,0.0,1.0
2000-01-04,18.0,18.0,17.5,17.88,3.2077,6100,0.0,1.0
2000-01-05,17.81,17.81,17.81,17.81,3.1952,1100,0.0,1.0
2000-01-06,17.94,18.06,17.94,18.06,3.24,700,0.0,1.0
2000-01-07,18.02,18.02,17.63,17.75,3.1844,4100,0.0,1.0
2000-01-10,17.63,18.25,17.63,18.25,3.2741,3500,0.0,1.0
2000-01-11,18.13,18.5,17.88,17.88,3.2077,5300,0.0,1.0
2000-01-12,17.63,17.63,17.5,17.5,3.1396,1000,0.0,1.0
2000-01-13,17.75,18.38,17.75,18.38,3.2975,10500,0.0,1.0
2000-01-14,18.0,18.56,18.0,18.38,3.2975,7900,0.0,1.0
2000-01-18,18.44,18.44,18.13,18.13,3.2526,1400,0.0,1.0
2000-01-19,18.25,18.63,18.25,18.38,3.2975,10600,0.0,1.0
2000-01-20,18.25,18.25,18.25,18.25,3.2741,200,0.0,1.0
2000-01-21,18.25,18.25,18.25,18.25,3.2741,0,0.0,1.0
2000-01-24,18.5,18.5,18.13,18.13,3.2526,9400,0.0,1.0
2000-01-25,17.88,17.94,17.69,17.75,3.1844,1900,0.0,1.0
2000-01-26,18.13,18.13,17.75,18.0,3.2293,2500,0.0,1.0
2000-01-27,18.25,18.63,18.25,18.63,3.3423,3600,0.0,1.0
2000-01-28,18.44,19.0,18.44,19.0,3.4087,4800,0.0,1.0
2000-01-31,18.63,18.88,18.63,18.81,3.3746,2300,0.0,1.0
2000-02-01,18.75,19.0,18.75,19.0,3.4087,3300,0.0,1.0
2000-02-02,18.75,19.5,18.75,19.25,3.4535,2700,0.0,1.0
2000-02-03,19.5,19.5,19.5,19.5,3.4984,500,0.0,1.0
2000-02-04,19.5,19.5,19.1,19.38,3.4769,7200,0.0,1.0
2000-02-07,19.25,19.25,19.25,19.25,3.4535,400,0.0,1.0
2000-02-08,19.5,19.5,19.5,19.5,3.4984,500,0.0,1.0
2000-02-09,19.38,19.5,19.25,19.5,3.4984,5000,0.0,1.0
2000-02-10,19.5,19.5,19.25,19.25,3.4535,16800,0.0,1.0
2000-02-11,18.5,18.75,18.5,18.75,3.5348,600,0.9531,1.0
2000-02-14,19.0,19.0,18.75,19.0,3.582,4300,0.0,1.0
2000-02-15,18.75,18.75,18.63,18.63,3.5122,1300,0.0,1.0
2000-02-16,18.88,18.88,18.88,18.88,3.5593,200,0.0,1.0
2000-02-17,19.0,19.0,18.75,18.75,3.5348,1100,0.0,1.0
2000-02-18,18.69,18.69,18.63,18.63,3.5122,800,0.0,1.0
2000-02-22,18.5,18.5,17.5,17.94,3.3821,9200,0.0,1.0
2000-02-23,17.69,17.69,17.5,17.5,3.2992,5000,0.0,1.0
2000-02-24,17.38,17.38,16.75,16.75,3.1578,4000,0.0,1.0
2000-02-25,16.63,16.63,16.0,16.0,3.0164,11700,0.0,1.0
2000-02-28,16.0,16.25,16.0,16.25,3.0635,4300,0.0,1.0
2000-02-29,16.31,16.31,15.56,16.25,3.0635,8000,0.0,1.0
2000-03-01,16.38,16.5,16.25,16.25,3.0635,15300,0.0,1.0
2000-03-02,16.13,16.25,16.06,16.06,3.0277,10200,0.0,1.0
2000-03-03,16.0,16.13,16.0,16.13,3.0409,900,0.0,1.0
2000-03-06,15.88,16.0,15.88,16.0,3.0164,2000,0.0,1.0
2000-03-07,15.75,15.75,14.94,15.0,2.8279,5900,0.0,1.0
2000-03-08,14.88,15.5,14.75,15.25,2.875,5800,0.0,1.0
2000-03-09,15.13,15.38,15.13,15.25,2.875,12600,0.0,1.0
2000-03-10,15.38,15.38,14.63,15.25,2.875,11800,0.0,1.0
2000-03-13,15.0,15.0,14.75,14.81,2.792,5300,0.0,1.0
2000-03-14,14.56,14.56,14.13,14.38,2.711,13000,0.0,1.0
2000-03-15,14.38,14.38,14.38,14.38,2.711,4700,0.0,1.0
2000-03-16,14.31,14.38,14.0,14.38,2.711,7600,0.0,1.0
2000-03-17,14.13,14.38,14.0,14.38,2.711,3300,0.0,1.0
2000-03-20,14.38,14.38,13.88,14.25,2.6865,6700,0.0,1.0
2000-03-21,14.0,14.88,14.0,14.75,2.7807,5600,0.0,1.0
2000-03-22,14.75,15.0,14.75,15.0,2.8279,3900,0.0,1.0
2000-03-23,14.88,15.25,14.88,15.0,2.8279,13000,0.0,1.0
2000-03-24,15.0,15.38,14.88,15.38,2.8995,3600,0.0,1.0
2000-03-27,15.0,15.25,14.88,15.25,2.875,6000,0.0,1.0
2000-03-28,15.13,15.56,15.06,15.5,2.9221,5600,0.0,1.0
2000-03-29,15.5,15.56,15.13,15.56,2.9334,15300,0.0,1.0
2000-03-30,15.5,15.5,15.5,15.5,2.9221,500,0.0,1.0
2000-03-31,15.5,15.5,15.5,15.5,2.9221,0,0.0,1.0
2000-04-03,15.5,15.75,15.5,15.71,2.9617,7000,0.0,1.0
2000-04-04,15.63,15.63,15.56,15.56,2.9334,1100,0.0,1.0
2000-04-05,15.5,15.5,15.38,15.38,2.8995,800,0.0,1.0
2000-04-06,15.25,15.25,15.06,15.06,2.8392,1500,0.0,1.0
2000-04-07,15.0,15.0,14.75,14.88,2.8052,3300,0.0,1.0
2000-04-10,14.75,14.75,14.5,14.5,2.7336,1600,0.0,1.0
2000-04-11,14.63,14.63,14.5,14.5,2.7336,600,0.0,1.0
2000-04-12,14.75,14.88,14.5,14.5,2.7336,12100,0.0,1.0
2000-04-13,14.75,14.75,14.63,14.63,2.7581,6600,0.0,1.0
2000-04-14,14.75,15.0,14.75,15.0,2.8279,3500,0.0,1.0
2000-04-17,15.13,15.13,14.75,14.75,2.7807,1600,0.0,1.0
2000-04-18,14.75,14.75,14.75,14.75,2.7807,0,0.0,1.0
2000-04-19,14.75,14.75,14.75,14.75,2.7807,0,0.0,1.0
2000-04-20,15.0,15.0,15.0,15.0,2.8279,800,0.0,1.0
2000-04-24,15.25,15.25,14.75,15.0,2.8279,5300,0.0,1.0
2000-04-25,14.5,14.5,14.44,14.5,2.7336,1200,0.0,1.0
2000-04-26,14.75,14.75,14.75,14.75,2.7807,1500,0.0,1.0
2000-04-27,14.75,14.75,14.5,14.5,2.7336,13100,0.0,1.0
2000-04-28,14.75,15.0,14.75,15.0,2.8279,2800,0.0,1.0
2000-05-01,14.94,15.38,14.94,15.38,2.8995,1400,0.0,1.0
2000-05-02,15.19,15.94,15.13,15.94,3.0051,19800,0.0,1.0
2000-05-03,15.88,16.38,15.88,16.25,3.0635,5000,0.0,1.0
2000-05-04,16.31,16.69,16.19,16.69,3.1465,97900,0.0,1.0
2000-05-05,16.69,16.88,16.69,16.88,3.1823,7400,0.0,1.0
2000-05-08,16.75,17.0,16.38,16.94,3.1936,11400,0.0,1.0
2000-05-09,16.5,16.75,16.15,16.63,3.1352,8100,0.0,1.0
2000-05-10,16.88,17.0,16.88,17.0,3.2049,1900,0.0,1.0
2000-05-11,17.25,17.5,17.19,17.19,3.2407,1400,0.0,1.0
2000-05-12,17.31,17.31,17.25,17.25,3.252,7000,0.0,1.0
2000-05-15,17.38,17.63,17.0,17.25,3.252,7300,0.0,1.0
2000-05-16,17.06,17.44,16.81,17.06,3.2162,5400,0.0,1.0
2000-05-17,17.06,17.06,17.06,17.06,3.2162,0,0.0,1.0
2000-05-18,17.31,17.31,17.06,17.06,3.2162,7700,0.0,1.0
2000-05-19,17.06,17.06,17.06,17.06,3.2162,0,0.0,1.0
2000-05-22,17.19,17.19,16.94,17.0,3.2049,1700,0.0,1.0
2000-05-23,17.13,17.19,16.5,16.5,3.1106,28300,0.0,1.0
2000-05-24,17.0,17.13,17.0,17.02,3.2087,8700,0.0,1.0
2000-05-25,17.13,17.13,17.0,17.13,3.2294,11000,0.0,1.0
2000-05-26,17.13,17.13,17.13,17.13,3.2294,0,0.0,1.0
2000-05-30,16.88,16.88,16.75,16.75,3.1578,2300,0.0,1.0
2000-05-31,16.75,16.75,16.75,16.75,3.1578,300,0.0,1.0
2000-06-01,16.75,16.88,16.75,16.88,3.1823,2900,0.0,1.0
2000-06-02,16.63,16.63,15.75,16.5,3.1106,14300,0.0,1.0
2000-06-05,16.88,16.88,16.88,16.88,3.1823,300,0.0,1.0
2000-06-06,16.75,16.94,16.18,16.18,3.0503,32900,0.0,1.0
2000-06-07,16.31,16.44,15.75,16.31,3.0748,11900,0.0,1.0
2000-06-08,16.25,16.44,16.25,16.44,3.0993,5800,0.0,1.0
2000-06-09,16.0,16.0,16.0,16.0,3.0164,1000,0.0,1.0
2000-06-12,16.0,16.0,16.0,16.0,3.0164,0,0.0,1.0
2000-06-13,16.25,16.25,15.75,15.88,2.9938,3100,0.0,1.0
2000-06-14,16.13,16.38,15.88,16.13,3.0409,5700,0.0,1.0
2000-06-15,16.0,16.63,16.0,16.63,3.1352,2100,0.0,1.0
2000-06-16,16.63,16.63,16.38,16.38,3.088,3200,0.0,1.0
2000-06-19,16.25,16.25,16.25,16.25,3.0635,4600,0.0,1.0
2000-06-20,16.25,16.5,16.0,16.0,3.0164,6400,0.0,1.0
2000-06-21,16.25,16.25,15.81,16.13,3.0409,2800,0.0,1.0
2000-06-22,16.13,16.13,16.13,16.13,3.0409,6000,0.0,1.0
2000-06-23,15.88,15.88,15.88,15.88,2.9938,1000,0.0,1.0
2000-06-26,15.75,16.13,15.75,16.13,3.0409,2300,0.0,1.0
2000-06-27,16.13,16.5,16.13,16.25,3.0635,2400,0.0,1.0
2000-06-28,16.25,16.25,16.0,16.25,3.0635,3300,0.0,1.0
2000-06-29,16.13,16.38,16.13,16.38,3.088,1500,0.0,1.0
2000-06-30,16.06,16.88,16.06,16.38,3.088,7000,0.0,1.0
2000-07-03,16.25,16.5,16.25,16.5,3.1106,200,0.0,1.0
2000-07-05,16.5,16.5,16.5,16.5,3.1106,0,0.0,1.0
2000-07-06,16.5,16.63,16.5,16.63,3.1352,3000,0.0,1.0
