timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-07-18,22.0,30.01,21.75,24.0,720.0,9764400,0.0,1.0
2000-07-19,24.0,24.87,21.75,22.0,660.0,1746000,0.0,1.0
2000-07-20,22.87,23.81,22.06,22.37,671.1,1118400,0.0,1.0
2000-07-21,22.5,22.62,20.75,21.94,658.2,559200,0.0,1.0
2000-07-24,22.25,22.44,19.37,19.44,583.2,796800,0.0,1.0
2000-07-25,19.69,20.25,18.81,19.25,577.5,738000,0.0,1.0
2000-07-26,19.25,21.0,18.31,19.87,596.1,790800,0.0,1.0
2000-07-27,19.31,19.5,18.75,19.0,570.0,333600,0.0,1.0
2000-07-28,19.0,20.87,18.0,20.0,600.0,398400,0.0,1.0
2000-07-31,20.12,20.5,18.0,19.0,570.0,262800,0.0,1.0
2000-08-01,19.75,19.75,18.12,18.12,543.6,136800,0.0,1.0
2000-08-02,18.12,18.75,16.0,17.0,510.0,375600,0.0,1.0
2000-08-03,16.87,16.94,15.75,16.5,495.0,240000,0.0,1.0
2000-08-04,16.56,17.5,16.01,16.12,483.6,201600,0.0,1.0
2000-08-07,16.87,19.25,16.37,18.87,566.1,247200,0.0,1.0
2000-08-08,19.12,20.5,19.0,19.37,581.1,135600,0.0,1.0
2000-08-09,19.25,20.62,19.25,20.62,618.6,266400,0.0,1.0
2000-08-10,20.75,20.87,19.5,19.56,586.8,165600,0.0,1.0
2000-08-11,19.75,19.75,19.0,19.25,577.5,96000,0.0,1.0
2000-08-14,19.06,20.62,19.0,20.0,600.0,140400,0.0,1.0
2000-08-15,20.5,20.5,19.62,19.62,588.6,129600,0.0,1.0
2000-08-16,19.62,19.87,17.0,17.87,536.1,361200,0.0,1.0
2000-08-17,17.87,17.94,17.5,17.81,534.3,80400,0.0,1.0
2000-08-18,18.25,19.0,18.0,18.75,562.5,37200,0.0,1.0
2000-08-21,19.0,19.0,18.37,18.37,551.1,40800,0.0,1.0
2000-08-22,18.37,18.87,18.37,18.37,551.1,44400,0.0,1.0
2000-08-23,18.5,19.0,18.25,18.87,566.1,40800,0.0,1.0
2000-08-24,18.5,18.62,18.12,18.12,543.6,52800,0.0,1.0
2000-08-25,18.25,19.12,18.25,18.87,566.1,54000,0.0,1.0
2000-08-28,19.12,19.75,18.87,19.25,577.5,112800,0.0,1.0
2000-08-29,19.0,21.56,18.75,21.37,641.1,213600,0.0,1.0
2000-08-30,20.59,21.0,20.06,20.81,624.3,147600,0.0,1.0
2000-08-31,20.87,21.87,20.0,21.0,630.0,166800,0.0,1.0
2000-09-01,21.19,21.37,20.12,20.12,603.6,64800,0.0,1.0
2000-09-05,21.0,22.37,18.75,22.37,671.1,124800,0.0,1.0
2000-09-06,22.0,22.25,19.87,19.87,596.1,57600,0.0,1.0
2000-09-07,20.0,20.87,19.5,19.87,596.1,34800,0.0,1.0
2000-09-08,19.31,19.5,18.87,19.5,585.0,19200,0.0,1.0
2000-09-11,19.5,21.0,18.87,20.25,607.5,49200,0.0,1.0
2000-09-12,19.5,21.69,19.5,20.5,615.0,48000,0.0,1.0
2000-09-13,20.37,21.0,20.12,20.94,628.2,57600,0.0,1.0
2000-09-14,21.0,21.25,20.5,20.87,626.1,39600,0.0,1.0
